energy_ev,total_up,C_s_up,C_p_up,Nb_p_up,Nb_d_up,Te_p_up,Te_d_up
-6.00000000,1.39410257,0.00338881,0.27609685,0.55632596,0.49132041,0.42546339,0.00000000
-5.99399700,1.36380860,0.00346893,0.26572762,0.55307860,0.47485156,0.42507668,0.00000000
-5.98799400,1.34303385,0.00361399,0.25854437,0.55476716,0.46298424,0.42581266,0.00000000
-5.98199100,1.33289334,0.00382791,0.25476212,0.56208976,0.45608439,0.42804204,0.00000000
-5.97598799,1.33446045,0.00411448,0.25456642,0.57571829,0.45448959,0.43215657,0.00000000
-5.96998499,1.34873394,0.00447714,0.25810807,0.59627636,0.45849898,0.43855630,0.00000000
-5.96398199,1.37660122,0.00491879,0.26549737,0.62431572,0.46836175,0.44763489,0.00000000
-5.95797899,1.41879889,0.00544158,0.27679808,0.66029174,0.48426472,0.45976369,0.00000000
-5.95197599,1.47587189,0.00604664,0.29202135,0.70453873,0.50631914,0.47527487,0.00000000
-5.94597299,1.54813281,0.00673384,0.31111971,0.75724580,0.53454749,0.49444447,0.00000000
-5.93996998,1.63562315,0.00750155,0.33398163,0.81843448,0.56887076,0.51747585,0.00000000
-5.93396698,1.73807845,0.00834642,0.36042668,0.88793894,0.60909689,0.54448440,0.00000000
-5.92796398,1.85489925,0.00926318,0.39020205,0.96538993,0.65491124,0.57548416,0.00000000
-5.92196098,1.98512987,0.01024455,0.42298033,1.05020360,0.70586961,0.61037702,0.00000000
-5.91595798,2.12744683,0.01128111,0.45835936,1.14157611,0.76139475,0.64894526,0.00000000
-5.90995498,2.28015838,0.01236135,0.49586410,1.23848491,0.82077683,0.69084781,0.00000000
-5.90395198,2.44121654,0.01347173,0.53495096,1.33969745,0.88317847,0.73562071,0.00000000
-5.89794897,2.60824226,0.01459688,0.57501471,1.44378760,0.94764455,0.78268210,0.00000000
-5.89194597,2.77856394,0.01571985,0.61539802,1.54915997,1.01311714,0.83134166,0.00000000
-5.88594297,2.94926900,0.01682242,0.65540354,1.65408187,1.07845519,0.88081455,0.00000000
-5.87993997,3.11726739,0.01788562,0.69430827,1.75672224,1.14245879,0.93023939,0.00000000
-5.87393697,3.27936529,0.01889011,0.73138003,1.85519649,1.20389738,0.97869989,0.00000000
-5.86793397,3.43234690,0.01981680,0.76589534,1.94761595,1.26154090,1.02524935,0.00000000
-5.86193097,3.57306131,0.02064736,0.79715823,2.03214014,1.31419295,1.06893718,0.00000000
-5.85592796,3.69851139,0.02136482,0.82451924,2.10702996,1.36072462,1.10883650,0.00000000
-5.84992496,3.80594102,0.02195410,0.84739393,2.17069960,1.40010769,1.14407177,0.00000000
-5.84392196,3.89291743,0.02240248,0.86528004,2.22176515,1.43144569,1.17384523,0.00000000
-5.83791896,3.95740480,0.02270009,0.87777253,2.25908771,1.45400160,1.19746132,0.00000000
-5.83191596,3.99782626,0.02284017,0.88457598,2.28180909,1.46722078,1.21434787,0.00000000
-5.82591296,4.01311145,0.02281936,0.88551349,2.28937864,1.47074823,1.22407335,0.00000000
-5.81990995,4.00272765,0.02263779,0.88053197,2.28156976,1.46443921,1.22635949,0.00000000
-5.81390695,3.96669309,0.02229906,0.86970325,2.25848560,1.44836291,1.22108874,0.00000000
-5.80790395,3.90557204,0.02181014,0.85322114,2.22055353,1.42279875,1.20830642,0.00000000
-5.80190095,3.82045190,0.02118107,0.83139442,2.16850879,1.38822575,1.18821753,0.00000000
-5.79589795,3.71290367,0.02042465,0.80463616,2.10336808,1.34530533,1.16117851,0.00000000
-5.78989495,3.58492751,0.01955600,0.77344980,2.02639443,1.29485831,1.12768435,0.00000000
-5.78389195,3.43888619,0.01859203,0.73841262,1.93905487,1.23783744,1.08835179,0.00000000
-5.77788894,3.27742929,0.01755092,0.70015731,1.84297311,1.17529635,1.04389941,0.00000000
