energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,6.01110968,1.42419170,4.40334042,0.01613810,0.33847241,0.13183794,0.04520400,0.82045178
-5.99399700,6.10709417,1.45409575,4.48076235,0.01634762,0.31684319,0.13527311,0.04683983,0.84480938
-5.98799400,6.26629512,1.49400427,4.60749368,0.01664503,0.29776450,0.13996249,0.04894470,0.87751700
-5.98199100,6.49004194,1.54386782,4.78487502,0.01702686,0.28126677,0.14589347,0.05151385,0.91862591
-5.97598799,6.77880328,1.60342977,5.01361795,0.01748813,0.26732369,0.15303452,0.05453521,0.96807104
-5.96998499,7.13215589,1.67222377,5.29377435,0.01802257,0.25585744,0.16133416,0.05798953,1.02566648
-5.96398199,7.54875839,1.74957558,5.62470733,0.01862277,0.24674458,0.17072017,0.06185038,1.09110232
-5.95797899,8.02633096,1.83460933,6.00506461,0.01928038,0.23982249,0.18109908,0.06608439,1.16394297
-5.95197599,8.56164287,1.92625860,6.43275612,0.01998634,0.23489610,0.19235601,0.07065156,1.24362742
-5.94597299,9.15051026,2.02328227,6.90493813,0.02073109,0.23174460,0.20435512,0.07550563,1.32947143
-5.93996998,9.78780732,2.12428515,7.41800651,0.02150476,0.23012822,0.21694050,0.08059472,1.42067231
-5.93396698,10.46749367,2.22774332,7.96760230,0.02229740,0.22979465,0.22993782,0.08586197,1.51631623
-5.92796398,11.18266134,2.33203366,8.54863254,0.02309914,0.23048531,0.24315667,0.09124644,1.61538844
-5.92196098,11.92560373,2.43546728,9.15530915,0.02390037,0.23194118,0.25639361,0.09668415,1.71678646
-5.91595798,12.68790878,2.53632606,9.78120807,0.02469190,0.23390824,0.26943592,0.10210927,1.81933623
-5.90995498,13.46057709,2.63290144,10.41935026,0.02546508,0.23614245,0.28206599,0.10745544,1.92181107
-5.90395198,14.23416482,2.72353444,11.06230472,0.02621195,0.23841433,0.29406628,0.11265724,2.02295319
-5.89794897,14.99894992,2.80665584,11.70231301,0.02692533,0.24051295,0.30522466,0.11765178,2.12149742
-5.89194597,15.74511826,2.88082507,12.33143323,0.02759890,0.24224945,0.31533995,0.12238030,2.21619644
-5.88594297,16.46296560,2.94476681,12.94169999,0.02822732,0.24346004,0.32422752,0.12678982,2.30584698
-5.87993997,17.14310936,2.99740380,13.52529619,0.02880629,0.24400828,0.33172471,0.13083476,2.38931619
-5.87393697,17.77670366,3.03788479,14.07473104,0.02933260,0.24378693,0.33769577,0.13447847,2.46556729
-5.86793397,18.35565009,3.06560658,14.58301818,0.02980422,0.24271898,0.34203625,0.13769462,2.53368375
-5.86193097,18.87279652,3.08022936,15.04384743,0.03022030,0.24075812,0.34467647,0.14046835,2.59289114
-5.85592796,19.32211634,3.08168472,15.45174348,0.03058125,0.23788845,0.34558409,0.14279730,2.64257587
-5.84992496,19.69886100,3.07017611,15.80220520,0.03088872,0.23412360,0.34476545,0.14469217,2.68230010
-5.84392196,19.99967956,3.04617166,16.09181998,0.03114560,0.22950507,0.34226580,0.14617710,2.71181243
-5.83791896,20.22270046,3.01038976,16.31834831,0.03135604,0.22410008,0.33816819,0.14728959,2.73105384
-5.83191596,20.36757184,2.96377800,16.48077508,0.03152532,0.21799874,0.33259125,0.14808007,2.74015870
-5.82591296,20.43545866,2.90748606,16.57932549,0.03165983,0.21131084,0.32568579,0.14861105,2.73945078
-5.81990995,20.42899653,2.84283393,16.61544486,0.03176697,0.20416213,0.31763034,0.14895588,2.72943439
-5.81390695,20.35220374,2.77127619,16.59174307,0.03185494,0.19669037,0.30862591,0.14919711,2.71078085
-5.80790395,20.21035467,2.69436398,16.51190573,0.03193263,0.18904123,0.29889010,0.14942446,2.68431077
-5.80190095,20.00981904,2.61370548,16.38057560,0.03200941,0.18136400,0.28865070,0.14973246,2.65097250
-5.79589795,19.75787272,2.53092640,16.20320853,0.03209487,0.17380746,0.27813916,0.15021780,2.61181746
-5.78989495,19.46248635,2.44763146,15.98590912,0.03219856,0.16651582,0.26758407,0.15097645,2.56797297
-5.78389195,19.13209899,2.36536780,15.73525201,0.03232975,0.15962493,0.25720479,0.15210054,2.52061323
-5.77788894,18.77538401,2.28559124,15.45809467,0.03249709,0.15325882,0.24720566,0.15367524,2.47092929
-5.77188594,18.40101442,2.20963605,15.16138785,0.03270836,0.14752662,0.23777067,0.15577562,2.42009872
-5.76588294,18.01743476,2.13868874,14.85198972,0.03297009,0.14252003,0.22905900,0.15846354,2.36925570
-5.75987994,17.63264615,2.07376635,14.53648914,0.03328738,0.13831118,0.22120133,0.16178482,2.31946239
-5.75387694,17.25401054,2.01569935,14.22104314,0.03366354,0.13495117,0.21429717,0.16576678,2.27168230
-5.74787394,16.88807933,1.96511953,13.91123326,0.03409992,0.13246909,0.20841314,0.17041607,2.22675644
-5.74187094,16.54045099,1.92245274,13.61194416,0.03459569,0.13087170,0.20358221,0.17571721,2.18538276
-5.73586793,16.21566104,1.88791660,13.32726767,0.03514777,0.13014359,0.19980398,0.18163168,2.14809989
-5.72986493,15.91710697,1.86152304,13.06043421,0.03575071,0.13024807,0.19704585,0.18809775,2.11527531
-5.72386193,15.64700965,1.84308550,12.81377285,0.03639675,0.13112842,0.19524512,0.19503117,2.08709876
-5.71785893,15.40641135,1.83223061,12.58870018,0.03707591,0.13270977,0.19431176,0.20232659,2.06358100
-5.71185593,15.19520978,1.82841398,12.38573743,0.03777618,0.13490142,0.19413197,0.20985985,2.04455810
-5.70585293,15.01222604,1.83093971,12.20455416,0.03848380,0.13759949,0.19457224,0.21749106,2.02970131
-5.69984992,14.85530342,1.83898319,12.04403627,0.03918360,0.14068994,0.19548387,0.22506833,2.01853214
-5.69384692,14.72143286,1.85161642,11.90237486,0.03985942,0.14405185,0.19670773,0.23243214,2.01044226
-5.68784392,14.60689987,1.86783543,11.77717218,0.04049456,0.14756073,0.19807927,0.23942009,2.00471751
-5.68184092,14.50744716,1.88658866,11.66556015,0.04107235,0.15109198,0.19943344,0.24587196,2.00056511
-5.67583792,14.41844624,1.90680578,11.56432639,0.04157659,0.15452418,0.20060953,0.25163470,1.99714312
-5.66983492,14.33507146,1.92742577,11.47004299,0.04199213,0.15774228,0.20145579,0.25656739,1.99359086
-5.66383192,14.25246956,1.94742364,11.37919271,0.04230534,0.16064043,0.20183349,0.26054569,1.98905910
