energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,4.10508919,0.00942768,0.25124579,1.96223154,0.67369756,1.17126744,1.45316304,0.00730742,1.87364352
-5.99399700,4.10393222,0.00951679,0.25535700,1.96577480,0.68063684,1.16557053,1.44899268,0.00695054,1.87704193
-5.98799400,4.09834460,0.00960954,0.26008042,1.96589641,0.68582672,1.15897210,1.44487565,0.00660100,1.87605141
-5.98199100,4.08886592,0.00970817,0.26551613,1.96274997,0.68920993,1.15164435,1.44120391,0.00626063,1.87068124
-5.97598799,4.07617780,0.00981418,0.27177311,1.95657842,0.69076002,1.14380216,1.43840022,0.00593100,1.86103301
-5.96998499,4.06108671,0.00992823,0.27896590,1.94770458,0.69048179,1.13569829,1.43690772,0.00561346,1.84729825
-5.96398199,4.04450038,0.01005010,0.28721050,1.93651808,0.68841087,1.12761608,1.43717758,0.00530914,1.82975268
-5.95797899,4.02739841,0.01017863,0.29661946,1.92345927,0.68461230,1.11985971,1.43965507,0.00501894,1.80874737
-5.95197599,4.01079804,0.01031174,0.30729650,1.90900080,0.67917831,1.11274258,1.44476439,0.00474353,1.78469724
-5.94597299,3.99571642,0.01044653,0.31933058,1.89362784,0.67222536,1.10657413,1.45289270,0.00448344,1.75806737
-5.93996998,3.98313081,0.01057938,0.33278994,1.87781777,0.66389065,1.10164587,1.46437394,0.00423896,1.72935781
-5.93396698,3.97393856,0.01070605,0.34771612,1.86202039,0.65432810,1.09821726,1.47947310,0.00401023,1.69908746
-5.92796398,3.96891854,0.01082189,0.36411846,1.84663965,0.64370412,1.09650216,1.49837156,0.00379721,1.66777795
-5.92196098,3.96869588,0.01092205,0.38196920,1.83201761,0.63219327,1.09665655,1.52115424,0.00359968,1.63593789
-5.91595798,3.97371158,0.01100161,0.40119957,1.81842144,0.61997394,1.09876834,1.54779920,0.00341727,1.60404837
-5.90995498,3.98419858,0.01105585,0.42169711,1.80603398,0.60722419,1.10284956,1.57817031,0.00324945,1.57255003
-5.90395198,4.00016527,0.01108039,0.44330442,1.79494823,0.59411792,1.10883166,1.61201341,0.00309553,1.54183231
-5.89794897,4.02138748,0.01107141,0.46581953,1.78516580,0.58082135,1.11656399,1.64895650,0.00295473,1.51222493
-5.89194597,4.04740918,0.01102575,0.48899791,1.77659936,0.56749002,1.12581571,1.68851394,0.00282610,1.48399198
-5.88594297,4.07755210,0.01094106,0.51255627,1.76907876,0.55426612,1.13628101,1.73009487,0.00270865,1.45732850
-5.87993997,4.11093375,0.01081584,0.53617801,1.76236028,0.54127646,1.14758749,1.77301564,0.00260132,1.43235947
-5.87393697,4.14649321,0.01064952,0.55952015,1.75613863,0.52863074,1.15930724,1.81651586,0.00250301,1.40914114
-5.86793397,4.18302358,0.01044246,0.58222162,1.75006085,0.51642037,1.17097029,1.85977773,0.00241263,1.38766423
-5.86193097,4.21920964,0.01019590,0.60391254,1.74374147,0.50471770,1.18207959,1.90194775,0.00232918,1.36785897
-5.85592796,4.25366928,0.00991190,0.62422422,1.73677813,0.49357555,1.19212722,1.94216026,0.00225169,1.34960129
-5.84992496,4.28499702,0.00959329,0.64279944,1.72876710,0.48302719,1.20061078,1.97956183,0.00217938,1.33272011
-5.84392196,4.31180774,0.00924351,0.65930261,1.71931796,0.47308656,1.20704958,2.01333557,0.00211160,1.31700524
