energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-2.11605803,7.17684712,-9.51064447,0.03176916,-0.01028128,0.41677840,-1.37652388,3.00386045,-3.02987674,3.96715211,-3.76760590,0.11721341,-0.05061111,2.84092907,-5.29952978
-2.11005503,7.35842364,-9.99749487,0.03010952,-0.01055277,0.43849989,-1.45704584,3.12417598,-3.14275803,4.03725748,-3.98178553,0.12392980,-0.05529142,2.92621269,-5.55227322
-2.10405203,7.52975975,-10.49126054,0.02869944,-0.01089083,0.45907210,-1.53813983,3.23912414,-3.25924308,4.09961141,-4.19806473,0.13033862,-0.06008427,3.01054975,-5.80886643
-2.09804902,7.68630718,-10.98588608,0.02755437,-0.01129187,0.47817840,-1.61900931,3.34679029,-3.37778896,4.15174830,-4.41383776,0.13635561,-0.06494034,3.09206384,-6.06598068
-2.09204602,7.82390622,-11.47465086,0.02668338,-0.01175186,0.49553022,-1.69876883,3.44538319,-3.49667151,4.19148287,-4.62621713,0.14190540,-0.06980558,3.16897255,-6.31993379
-2.08604302,7.93895092,-11.95032569,0.02608930,-0.01226654,0.51087735,-1.77646022,3.53330446,-3.61403664,4.21699772,-4.83209546,0.14692430,-0.07462246,3.23965719,-6.56678245
-2.08004002,8.02853270,-12.40536451,0.02576909,-0.01283162,0.52401713,-1.85107427,3.60921192,-3.72796152,4.22691620,-5.02822168,0.15136284,-0.07933147,3.30272577,-6.80243271
-2.07403702,8.09055558,-12.83212488,0.02571436,-0.01344315,0.53480203,-1.92157722,3.67207332,-3.83652386,4.22035730,-5.21128968,0.15518766,-0.08387286,3.35706621,-7.02276515
-2.06803402,8.12381742,-13.22310983,0.02591201,-0.01409783,0.54314520,-1.98694132,3.72120783,-3.93787632,4.19696981,-5.37803606,0.15838285,-0.08818860,3.40188734,-7.22377038
-2.06203102,8.12805356,-13.57122150,0.02634493,-0.01479339,0.54902360,-2.04617808,3.75631326,-4.03032326,4.15694470,-5.52534355,0.16095050,-0.09222440,3.43674569,-7.40168937
-2.05602801,8.10394107,-13.87001586,0.02699280,-0.01552890,0.55247870,-2.09837298,3.77747764,-4.11239617,4.10100516,-5.65034561,0.16291053,-0.09593178,3.46155711,-7.55315292
-2.05002501,8.05306394,-14.11394725,0.02783297,-0.01630517,0.55361439,-2.14271982,3.78517472,-4.18292431,4.03037535,-5.75052781,0.16429963,-0.09927011,3.47659273,-7.67531398
-2.04402201,7.97784147,-14.29859126,0.02884125,-0.01712502,0.55259250,-2.17855315,3.78024385,-4.24109699,3.94672973,-5.82382120,0.16516953,-0.10220843,3.48245980,-7.76596671
-2.03801901,7.88142404,-14.42083485,0.02999284,-0.01799355,0.54962590,-2.20537693,3.76385550,-4.28651402,3.85212575,-5.86868333,0.16558447,-0.10472713,3.48006871,-7.82364641
-2.03201601,7.76756195,-14.47902406,0.03126310,-0.01891833,0.54496966,-2.22288798,3.73746430,-4.31922157,3.74892361,-5.88416269,0.16561821,-0.10681924,3.47058806,-7.84770523
-2.02601301,7.64045406,-14.47306120,0.03262834,-0.01990949,0.53891072,-2.23099273,3.70275227,-4.33973084,3.63969697,-5.86994345,0.16535053,-0.10849133,3.45539026,-7.83835940
-2.02001001,7.50458408,-14.40444554,0.03406648,-0.02097977,0.53175649,-2.22981620,3.66156531,-4.34901808,3.52713925,-5.82636791,0.16486352,-0.10976398,3.43599068,-7.79670514
-2.01400700,7.36455218,-14.27625450,0.03555764,-0.02214438,0.52382304,-2.21970265,3.61584593,-4.34850506,3.41396960,-5.75443523,0.16423777,-0.11067173,3.41398323,-7.72470165
-2.00800400,7.22490999,-14.09306478,0.03708458,-0.02342089,0.51542344,-2.20120736,3.56756579,-4.34002008,3.30284284,-5.65577630,0.16354878,-0.11126253,3.39097574,-7.62512122
-2.00200100,7.09000592,-13.86081601,0.03863296,-0.02482892,0.50685679,-2.17508000,3.51866087,-4.32574061,3.19626706,-5.53260556,0.16286356,-0.11159666,3.36852803,-7.50146801
-1.99599800,6.96384732,-13.58662219,0.04019153,-0.02638973,0.49839843,-2.14223999,3.47097221,-4.30811939,3.09653190,-5.38765181,0.16223784,-0.11174513,3.34809534,-7.35786862
-1.98999500,6.84998434,-13.27853878,0.04175201,-0.02812581,0.49029178,-2.10374493,3.42619427,-4.28979679,3.00564993,-5.22407117,0.16171378,-0.11178767,3.33097949,-7.19893863
-1.98399200,6.75141924,-12.94529523,0.04330895,-0.03006033,0.48274202,-2.06075348,3.38583270,-4.27350270,2.92531262,-5.04534592,0.16131854,-0.11181028,3.31828932,-7.02963091
-1.97798899,6.67054316,-12.59600451,0.04485932,-0.03221649,0.47591191,-2.01448441,3.35117250,-4.26195210,2.85686155,-4.85517376,0.16106350,-0.11190257,3.31091171,-6.85507162
-1.97198599,6.60910090,-12.23986179,0.04640201,-0.03461689,0.46991976,-1.96617345,3.32325684,-4.25773826,2.80127485,-4.65735243,0.16094437,-0.11215471,3.30949345,-6.68039100
-1.96598299,6.56818284,-11.88584515,0.04793717,-0.03728276,0.46483946,-1.91703009,3.30287633,-4.26322824,2.75916787,-4.45566448,0.16094208,-0.11265449,3.31443406,-6.51055567
-1.95997999,6.54824179,-11.54243032,0.04946553,-0.04023327,0.46070243,-1.86819607,3.29056782,-4.28046483,2.73080677,-4.25376706,0.16102433,-0.11348420,3.32588872,-6.35020923
-1.95397699,6.54913157,-11.21733097,0.05098764,-0.04348471,0.45750123,-1.82070744,3.28662160,-4.31107901,2.71613285,-4.05509105,0.16114779,-0.11471770,3.34378031,-6.20352731
-1.94797399,6.57016339,-10.91727402,0.05250311,-0.04704972,0.45519451,-1.77546165,3.29109526,-4.35621658,2.71479553,-3.86275316,0.16126079,-0.11641774,3.36781901,-6.07409251
-1.94197099,6.61017538,-10.64781813,0.05400989,-0.05093652,0.45371282,-1.73319106,3.30383255,-4.41648200,2.72619132,-3.67948402,0.16130635,-0.11863349,3.39752774,-5.96479349
-1.93596798,6.66761086,-10.41322084,0.05550372,-0.05514814,0.45296503,-1.69444379,3.32448552,-4.49190155,2.74950641,-3.50757428,0.16122533,-0.12139861,3.43227178,-5.87775164
-1.92996498,6.74060063,-10.21635780,0.05697765,-0.05968169,0.45284483,-1.65957249,3.35253810,-4.58190773,2.78376028,-3.34883972,0.16095966,-0.12472965,3.47129054,-5.81427693
