energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.96469746,0.21853472,0.00480473,0.51508779,0.01321794,0.66164612,0.93815207,0.43381301
-5.99399700,1.89663337,0.20176510,0.00450970,0.51693328,0.01213331,0.61580417,0.88709082,0.44341818
-5.98799400,1.83197964,0.18555203,0.00420440,0.52007712,0.01110234,0.57059962,0.83825560,0.45394535
-5.98199100,1.77105887,0.17004364,0.00389369,0.52429124,0.01013634,0.52650698,0.79185783,0.46516169
-5.97598799,1.71405775,0.15537989,0.00358227,0.52929245,0.00924561,0.48397747,0.74805310,0.47678551
-5.96998499,1.66102666,0.14168966,0.00327451,0.53475103,0.00843926,0.44342864,0.70693793,0.48849500
-5.96398199,1.61188575,0.12908825,0.00297444,0.54030156,0.00772517,0.40523555,0.66854925,0.49993899
-5.95797899,1.56643704,0.11767531,0.00268560,0.54555568,0.00710987,0.36972361,0.63286639,0.51074926
-5.95197599,1.52438176,0.10753317,0.00241101,0.55011612,0.00659852,0.33716347,0.59981563,0.52055397
-5.94597299,1.48534185,0.09872563,0.00215316,0.55359142,0.00619488,0.30776766,0.56927690,0.52899146
-5.93996998,1.44888416,0.09129721,0.00191396,0.55561070,0.00590134,0.28168911,0.54109220,0.53572390
-5.93396698,1.41454597,0.08527266,0.00169476,0.55583780,0.00571885,0.25902117,0.51507518,0.54045014
-5.92796398,1.38186016,0.08065692,0.00149640,0.55398410,0.00564699,0.23979910,0.49102131,0.54291707
-5.92196098,1.35037876,0.07743526,0.00131922,0.54981946,0.00568395,0.22400256,0.46871809,0.54292911
-5.91595798,1.31969342,0.07557366,0.00116309,0.54318080,0.00582652,0.21155911,0.44795465,0.54035526
-5.90995498,1.28945195,0.07501940,0.00102751,0.53397794,0.00607011,0.20234813,0.42853036,0.53513353
-5.90395198,1.25937014,0.07570179,0.00091165,0.52219655,0.00640871,0.19620532,0.41026201,0.52727254
-5.89794897,1.22923870,0.07753300,0.00081440,0.50789805,0.00683497,0.19292736,0.39298938,0.51685030
-5.89194597,1.19892521,0.08040922,0.00073442,0.49121668,0.00734015,0.19227682,0.37657902,0.50401037
-5.88594297,1.16837161,0.08421185,0.00067024,0.47235399,0.00791419,0.19398711,0.36092640,0.48895561
-5.87993997,1.13758796,0.08880902,0.00062027,0.45157099,0.00854579,0.19776761,0.34595639,0.47194009
-5.87393697,1.10664332,0.09405740,0.00058287,0.42917873,0.00922253,0.20330895,0.33162251,0.45325942
-5.86793397,1.07565490,0.09980428,0.00055638,0.40552751,0.00993096,0.21028849,0.31790513,0.43324036
-5.86193097,1.04477664,0.10589001,0.00053915,0.38099571,0.01065688,0.21837603,0.30480898,0.41223005
-5.85592796,1.01418830,0.11215078,0.00052960,0.35597843,0.01138552,0.22723980,0.29236051,0.39058550
-5.84992496,0.98408603,0.11842176,0.00052622,0.33087682,0.01210186,0.23655278,0.28060516,0.36866392
-5.84392196,0.95467524,0.12454046,0.00052762,0.30608833,0.01279097,0.24599918,0.26960507,0.34681421
-5.83791896,0.92616629,0.13035041,0.00053250,0.28199846,0.01343834,0.25528110,0.25943727,0.32537007
-5.83191596,0.89877327,0.13570481,0.00053972,0.25897411,0.01403032,0.26412522,0.25019266,0.30464479
-5.82591296,0.87271577,0.14047034,0.00054828,0.23735878,0.01455443,0.27228924,0.24197558,0.28492796
-5.81990995,0.84822342,0.14453077,0.00055733,0.21746961,0.01499984,0.27956801,0.23490417,0.26648392
-5.81390695,0.82554260,0.14779023,0.00056618,0.19959619,0.01535766,0.28579892,0.22911114,0.24955196
-5.80790395,0.80494450,0.15017622,0.00057431,0.18400084,0.01562126,0.29086652,0.22474489,0.23434791
-5.80190095,0.78673378,0.15164194,0.00058137,0.17092029,0.01578658,0.29470593,0.22197064,0.22106681
-5.79589795,0.77125674,0.15216806,0.00058716,0.16056819,0.01585228,0.29730500,0.22097131,0.20988634
-5.78989495,0.75890819,0.15176366,0.00059165,0.15313815,0.01581985,0.29870496,0.22194778,0.20097063
-5.78389195,0.75013599,0.15046643,0.00059495,0.14880699,0.01569367,0.29899945,0.22511833,0.19447393
-5.77788894,0.74544270,0.14834200,0.00059732,0.14773771,0.01548090,0.29833209,0.23071692,0.19054399
-5.77188594,0.74538365,0.14548247,0.00059912,0.15008190,0.01519137,0.29689225,0.23899025,0.18932453
-5.76588294,0.75056108,0.14200417,0.00060085,0.15598121,0.01483732,0.29490955,0.25019331,0.19095686
-5.75987994,0.76161428,0.13804465,0.00060308,0.16556781,0.01443308,0.29264697,0.26458357,0.19558020
-5.75387694,0.77920580,0.13375917,0.00060647,0.17896353,0.01399470,0.29039282,0.28241380,0.20333073
-5.74787394,0.80400403,0.12931655,0.00061170,0.19627773,0.01353951,0.28845204,0.30392367,0.21433926
-5.74187094,0.83666268,0.12489483,0.00061950,0.21760385,0.01308564,0.28713681,0.32933038,0.22872769
-5.73586793,0.87779786,0.12067651,0.00063060,0.24301489,0.01265154,0.28675708,0.35881875,0.24660421
-5.72986493,0.92796352,0.11684381,0.00064571,0.27255781,0.01225545,0.28761107,0.39253097,0.26805763
-5.72386193,0.98762629,0.11357392,0.00066549,0.30624734,0.01191493,0.28997619,0.43055670,0.29315087
-5.71785893,1.05714050,0.11103431,0.00069054,0.34405931,0.01164635,0.29410057,0.47292371,0.32191419
-5.71185593,1.13672457,0.10937836,0.00072138,0.38592403,0.01146446,0.30019541,0.51958979,0.35433814
-5.70585293,1.22643956,0.10874126,0.00075843,0.43171999,0.01138200,0.30842843,0.57043614,0.39036691
-5.69984992,1.32617094,0.10923633,0.00080198,0.48126831,0.01140933,0.31891848,0.62526286,0.42989219
-5.69384692,1.43561431,0.11095177,0.00085221,0.53432831,0.01155417,0.33173148,0.68378668,0.47274797
