energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-6.00000000,3.76686358,1.27185138,2.16000744,0.01116536,0.21662947,1.16823323,0.00000000,0.01243335,1.00594959
-5.99399700,3.67725498,1.25627307,2.09516993,0.01100665,0.20872113,1.15600516,0.00000000,0.01234093,0.99081426
-5.98799400,3.58400443,1.23853404,2.02998868,0.01078255,0.20084743,1.14043939,0.00000000,0.01221366,0.97329244
-5.98199100,3.48782608,1.21886442,1.96493230,0.01049749,0.19308265,1.12165169,0.00000000,0.01205441,0.95352512
-5.97598799,3.38952496,1.19751190,1.90050873,0.01015733,0.18549306,1.09981502,0.00000000,0.01186687,0.93169741
-5.96998499,3.28998232,1.17473663,1.83725659,0.00976919,0.17813600,1.07515400,0.00000000,0.01165551,0.90803469
-5.96398199,3.19014099,1.15080723,1.77573652,0.00934117,0.17105950,1.04793879,0.00000000,0.01142553,0.88279821
-5.95797899,3.09099080,1.12599759,1.71652273,0.00888213,0.16430225,1.01847899,0.00000000,0.01118270,0.85628033
-5.95197599,2.99355395,1.10058459,1.66019436,0.00840140,0.15789401,0.98711738,0.00000000,0.01093334,0.82879946
-5.94597299,2.89887016,1.07484630,1.60732678,0.00790853,0.15185627,0.95422373,0.00000000,0.01068413,0.80069469
-5.93996998,2.80798128,1.04906048,1.55848245,0.00741303,0.14620310,0.92018875,0.00000000,0.01044202,0.77232013
-5.93396698,2.72191521,1.02350310,1.51420148,0.00692417,0.14094208,0.88541798,0.00000000,0.01021406,0.74403905
-5.92796398,2.64166887,0.99844643,1.47499162,0.00645071,0.13607523,0.85032568,0.00000000,0.01000721,0.71621774
-5.92196098,2.56819026,0.97415671,1.44131785,0.00600081,0.13159989,0.81532856,0.00000000,0.00982824,0.68921910
-5.91595798,2.50235952,0.95089096,1.41359158,0.00558184,0.12750947,0.78083934,0.00000000,0.00968349,0.66339606
-5.90995498,2.44496935,0.92889298,1.39215977,0.00520027,0.12379401,0.74725993,0.00000000,0.00957868,0.63908479
-5.90395198,2.39670507,0.90838847,1.37729410,0.00486164,0.12044055,0.71497441,0.00000000,0.00951880,0.61659790
-5.89794897,2.35812492,0.88957947,1.36918074,0.00457048,0.11743344,0.68434167,0.00000000,0.00950785,0.59621755
