energy_ev,total_up,B_p_up,B_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,9.04561924,1.02911889,0.00000000,3.43792357,5.49591026,0.11521448,2.23900074
-5.99399700,9.02446542,1.03167690,0.00000000,3.42127847,5.48850174,0.11548794,2.22837175
-5.98799400,8.99404845,1.03334338,0.00000000,3.39971164,5.47517326,0.11582520,2.21558681
-5.98199100,8.95585856,1.03419209,0.00000000,3.37404291,5.45675977,0.11626615,2.20106856
-5.97598799,8.91163123,1.03432565,0.00000000,3.34519593,5.43426426,0.11685061,2.18529055
-5.96998499,8.86328674,1.03387127,0.00000000,3.31417012,5.40882189,0.11761704,2.16876136
-5.96398199,8.81286121,1.03297546,0.00000000,3.28200964,5.38165822,0.11860117,2.15200675
-5.95797899,8.76243139,1.03179798,0.00000000,3.24977056,5.35404272,0.11983468,2.13555033
-5.95197599,8.71403610,1.03050514,0.00000000,3.21848708,5.32723951,0.12134396,2.11989372
-5.94597299,8.66959715,1.02926261,0.00000000,3.18913819,5.30245693,0.12314901,2.10549680
-5.93996998,8.63084326,1.02822828,0.00000000,3.16261570,5.28079821,0.12526243,2.09275920
-5.93396698,8.59923995,1.02754516,0.00000000,3.13969517,5.26321517,0.12768871,2.08200363
-5.92796398,8.57592882,1.02733489,0.00000000,3.12101058,5.25046718,0.13042372,2.07346215
-5.92196098,8.56167872,1.02769205,0.00000000,3.10703390,5.24308695,0.13345449,2.06726581
-5.91595798,8.55685139,1.02867952,0.00000000,3.09806040,5.24135507,0.13675928,2.06343847
-5.90995498,8.56138291,1.03032518,0.00000000,3.09420023,5.24528425,0.14030792,2.06189500
-5.90395198,8.57478216,1.03262009,0.00000000,3.09537667,5.25461416,0.14406247,2.06244402
-5.89794897,8.59614620,1.03551818,0.00000000,3.10133112,5.26881709,0.14797812,2.06479519
-5.89194597,8.62419188,1.03893750,0.00000000,3.11163445,5.28711422,0.15200432,2.06857056
-5.88594297,8.65730216,1.04276290,0.00000000,3.12570435,5.30850168,0.15608607,2.07331968
-5.87993997,8.69358488,1.04685006,0.00000000,3.14282770,5.33178520,0.16016542,2.07853737
-5.87393697,8.73094115,1.05103050,0.00000000,3.16218698,5.35562180,0.16418291,2.08368373
-5.86793397,8.76714016,1.05511745,0.00000000,3.18288950,5.37856656,0.16807915,2.08820499
-5.86193097,8.79989689,1.05891219,0.00000000,3.20399817,5.39912229,0.17179622,2.09155453
-5.85592796,8.82694938,1.06221057,0.00000000,3.22456237,5.41579013,0.17527907,2.09321285
-5.84992496,8.84613214,1.06480939,0.00000000,3.24364781,5.42711879,0.17847668,2.09270576
-5.84392196,8.85544295,1.06651247,0.00000000,3.26036398,5.43175067,0.18134304,2.08961995
-5.83791896,8.85310060,1.06713610,0.00000000,3.27388846,5.42846304,0.18383794,2.08361537
-5.83191596,8.83759186,1.06651371,0.00000000,3.28348723,5.41620309,0.18592751,2.07443405
-5.82591296,8.80770664,1.06449979,0.00000000,3.28853041,5.39411588,0.18758446,2.06190516
-5.81990995,8.76256106,1.06097289,0.00000000,3.28850351,5.36156471,0.18878824,2.04594645
-5.81390695,8.70160867,1.05583786,0.00000000,3.28301391,5.31814377,0.18952488,2.02656216
-5.80790395,8.62464084,1.04902726,0.00000000,3.27179316,5.26368344,0.18978676,2.00383804
-5.80190095,8.53177768,1.04050222,0.00000000,3.25469545,5.19824869,0.18957220,1.97793377
-5.79589795,8.42345111,1.03025278,0.00000000,3.23169289,5.12213159,0.18888506,1.94907366
-5.78989495,8.30038208,1.01829776,0.00000000,3.20286837,5.03583874,0.18773424,1.91753617
-5.78389195,8.16355351,1.00468450,0.00000000,3.16840669,4.94007469,0.18613321,1.88364283
-5.77788894,8.01418105,0.98948830,0.00000000,3.12858463,4.83572253,0.18409962,1.84774736
-5.77188594,7.85368261,0.97281175,0.00000000,3.08376055,4.72382242,0.18165487,1.81022529
-5.76588294,7.68364816,0.95478394,0.00000000,3.03436400,4.60554885,0.17882385,1.77146460
-5.75987994,7.50581027,0.93555943,0.00000000,2.98088551,4.48218750,0.17563466,1.73185748
-5.75387694,7.32201571,0.91531703,0.00000000,2.92386694,4.35511178,0.17211840,1.69179348
-5.74787394,7.13419823,0.89425811,0.00000000,2.86389212,4.22575960,0.16830899,1.65165387
-5.74187094,6.94435197,0.87260462,0.00000000,2.80157779,4.09561039,0.16424300,1.61180721
-5.73586793,6.75450523,0.85059633,0.00000000,2.73756467,3.96616226,0.15995942,1.57260577
-5.72986493,6.56669391,0.82848757,0.00000000,2.67250834,3.83890938,0.15549939,1.53438275
