energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.95071433,0.19770035,0.07988573,0.01583494,0.12825576,0.35670465,0.00000000,0.53262017,0.09614069
-5.99399700,0.98611705,0.20329537,0.08482598,0.01618867,0.13244375,0.37012927,0.00000000,0.54968182,0.09916326
-5.98799400,1.01794950,0.20806050,0.08990557,0.01646398,0.13589245,0.38241125,0.00000000,0.56375946,0.10175245
-5.98199100,1.04570169,0.21186651,0.09509561,0.01664992,0.13853331,0.39335428,0.00000000,0.57455861,0.10385123
-5.97598799,1.06897430,0.21461266,0.10036843,0.01673811,0.14031611,0.40280195,0.00000000,0.58186133,0.10541563
-5.96998499,1.08748609,0.21622885,0.10569695,0.01672288,0.14121049,0.41064008,0.00000000,0.58553265,0.10641567
-5.96398199,1.10107676,0.21667663,0.11105395,0.01660148,0.14120691,0.41679748,0.00000000,0.58552423,0.10683593
-5.95797899,1.10970543,0.21594918,0.11641114,0.01637409,0.14031688,0.42124503,0.00000000,0.58187507,0.10667550
-5.95197599,1.11344494,0.21407026,0.12173826,0.01604377,0.13857246,0.42399336,0.00000000,0.57470934,0.10594747
-5.94597299,1.11247251,0.21109214,0.12700219,0.01561629,0.13602517,0.42508916,0.00000000,0.56423155,0.10467802
-5.93996998,1.10705754,0.20709281,0.13216635,0.01509994,0.13274427,0.42461063,0.00000000,0.55071925,0.10290502
-5.93396698,1.09754729,0.20217245,0.13719024,0.01450518,0.12881456,0.42266221,0.00000000,0.53451371,0.10067641
-5.92796398,1.08435148,0.19644953,0.14202951,0.01384434,0.12433384,0.41936904,0.00000000,0.51600922,0.09804833
-5.92196098,1.06792674,0.19005657,0.14663631,0.01313120,0.11941012,0.41487150,0.00000000,0.49564132,0.09508309
-5.91595798,1.04876182,0.18313598,0.15096027,0.01238062,0.11415871,0.40932020,0.00000000,0.47387475,0.09184724
-5.90995498,1.02736431,0.17583592,0.15494989,0.01160807,0.10869941,0.40287158,0.00000000,0.45119147,0.08840963
-5.90395198,1.00424955,0.16830661,0.15855441,0.01082932,0.10315376,0.39568451,0.00000000,0.42807949,0.08483964
-5.89794897,0.97993211,0.16069698,0.16172606,0.01006000,0.09764261,0.38791781,0.00000000,0.40502253,0.08120568
-5.89194597,0.95491994,0.15315195,0.16442268,0.00931531,0.09228394,0.37972894,0.00000000,0.38249119,0.07757391
-5.88594297,0.92971118,0.14581022,0.16661044,0.00860976,0.08719107,0.37127361,0.00000000,0.36093550,0.07400728
-5.87993997,0.90479315,0.13880269,0.16826658,0.00795690,0.08247113,0.36270624,0.00000000,0.34077902,0.07056483
-5.87393697,0.88064313,0.13225133,0.16938198,0.00736914,0.07822398,0.35418099,0.00000000,0.32241437,0.06730125
-5.86793397,0.85773011,0.12626857,0.16996343,0.00685765,0.07454133,0.34585315,0.00000000,0.30619998,0.06426667
-5.86193097,0.83651675,0.12095696,0.17003528,0.00643220,0.07150604,0.33788045,0.00000000,0.29245783,0.06150657
-5.85592796,0.81746065,0.11640901,0.16964054,0.00610115,0.06919163,0.33042406,0.00000000,0.28147177,0.05906184
-5.84992496,0.80101432,0.11270711,0.16884105,0.00587138,0.06766178,0.32364886,0.00000000,0.27348623,0.05696881
-5.84392196,0.78762288,0.10992337,0.16771683,0.00574824,0.06696983,0.31772284,0.00000000,0.26870485,0.05525930
-5.83791896,0.77771934,0.10811926,0.16636448,0.00573555,0.06715817,0.31281539,0.00000000,0.26728880,0.05396052
-5.83191596,0.77171679,0.10734500,0.16489463,0.00583556,0.06825754,0.30909425,0.00000000,0.26935469,0.05309490
-5.82591296,0.76999790,0.10763864,0.16342851,0.00604890,0.07028611,0.30672139,0.00000000,0.27497183,0.05267975
-5.81990995,0.77290157,0.10902486,0.16209378,0.00637457,0.07324849,0.30584762,0.00000000,0.28415893,0.05272682
-5.81390695,0.78070750,0.11151349,0.16101974,0.00680987,0.07713462,0.30660635,0.00000000,0.29688043,0.05324162
-5.80790395,0.79361947,0.11509783,0.16033208,0.00735035,0.08191868,0.30910669,0.00000000,0.31304259,0.05422279
-5.80190095,0.81174795,0.11975302,0.16014752,0.00798981,0.08755797,0.31342632,0.00000000,0.33248972,0.05566137
-5.79589795,0.83509367,0.12543436,0.16056841,0.00872024,0.09399211,0.31960444,0.00000000,0.35500110,0.05754008
-5.78989495,0.86353274,0.13207604,0.16167774,0.00953181,0.10114246,0.32763549,0.00000000,0.38028878,0.05983276
-5.78389195,0.89680509,0.13959022,0.16353460,0.01041300,0.10891201,0.33746378,0.00000000,0.40799695,0.06250400
-5.77788894,0.93450681,0.14786670,0.16617054,0.01135060,0.11718580,0.34897979,0.00000000,0.43770331,0.06550897
-5.77188594,0.97608770,0.15677343,0.16958686,0.01232996,0.12583198,0.36201820,0.00000000,0.46892254,0.06879363
-5.76588294,1.02085465,0.16615778,0.17375303,0.01333512,0.13470357,0.37635825,0.00000000,0.50111254,0.07229530
-5.75987994,1.06798121,0.17584880,0.17860649,0.01434922,0.14364096,0.39172630,0.00000000,0.53368310,0.07594362
-5.75387694,1.11652358,0.18566041,0.18405369,0.01535478,0.15247510,0.40780094,0.00000000,0.56600745,0.07966193
-5.74787394,1.16544281,0.19539549,0.18997245,0.01633415,0.16103135,0.42422041,0.00000000,0.59743598,0.08336903
-5.74187094,1.21363255,0.20485080,0.19621571,0.01727005,0.16913383,0.44059219,0.00000000,0.62731225,0.08698129
-5.73586793,1.25995144,0.21382253,0.20261627,0.01814604,0.17661027,0.45650451,0.00000000,0.65499038,0.09041504
-5.72986493,1.30325906,0.22211242,0.20899257,0.01894709,0.18329693,0.47153920,0.00000000,0.67985340,0.09358917
-5.72386193,1.34245384,0.22953394,0.21515527,0.01966012,0.18904363,0.48528555,0.00000000,0.70133169,0.09642777
-5.71785893,1.37651138,0.23591862,0.22091416,0.02027457,0.19371853,0.49735448,0.00000000,0.71892079,0.09886280
-5.71185593,1.40452152,0.24112191,0.22608535,0.02078282,0.19721248,0.50739238,0.00000000,0.73219767,0.10083655
