energy_ev,total_up,Ir_p_up,Ir_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,2.94850213,1.03462567,1.47478732,0.37581624,0.00575713,0.01271208,1.20854905
-5.99399700,2.89853771,1.01521977,1.45335082,0.36222944,0.00568096,0.01228264,1.19289603
-5.98799400,2.84183591,0.99278080,1.42850856,0.34820588,0.00559306,0.01189699,1.17383230
-5.98199100,2.77889394,0.96747074,1.40053282,0.33389318,0.00549436,0.01156246,1.15147784
-5.97598799,2.71043486,0.93953054,1.36981181,0.31946037,0.00538617,0.01128758,1.12604716
-5.96998499,2.63739490,0.90927624,1.33684201,0.30509657,0.00527022,0.01108219,1.09784309
-5.96398199,2.56090303,0.87709270,1.30221683,0.29100908,0.00514857,0.01095743,1.06724716
-5.95797899,2.48225367,0.84342512,1.26661184,0.27742105,0.00502362,0.01092571,1.03470734
-5.95197599,2.40287377,0.80876872,1.23076730,0.26456857,0.00489798,0.01100067,1.00072356
-5.94597299,2.32428540,0.77365693,1.19546865,0.25269744,0.00477446,0.01119692,0.96583186
-5.93996998,2.24806544,0.73864880,1.16152563,0.24205950,0.00465595,0.01152982,0.93058769
-5.93396698,2.17580369,0.70431568,1.12975069,0.23290853,0.00454535,0.01201514,0.89554930
-5.92796398,2.10906064,0.67122794,1.10093745,0.22549588,0.00444546,0.01266863,0.86126158
-5.92196098,2.04932629,0.63994201,1.07583957,0.22006572,0.00435894,0.01350548,0.82824111
-5.91595798,1.99798083,0.61098793,1.05515076,0.21685002,0.00428818,0.01453977,0.79696279
-5.90995498,1.95625838,0.58485790,1.03948612,0.21606320,0.00423525,0.01578381,0.76784842
-5.90395198,1.92521408,0.56199586,1.02936530,0.21789662,0.00420184,0.01724745,0.74125744
-5.89794897,1.90569543,0.54278825,1.02519767,0.22251281,0.00418918,0.01893739,0.71747987
-5.89194597,1.89831801,0.52755609,1.02726959,0.23003968,0.00419803,0.02085645,0.69673160
-5.88594297,1.90344588,0.51654823,1.03573421,0.24056472,0.00422862,0.02300294,0.67915177
-5.87993997,1.92117705,0.50993594,1.05060361,0.25412937,0.00428068,0.02537004,0.66480219
-5.87393697,1.95133383,0.50780873,1.07174376,0.27072367,0.00435335,0.02794532,0.65366860
-5.86793397,1.99345866,0.51017128,1.09887208,0.29028160,0.00444531,0.03071034,0.64566343
-5.86193097,2.04681515,0.51694177,1.13155816,0.31267707,0.00455467,0.03364053,0.64063003
-5.85592796,2.11039487,0.52795127,1.16922745,0.33772105,0.00467912,0.03670512,0.63834794
-5.84992496,2.18292990,0.54294461,1.21116834,0.36516003,0.00481587,0.03986742,0.63853922
-5.84392196,2.26291138,0.56158260,1.25654258,0.39467601,0.00496181,0.04308525,0.64087549
-5.83791896,2.34861411,0.58344583,1.30439923,0.42588837,0.00511346,0.04631165,0.64498568
-5.83191596,2.43812732,0.60804014,1.35369212,0.45835772,0.00526715,0.04949581,0.65046439
-5.82591296,2.52939132,0.63480398,1.40330057,0.49159188,0.00541899,0.05258422,0.65688066
-5.81990995,2.62023974,0.66311755,1.45205336,0.52505403,0.00556507,0.05552198,0.66378716
-5.81390695,2.70844664,0.69231396,1.49875525,0.55817297,0.00570144,0.05825430,0.67072976
-5.80790395,2.79177770,0.72169219,1.54221564,0.59035530,0.00582428,0.06072805,0.67725728
-5.80190095,2.86804413,0.75053184,1.58127862,0.62099922,0.00592996,0.06289335,0.68293126
-5.79589795,2.93515806,0.77810926,1.61485341,0.64950964,0.00601512,0.06470515,0.68733578
-5.78989495,2.99118739,0.80371479,1.64194429,0.67531396,0.00607678,0.06612467,0.69008688
-5.78389195,3.03440861,0.82667061,1.66167895,0.69787818,0.00611243,0.06712071,0.69084159
-5.77788894,3.06335539,0.84634860,1.67333406,0.71672240,0.00612004,0.06767070,0.68930610
-5.77188594,3.07686118,0.86218764,1.67635720,0.73143546,0.00609817,0.06776153,0.68524296
-5.76588294,3.07409406,0.87370964,1.67038403,0.74168778,0.00604602,0.06739002,0.67847702
-5.75987994,3.05458228,0.88053365,1.65525014,0.74724197,0.00596342,0.06656306,0.66889981
-5.75387694,3.01822934,0.88238751,1.63099681,0.74796081,0.00585083,0.06529744,0.65647217
-5.74787394,2.96531789,0.87911644,1.59787054,0.74381198,0.00570938,0.06361930,0.64122517
-5.74187094,2.89650222,0.87068813,1.55631632,0.73486966,0.00554081,0.06156336,0.62325886
-5.73586793,2.81278943,0.85719424,1.50696482,0.72131253,0.00534743,0.05917176,0.60273933
-5.72986493,2.71551024,0.83884799,1.45061408,0.70341864,0.00513202,0.05649280,0.57989371
-5.72386193,2.60628045,0.81597809,1.38820652,0.68155706,0.00489784,0.05357950,0.55500362
-5.71785893,2.48695470,0.78901909,1.32080217,0.65617685,0.00464846,0.05048798,0.52839711
