energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,5.13180078,0.03061723,0.56489605,0.32152799,4.45271544,2.85282613,1.33977575,0.00000000
-5.99399700,4.95426300,0.02944179,0.56089714,0.31641001,4.48108040,2.72095081,1.30015899,0.00000000
-5.98799400,4.78397719,0.02813723,0.55837718,0.31114210,4.51953755,2.59359415,1.26125902,0.00000000
-5.98199100,4.62357865,0.02672773,0.55747544,0.30579255,4.56779289,2.47264347,1.22369139,0.00000000
-5.97598799,4.47530050,0.02523880,0.55827648,0.30041310,4.62518507,2.35975929,1.18797710,0.00000000
-5.96998499,4.34091930,0.02369657,0.56080705,0.29503906,4.69067320,2.25633939,1.15452904,0.00000000
-5.96398199,4.22172569,0.02212708,0.56503573,0.28969046,4.76284513,2.16349734,1.12364486,0.00000000
-5.95797899,4.11851979,0.02055562,0.57087501,0.28437408,4.83994583,2.08205530,1.09550604,0.00000000
-5.95197599,4.03162939,0.01900617,0.57818583,0.27908626,4.91992382,2.01254988,1.07018291,0.00000000
-5.94597299,3.96094826,0.01750079,0.58678392,0.27381624,5.00049339,1.95524962,1.04764487,0.00000000
-5.93996998,3.90599088,0.01605924,0.59644788,0.26854960,5.07920893,1.91018200,1.02777483,0.00000000
-5.93396698,3.86595965,0.01469866,0.60692818,0.26327181,5.15354778,1.87716768,1.01038683,0.00000000
-5.92796398,3.83982002,0.01343325,0.61795699,0.25797139,5.22099726,1.85585962,0.99524567,0.00000000
-5.92196098,3.82637942,0.01227421,0.62925808,0.25264258,5.27914192,1.84578464,0.98208734,0.00000000
-5.91595798,3.82436579,0.01122969,0.64055653,0.24728739,5.32574709,1.84638528,0.97063904,0.00000000
-5.90995498,3.83250208,0.01030479,0.65158801,0.24191677,5.35883512,1.85705991,0.96063792,0.00000000
-5.90395198,3.84957366,0.00950178,0.66210701,0.23655096,5.37675146,1.87719947,0.95184751,0.00000000
-5.89794897,3.87448631,0.00882020,0.67189417,0.23121902,5.37821828,1.90621950,0.94407128,0.00000000
-5.89194597,3.90631280,0.00825721,0.68076229,0.22595757,5.36237404,1.94358661,0.93716281,0.00000000
-5.88594297,3.94432738,0.00780783,0.68856107,0.22080889,5.32879804,1.98883859,0.93103242,0.00000000
-5.87993997,3.98802744,0.00746529,0.69518041,0.21581852,5.27751996,2.04159803,0.92565013,0.00000000
-5.87393697,4.03714261,0.00722139,0.70055246,0.21103262,5.20901468,2.10157945,0.92104523,0.00000000
-5.86793397,4.09163189,0.00706681,0.70465218,0.20649523,5.12418335,2.16858995,0.91730270,0.00000000
-5.86193097,4.15166973,0.00699152,0.70749675,0.20224562,5.02432213,2.24252400,0.91455704,0.00000000
-5.85592796,4.21762230,0.00698507,0.70914359,0.19831603,4.91108033,2.32335276,0.91298399,0.00000000
-5.84992496,4.29001533,0.00703691,0.70968739,0.19472979,4.78640968,2.41110857,0.91279071,0.00000000
-5.84392196,4.36949519,0.00713672,0.70925589,0.19150015,4.65250692,2.50586546,0.91420515,0.00000000
-5.83791896,4.45678465,0.00727461,0.70800475,0.18862966,4.51175162,2.60771630,0.91746497,0.00000000
-5.83191596,4.55263527,0.00744139,0.70611157,0.18611028,4.36664125,2.71674773,0.92280681,0.00000000
-5.82591296,4.65777786,0.00762872,0.70376907,0.18392422,4.21972545,2.83301361,0.93045609,0.00000000
-5.81990995,4.77287303,0.00782925,0.70117773,0.18204527,4.07354127,2.95650826,0.94061795,0.00000000
-5.81390695,4.89846344,0.00803673,0.69853809,0.18044073,3.93055100,3.08714045,0.95346938,0.00000000
-5.80790395,5.03492960,0.00824606,0.69604277,0.17907366,3.79308420,3.22470955,0.96915291,0.00000000
-5.80190095,5.18245095,0.00845332,0.69386867,0.17790536,3.66328520,3.36888484,0.98777183,0.00000000
-5.79589795,5.34097378,0.00865568,0.69216950,0.17689792,3.54306724,3.51918940,1.00938704,0.00000000
-5.78989495,5.51018771,0.00885144,0.69106904,0.17601671,3.43407426,3.67498959,1.03401537,0.00000000
-5.78389195,5.68951179,0.00903984,0.69065534,0.17523259,3.33765113,3.83549118,1.06162940,0.00000000
-5.77788894,5.87809142,0.00922101,0.69097614,0.17452385,3.25482277,3.99974293,1.09215851,0.00000000
-5.77188594,6.07480661,0.00939579,0.69203595,0.17387763,3.18628259,4.16664800,1.12549100,0.00000000
-5.76588294,6.27829164,0.00956562,0.69379470,0.17329087,3.13239016,4.33498339,1.16147717,0.00000000
-5.75987994,6.48696590,0.00973235,0.69616832,0.17277072,3.09317793,4.50342709,1.19993304,0.00000000
-5.75387694,6.69907489,0.00989811,0.69903120,0.17233440,3.06836643,4.67059202,1.24064453,0.00000000
-5.74787394,6.91273978,0.01006516,0.70222052,0.17200845,3.05738727,4.83506576,1.28337202,0.00000000
-5.74187094,7.12601370,0.01023573,0.70554228,0.17182759,3.05941272,4.99545426,1.32785492,0.00000000
-5.73586793,7.33694213,0.01041195,0.70877883,0.17183310,3.07339085,5.15042761,1.37381625,0.00000000
-5.72986493,7.54362471,0.01059571,0.71169765,0.17207088,3.09808470,5.29876556,1.42096708,0.00000000
-5.72386193,7.74427554,0.01078864,0.71406083,0.17258923,3.13211410,5.43940056,1.46901070,0.00000000
-5.71785893,7.93727898,0.01099202,0.71563509,0.17343654,3.17399860,5.57145587,1.51764647,0.00000000
-5.71185593,8.12123841,0.01120677,0.71620164,0.17465892,3.22220016,5.69427665,1.56657343,0.00000000
-5.70585293,8.29501539,0.01143351,0.71556560,0.17629785,3.27516423,5.80745226,1.61549352,0.00000000
-5.69984992,8.45775757,0.01167250,0.71356450,0.17838810,3.33135807,5.91082837,1.66411465,0.00000000
-5.69384692,8.60891420,0.01192376,0.71007550,0.18095577,3.38930552,6.00450811,1.71215357,0.00000000
-5.68784392,8.74823866,0.01218712,0.70502101,0.18401683,3.44761740,6.08884214,1.75933868,0.00000000
-5.68184092,8.87577860,0.01246227,0.69837246,0.18757587,3.50501723,6.16440821,1.80541288,0.00000000
