energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,8.84837267,2.25630257,0.00000000,2.61407797,4.70016702,2.78151198,0.00000000
-5.99399700,9.12342703,2.35928147,0.00000000,2.73520582,4.84437563,2.84590415,0.00000000
-5.98799400,9.40907905,2.47289427,0.00000000,2.85543206,5.00204782,2.90563130,0.00000000
-5.98199100,9.70440138,2.59706031,0.00000000,2.97340594,5.17325412,2.96021034,0.00000000
-5.97598799,10.00811645,2.73145289,0.00000000,3.08778276,5.35771729,3.00920043,0.00000000
-5.96998499,10.31854574,2.87547438,0.00000000,3.19723894,5.55476620,3.05219792,0.00000000
-5.96398199,10.63356703,3.02823669,0.00000000,3.30048724,5.76329708,3.08883077,0.00000000
-5.95797899,10.95058403,3.18854893,0.00000000,3.39629200,5.98174556,3.11875303,0.00000000
-5.95197599,11.26651275,3.35491382,0.00000000,3.48348446,6.20807238,3.14164036,0.00000000
-5.94597299,11.57778796,3.52553440,0.00000000,3.56097790,6.43976573,3.15718720,0.00000000
-5.93996998,11.88039275,3.69833203,0.00000000,3.62778264,6.67386206,3.16510614,0.00000000
-5.93396698,12.16991259,3.87097626,0.00000000,3.68302050,6.90698678,3.16512994,0.00000000
-5.92796398,12.44161418,4.04092666,0.00000000,3.72593870,7.13541493,3.15701617,0.00000000
-5.92196098,12.69054780,4.20548596,0.00000000,3.75592265,7.35515104,3.14055449,0.00000000
-5.91595798,12.91167027,4.36186325,0.00000000,3.77250746,7.56202619,3.11557608,0.00000000
-5.90995498,13.09998444,4.50724538,0.00000000,3.77538756,7.75180914,3.08196475,0.00000000
-5.90395198,13.25068965,4.63887404,0.00000000,3.76442421,7.92032756,3.03966892,0.00000000
-5.89794897,13.35933688,4.75412561,0.00000000,3.73965024,8.06359449,2.98871361,0.00000000
-5.89194597,13.42198156,4.85059060,0.00000000,3.70127187,8.17793480,2.92921165,0.00000000
-5.88594297,13.43532692,4.92614920,0.00000000,3.64966713,8.26010606,2.86137306,0.00000000
-5.87993997,13.39685098,4.97903958,0.00000000,3.58538077,8.30740844,2.78551194,0.00000000
