energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,1.83317366,-0.84806878,0.00351485,-0.00398029,0.02843754,-0.02265155,1.27673542,-0.56551531,0.30100978,-0.10877863,0.00744124,-0.00459508,1.15610559,-0.53997499,0.66666809,-0.30255941,0.19767602,-0.08625522
-5.99399700,1.91617958,-0.86476090,0.00354057,-0.00349093,0.02909370,-0.02243247,1.33334322,-0.58735379,0.31488028,-0.11027364,0.00805964,-0.00412416,1.20954504,-0.55286092,0.69424930,-0.31316420,0.20940314,-0.08777972
-5.98799400,1.99849216,-0.88727471,0.00358766,-0.00308842,0.02968422,-0.02243024,1.38902107,-0.61274151,0.32854451,-0.11247914,0.00874156,-0.00373823,1.26261088,-0.56932611,0.72121703,-0.32568476,0.22137716,-0.09003750
-5.98199100,2.07933439,-0.91567388,0.00365886,-0.00276403,0.03019695,-0.02263375,1.44317533,-0.64181255,0.34187594,-0.11539817,0.00948095,-0.00343166,1.31481386,-0.58943946,0.74732703,-0.34014888,0.23349131,-0.09305539
-5.97598799,2.15793192,-0.94996885,0.00375779,-0.00250973,0.03062164,-0.02303029,1.49521521,-0.67464529,0.35474538,-0.11902744,0.01027192,-0.00319951,1.36566365,-0.61323454,0.77234026,-0.35655849,0.24563263,-0.09685763
-5.96998499,2.23351775,-0.99010958,0.00388889,-0.00231836,0.03095006,-0.02360546,1.54455824,-0.71125339,0.36702163,-0.12335672,0.01110881,-0.00303770,1.41467162,-0.64070458,0.79602332,-0.37488636,0.25768309,-0.10146504
-5.96398199,2.30533817,-1.03598071,0.00405734,-0.00218370,0.03117608,-0.02434309,1.59063636,-0.75157917,0.37857251,-0.12836836,0.01198632,-0.00294316,1.46135466,-0.67179913,0.81814920,-0.39507409,0.26952118,-0.10689419
-5.95797899,2.37266049,-1.08739957,0.00426895,-0.00210062,0.03129572,-0.02522517,1.63290284,-0.79548969,0.38926621,-0.13403731,0.01289960,-0.00291394,1.50524013,-0.70642269,0.83849851,-0.41703145,0.28102381,-0.11315679
-5.95197599,2.43478243,-1.14411742,0.00453003,-0.00206505,0.03130715,-0.02623190,1.67084000,-0.84277599,0.39897326,-0.14033133,0.01384431,-0.00294935,1.54587203,-0.74443546,0.85686120,-0.44063721,0.29206862,-0.12025913
-5.94597299,2.49104339,-1.20582385,0.00484717,-0.00207410,0.03121062,-0.02734175,1.70396785,-0.89315529,0.40756879,-0.14721175,0.01481681,-0.00304997,1.58281829,-0.78565624,0.87303899,-0.46574149,0.30253651,-0.12820179
-5.93996998,2.54083698,-1.27215419,0.00522704,-0.00212601,0.03100842,-0.02853175,1.73185321,-0.94627633,0.41493531,-0.15463435,0.01581412,-0.00321769,1.61567913,-0.82986720,0.88684843,-0.49216939,0.31231442,-0.13697938
-5.93396698,2.58362438,-1.34269922,0.00567616,-0.00222016,0.03070476,-0.02977769,1.75411913,-1.00172739,0.42096566,-0.16255067,0.01683402,-0.00345571,1.64409585,-0.87682027,0.89812443,-0.51972585,0.32129813,-0.14658046
-5.92796398,2.61894780,-1.41701661,0.00620062,-0.00235708,0.03030558,-0.03105461,1.77045415,-1.05904654,0.42556622,-0.17090931,0.01787502,-0.00376850,1.66775979,-0.92624442,0.90672423,-0.54820117,0.32939498,-0.15698751
-5.92196098,2.64644310,-1.49464305,0.00680577,-0.00253837,0.02981843,-0.03233721,1.78062085,-1.11773346,0.42866002,-0.17965741,0.01893627,-0.00416169,1.68642087,-0.97785352,0.91253140,-0.57737701,0.33652632,-0.16817685
