energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,1.18488371,-1.18488453,0.00142407,-0.00142407,0.16775571,-0.16775587,0.31555511,-0.31555525,0.18683075,-0.18683095,0.02653985,-0.02653989,0.33489871,-0.33489890,0.28669090,-0.28669100,0.11837974,-0.11837981
-5.99399700,1.25413779,-1.25413864,0.00150904,-0.00150904,0.17884990,-0.17885008,0.32273221,-0.32273236,0.20194186,-0.20194208,0.02957984,-0.02957988,0.35357275,-0.35357294,0.30230683,-0.30230692,0.12467145,-0.12467152
-5.98799400,1.32468738,-1.32468826,0.00159193,-0.00159193,0.19048871,-0.19048889,0.33019179,-0.33019194,0.21780500,-0.21780523,0.03280901,-0.03280906,0.37242039,-0.37242059,0.31743341,-0.31743350,0.13094955,-0.13094962
-5.98199100,1.39576566,-1.39576657,0.00167101,-0.00167101,0.20260475,-0.20260495,0.33790217,-0.33790233,0.23431851,-0.23431875,0.03620560,-0.03620565,0.39118964,-0.39118985,0.33181558,-0.33181567,0.13712240,-0.13712247
-5.97598799,1.46654732,-1.46654825,0.00174463,-0.00174463,0.21511682,-0.21511703,0.34581577,-0.34581593,0.25137155,-0.25137181,0.03974186,-0.03974191,0.40961362,-0.40961382,0.34520272,-0.34520279,0.14309394,-0.14309401
-5.96998499,1.53617238,-1.53617331,0.00181128,-0.00181128,0.22793233,-0.22793254,0.35387259,-0.35387276,0.26884791,-0.26884818,0.04338438,-0.04338443,0.42741774,-0.42741794,0.35735716,-0.35735723,0.14876627,-0.14876634
-5.96398199,1.60377368,-1.60377461,0.00186970,-0.00186970,0.24095058,-0.24095079,0.36200498,-0.36200514,0.28663029,-0.28663057,0.04709457,-0.04709463,0.44432795,-0.44432814,0.36806297,-0.36806302,0.15404252,-0.15404259
-5.95797899,1.66850708,-1.66850799,0.00191889,-0.00191889,0.25406672,-0.25406694,0.37014338,-0.37014355,0.30460510,-0.30460539,0.05082950,-0.05082955,0.46007968,-0.46007986,0.37713432,-0.37713436,0.15882992,-0.15882998
-5.95197599,1.72958312,-1.72958401,0.00195817,-0.00195817,0.26717617,-0.26717640,0.37822287,-0.37822303,0.32266738,-0.32266767,0.05454284,-0.05454289,0.47442708,-0.47442725,0.38442341,-0.38442344,0.16304293,-0.16304299
-5.94597299,1.78629875,-1.78629961,0.00198724,-0.00198724,0.28017936,-0.28017958,0.38619005,-0.38619021,0.34072566,-0.34072596,0.05818619,-0.05818625,0.48715229,-0.48715245,0.38982734,-0.38982735,0.16660631,-0.16660637
-5.93996998,1.83806760,-1.83806842,0.00200618,-0.00200618,0.29298649,-0.29298672,0.39400995,-0.39401011,0.35870655,-0.35870686,0.06171048,-0.06171053,0.49807430,-0.49807444,0.39329357,-0.39329357,0.16945800,-0.16945805
-5.93396698,1.88444734,-1.88444811,0.00201554,-0.00201554,0.30552219,-0.30552241,0.40167255,-0.40167270,0.37655865,-0.37655896,0.06506753,-0.06506758,0.50705693,-0.50705705,0.39482388,-0.39482387,0.17155158,-0.17155162
-5.92796398,1.92516267,-1.92516340,0.00201629,-0.00201629,0.31772959,-0.31772981,0.40919843,-0.40919858,0.39425557,-0.39425590,0.06821169,-0.06821173,0.51401569,-0.51401579,0.39447640,-0.39447638,0.17285838,-0.17285841
-5.92196098,1.96012267,-1.96012335,0.00200983,-0.00200983,0.32957376,-0.32957397,0.41664328,-0.41664342,0.41179790,-0.41179823,0.07110147,-0.07110151,0.51892303,-0.51892311,0.39236559,-0.39236556,0.17336896,-0.17336898
-5.91595798,1.98943137,-1.98943199,0.00199804,-0.00199804,0.34104417,-0.34104438,0.42410072,-0.42410086,0.42921377,-0.42921410,0.07370111,-0.07370114,0.52181181,-0.52181186,0.38866029,-0.38866025,0.17309394,-0.17309396
