energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,7.17483916,-6.41531204,0.07063614,-0.03093182,1.01735018,-0.93141386,1.17946631,-0.72477795,0.00000000,-0.00000000,2.56347393,-2.03107397,1.65355517,-0.73453618,0.09779760,-0.19656492,2.69683968,-2.68911803
-5.99399700,7.08348726,-6.32785489,0.07135145,-0.02926794,1.00629633,-0.92326608,1.16087083,-0.72936552,0.00000000,-0.00000000,2.50455881,-2.05019655,1.65166314,-0.71934023,0.09595990,-0.18908530,2.65970215,-2.64999230
-5.98799400,6.97361943,-6.22820569,0.07189735,-0.02768217,0.99317243,-0.91295998,1.13813682,-0.73451336,0.00000000,-0.00000000,2.44024176,-2.06565906,1.64588167,-0.70270072,0.09394967,-0.18096986,2.61469592,-2.60652045
-5.98199100,6.84660640,-6.11914823,0.07228406,-0.02618978,0.97826012,-0.90088498,1.11164103,-0.74030886,0.00000000,-0.00000000,2.37144493,-2.07797922,1.63655984,-0.68499423,0.09175534,-0.17236958,2.56220941,-2.55988071
-5.97598799,6.70414447,-6.00360069,0.07252306,-0.02480594,0.96186350,-0.88745803,1.08182122,-0.74682211,0.00000000,-0.00000000,2.29917109,-2.08772617,1.62409215,-0.66660924,0.08937378,-0.16344110,2.50279134,-2.51129713
-5.96998499,6.54821688,-5.88452565,0.07262649,-0.02354567,0.94430114,-0.87311027,1.04916596,-0.75410308,0.00000000,-0.00000000,2.22448417,-2.09549583,1.60890497,-0.64793524,0.08681037,-0.15434247,2.43714083,-2.46200234
-5.96398199,6.38104774,-5.76483849,0.07260659,-0.02242374,0.92589813,-0.85827338,1.01420323,-0.76217874,0.00000000,-0.00000000,2.14848793,-2.10188535,1.59144322,-0.62935213,0.08407876,-0.14522894,2.36609285,-2.41319955
-5.95797899,6.20505050,-5.64731801,0.07247523,-0.02145446,0.90697832,-0.84336614,0.97748831,-0.77105046,0.00000000,-0.00000000,2.07230371,-2.10746765,1.57215760,-0.61121996,0.08120030,-0.13624906,2.29059993,-2.36602551
-5.95197599,6.02277305,-5.53452265,0.07224336,-0.02065138,0.88785711,-0.82878174,0.93959154,-0.78069177,0.00000000,-0.00000000,1.99704799,-2.11276742,1.55149301,-0.59386973,0.07820328,-0.12754097,2.21171074,-2.32151565
-5.94597299,5.83684140,-5.42871581,0.07192074,-0.02002697,0.86883491,-0.81487637,0.90108622,-0.79104663,0.00000000,-0.00000000,1.92381060,-2.11823952,1.52987839,-0.57759542,0.07512187,-0.11922932,2.13054654,-2.28057293
-5.93996998,5.64990404,-5.33180288,0.07151561,-0.01959222,0.85019159,-0.80195955,0.86253713,-0.80202842,0.00000000,-0.00000000,1.85363442,-2.12425093,1.50771828,-0.56264749,0.07199499,-0.11142260,2.04827631,-2.24394147
-5.93396698,5.46457845,-5.24528234,0.07103452,-0.01935625,0.83218190,-0.79028658,0.82449005,-0.81351973,0.00000000,-0.00000000,1.78749701,-2.13106681,1.48538606,-0.54922830,0.06886501,-0.10421117,1.96609142,-2.21218583
-5.92796398,5.28340115,-5.17021243,0.07048225,-0.01932591,0.81503199,-0.78005319,0.78746240,-0.82537312,0.00000000,-0.00000000,1.72629484,-2.13884136,1.46321905,-0.53748927,0.06577641,-0.09766589,1.88518066,-2.18567678
-5.92196098,5.10878252,-5.10719413,0.06986181,-0.01950541,0.79893692,-0.77139281,0.75193531,-0.83741279,0.00000000,-0.00000000,1.67083029,-2.14761377,1.44151518,-0.52753007,0.06277448,-0.09183738,1.80670637,-2.16458379
-5.91595798,4.94296677,-5.05637080,0.06917455,-0.01989606,0.78405919,-0.76437627,0.71834714,-0.84943729,0.00000000,-0.00000000,1.62180162,-2.15730924,1.42053106,-0.51939963,0.05990397,-0.08675598,1.73178211,-2.14887450
-5.90995498,4.78799766,-5.01744402,0.06842030,-0.02049598,0.77052808,-0.75901389,0.68708851,-0.86122322,0.00000000,-0.00000000,1.57979577,-2.16774506,1.40048132,-0.51309900,0.05720791,-0.08243217,1.66145239,-2.13832095
-5.90395198,4.64568978,-4.98970439,0.06759758,-0.02130005,0.75843976,-0.75525989,0.65849871,-0.87252976,0.00000000,-0.00000000,1.54528387,-2.17864143,1.38153881,-0.50858576,0.05472649,-0.07885766,1.59667467,-2.13251235
-5.89794897,4.51760532,-4.97207600,0.06670391,-0.02229984,0.74785796,-0.75301886,0.63286339,-0.88310414,0.00000000,-0.00000000,1.51861900,-2.18963634,1.36383552,-0.50577979,0.05249601,-0.07600684,1.53830377,-2.13087372
-5.89194597,4.40503582,-4.96317259,0.06573608,-0.02348380,0.73881498,-0.75215380,0.61041339,-0.89268775,0.00000000,-0.00000000,1.50003577,-2.20030410,1.34746384,-0.50457019,0.05054810,-0.07383868,1.48707875,-2.13268978
-5.88594297,4.30898836,-4.96136311,0.06469046,-0.02483743,0.73131303,-0.75249564,0.59132442,-0.90102282,0.00000000,-0.00000000,1.48965133,-2.21017672,1.33247811,-0.50482293,0.04890894,-0.07229894,1.44361203,-2.13713325
-5.87993997,4.23017566,-4.96484422,0.06356338,-0.02634370,0.72532572,-0.75385363,0.57571742,-0.90785958,0.00000000,-0.00000000,1.48746716,-2.21876730,1.31889617,-0.50638896,0.04759873,-0.07132258,1.40838075,-2.14329645
-5.87393697,4.16900954,-4.97171718,0.06235141,-0.02798353,0.72079955,-0.75602623,0.56365946,-0.91296358,0.00000000,-0.00000000,1.49337135,-2.22559461,1.30670089,-0.50911247,0.04663123,-0.07083632,1.38172018,-2.15022539
-5.86793397,4.12559741,-4.98006636,0.06105171,-0.02973634,0.71765539,-0.75881211,0.55516486,-0.91612310,0.00000000,-0.00000000,1.50714099,-2.23020795,1.29584164,-0.51283888,0.04601353,-0.07076137,1.36381887,-2.15695500
-5.86193097,4.09974151,-4.98803658,0.05966232,-0.03158067,0.71578997,-0.76202068,0.55019652,-0.91715634,0.00000000,-0.00000000,1.52844452,-2.23221149,1.28623566,-0.51742228,0.04574589,-0.07101600,1.35471563,-2.16254458
-5.85592796,4.09094085,-4.99390666,0.05818240,-0.03349491,0.71507736,-0.76548187,0.54866735,-0.91591827,0.00000000,-0.00000000,1.55684400,-2.23128700,1.27776947,-0.52273202,0.04582174,-0.07151816,1.35429822,-2.16611207
-5.84992496,4.09839623,-4.99615641,0.05661247,-0.03545789,0.71537045,-0.76905461,0.55044174,-0.91230677,0.00000000,-0.00000000,1.59179755,-2.22721422,1.27030034,-0.52865803,0.04622783,-0.07218791,1.36230373,-2.16686616
-5.84392196,4.12101850,-4.99352475,0.05495458,-0.03744957,0.71650261,-0.77263374,0.55533724,-0.90626791,0.00000000,-0.00000000,1.63266210,-2.21988795,1.26365801,-0.53511485,0.04694454,-0.07294966,1.37832090,-2.16413507
