energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.87620579,0.00112371,0.05094868,0.50352321,1.25763164,0.00000000,0.57903348,0.24396388
-5.99399700,1.89045396,0.00109797,0.05345713,0.51831055,1.26572653,0.00000000,0.58091169,0.25023431
-5.98799400,1.90118977,0.00107685,0.05614263,0.53231373,1.27099677,0.00000000,0.58108166,0.25645442
-5.98199100,1.90827843,0.00106029,0.05898492,0.54534880,1.27334085,0.00000000,0.57956478,0.26256260
-5.97598799,1.91160645,0.00104815,0.06195887,0.55723132,1.27268229,0.00000000,0.57639649,0.26849012
-5.96998499,1.91107901,0.00104021,0.06503443,0.56777893,1.26896879,0.00000000,0.57162487,0.27416127
-5.96398199,1.90661890,0.00103616,0.06817688,0.57681450,1.26217204,0.00000000,0.56530945,0.27949416
-5.95797899,1.89816738,0.00103565,0.07134736,0.58416988,1.25228818,0.00000000,0.55752027,0.28440204
-5.95197599,1.88568674,0.00103819,0.07450377,0.58969012,1.23933889,0.00000000,0.54833715,0.28879518
-5.94597299,1.86916446,0.00104327,0.07760188,0.59323800,1.22337282,0.00000000,0.53784916,0.29258337
-5.93996998,1.84861843,0.00105030,0.08059685,0.59469863,1.20446727,0.00000000,0.52615414,0.29567869
-5.93396698,1.82410304,0.00105864,0.08344486,0.59398407,1.18272982,0.00000000,0.51335819,0.29799875
-5.92796398,1.79571528,0.00106766,0.08610498,0.59103752,1.15829957,0.00000000,0.49957515,0.29947005
-5.92196098,1.76360074,0.00107670,0.08854106,0.58583703,1.13134798,0.00000000,0.48492592,0.30003128
-5.91595798,1.72795857,0.00108514,0.09072365,0.57839845,1.10207886,0.00000000,0.46953760,0.29963663
-5.90995498,1.68904531,0.00109240,0.09263177,0.56877737,1.07072758,0.00000000,0.45354248,0.29825862
-5.90395198,1.64717699,0.00109799,0.09425449,0.55707002,1.03755924,0.00000000,0.43707679,0.29589060
-5.89794897,1.60272926,0.00110151,0.09559220,0.54341288,1.00286597,0.00000000,0.42027941,0.29254848
-5.89194597,1.55613545,0.00110266,0.09665746,0.52798104,0.96696319,0.00000000,0.40329043,0.28827188
-5.88594297,1.50788248,0.00110130,0.09747543,0.51098532,0.93018518,0.00000000,0.38624966,0.28312437
-5.87993997,1.45850454,0.00109741,0.09808378,0.49266809,0.89287981,0.00000000,0.36929525,0.27719289
-5.87393697,1.40857493,0.00109114,0.09853208,0.47329803,0.85540287,0.00000000,0.35256233,0.27058630
-5.86793397,1.35869606,0.00108278,0.09888065,0.45316392,0.81811201,0.00000000,0.33618186,0.26343311
-5.86193097,1.30948812,0.00107277,0.09919899,0.43256773,0.78136057,0.00000000,0.32027959,0.25587846
-5.85592796,1.26157665,0.00106171,0.09956369,0.41181719,0.74549149,0.00000000,0.30497520,0.24808041
-5.84992496,1.21557957,0.00105029,0.10005603,0.39121811,0.71083146,0.00000000,0.29038173,0.24020577
-5.84392196,1.17209394,0.00103933,0.10075936,0.37106687,0.67768550,0.00000000,0.27660499,0.23242555
-5.83791896,1.13168304,0.00102973,0.10175624,0.35164311,0.64633213,0.00000000,0.26374323,0.22491024
-5.83191596,1.09486415,0.00102243,0.10312561,0.33320316,0.61701921,0.00000000,0.25188676,0.21782510
-5.82591296,1.06209740,0.00101840,0.10494005,0.31597425,0.58996056,0.00000000,0.24111767,0.21132561
-5.81990995,1.03377610,0.00101862,0.10726313,0.30014984,0.56533351,0.00000000,0.23150946,0.20555326
-5.81390695,1.01021876,0.00102399,0.11014722,0.28588615,0.54327725,0.00000000,0.22312662,0.20063185
-5.80790395,0.99166316,0.00103537,0.11363149,0.27330001,0.52389215,0.00000000,0.21602408,0.19666437
-5.80190095,0.97826251,0.00105352,0.11774044,0.26246820,0.50723999,0.00000000,0.21024659,0.19373060
-5.79589795,0.97008376,0.00107906,0.12248295,0.25342807,0.49334492,0.00000000,0.20582797,0.19188542
-5.78989495,0.96710812,0.00111247,0.12785171,0.24617957,0.48219536,0.00000000,0.20279034,0.19115797
-5.78389195,0.96923360,0.00115406,0.13382325,0.24068843,0.47374643,0.00000000,0.20114325,0.19155146
-5.77788894,0.97627948,0.00120397,0.14035839,0.23689050,0.46792300,0.00000000,0.20088294,0.19304385
-5.77188594,0.98799228,0.00126213,0.14740312,0.23469681,0.46462313,0.00000000,0.20199163,0.19558907
-5.76588294,1.00405324,0.00132833,0.15488992,0.23399929,0.46372177,0.00000000,0.20443708,0.19911890
-5.75987994,1.02408663,0.00140213,0.16273929,0.23467694,0.46507461,0.00000000,0.20817229,0.20354530
-5.75387694,1.04766880,0.00148297,0.17086163,0.23660190,0.46852178,0.00000000,0.21313561,0.20876314
-5.74787394,1.07433753,0.00157014,0.17915922,0.23964554,0.47389148,0.00000000,0.21925110,0.21465319
-5.74187094,1.10360137,0.00166281,0.18752835,0.24368397,0.48100318,0.00000000,0.22642933,0.22108523
-5.73586793,1.13494869,0.00176008,0.19586148,0.24860305,0.48967048,0.00000000,0.23456854,0.22792136
-5.72986493,1.16785622,0.00186102,0.20404937,0.25430238,0.49970346,0.00000000,0.24355610,0.23501911
-5.72386193,1.20179701,0.00196471,0.21198317,0.26069846,0.51091053,0.00000000,0.25327039,0.24223459
-5.71785893,1.23624745,0.00207027,0.21955641,0.26772661,0.52309980,0.00000000,0.26358277,0.24942542
-5.71185593,1.27069371,0.00217695,0.22666685,0.27534180,0.53607995,0.00000000,0.27435989,0.25645343
-5.70585293,1.30463720,0.00228415,0.23321820,0.28351824,0.54966084,0.00000000,0.28546593,0.26318715
-5.69984992,1.33759950,0.00239146,0.23912163,0.29224789,0.56365376,0.00000000,0.29676495,0.26950398
-5.69384692,1.36912658,0.00249874,0.24429718,0.30153790,0.57787166,0.00000000,0.30812309,0.27529211
-5.68784392,1.39879260,0.00260610,0.24867490,0.31140721,0.59212934,0.00000000,0.31941059,0.28045206
-5.68184092,1.42620341,0.00271398,0.25219585,0.32188240,0.60624381,0.00000000,0.33050365,0.28489800
-5.67583792,1.45099973,0.00282312,0.25481290,0.33299311,0.62003495,0.00000000,0.34128594,0.28855871
-5.66983492,1.47286031,0.00293460,0.25649131,0.34476723,0.63332653,0.00000000,0.35164987,0.29137830
-5.66383192,1.49150496,0.00304979,0.25720911,0.35722611,0.64594772,0.00000000,0.36149752,0.29331655
-5.65782891,1.50669761,0.00317037,0.25695734,0.37038003,0.65773495,0.00000000,0.37074138,0.29434911
-5.65182591,1.51824918,0.00329822,0.25573996,0.38422430,0.66853436,0.00000000,0.37930477,0.29446737
-5.64582291,1.52602043,0.00343543,0.25357368,0.39873602,0.67820453,0.00000000,0.38712215,0.29367811
-5.63981991,1.52992449,0.00358419,0.25048756,0.41387176,0.68661950,0.00000000,0.39413923,0.29200295
-5.63381691,1.52992897,0.00374671,0.24652239,0.42956640,0.69367196,0.00000000,0.40031308,0.28947765
-5.62781391,1.52605763,0.00392510,0.24172998,0.44573288,0.69927631,0.00000000,0.40561209,0.28615118
-5.62181091,1.51839116,0.00412133,0.23617225,0.46226326,0.70337152,0.00000000,0.41001605,0.28208471
-5.61580790,1.50706716,0.00433706,0.22992025,0.47903066,0.70592360,0.00000000,0.41351612,0.27735042
-5.60980490,1.49227908,0.00457356,0.22305306,0.49589216,0.70692733,0.00000000,0.41611482,0.27203031
-5.60380190,1.47427397,0.00483161,0.21565669,0.51269243,0.70640733,0.00000000,0.41782603,0.26621487
-5.59779890,1.45334901,0.00511140,0.20782291,0.52926780,0.70441808,0.00000000,0.41867477,0.26000171
-5.59179590,1.42984685,0.00541245,0.19964811,0.54545058,0.70104306,0.00000000,0.41869703,0.25349419
-5.58579290,1.40414966,0.00573357,0.19123225,0.56107340,0.69639272,0.00000000,0.41793921,0.24680006
-5.57978989,1.37667222,0.00607277,0.18267781,0.57597321,0.69060159,0.00000000,0.41645745,0.24003004
-5.57378689,1.34785407,0.00642733,0.17408883,0.58999482,0.68382431,0.00000000,0.41431661,0.23329655
-5.56778389,1.31815090,0.00679374,0.16557013,0.60299382,0.67623101,0.00000000,0.41158890,0.22671240
-5.56178089,1.28802566,0.00716776,0.15722650,0.61483866,0.66800200,0.00000000,0.40835235,0.22038958
-5.55577789,1.25793951,0.00754452,0.14916208,0.62541195,0.65932224,0.00000000,0.40468880,0.21443817
-5.54977489,1.22834300,0.00791857,0.14147979,0.63461099,0.65037552,0.00000000,0.40068190,0.20896532
-5.54377189,1.19966781,0.00828405,0.13428081,0.64234759,0.64133904,0.00000000,0.39641478,0.20407431
-5.53776888,1.17231930,0.00863481,0.12766406,0.64854733,0.63237820,0.00000000,0.39196785,0.19986381
-5.53176588,1.14667011,0.00896457,0.12172578,0.65314845,0.62364225,0.00000000,0.38741665,0.19642712
-5.52576288,1.12305503,0.00926707,0.11655894,0.65610064,0.61526067,0.00000000,0.38282984,0.19385164
-5.51975988,1.10176717,0.00953632,0.11225270,0.65736381,0.60734054,0.00000000,0.37826765,0.19221827
-5.51375688,1.08305546,0.00976669,0.10889164,0.65690713,0.59996510,0.00000000,0.37378057,0.19160092
-5.50775388,1.06712346,0.00995313,0.10655497,0.65470854,0.59319319,0.00000000,0.36940867,0.19206602
-5.50175088,1.05412918,0.01009132,0.10531547,0.65075466,0.58705985,0.00000000,0.36518133,0.19367194
-5.49574787,1.04418581,0.01017777,0.10523832,0.64504133,0.58157768,0.00000000,0.36111743,0.19646834
-5.48974487,1.03736302,0.01020999,0.10637970,0.63757460,0.57673897,0.00000000,0.35722611,0.20049532
-5.48374187,1.03368850,0.01018651,0.10878528,0.62837224,0.57251823,0.00000000,0.35350778,0.20578250
-5.47773887,1.03314956,0.01010696,0.11248844,0.61746545,0.56887502,0.00000000,0.34995547,0.21234780
-5.47173587,1.03569437,0.00997207,0.11750856,0.60490075,0.56575677,0.00000000,0.34655635,0.22019607
-5.46573287,1.04123284,0.00978367,0.12384913,0.59074175,0.56310140,0.00000000,0.34329330,0.22931752
-5.45972986,1.04963690,0.00954463,0.13149597,0.57507064,0.56083968,0.00000000,0.34014636,0.23968609
-5.45372686,1.06074028,0.00925874,0.14041557,0.55798912,0.55889698,0.00000000,0.33709412,0.25125768
-5.44772386,1.07433784,0.00893067,0.15055366,0.53961878,0.55719474,0.00000000,0.33411483,0.26396850
-5.44172086,1.09018479,0.00856580,0.16183412,0.52010067,0.55565126,0.00000000,0.33118726,0.27773362
-5.43571786,1.10799598,0.00817008,0.17415832,0.49959409,0.55418232,0.00000000,0.32829131,0.29244574
-5.42971486,1.12744574,0.00774988,0.18740500,0.47827457,0.55270141,0.00000000,0.32540841,0.30797460
-5.42371186,1.14816868,0.00731186,0.20143081,0.45633121,0.55112005,0.00000000,0.32252167,0.32416678
-5.41770885,1.16976170,0.00686278,0.21607143,0.43396334,0.54934812,0.00000000,0.31961598,0.34084645
-5.41170585,1.19178783,0.00640937,0.23114350,0.41137690,0.54729465,0.00000000,0.31667808,0.35781678
-5.40570285,1.21378180,0.00595825,0.24644718,0.38878053,0.54486903,0.00000000,0.31369667,0.37486231
-5.39969985,1.23525775,0.00551572,0.26176940,0.36638167,0.54198281,0.00000000,0.31066265,0.39175218
-5.39369685,1.25571888,0.00508777,0.27688771,0.34438292,0.53855218,0.00000000,0.30756949,0.40824424
-5.38769385,1.27466889,0.00467994,0.29157465,0.32297865,0.53450109,0.00000000,0.30441390,0.42408989
-5.38169085,1.29162483,0.00429730,0.30560246,0.30235220,0.52976476,0.00000000,0.30119653,0.43903953
-5.37568784,1.30613093,0.00394441,0.31874800,0.28267362,0.52429363,0.00000000,0.29792292,0.45284848
-5.36968484,1.31777258,0.00362528,0.33079777,0.26409795,0.51805730,0.00000000,0.29460446,0.46528306
-5.36368184,1.32618999,0.00334344,0.34155273,0.24676419,0.51104825,0.00000000,0.29125931,0.47612666
-5.35767884,1.33109061,0.00310185,0.35083292,0.23079462,0.50328499,0.00000000,0.28791314,0.48518552
-5.35167584,1.33225967,0.00290300,0.35848151,0.21629461,0.49481438,0.00000000,0.28459960,0.49229395
-5.34567284,1.32956816,0.00274886,0.36436841,0.20335265,0.48571275,0.00000000,0.28136040,0.49731885
-5.33966983,1.32297767,0.00264092,0.36839304,0.19204043,0.47608565,0.00000000,0.27824485,0.50016323
-5.33366683,1.31254179,0.00258023,0.37048635,0.18241293,0.46606603,0.00000000,0.27530886,0.50076861
-5.32766383,1.29840382,0.00256730,0.37061205,0.17450838,0.45581085,0.00000000,0.27261328,0.49911637
-5.32166083,1.28079077,0.00260220,0.36876692,0.16834788,0.44549605,0.00000000,0.27022168,0.49522767
