energy_ev,total_up,C_s_up,C_p_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,0.88946930,0.00315820,0.18802336,0.21898787,0.21727632,0.01858204,0.21494734
-5.99399700,0.91646347,0.00326088,0.19667772,0.22655606,0.22644337,0.01952830,0.21703932
-5.98799400,0.95040402,0.00339488,0.20675100,0.23577410,0.23728040,0.02063698,0.22088167
-5.98199100,0.99110369,0.00356109,0.21818430,0.24657092,0.24972873,0.02190578,0.22646037
-5.97598799,1.03820878,0.00375998,0.23088421,0.25883086,0.26369034,0.02332913,0.23372073
-5.96998499,1.09121022,0.00399161,0.24472490,0.27239663,0.27903032,0.02489828,0.24257052
-5.96398199,1.14945882,0.00425565,0.25955107,0.28707351,0.29558035,0.02660139,0.25288419
-5.95797899,1.21218379,0.00455145,0.27518163,0.30263464,0.31314300,0.02842378,0.26450773
-5.95197599,1.27851408,0.00487804,0.29141404,0.31882729,0.33149674,0.03034814,0.27726420
-5.94597299,1.34750165,0.00523418,0.30802906,0.33537985,0.35040134,0.03235481,0.29095951
-5.93996998,1.41814604,0.00561835,0.32479597,0.35200946,0.36960381,0.03442210,0.30538837
-5.93396698,1.48941939,0.00602880,0.34147793,0.36842994,0.38884429,0.03652663,0.32034016
-5.92796398,1.56029122,0.00646355,0.35783737,0.38435976,0.40786207,0.03864365,0.33560455
-5.92196098,1.62975205,0.00692037,0.37364130,0.39953000,0.42640132,0.04074745,0.35097659
-5.91595798,1.69683557,0.00739676,0.38866638,0.41369172,0.44421654,0.04281175,0.36626127
-5.90995498,1.76063831,0.00789000,0.40270363,0.42662281,0.46107743,0.04481006,0.38127727
-5.90395198,1.82033674,0.00839704,0.41556257,0.43813387,0.47677327,0.04671609,0.39585990
-5.89794897,1.87520114,0.00891453,0.42707486,0.44807301,0.49111644,0.04850420,0.40986318
-5.89194597,1.92460617,0.00943880,0.43709721,0.45632940,0.50394530,0.05014972,0.42316096
-5.88594297,1.96803793,0.00996582,0.44551359,0.46283544,0.51512620,0.05162945,0.43564727
-5.87993997,2.00509758,0.01049123,0.45223669,0.46756740,0.52455468,0.05292196,0.44723573
-5.87393697,2.03550164,0.01101031,0.45720860,0.47054473,0.53215591,0.05400804,0.45785843
-5.86793397,2.05907931,0.01151804,0.46040081,0.47182776,0.53788438,0.05487102,0.46746417
-5.86193097,2.07576712,0.01200913,0.46181339,0.47151423,0.54172294,0.05549711,0.47601630
-5.85592796,2.08560129,0.01247809,0.46147367,0.46973457,0.54368121,0.05587569,0.48349046
-5.84992496,2.08870846,0.01291930,0.45943423,0.46664621,0.54379362,0.05599952,0.48987214
-5.84392196,2.08529520,0.01332713,0.45577048,0.46242720,0.54211693,0.05586498,0.49515451
-5.83791896,2.07563678,0.01369607,0.45057780,0.45726934,0.53872767,0.05547214,0.49933646
-5.83191596,2.06006580,0.01402084,0.44396841,0.45137119,0.53371922,0.05482483,0.50242110
-5.82591296,2.03896106,0.01429653,0.43606806,0.44493115,0.52719903,0.05393060,0.50441479
-5.81990995,2.01273704,0.01451878,0.42701263,0.43814097,0.51928570,0.05280060,0.50532662
-5.81390695,1.98183426,0.01468388,0.41694474,0.43117993,0.51010626,0.05144938,0.50516862
-5.80790395,1.94671092,0.01478894,0.40601048,0.42420988,0.49979360,0.04989466,0.50395638
-5.80190095,1.90783569,0.01483195,0.39435631,0.41737135,0.48848413,0.04815692,0.50171020
-5.79589795,1.86568196,0.01481194,0.38212633,0.41078085,0.47631566,0.04625902,0.49845661
-5.78989495,1.82072338,0.01472897,0.36945976,0.40452942,0.46342564,0.04422574,0.49423015
-5.78389195,1.77343082,0.01458425,0.35648897,0.39868249,0.44994967,0.04208329,0.48907528
-5.77788894,1.72427040,0.01438008,0.34333783,0.39328092,0.43602035,0.03985874,0.48304824
-5.77188594,1.67370267,0.01411984,0.33012064,0.38834317,0.42176648,0.03757957,0.47621883
-5.76588294,1.62218268,0.01380794,0.31694145,0.38386852,0.40731253,0.03527308,0.46867188
-5.75987994,1.57016068,0.01344973,0.30389388,0.37984094,0.39277849,0.03296595,0.46050832
-5.75387694,1.51808337,0.01305140,0.29106142,0.37623364,0.37827987,0.03068378,0.45184589
-5.74787394,1.46639536,0.01261979,0.27851800,0.37301380,0.36392804,0.02845069,0.44281922
-5.74187094,1.41554069,0.01216232,0.26632901,0.37014742,0.34983067,0.02628901,0.43357947
-5.73586793,1.36596414,0.01168677,0.25455241,0.36760385,0.33609228,0.02421900,0.42429337
-5.72986493,1.31811205,0.01120110,0.24324010,0.36535992,0.32281485,0.02225866,0.41514170
-5.72386193,1.27243253,0.01071335,0.23243920,0.36340325,0.31009837,0.02042362,0.40631731
-5.71785893,1.22937477,0.01023140,0.22219336,0.36173479,0.29804119,0.01872703,0.39802264
-5.71185593,1.18938733,0.00976283,0.21254378,0.36037021,0.28674027,0.01717963,0.39046685
-5.70585293,1.15291516,0.00931479,0.20353007,0.35934026,0.27629107,0.01578973,0.38386259
-5.69984992,1.12039546,0.00889383,0.19519068,0.35868996,0.26678708,0.01456330,0.37842247
-5.69384692,1.09225204,0.00850578,0.18756299,0.35847671,0.25831901,0.01350410,0.37435532
-5.68784392,1.06888857,0.00815566,0.18068294,0.35876740,0.25097360,0.01261378,0.37186230
-5.68184092,1.05068049,0.00784753,0.17458433,0.35963470,0.24483194,0.01189202,0.37113285
-5.67583792,1.03796595,0.00758447,0.16929762,0.36115275,0.23996752,0.01133662,0.37234064
-5.66983492,1.03103598,0.00736849,0.16484858,0.36339234,0.23644395,0.01094368,0.37563945
-5.66383192,1.03012410,0.00720048,0.16125654,0.36641611,0.23431248,0.01070766,0.38115915
-5.65782891,1.03539583,0.00708022,0.15853268,0.37027370,0.23360939,0.01062151,0.38900174
-5.65182591,1.04693849,0.00700635,0.15667824,0.37499741,0.23435343,0.01067672,0.39923746
-5.64582291,1.06475154,0.00697643,0.15568286,0.38059831,0.23654340,0.01086345,0.41190123
-5.63981991,1.08873817,0.00698700,0.15552320,0.38706329,0.24015600,0.01117057,0.42698924
-5.63381691,1.11869820,0.00703360,0.15616191,0.39435287,0.24514410,0.01158575,0.44445590
-5.62781391,1.15432305,0.00711095,0.15754704,0.40240016,0.25143558,0.01209556,0.46421131
-5.62181091,1.19519279,0.00721303,0.15961199,0.41111087,0.25893268,0.01268557,0.48611916
-5.61580790,1.24077589,0.00733326,0.16227596,0.42036430,0.26751220,0.01334049,0.50999549
-5.60980490,1.29043167,0.00746464,0.16544510,0.43001548,0.27702637,0.01404432,0.53560812
-5.60380190,1.34341580,0.00759998,0.16901401,0.43989816,0.28730448,0.01478052,0.56267726
-5.59779890,1.39888896,0.00773206,0.17286793,0.44982855,0.29815536,0.01553227,0.59087720
-5.59179590,1.45592856,0.00785383,0.17688524,0.45960989,0.30937053,0.01628263,0.61983929
-5.58579290,1.51354368,0.00795863,0.18094031,0.46903735,0.32072811,0.01701492,0.64915655
-5.57978989,1.57069291,0.00804034,0.18490661,0.47790341,0.33199723,0.01771291,0.67838963
-5.57378689,1.62630492,0.00809358,0.18865988,0.48600343,0.34294305,0.01836116,0.70707451
-5.56778389,1.67930152,0.00811380,0.19208134,0.49314122,0.35333208,0.01894533,0.73473177
-5.56178089,1.72862244,0.00809745,0.19506075,0.49913465,0.36293780,0.01945249,0.76087725
-5.55577789,1.77325168,0.00804203,0.19749925,0.50382098,0.37154628,0.01987136,0.78503404
-5.54977489,1.81224434,0.00794614,0.19931190,0.50706198,0.37896186,0.02019261,0.80674551
-5.54377189,1.84475342,0.00780947,0.20042985,0.50874856,0.38501248,0.02040905,0.82558884
-5.53776888,1.87005569,0.00763279,0.20080207,0.50880500,0.38955466,0.02051583,0.84118881
-5.53176588,1.88757555,0.00741788,0.20039653,0.50719250,0.39247795,0.02051055,0.85323116
-5.52576288,1.89690615,0.00716743,0.19920099,0.50391206,0.39370858,0.02039332,0.86147504
-5.51975988,1.89782675,0.00688491,0.19722319,0.49900658,0.39321227,0.02016675,0.86576392
-5.51375688,1.89031541,0.00657445,0.19449057,0.49256198,0.39099611,0.01983592,0.86603442
