energy_ev,total_up,B_p_up,B_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,2.02996779,0.09920612,0.00000000,0.77632651,0.70248961,0.08247782,0.51499049
-5.99399700,1.88880093,0.09134195,0.00000000,0.72828405,0.65252788,0.07555226,0.48102138
-5.98799400,1.74856937,0.08369125,0.00000000,0.67983066,0.60307549,0.06877147,0.44692610
-5.98199100,1.61053672,0.07630651,0.00000000,0.63144123,0.55456246,0.06220353,0.41305061
-5.97598799,1.47584377,0.06923189,0.00000000,0.58355953,0.50737319,0.05590663,0.37971457
-5.96998499,1.34549723,0.06250336,0.00000000,0.53659254,0.46184315,0.04992868,0.34720692
-5.96398199,1.22036234,0.05614890,0.00000000,0.49090601,0.41825690,0.04430719,0.31578250
-5.95797899,1.10115939,0.05018894,0.00000000,0.44682115,0.37684748,0.03906956,0.28565987
-5.95197599,0.98846386,0.04463683,0.00000000,0.40461262,0.33779700,0.03423353,0.25702011
-5.94597299,0.88270995,0.03949945,0.00000000,0.36450765,0.30123836,0.02980798,0.23000675
-5.93996998,0.78419710,0.03477786,0.00000000,0.32668635,0.26725796,0.02579381,0.20472665
-5.93396698,0.69309914,0.03046804,0.00000000,0.29128303,0.23589925,0.02218508,0.18125174
-5.92796398,0.60947563,0.02656161,0.00000000,0.25838850,0.20716692,0.01897009,0.15962152
-5.92196098,0.53328488,0.02304657,0.00000000,0.22805326,0.18103163,0.01613263,0.13984618
-5.91595798,0.46439830,0.01990811,0.00000000,0.20029132,0.15743506,0.01365311,0.12191022
-5.90995498,0.40261544,0.01712930,0.00000000,0.17508464,0.13629516,0.01150978,0.10577635
-5.90395198,0.34767939,0.01469188,0.00000000,0.15238792,0.11751147,0.00967974,0.09138961
-5.89794897,0.29929218,0.01257693,0.00000000,0.13213373,0.10097028,0.00813993,0.07868155
-5.89194597,0.25712949,0.01076548,0.00000000,0.11423761,0.08654961,0.00686802,0.06757429
-5.88594297,0.22085470,0.00923920,0.00000000,0.09860319,0.07412389,0.00584313,0.05798442
-5.87993997,0.19013161,0.00798081,0.00000000,0.08512706,0.06356810,0.00504642,0.04982656
-5.87393697,0.16463575,0.00697466,0.00000000,0.07370331,0.05476153,0.00446156,0.04301663
-5.86793397,0.14406404,0.00620698,0.00000000,0.06422758,0.04759087,0.00407509,0.03747454
-5.86193097,0.12814240,0.00566625,0.00000000,0.05660053,0.04195270,0.00387656,0.03312647
