energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.44775383,0.01621140,0.21372523,0.96952811,1.16185413,0.00968097,0.79632898,0.53840903,0.24624180
-5.99399700,2.33428820,0.01527451,0.19710667,0.91275524,1.11665800,0.00935746,0.75929238,0.51288437,0.23527293
-5.98799400,2.22490323,0.01442777,0.18142917,0.85863039,1.07270545,0.00905403,0.72429266,0.48969289,0.22423803
-5.98199100,2.12025982,0.01366782,0.16677710,0.80756189,1.03018558,0.00877704,0.69158340,0.46906142,0.21323221
-5.97598799,2.02104346,0.01299080,0.15322297,0.75995397,0.98931377,0.00853268,0.66142008,0.45119593,0.20235972
-5.96998499,1.92795049,0.01239239,0.14082767,0.71619983,0.95032775,0.00832686,0.63405448,0.43627781,0.19173082
-5.96398199,1.84167136,0.01186784,0.12964058,0.67667310,0.91348195,0.00816508,0.60972795,0.42446010,0.18145851
-5.95797899,1.76287135,0.01141206,0.11969957,0.64171810,0.87904017,0.00805221,0.58866400,0.41586345,0.17165498
-5.95197599,1.69216980,0.01101959,0.11103089,0.61163935,0.84726719,0.00799241,0.57106046,0.41057234,0.16242813
-5.94597299,1.63011887,0.01068471,0.10364895,0.58669092,0.81841946,0.00798897,0.55708172,0.40863144,0.15387820
-5.93996998,1.57718283,0.01040147,0.09755596,0.56706612,0.79273558,0.00804415,0.54685129,0.41004241,0.14609473
-5.93396698,1.53371895,0.01016379,0.09274163,0.55288800,0.77042680,0.00815913,0.54044515,0.41476136,0.13915392
-5.92796398,1.49996086,0.00996552,0.08918276,0.54420131,0.75166825,0.00833384,0.53788618,0.42269703,0.13311643
-5.92196098,1.47600529,0.00980061,0.08684299,0.54096626,0.73659110,0.00856697,0.53913996,0.43370986,0.12802582
-5.91595798,1.46180274,0.00966321,0.08567266,0.54305446,0.72527624,0.00885589,0.54411216,0.44761217,0.12390751
-5.90995498,1.45715273,0.00954786,0.08560879,0.55024741,0.71774958,0.00919667,0.55264777,0.46416940,0.12076838
-5.90395198,1.46170374,0.00944961,0.08657542,0.56223771,0.71397936,0.00958409,0.56453214,0.48310265,0.11859691
-5.89794897,1.47495817,0.00936417,0.08848413,0.57863306,0.71387554,0.01001173,0.57949404,0.50409236,0.11736394
-5.89194597,1.49628207,0.00928811,0.09123502,0.59896312,0.71729124,0.01047208,0.59721050,0.52678330,0.11702391
-5.88594297,1.52491941,0.00921894,0.09471789,0.62268907,0.72402631,0.01095664,0.61731356,0.55079080,0.11751650
-5.87993997,1.56001050,0.00915521,0.09881393,0.64921566,0.73383271,0.01145615,0.63939851,0.57570801,0.11876867
-5.87393697,1.60061386,0.00909659,0.10339764,0.67790539,0.74642163,0.01196075,0.66303359,0.60111421,0.12069702
-5.86793397,1.64573074,0.00904388,0.10833908,0.70809442,0.76147189,0.01246024,0.68777068,0.62658392,0.12321032
-5.86193097,1.69433160,0.00899900,0.11350646,0.73910966,0.77863934,0.01294429,0.71315671,0.65169654,0.12621210
-5.85592796,1.74538324,0.00896487,0.11876880,0.77028642,0.79756684,0.01340276,0.73874542,0.67604629,0.12960339
-5.84992496,1.79787591,0.00894534,0.12399874,0.80098600,0.81789434,0.01382589,0.76410884,0.69925222,0.13328533
-5.84392196,1.85084907,0.00894496,0.12907542,0.83061252,0.83926857,0.01420461,0.78884831,0.72096768,0.13716159
-5.83791896,1.90341489,0.00896879,0.13388709,0.85862827,0.86135207,0.01453078,0.81260442,0.74088924,0.14114071
-5.83191596,1.95477855,0.00902215,0.13833372,0.88456709,0.88383100,0.01479735,0.83506547,0.75876440,0.14513805
-5.82591296,2.00425450,0.00911033,0.14232912,0.90804503,0.90642146,0.01499864,0.85597419,0.77439793,0.14907741
-5.81990995,2.05127808,0.00923832,0.14580276,0.92876801,0.92887405,0.01513042,0.87513227,0.78765651,0.15289236
-5.81390695,2.09541191,0.00941044,0.14870108,0.94653609,0.95097655,0.01519000,0.89240270,0.79847139,0.15652700
-5.80790395,2.13634708,0.00963012,0.15098829,0.96124423,0.97255455,0.01517634,0.90770961,0.80683892,0.15993650
-5.80190095,2.17389898,0.00989962,0.15264650,0.97287957,0.99347017,0.01509001,0.92103585,0.81281889,0.16308702
-5.79589795,2.20799824,0.01021975,0.15367545,0.98151538,1.01361891,0.01493313,0.93241825,0.81653082,0.16595535
-5.78989495,2.23867725,0.01058970,0.15409151,0.98730215,1.03292498,0.01470929,0.94194103,0.81814809,0.16852821
-5.78389195,2.26605314,0.01100695,0.15392630,0.99045624,1.05133537,0.01442339,0.94972752,0.81789037,0.17080119
-5.77788894,2.29030820,0.01146715,0.15322481,0.99124678,1.06881300,0.01408147,0.95593081,0.81601465,0.17277750
-5.77188594,2.31166868,0.01196414,0.15204322,0.98998144,1.08532958,0.01369048,0.96072372,0.81280512,0.17446658
-5.76588294,2.33038348,0.01249005,0.15044643,0.98699200,1.10085839,0.01325805,0.96428870,0.80856253,0.17588262
-5.75987994,2.34670349,0.01303545,0.14850552,0.98262019,1.11536761,0.01279229,0.96680812,0.80359343,0.17704312
-5.75387694,2.36086308,0.01358958,0.14629515,0.97720467,1.12881460,0.01230147,0.96845554,0.79819974,0.17796759
-5.74787394,2.37306431,0.01414067,0.14389105,0.97106963,1.14114140,0.01179387,0.96938828,0.79266918,0.17867629
-5.74187094,2.38346492,0.01467624,0.14136774,0.96451543,1.15227180,0.01127753,0.96974165,0.78726679,0.17918936
-5.73586793,2.39217036,0.01518359,0.13879644,0.95781157,1.16211014,0.01076006,0.96962515,0.78222805,0.17952604
-5.72986493,2.39923031,0.01565013,0.13624337,0.95119210,1.17054195,0.01024851,0.96912046,0.77775356,0.17970427
-5.72386193,2.40463935,0.01606388,0.13376828,0.94485336,1.17743636,0.00974922,0.96828154,0.77400559,0.17974044
-5.71785893,2.40834176,0.01641386,0.13142350,0.93895382,1.18265011,0.00926775,0.96713630,0.77110632,0.17964948
-5.71185593,2.41023961,0.01669047,0.12925317,0.93361574,1.18603296,0.00880882,0.96568979,0.76913774,0.17944503
-5.70585293,2.41020349,0.01688589,0.12729294,0.92892806,1.18743421,0.00837631,0.96392847,0.76814293,0.17913977
-5.69984992,2.40808492,0.01699430,0.12556980,0.92495016,1.18670983,0.00797324,0.96182511,0.76812850,0.17874584
-5.69384692,2.40372950,0.01701214,0.12410225,0.92171577,1.18372985,0.00760179,0.95934388,0.76906784,0.17827514
-5.68784392,2.39698964,0.01693816,0.12290059,0.91923683,1.17838559,0.00726341,0.95644519,0.77090481,0.17773965
-5.68184092,2.38773616,0.01677353,0.12196731,0.91750656,1.17059627,0.00695883,0.95308997,0.77355762,0.17715160
-5.67583792,2.37586779,0.01652171,0.12129759,0.91650163,1.16031458,0.00668814,0.94924288,0.77692251,0.17652335
-5.66983492,2.36131811,0.01618834,0.12087978,0.91618331,1.14753102,0.00645089,0.94487441,0.78087708,0.17586724
-5.66383192,2.34405947,0.01578100,0.12069590,0.91649727,1.13227668,0.00624616,0.93996169,0.78528315,0.17519507
