energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.40832905,0.00646061,0.03449993,0.18697491,0.13704330,0.00620560,0.17379774,0.04124949,0.02679139
-5.99399700,0.42008678,0.00623679,0.03312222,0.17246417,0.14021267,0.00668150,0.18256496,0.03969263,0.02879808
-5.98799400,0.43917342,0.00607562,0.03258328,0.16296079,0.14612253,0.00720731,0.19409488,0.03914654,0.03123618
-5.98199100,0.46515166,0.00598135,0.03280427,0.15802363,0.15456734,0.00777621,0.20826700,0.03956220,0.03408636
-5.97598799,0.49755805,0.00595686,0.03370907,0.15723743,0.16533983,0.00838024,0.22494074,0.04089210,0.03732552
-5.96998499,0.53590197,0.00600351,0.03522459,0.16021338,0.17823143,0.00901047,0.24395447,0.04308982,0.04092652
-5.96398199,0.57966406,0.00612115,0.03728069,0.16658767,0.19303221,0.00965714,0.26512451,0.04610929,0.04485798
-5.95797899,0.62829434,0.00630803,0.03980991,0.17601839,0.20953044,0.01030988,0.28824445,0.04990375,0.04908414
-5.95197599,0.68121074,0.00656087,0.04274710,0.18818129,0.22751221,0.01095796,0.31308494,0.05442464,0.05356484
-5.94597299,0.73779843,0.00687484,0.04602890,0.20276505,0.24676090,0.01159054,0.33939407,0.05962036,0.05825566
-5.93996998,0.79741024,0.00724368,0.04959323,0.21946638,0.26705702,0.01219699,0.36689844,0.06543516,0.06310809
-5.93396698,0.85936870,0.00765978,0.05337890,0.23798544,0.28817833,0.01276718,0.39530502,0.07180809,0.06807003
-5.92796398,0.92296968,0.00811435,0.05732527,0.25802192,0.30990032,0.01329179,0.42430389,0.07867232,0.07308634
-5.92196098,0.98748785,0.00859760,0.06137206,0.27927218,0.33199725,0.01376256,0.45357184,0.08595463,0.07809958
-5.91595798,1.05218403,0.00909891,0.06545937,0.30142753,0.35424358,0.01417258,0.48277673,0.09357546,0.08305096
-5.90995498,1.11631428,0.00960714,0.06952785,0.32417396,0.37641591,0.01451648,0.51158277,0.10144922,0.08788138
-5.90395198,1.17914059,0.01011080,0.07351914,0.34719329,0.39829535,0.01479057,0.53965630,0.10948522,0.09253262
-5.89794897,1.23994287,0.01059844,0.07737638,0.37016576,0.41967020,0.01499294,0.56667224,0.11758900,0.09694858
-5.89194597,1.29803198,0.01105882,0.08104502,0.39277405,0.44033894,0.01512345,0.59232083,0.12566405,0.10107658
-5.88594297,1.35276334,0.01148127,0.08447370,0.41470840,0.46011337,0.01518371,0.61631457,0.13361407,0.10486872
-5.87993997,1.40355064,0.01185595,0.08761520,0.43567276,0.47882176,0.01517698,0.63839508,0.14134541,0.10828312
-5.87393697,1.44987920,0.01217410,0.09042756,0.45539158,0.49631201,0.01510791,0.65833968,0.14876984,0.11128508
-5.86793397,1.49131847,0.01242826,0.09287506,0.47361696,0.51245453,0.01498237,0.67596746,0.15580737,0.11384821
-5.86193097,1.52753309,0.01261247,0.09492929,0.49013575,0.52714479,0.01480718,0.69114458,0.16238913,0.11595520
-5.85592796,1.55829203,0.01272243,0.09656997,0.50477619,0.54030550,0.01458974,0.70378853,0.16846005,0.11759857
-5.84992496,1.58347549,0.01275555,0.09778574,0.51741385,0.55188819,0.01433779,0.71387123,0.17398129,0.11878102
-5.84392196,1.60307900,0.01271105,0.09857463,0.52797638,0.56187412,0.01405904,0.72142082,0.17893226,0.11951558
-5.83791896,1.61721459,0.01258990,0.09894434,0.53644683,0.57027455,0.01376092,0.72652186,0.18331213,0.11982544
-5.83191596,1.62610868,0.01239477,0.09891216,0.54286533,0.57713021,0.01345028,0.72931402,0.18714073,0.11974349
-5.82591296,1.63009691,0.01212992,0.09850469,0.54732892,0.58251000,0.01313320,0.72998920,0.19045874,0.11931156
-5.81990995,1.62961559,0.01180102,0.09775707,0.54998949,0.58650891,0.01281481,0.72878708,0.19332724,0.11857940
-5.81390695,1.62519031,0.01141500,0.09671210,0.55104983,0.58924522,0.01249919,0.72598924,0.19582643,0.11760340
-5.80790395,1.61742179,0.01097976,0.09541887,0.55075794,0.59085703,0.01218930,0.72191199,0.19805376,0.11644511
-5.80190095,1.60696952,0.01050404,0.09393128,0.54939964,0.59149816,0.01188705,0.71689816,0.20012135,0.11516955
-5.79589795,1.59453364,0.00999707,0.09230629,0.54729002,0.59133360,0.01159326,0.71130799,0.20215289,0.11384350
-5.78989495,1.58083568,0.00946845,0.09060207,0.54476377,0.59053467,0.01130787,0.70550965,0.20428014,0.11253366
-5.78389195,1.56659882,0.00892785,0.08887601,0.54216495,0.58927391,0.01103005,0.69986938,0.20663907,0.11130484
-5.77788894,1.55252827,0.00838487,0.08718283,0.53983654,0.58772000,0.01075833,0.69474191,0.20936588,0.11021827
-5.77188594,1.53929262,0.00784887,0.08557271,0.53811017,0.58603280,0.01049086,0.69046123,0.21259301,0.10932997
-5.76588294,1.52750651,0.00732885,0.08408959,0.53729643,0.58435877,0.01022556,0.68733219,0.21644530,0.10868936
-5.75987994,1.51771551,0.00683334,0.08276974,0.53767610,0.58282677,0.00996029,0.68562310,0.22103635,0.10833813
-5.75387694,1.51038356,0.00637035,0.08164055,0.53949268,0.58154466,0.00969304,0.68555961,0.22646542,0.10830932
-5.74787394,1.50588331,0.00594737,0.08071976,0.54294632,0.58059655,0.00942208,0.68732014,0.23281465,0.10862680
