energy_ev,total_up,In_p_up,In_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.19126914,0.05420449,0.00336088,0.31198418,0.61729157,0.59586245,0.00000000
-5.99399700,1.26838066,0.05681138,0.00369615,0.33737892,0.65246341,0.62687291,0.00000000
-5.98799400,1.34394852,0.05923156,0.00404567,0.36327864,0.68611240,0.65593536,0.00000000
-5.98199100,1.41733982,0.06144299,0.00440729,0.38954494,0.71792275,0.68277123,0.00000000
-5.97598799,1.48795977,0.06342869,0.00477845,0.41603498,0.74761472,0.70715748,0.00000000
-5.96998499,1.55526398,0.06517719,0.00515618,0.44260361,0.77495109,0.72893407,0.00000000
-5.96398199,1.61876925,0.06668300,0.00553717,0.46910544,0.79974213,0.74800929,0.00000000
-5.95797899,1.67806252,0.06794672,0.00591776,0.49539694,0.82184895,0.76436267,0.00000000
-5.95197599,1.73280789,0.06897508,0.00629401,0.52133857,0.84118519,0.77804543,0.00000000
-5.94597299,1.78275156,0.06978079,0.00666182,0.54679695,0.85771701,0.78917824,0.00000000
-5.93996998,1.82772496,0.07038212,0.00701696,0.57164702,0.87146161,0.79794668,0.00000000
-5.93396698,1.86764597,0.07080246,0.00735517,0.59577424,0.88248430,0.80459449,0.00000000
-5.92796398,1.90251854,0.07106963,0.00767232,0.61907684,0.89089457,0.80941492,0.00000000
-5.92196098,1.93243083,0.07121518,0.00796449,0.64146791,0.89684114,0.81274065,0.00000000
-5.91595798,1.95755211,0.07127359,0.00822811,0.66287750,0.90050656,0.81493270,0.00000000
-5.90995498,1.97812843,0.07128136,0.00846003,0.68325439,0.90210141,0.81636873,0.00000000
-5.90395198,1.99447738,0.07127618,0.00865769,0.70256762,0.90185846,0.81743139,0.00000000
-5.89794897,2.00698184,0.07129604,0.00881919,0.72080749,0.90002694,0.81849684,0.00000000
-5.89194597,2.01608283,0.07137838,0.00894335,0.73798598,0.89686716,0.81992413,0.00000000
-5.88594297,2.02227144,0.07155929,0.00902979,0.75413643,0.89264548,0.82204555,0.00000000
-5.87993997,2.02607969,0.07187272,0.00907893,0.76931237,0.88762973,0.82515830,0.00000000
-5.87393697,2.02807058,0.07234988,0.00909204,0.78358539,0.88208514,0.82951758,0.00000000
-5.86793397,2.02882693,0.07301852,0.00907115,0.79704206,0.87627061,0.83533124,0.00000000
-5.86193097,2.02893940,0.07390251,0.00901904,0.80977994,0.87043546,0.84275599,0.00000000
-5.85592796,2.02899356,0.07502129,0.00893913,0.82190266,0.86481631,0.85189518,0.00000000
-5.84992496,2.02955628,0.07638960,0.00883534,0.83351438,0.85963429,0.86279797,0.00000000
-5.84392196,2.03116171,0.07801717,0.00871203,0.84471370,0.85509231,0.87545991,0.00000000
-5.83791896,2.03429711,0.07990854,0.00857379,0.85558743,0.85137249,0.88982476,0.00000000
-5.83191596,2.03938907,0.08206298,0.00842529,0.86620442,0.84863353,0.90578726,0.00000000
-5.82591296,2.04679044,0.08447451,0.00827115,0.87660983,0.84700825,0.92319696,0.00000000
-5.81990995,2.05676853,0.08713196,0.00811575,0.88682020,0.84660123,0.94186274,0.00000000
-5.81390695,2.06949506,0.09001915,0.00796313,0.89681963,0.84748654,0.96155795,0.00000000
-5.80790395,2.08503836,0.09311516,0.00781681,0.90655729,0.84970584,0.98202604,0.00000000
-5.80190095,2.10335806,0.09639461,0.00767973,0.91594649,0.85326671,1.00298646,0.00000000
-5.79589795,2.12430278,0.09982806,0.00755416,0.92486555,0.85814159,1.02414083,0.00000000
-5.78989495,2.14761091,0.10338239,0.00744163,0.93316025,0.86426716,1.04517904,0.00000000
-5.78389195,2.17291460,0.10702131,0.00734293,0.94064810,0.87154454,1.06578537,0.00000000
-5.77788894,2.19974690,0.11070582,0.00725811,0.94712405,0.87984006,1.08564429,0.00000000
-5.77188594,2.22755195,0.11439467,0.00718655,0.95236753,0.88898706,1.10444607,0.00000000
-5.76588294,2.25569798,0.11804495,0.00712697,0.95615043,0.89878836,1.12189183,0.00000000
-5.75987994,2.28349262,0.12161256,0.00707755,0.95824574,0.90901968,1.13769822,0.00000000
-5.75387694,2.31020033,0.12505272,0.00703602,0.95843636,0.91943385,1.15160153,0.00000000
-5.74787394,2.33506114,0.12832058,0.00699978,0.95652377,0.92976581,1.16336124,0.00000000
-5.74187094,2.35731048,0.13137168,0.00696603,0.95233616,0.93973829,1.17276303,0.00000000
-5.73586793,2.37619933,0.13416258,0.00693187,0.94573560,0.94906801,1.17962127,0.00000000
-5.72986493,2.39101410,0.13665141,0.00689444,0.93662405,0.95747240,1.18378106,0.00000000
-5.72386193,2.40109594,0.13879851,0.00685103,0.92494791,0.96467645,1.18511987,0.00000000
-5.71785893,2.40585857,0.14056704,0.00679918,0.91070102,0.97041971,1.18354873,0.00000000
-5.71185593,2.40480442,0.14192371,0.00673674,0.89392592,0.97446315,1.17901324,0.00000000
-5.70585293,2.39753847,0.14283938,0.00666198,0.87471354,0.97659556,1.17149419,0.00000000
-5.69984992,2.38377935,0.14328981,0.00657362,0.85320120,0.97663946,1.16100801,0.00000000
-5.69384692,2.36336746,0.14325628,0.00647086,0.82956914,0.97445617,1.14760681,0.00000000
-5.68784392,2.33626970,0.14272624,0.00635338,0.80403582,0.96994985,1.13137819,0.00000000
-5.68184092,2.30258070,0.14169383,0.00622133,0.77685203,0.96307031,1.11244463,0.00000000
-5.67583792,2.26252037,0.14016031,0.00607533,0.74829420,0.95381457,1.09096228,0.00000000
-5.66983492,2.21642801,0.13813441,0.00591639,0.71865719,0.94222687,1.06711936,0.00000000
-5.66383192,2.16475276,0.13563238,0.00574587,0.68824661,0.92839730,1.04113379,0.00000000
-5.65782891,2.10804107,0.13267801,0.00556543,0.65737124,0.91245883,1.01325013,0.00000000
-5.65182591,2.04692134,0.12930235,0.00537692,0.62633551,0.89458316,0.98373590,0.00000000
-5.64582291,1.98208635,0.12554324,0.00518232,0.59543251,0.87497521,0.95287709,0.00000000
-5.63981991,1.91427414,0.12144468,0.00498368,0.56493757,0.85386667,0.92097325,0.00000000
-5.63381691,1.84424807,0.11705594,0.00478300,0.53510267,0.83150890,0.88833193,0.00000000
-5.62781391,1.77277671,0.11243061,0.00458222,0.50615181,0.80816539,0.85526298,0.00000000
-5.62181091,1.70061462,0.10762542,0.00438311,0.47827750,0.78410422,0.82207269,0.00000000
-5.61580790,1.62848440,0.10269910,0.00418722,0.45163837,0.75959075,0.78905817,0.00000000
-5.60980490,1.55706099,0.09771107,0.00399588,0.42635794,0.73488099,0.75650205,0.00000000
-5.60380190,1.48695867,0.09272027,0.00381014,0.40252464,0.71021584,0.72466781,0.00000000
-5.59779890,1.41872105,0.08778392,0.00363076,0.38019288,0.68581641,0.69379593,0.00000000
-5.59179590,1.35281449,0.08295650,0.00345824,0.35938514,0.66188063,0.66410091,0.00000000
-5.58579290,1.28962479,0.07828871,0.00329280,0.34009499,0.63858107,0.63576930,0.00000000
-5.57978989,1.22945709,0.07382674,0.00313440,0.32229071,0.61606410,0.60895867,0.00000000
-5.57378689,1.17253868,0.06961149,0.00298283,0.30591952,0.59445012,0.58379750,0.00000000
-5.56778389,1.11902404,0.06567817,0.00283768,0.29091201,0.57383481,0.56038575,0.00000000
-5.56178089,1.06900183,0.06205590,0.00269842,0.27718665,0.55429095,0.53879614,0.00000000
-5.55577789,1.02250285,0.05876748,0.00256445,0.26465417,0.53587083,0.51907561,0.00000000
-5.54977489,0.97950853,0.05582934,0.00243514,0.25322150,0.51860862,0.50124701,0.00000000
-5.54377189,0.93995916,0.05325152,0.00230987,0.24279532,0.50252275,0.48531072,0.00000000
-5.53776888,0.90376144,0.05103778,0.00218806,0.23328478,0.48761784,0.47124591,0.00000000
-5.53176588,0.87079480,0.04918576,0.00206922,0.22460367,0.47388609,0.45901155,0.00000000
-5.52576288,0.84091633,0.04768719,0.00195296,0.21667166,0.46130814,0.44854687,0.00000000
-5.51975988,0.81396416,0.04652814,0.00183901,0.20941492,0.44985321,0.43977155,0.00000000
-5.51375688,0.78975939,0.04568936,0.00172722,0.20276597,0.43947867,0.43258545,0.00000000
-5.50775388,0.76810680,0.04514657,0.00161757,0.19666304,0.43012932,0.42686832,0.00000000
-5.50175088,0.74879462,0.04487091,0.00151015,0.19104901,0.42173629,0.42247949,0.00000000
-5.49574787,0.73159394,0.04482940,0.00140516,0.18587002,0.41421614,0.41925783,0.00000000
-5.48974487,0.71625815,0.04498549,0.00130286,0.18107413,0.40747015,0.41702237,0.00000000
-5.48374187,0.70252293,0.04529970,0.00120358,0.17661000,0.40138423,0.41557350,0.00000000
-5.47773887,0.69010719,0.04573037,0.00110769,0.17242580,0.39582961,0.41469532,0.00000000
-5.47173587,0.67871541,0.04623447,0.00101556,0.16846863,0.39066440,0.41415882,0.00000000
