energy_ev,total_up,Bi_p_up,Bi_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,3.85445016,1.16291629,0.03475913,2.32082191,2.80811964,0.32264181,0.00000000
-5.99399700,3.95732211,1.19597805,0.03571509,2.38149843,2.88267510,0.33047371,0.00000000
-5.98799400,4.05247641,1.22705767,0.03661049,2.43757319,2.95128074,0.33774141,0.00000000
-5.98199100,4.13760139,1.25540001,0.03742494,2.48764064,3.01230495,0.34425543,0.00000000
-5.97598799,4.21046909,1.28025970,0.03813878,2.53033504,3.06418629,0.34982789,0.00000000
-5.96998499,4.26900890,1.30092706,0.03873373,2.56437484,3.10548481,0.35427895,0.00000000
-5.96398199,4.31138178,1.31675462,0.03919354,2.58860804,3.13493347,0.35744358,0.00000000
-5.95797899,4.33605138,1.32718289,0.03950469,2.60205623,3.15148733,0.35917812,0.00000000
-5.95197599,4.34184887,1.33176414,0.03965693,2.60395527,3.15436802,0.35936662,0.00000000
-5.94597299,4.32802779,1.33018295,0.03964384,2.59379028,3.14310118,0.35792630,0.00000000
-5.93996998,4.29430607,1.32227241,0.03946315,2.57132321,3.11754472,0.35481201,0.00000000
-5.93396698,4.24089243,1.30802505,0.03911702,2.53661096,3.07790611,0.35001949,0.00000000
-5.92796398,4.16849544,1.28759786,0.03861213,2.49001330,3.02474727,0.34358697,0.00000000
-5.92196098,4.07831411,1.26131085,0.03795954,2.43218937,2.95897661,0.33559533,0.00000000
-5.91595798,3.97200983,1.22963937,0.03717448,2.36408306,2.88182786,0.32616650,0.00000000
-5.90995498,3.85166057,1.19320019,0.03627588,2.28689737,2.79482637,0.31546030,0.00000000
-5.90395198,3.71969894,1.15273210,0.03528579,2.20205893,2.69974416,0.30366981,0.00000000
-5.89794897,3.57883657,1.10907181,0.03422866,2.11117403,2.59854538,0.29101546,0.00000000
-5.89194597,3.43197820,1.06312627,0.03313052,2.01597818,2.49332456,0.27773810,0.00000000
-5.88594297,3.28212878,1.01584262,0.03201809,1.91828119,2.38624007,0.26409134,0.00000000
-5.87993997,3.13229789,0.96817707,0.03091788,1.81991030,2.27944584,0.25033360,0.00000000
-5.87393697,2.98540510,0.92106421,0.02985528,1.72265352,2.17502393,0.23671996,0.00000000
-5.86793397,2.84419040,0.87538774,0.02885366,1.62820573,2.07492084,0.22349445,0.00000000
-5.86193097,2.71113302,0.83195412,0.02793370,1.53811929,1.98089007,0.21088278,0.00000000
-5.85592796,2.58838172,0.79146978,0.02711264,1.45376118,1.89444293,0.19908596,0.00000000
-5.84992496,2.47769878,0.75452292,0.02640383,1.37627797,1.81680944,0.18827495,0.00000000
-5.84392196,2.38041959,0.72157023,0.02581632,1.30656966,1.74891040,0.17858649,0.00000000
-5.83791896,2.29742846,0.69292889,0.02535476,1.24527280,1.69134126,0.17012017,0.00000000
-5.83191596,2.22915104,0.66877386,0.02501929,1.19275325,1.64436802,0.16293687,0.00000000
-5.82591296,2.17556269,0.64914022,0.02480578,1.14910823,1.60793457,0.15705845,0.00000000
-5.81990995,2.13621175,0.63393018,0.02470607,1.11417695,1.58168065,0.15246869,0.00000000
-5.81390695,2.11025595,0.62292418,0.02470844,1.08755914,1.56496940,0.14911542,0.00000000
-5.80790395,2.09650991,0.61579537,0.02479818,1.06864021,1.55692254,0.14691358,0.00000000
-5.80190095,2.09350140,0.61212674,0.02495818,1.05662191,1.55646190,0.14574921,0.00000000
-5.79589795,2.09953376,0.61143005,0.02516966,1.05055693,1.56235503,0.14548407,0.00000000
-5.78989495,2.11275200,0.61316574,0.02541289,1.04938624,1.57326321,0.14596088,0.00000000
-5.78389195,2.13120994,0.61676306,0.02566789,1.05197774,1.58779007,0.14700876,0.00000000
-5.77788894,2.15293615,0.62163970,0.02591508,1.05716475,1.60452885,0.14844896,0.00000000
-5.77188594,2.17599647,0.62722027,0.02613600,1.06378332,1.62210704,0.15010052,0.00000000
-5.76588294,2.19855134,0.63295315,0.02631375,1.07070717,1.63922693,0.15178573,0.00000000
-5.75987994,2.21890642,0.63832519,0.02643355,1.07687925,1.65470108,0.15333531,0.00000000
-5.75387694,2.23555530,0.64287414,0.02648302,1.08133929,1.66748196,0.15459310,0.00000000
-5.74787394,2.24721360,0.64619845,0.02645248,1.08324658,1.67668514,0.15542010,0.00000000
-5.74187094,2.25284400,0.64796445,0.02633508,1.08189766,1.68160601,0.15569791,0.00000000
-5.73586793,2.25167204,0.64791097,0.02612681,1.07673864,1.68172984,0.15533131,0.00000000
-5.72986493,2.24319310,0.64585147,0.02582644,1.06737213,1.67673549,0.15425003,0.00000000
-5.72386193,2.22717080,0.64167388,0.02543541,1.05355883,1.66649328,0.15240963,0.00000000
-5.71785893,2.20362776,0.63533843,0.02495755,1.03521420,1.65105737,0.14979157,0.00000000
-5.71185593,2.17282941,0.62687366,0.02439880,1.01240049,1.63065358,0.14640240,0.00000000
-5.70585293,2.13526200,0.61637097,0.02376691,0.98531482,1.60566309,0.14227218,0.00000000
-5.69984992,2.09160579,0.60397811,0.02307106,0.95427393,1.57660305,0.13745221,0.00000000
-5.69384692,2.04270462,0.58989162,0.02232149,0.91969629,1.54410467,0.13201224,0.00000000
