energy_ev,total_up,B_p_up,B_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,4.99207710,0.79110912,0.00000000,1.74993317,2.46792301,0.07973924,1.43583127
-5.99399700,5.07760574,0.80873875,0.00000000,1.80177417,2.49655057,0.08219909,1.46168917
-5.98799400,5.16851604,0.82761361,0.00000000,1.85321942,2.52942453,0.08470300,1.48876955
-5.98199100,5.26575505,0.84777301,0.00000000,1.90421254,2.56719197,0.08724959,1.51740010
-5.97598799,5.37015030,0.86922570,0.00000000,1.95469286,2.61040474,0.08983739,1.54788997
-5.96998499,5.48236638,0.89194663,0.00000000,2.00458999,2.65949409,0.09246447,1.58051464
-5.96398199,5.60286696,0.91587472,0.00000000,2.05381945,2.71474901,0.09512818,1.61550202
-5.95797899,5.73188399,0.94091165,0.00000000,2.10227974,2.77629895,0.09782481,1.65302037
-5.95197599,5.86939567,0.96692185,0.00000000,2.14985103,2.84410213,0.10054947,1.69316860
-5.94597299,6.01511415,0.99373380,0.00000000,2.19639579,2.91793967,0.10329583,1.73596948
-5.93996998,6.16848368,1.02114252,0.00000000,2.24176116,2.99741610,0.10605610,1.78136603
-5.93396698,6.32868914,1.04891325,0.00000000,2.28578309,3.08196617,0.10882099,1.82922118
-5.92796398,6.49467465,1.07678627,0.00000000,2.32829187,3.17086774,0.11157974,1.87932079
-5.92196098,6.66517119,1.10448249,0.00000000,2.36911868,3.26326025,0.11432024,1.93137973
-5.91595798,6.83873206,1.13170980,0.00000000,2.40810278,3.35816798,0.11702916,1.98505083
-5.90995498,7.01377424,1.15816986,0.00000000,2.44509859,3.45452721,0.11969217,2.03993605
-5.90395198,7.18862401,1.18356496,0.00000000,2.47998234,3.55121608,0.12229412,2.09559940
-5.89794897,7.36156438,1.20760491,0.00000000,2.51265753,3.64708593,0.12481929,2.15158091
-5.89194597,7.53088240,1.23001350,0.00000000,2.54305886,3.74099300,0.12725163,2.20741093
-5.88594297,7.69491421,1.25053442,0.00000000,2.57115417,3.83182893,0.12957499,2.26262399
-5.87993997,7.85208574,1.26893643,0.00000000,2.59694413,3.91854920,0.13177334,2.31677164
-5.87393697,8.00094767,1.28501755,0.00000000,2.62045956,4.00019814,0.13383097,2.36943353
-5.86793397,8.14020307,1.29860831,0.00000000,2.64175649,4.07592977,0.13573268,2.42022631
-5.86193097,8.26872696,1.30957384,0.00000000,2.66090899,4.14502374,0.13746393,2.46880997
-5.85592796,8.38557737,1.31781492,0.00000000,2.67800045,4.20689580,0.13901100,2.51489130
-5.84992496,8.48999778,1.32326790,0.00000000,2.69311347,4.26110275,0.14036106,2.55822461
-5.84392196,8.58141161,1.32590374,0.00000000,2.70631924,4.30734189,0.14150232,2.59860967
-5.83791896,8.65940967,1.32572616,0.00000000,2.71766704,4.34544522,0.14242405,2.63588729
-5.83191596,8.72373178,1.32276904,0.00000000,2.72717452,4.37536917,0.14311670,2.66993301
-5.82591296,8.77424448,1.31709342,0.00000000,2.73481962,4.39718053,0.14357195,2.70064934
-5.81990995,8.81091645,1.30878402,0.00000000,2.74053469,4.41103965,0.14378279,2.72795742
-5.81390695,8.83379372,1.29794575,0.00000000,2.74420339,4.41718209,0.14374359,2.75178871
-5.80790395,8.84297679,1.28470018,0.00000000,2.74566090,4.41589978,0.14345019,2.77207745
-5.80190095,8.83860118,1.26918230,0.00000000,2.74469745,4.40752303,0.14290006,2.78875465
-5.79589795,8.82082333,1.25153764,0.00000000,2.74106555,4.39240448,0.14209239,2.80174407
-5.78989495,8.78981286,1.23191994,0.00000000,2.73449038,4.37090586,0.14102824,2.81096076
-5.78389195,8.74575198,1.21048933,0.00000000,2.72468333,4.34338855,0.13971079,2.81631238
-5.77788894,8.68884241,1.18741127,0.00000000,2.71135780,4.31020819,0.13814545,2.81770341
-5.77188594,8.61931944,1.16285612,0.00000000,2.69424680,4.27171389,0.13634011,2.81504212
-5.76588294,8.53747228,1.13699922,0.00000000,2.67312126,4.22825162,0.13430533,2.80824993
-5.75987994,8.44366942,1.11002168,0.00000000,2.64780825,4.18017164,0.13205454,2.79727275
-5.75387694,8.33838709,1.08211139,0.00000000,2.61820799,4.12783919,0.12960416,2.78209338
-5.74787394,8.22223889,1.05346439,0.00000000,2.58430884,4.07164735,0.12697372,2.76274448
-5.74187094,8.09600402,1.02428629,0.00000000,2.54619921,4.01203122,0.12418592,2.73932082
-5.73586793,7.96065188,0.99479343,0.00000000,2.50407578,3.94948178,0.12126660,2.71199020
-5.72986493,7.81736074,0.96521390,0.00000000,2.45824736,3.88455847,0.11824457,2.68100208
-5.72386193,7.66752828,0.93578785,0.00000000,2.40913409,3.81789893,0.11515144,2.64669298
-5.71785893,7.51277252,0.90676717,0.00000000,2.35726180,3.75022494,0.11202121,2.60948830
-5.71185593,7.35492187,0.87841439,0.00000000,2.30325176,3.68234352,0.10888989,2.56989993
-5.70585293,7.19599385,0.85100059,0.00000000,2.24780605,3.61514272,0.10579485,2.52851951
-5.69984992,7.03816255,0.82480239,0.00000000,2.19168925,3.54958158,0.10277424,2.48600755
-5.69384692,6.88371566,0.80009802,0.00000000,2.13570727,3.48667442,0.09986617,2.44307849
-5.68784392,6.73500259,0.77716253,0.00000000,2.08068417,3.42746999,0.09710794,2.40048259
-5.68184092,6.59437552,0.75626227,0.00000000,2.02743803,3.37302605,0.09453516,2.35898516
-5.67583792,6.46412612,0.73764891,0.00000000,1.97675710,3.32438053,0.09218094,2.31934431
-5.66983492,6.34642059,0.72155305,0.00000000,1.92937703,3.28252072,0.09007503,2.28228820
-5.66383192,6.24323599,0.70817783,0.00000000,1.88596040,3.24835177,0.08824308,2.24849299
-5.65782891,6.15630096,0.69769279,0.00000000,1.84707925,3.22266618,0.08670596,2.21856252
-5.65182591,6.08704353,0.69022812,0.00000000,1.81320142,3.20611579,0.08547928,2.19301093
-5.64582291,6.03654848,0.68586971,0.00000000,1.78468100,3.19918770,0.08457298,2.17224884
