energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.69577993,0.02544932,0.32990184,0.30868837,0.19777036,1.24183945,0.00000000,0.41881928,0.63338745
-5.99399700,2.79156697,0.02737156,0.34812052,0.32444779,0.20250625,1.28016892,0.00000000,0.43359479,0.67025947
-5.98799400,2.89009795,0.02928308,0.36789487,0.34093188,0.20701392,1.31812463,0.00000000,0.45102994,0.70873037
-5.98199100,2.99059613,0.03115988,0.38909548,0.35802520,0.21123373,1.35541341,0.00000000,0.47120074,0.74843607
-5.97598799,3.09239397,0.03297860,0.41159645,0.37561544,0.21512098,1.39180298,0.00000000,0.49418688,0.78902257
-5.96998499,3.19494224,0.03471719,0.43527806,0.39359533,0.21864628,1.42712308,0.00000000,0.52006848,0.83015580
-5.96398199,3.29781318,0.03635557,0.46002874,0.41186397,0.22179549,1.46126399,0.00000000,0.54892178,0.87153021
-5.95797899,3.40069788,0.03787621,0.48574618,0.43032764,0.22456926,1.49417265,0.00000000,0.58081393,0.91287574
-5.95197599,3.50339846,0.03926463,0.51233769,0.44889986,0.22698220,1.52584665,0.00000000,0.61579732,0.95396284
-5.94597299,3.60581573,0.04050980,0.53971969,0.46750108,0.22906173,1.55632670,0.00000000,0.65390383,0.99460539
-5.93996998,3.70793320,0.04160430,0.56781647,0.48605791,0.23084675,1.58568800,0.00000000,0.69513955,1.03466134
-5.93396698,3.80979883,0.04254449,0.59655842,0.50450211,0.23238609,1.61403112,0.00000000,0.73948024,1.07403112
-5.92796398,3.91150549,0.04333034,0.62587971,0.52276949,0.23373701,1.64147301,0.00000000,0.78686825,1.11265396
-5.92196098,4.01317167,0.04396528,0.65571577,0.54079891,0.23496357,1.66813873,0.00000000,0.83721088,1.15050239
-5.91595798,4.11492358,0.04445577,0.68600074,0.55853155,0.23613514,1.69415441,0.00000000,0.89038080,1.18757525
-5.90995498,4.21687983,0.04481084,0.71666509,0.57591047,0.23732506,1.71964184,0.00000000,0.94621840,1.22388968
-5.90395198,4.31913948,0.04504154,0.74763353,0.59288082,0.23860936,1.74471498,0.00000000,1.00453623,1.25947260
-5.89794897,4.42177409,0.04516025,0.77882354,0.60939043,0.24006582,1.76947858,0.00000000,1.06512519,1.29435215
-5.89194597,4.52482398,0.04518007,0.81014450,0.62539100,0.24177298,1.79402867,0.00000000,1.12776233,1.32854953
-5.88594297,4.62829836,0.04511420,0.84149748,0.64083970,0.24380951,1.81845483,0.00000000,1.19221954,1.36207182
-5.87993997,4.73217883,0.04497533,0.87277574,0.65570108,0.24625346,1.84284369,0.00000000,1.25827273,1.39490590
-5.87393697,4.83642520,0.04477512,0.90386580,0.66994900,0.24918161,1.86728312,0.00000000,1.32571060,1.42701393
-5.86793397,4.94098227,0.04452385,0.93464900,0.68356852,0.25266877,1.89186631,0.00000000,1.39434235,1.45833034
-5.86193097,5.04578624,0.04423009,0.96500325,0.69655725,0.25678677,1.91669515,0.00000000,1.46400351,1.48876043
-5.85592796,5.15076910,0.04390054,0.99480489,0.70892612,0.26160332,1.94188200,0.00000000,1.53455924,1.51818051
-5.84992496,5.25585961,0.04354001,1.02393033,0.72069921,0.26718046,1.96754927,0.00000000,1.60590445,1.54643925
-5.84392196,5.36097974,0.04315150,1.05225724,0.73191252,0.27357269,1.99382628,0.00000000,1.67796046,1.57336016
-5.83791896,5.46603574,0.04273633,1.07966524,0.74261156,0.28082464,2.02084310,0.00000000,1.75066791,1.59874483
-5.83191596,5.57090355,0.04229447,1.10603577,0.75284780,0.28896845,2.04872128,0.00000000,1.82397613,1.62237663
-5.82591296,5.67540887,0.04182479,1.13125126,0.76267395,0.29802086,2.07756177,0.00000000,1.89782927,1.64402472
-5.81990995,5.77930277,0.04132542,1.15519354,0.77213847,0.30798006,2.10743052,0.00000000,1.97214982,1.66344800
-5.81390695,5.88223429,0.04079411,1.17774168,0.78127939,0.31882269,2.13834252,0.00000000,2.04682048,1.68039902
-5.80790395,5.98372206,0.04022851,1.19876937,0.79011803,0.33050082,2.17024540,0.00000000,2.12166549,1.69462771
-5.80190095,6.08312725,0.03962648,1.21814222,0.79865281,0.34293955,2.20300361,0.00000000,2.19643252,1.70588495
-5.79589795,6.17963037,0.03898632,1.23571519,0.80685387,0.35603504,2.23638467,0.00000000,2.27077667,1.71392602
-5.78989495,6.27221459,0.03830688,1.25133059,0.81465869,0.36965351,2.27004852,0.00000000,2.34424768,1.71851419
-5.78389195,6.35965788,0.03758771,1.26481692,0.82196942,0.38363120,2.30354137,0.00000000,2.41628175,1.71942437
-5.77788894,6.44053601,0.03682905,1.27598894,0.82865188,0.39777552,2.33629477,0.00000000,2.48619880,1.71644721
-5.77188594,6.51323786,0.03603180,1.28464902,0.83453690,0.41186750,2.36763079,0.00000000,2.55320611,1.70939357
-5.76588294,6.57599368,0.03519742,1.29059024,0.83942368,0.42566554,2.39677360,0.00000000,2.61640868,1.69809958
-5.75987994,6.62691636,0.03432783,1.29360097,0.84308552,0.43891037,2.42286735,0.00000000,2.67482637,1.68243216
-5.75387694,6.66405465,0.03342529,1.29347106,0.84527752,0.45133126,2.44500004,0.00000000,2.72741762,1.66229508
-5.74787394,6.68545673,0.03249223,1.28999946,0.84574600,0.46265315,2.46223258,0.00000000,2.77310892,1.63763522
-5.74187094,6.68924156,0.03153115,1.28300292,0.84423936,0.47260449,2.47363173,0.00000000,2.81082906,1.60844907
-5.73586793,6.67367505,0.03054451,1.27232541,0.84051966,0.48092552,2.47830580,0.00000000,2.83954679,1.57478885
-5.72986493,6.63724747,0.02953470,1.25784795,0.83437459,0.48737663,2.47544119,0.00000000,2.85831022,1.53676825
-5.72386193,6.57874853,0.02850400,1.23949811,0.82562903,0.49174647,2.46433828,0.00000000,2.86628640,1.49456726
-5.71785893,6.49733636,0.02745461,1.21725893,0.81415582,0.49385936,2.44444487,0.00000000,2.86279905,1.44843575
-5.71185593,6.39259693,0.02638871,1.19117665,0.79988502,0.49358179,2.41538555,0.00000000,2.84736289,1.39869566
-5.70585293,6.26459102,0.02530856,1.16136679,0.78281140,0.49082769,2.37698566,0.00000000,2.81971283,1.34574131
-5.69984992,6.11388614,0.02421665,1.12801829,0.76299954,0.48556214,2.32928858,0.00000000,2.77982670,1.29003789
-5.69384692,5.94157187,0.02311579,1.09139540,0.74058665,0.47780348,2.27256571,0.00000000,2.72794039,1.23211787
-5.68784392,5.74925761,0.02200927,1.05183710,0.71578269,0.46762364,2.20731850,0.00000000,2.66455473,1.17257541
-5.68184092,5.53905281,0.02090098,1.00975404,0.68886791,0.45514678,2.13427265,0.00000000,2.59043366,1.11205886
-5.67583792,5.31353033,0.01979550,0.96562304,0.66018814,0.44054617,2.05436470,0.00000000,2.50659380,1.05126137
-5.66983492,5.07567456,0.01869819,0.91997931,0.63014767,0.42403962,1.96872163,0.00000000,2.41428588,0.99091010
-5.66383192,4.82881630,0.01761520,0.87340661,0.59920053,0.40588360,1.87863447,0.00000000,2.31496867,0.93175400
-5.65782891,4.57655700,0.01655346,0.82652571,0.56784017,0.38636630,1.78552705,0.00000000,2.21027657,0.87455072
-5.65182591,4.32268540,0.01552063,0.77998148,0.53658817,0.36579995,1.69092114,0.00000000,2.10198216,0.82005276
-5.64582291,4.07108950,0.01452499,0.73442912,0.50598243,0.34451278,1.59639941,0.00000000,1.99195507,0.76899338
-5.63981991,3.82566691,0.01357529,0.69051987,0.47656511,0.32284081,1.50356753,0.00000000,1.88211869,0.72207237
-5.63381691,3.59023658,0.01268060,0.64888661,0.44887086,0.30111994,1.41401674,0.00000000,1.77440633,0.67994209
-5.62781391,3.36845442,0.01185009,0.61012989,0.42341559,0.27967843,1.32928794,0.00000000,1.67071805,0.64319400
-5.62181091,3.16373503,0.01109285,0.57480456,0.40068604,0.25883020,1.25083846,0.00000000,1.57287967,0.61234595
-5.61580790,2.97918158,0.01041762,0.54340755,0.38113037,0.23886888,1.18001214,0.00000000,1.48260486,0.58783029
-5.60980490,2.81752488,0.00983261,0.51636688,0.36514995,0.22006304,1.11801340,0.00000000,1.40146133,0.56998327
-5.60380190,2.68107298,0.00934526,0.49403223,0.35309228,0.20265235,1.06588564,0.00000000,1.33084163,0.55903571
-5.59779890,2.57167158,0.00896209,0.47666727,0.34524523,0.18684488,1.02449416,0.00000000,1.27193910,0.55510529
-5.59179590,2.49067561,0.00868845,0.46444387,0.34183247,0.17281548,0.99451367,0.00000000,1.22572909,0.55819060
-5.58579290,2.43893190,0.00852846,0.45743825,0.34301008,0.16070502,0.97642020,0.00000000,1.19295546,0.56816730
-5.57978989,2.41677260,0.00848482,0.45562923,0.34886434,0.15062053,0.97048738,0.00000000,1.17412215,0.58478655
-5.57378689,2.42401906,0.00855876,0.45889851,0.35941057,0.14263606,0.97678664,0.00000000,1.16948966,0.60767603
-5.56778389,2.45999545,0.00874997,0.46703308,0.37459300,0.13679406,0.99519116,0.00000000,1.17907595,0.63634364
-5.56178089,2.52355166,0.00905662,0.47972964,0.39428578,0.13310715,1.02538323,0.00000000,1.20266145,0.67018428
-5.55577789,2.61309475,0.00947530,0.49660107,0.41829486,0.13156023,1.06686475,0.00000000,1.23979761,0.70848962
-5.54977489,2.72662816,0.01000116,0.51718468,0.44636098,0.13211271,1.11897050,0.00000000,1.28981884,0.75046098
-5.54377189,2.86179803,0.01062790,0.54095227,0.47816367,0.13470077,1.18088399,0.00000000,1.35185712,0.79522518
-5.53776888,3.01594559,0.01134797,0.56732169,0.51332625,0.13923963,1.25165548,0.00000000,1.42485922,0.84185318
-5.53176588,3.18616471,0.01215261,0.59566965,0.55142190,0.14562574,1.33022197,0.00000000,1.50760608,0.88938103
-5.52576288,3.36936347,0.01303212,0.62534551,0.59198065,0.15373886,1.41542871,0.00000000,1.59873408,0.93683268
-5.51975988,3.56232838,0.01397593,0.65568570,0.63449731,0.16344399,1.50605197,0.00000000,1.69675800,0.98324396
-5.51375688,3.76178991,0.01497288,0.68602838,0.67844019,0.17459328,1.60082249,0.00000000,1.80009526,1.02768692
-5.50775388,3.96448767,0.01601136,0.71572792,0.72326045,0.18702773,1.69844920,0.00000000,1.90709146,1.06929358
-5.50175088,4.16723361,0.01707957,0.74416878,0.76840181,0.20057891,1.79764268,0.00000000,2.01604664,1.10727839
-5.49574787,4.36697148,0.01816566,0.77077836,0.81331057,0.21507060,1.89713762,0.00000000,2.12524209,1.14095817
-5.48974487,4.56083099,0.01925793,0.79503849,0.85744531,0.23032035,1.99571395,0.00000000,2.23296741,1.16976893
-5.48374187,4.74617485,0.02034501,0.81649507,0.90028636,0.24614111,2.09221571,0.00000000,2.33754727,1.19327868
-5.47773887,4.92063766,0.02141597,0.83476582,0.94134444,0.26234283,2.18556745,0.00000000,2.43736767,1.21119563
-5.47173587,5.08215520,0.02246046,0.84954562,0.98016832,0.27873405,2.27478733,0.00000000,2.53090098,1.22337155
-5.46573287,5.22898372,0.02346876,0.86060963,1.01635119,0.29512353,2.35899695,0.00000000,2.61672958,1.22979986
-5.45972986,5.35970880,0.02443180,0.86781401,1.04953563,0.31132185,2.43742736,0.00000000,2.69356750,1.23060883
-5.45372686,5.47324393,0.02534124,0.87109434,1.07941688,0.32714310,2.50942147,0.00000000,2.76027968,1.22605002
-5.44772386,5.56881961,0.02618940,0.87046199,1.10574459,0.34240650,2.57443284,0.00000000,2.81589842,1.21648270
-5.44172086,5.64596394,0.02696926,0.86599866,1.12832285,0.35693801,2.63202128,0.00000000,2.85963688,1.20235493
-5.43571786,5.70447639,0.02767437,0.85784941,1.14700880,0.37057209,2.68184584,0.00000000,2.89089916,1.18418233
-5.42971486,5.74439654,0.02829886,0.84621466,1.16170992,0.38315330,2.72365563,0.00000000,2.90928706,1.16252563
-5.42371186,5.76596977,0.02883735,0.83134145,1.17238035,0.39453803,2.75727959,0.00000000,2.91460327,1.13796806
-5.41770885,5.76961241,0.02928491,0.81351450,1.17901646,0.40459624,2.78261577,0.00000000,2.90685119,1.11109378
-5.41170585,5.75587820,0.02963709,0.79304741,1.18165211,0.41321323,2.79962113,0.00000000,2.88623146,1.08246831
-5.40570285,5.72542824,0.02988990,0.77027440,1.18035391,0.42029145,2.80830274,0.00000000,2.85313544,1.05262205
-5.39969985,5.67900619,0.03003985,0.74554291,1.17521677,0.42575227,2.80871085,0.00000000,2.80813596,1.02203736
-5.39369685,5.61741996,0.03008402,0.71920729,1.16636015,0.42953787,2.80093472,0.00000000,2.75197568,0.99114005
