energy_ev,total_up,Hg_p_up,Hg_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.39544583,0.59024411,0.24605118,0.45198796,0.27331728,0.01236484,0.12861286,0.58156646,0.00000000
-5.99399700,1.31456392,0.54868495,0.23590809,0.43340859,0.25547718,0.01229546,0.11901604,0.54625003,0.00000000
-5.98799400,1.23534357,0.50734540,0.22581370,0.41459718,0.23827261,0.01240840,0.10956998,0.51132565,0.00000000
-5.98199100,1.15863406,0.46675808,0.21587271,0.39582073,0.22183920,0.01270945,0.10039080,0.47720083,0.00000000
-5.97598799,1.08520686,0.42741864,0.20618560,0.37733941,0.20629061,0.01320126,0.09158485,0.44424992,0.00000000
-5.96998499,1.01575076,0.38978042,0.19684740,0.35940275,0.19171894,0.01388324,0.08324794,0.41281085,0.00000000
-5.96398199,0.95086872,0.35425096,0.18794644,0.34224605,0.17819550,0.01475141,0.07546498,0.38318315,0.00000000
-5.95797899,0.89107644,0.32119021,0.17956293,0.32608716,0.16577184,0.01579837,0.06831004,0.35562690,0.00000000
-5.95197599,0.83680229,0.29091026,0.17176760,0.31112359,0.15448092,0.01701328,0.06184665,0.33036257,0.00000000
-5.94597299,0.78838842,0.26367636,0.16462034,0.29753011,0.14433841,0.01838187,0.05612839,0.30757165,0.00000000
-5.93996998,0.74609300,0.23970891,0.15816903,0.28545681,0.13534408,0.01988657,0.05119964,0.28739778,0.00000000
-5.93396698,0.71009309,0.21918604,0.15244853,0.27502773,0.12748322,0.02150669,0.04709632,0.26994839,0.00000000
-5.92796398,0.68048821,0.20224649,0.14747997,0.26633990,0.12072808,0.02321870,0.04384667,0.25529648,0.00000000
-5.92196098,0.65730425,0.18899239,0.14327042,0.25946301,0.11503934,0.02499656,0.04147191,0.24348262,0.00000000
-5.91595798,0.64049762,0.17949172,0.13981288,0.25443939,0.11036758,0.02681223,0.03998671,0.23451682,0.00000000
-5.90995498,0.62995941,0.17378000,0.13708666,0.25128450,0.10665477,0.02863614,0.03939942,0.22838032,0.00000000
-5.90395198,0.62551942,0.17186130,0.13505823,0.24998763,0.10383578,0.03043790,0.03971207,0.22502702,0.00000000
-5.89794897,0.62694998,0.17370822,0.13368232,0.25051291,0.10183986,0.03218694,0.04092007,0.22438478,0.00000000
-5.89194597,0.63396942,0.17926094,0.13290342,0.25280040,0.10059215,0.03385325,0.04301166,0.22635623,0.00000000
-5.88594297,0.64624523,0.18842542,0.13265751,0.25676728,0.10001513,0.03540818,0.04596710,0.23081934,0.00000000
-5.87993997,0.66339679,0.20107088,0.13287394,0.26230911,0.10003014,0.03682518,0.04975771,0.23762777,0.00000000
-5.87393697,0.68499801,0.21702689,0.13347746,0.26930103,0.10055871,0.03808052,0.05434484,0.24661100,0.00000000
-5.86793397,0.71057977,0.23608032,0.13439028,0.27759895,0.10152394,0.03915401,0.05967878,0.25757444,0.00000000
-5.86193097,0.73963251,0.25797261,0.13553402,0.28704085,0.10285175,0.04002953,0.06569785,0.27029963,0.00000000
-5.85592796,0.77160927,0.28239768,0.13683161,0.29744809,0.10447204,0.04069556,0.07232763,0.28454481,0.00000000
-5.84992496,0.80592923,0.30900103,0.13820900,0.30862694,0.10631971,0.04114552,0.07948056,0.30004587,0.00000000
-5.84392196,0.84198238,0.33738021,0.13959666,0.32037037,0.10833559,0.04137793,0.08705600,0.31651794,0.00000000
-5.83791896,0.87913522,0.36708725,0.14093086,0.33246016,0.11046722,0.04139652,0.09494073,0.33365781,0.00000000
-5.83191596,0.91673793,0.39763296,0.14215472,0.34466956,0.11266944,0.04121006,0.10301002,0.35114721,0.00000000
-5.82591296,0.95413303,0.42849351,0.14321900,0.35676632,0.11490491,0.04083213,0.11112940,0.36865703,0.00000000
-5.81990995,0.99066544,0.45911915,0.14408263,0.36851644,0.11714437,0.04028069,0.11915689,0.38585246,0.00000000
-5.81390695,1.02569404,0.48894484,0.14471310,0.37968823,0.11936681,0.03957754,0.12694584,0.40239910,0.00000000
-5.80790395,1.05860415,0.51740278,0.14508656,0.39005703,0.12155936,0.03874767,0.13434830,0.41796970,0.00000000
-5.80190095,1.08882077,0.54393608,0.14518777,0.39941008,0.12371708,0.03781849,0.14121863,0.43225145,0.00000000
-5.79589795,1.11582189,0.56801334,0.14500989,0.40755167,0.12584244,0.03681908,0.14741747,0.44495351,0.00000000
-5.78989495,1.13915133,0.58914332,0.14455404,0.41430813,0.12794463,0.03577925,0.15281565,0.45581450,0.00000000
-5.78389195,1.15843036,0.60688919,0.14382875,0.41953261,0.13003859,0.03472879,0.15729807,0.46460948,0.00000000
-5.77788894,1.17336747,0.62088152,0.14284923,0.42310920,0.13214380,0.03369654,0.16076723,0.47115620,0.00000000
-5.77188594,1.18376560,0.63082961,0.14163652,0.42495628,0.13428289,0.03270961,0.16314634,0.47532021,0.00000000
-5.76588294,1.18952631,0.63653025,0.14021639,0.42502886,0.13647991,0.03179264,0.16438173,0.47701855,0.00000000
-5.75987994,1.19065046,0.63787376,0.13861824,0.42331961,0.13875856,0.03096711,0.16444462,0.47622172,0.00000000
-5.75387694,1.18723522,0.63484681,0.13687377,0.41985866,0.14114017,0.03025077,0.16333193,0.47295395,0.00000000
-5.74787394,1.17946741,0.62753186,0.13501559,0.41471195,0.14364172,0.02965714,0.16106631,0.46729142,0.00000000
-5.74187094,1.16761333,0.61610326,0.13307580,0.40797826,0.14627381,0.02919522,0.15769518,0.45935885,0.00000000
-5.73586793,1.15200567,0.60082023,0.13108457,0.39978502,0.14903885,0.02886920,0.15328897,0.44932421,0.00000000
-5.72986493,1.13302797,0.58201692,0.12906870,0.39028307,0.15192942,0.02867843,0.14793862,0.43739215,0.00000000
-5.72386193,1.11109755,0.56009016,0.12705042,0.37964072,0.15492706,0.02861745,0.14175232,0.42379618,0.00000000
-5.71785893,1.08664789,0.53548551,0.12504627,0.36803720,0.15800144,0.02867621,0.13485189,0.40879018,0.00000000
-5.71185593,1.06011122,0.50868203,0.12306627,0.35565617,0.16111021,0.02884037,0.12736875,0.39263958,0.00000000
-5.70585293,1.03190244,0.48017684,0.12111343,0.34267926,0.16419935,0.02909183,0.11943974,0.37561262,0.00000000
-5.69984992,1.00240517,0.45046979,0.11918353,0.32928025,0.16720431,0.02940927,0.11120302,0.35797212,0.00000000
