energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,11.58395311,0.88790754,5.22857708,0.00600986,0.88785510,3.16264123,4.09774391,1.24939534,0.00000000
-5.99399700,11.67683559,0.85818787,5.39434756,0.00550277,0.86245436,3.01738528,4.08211885,1.24339973,0.00000000
-5.98799400,11.75224001,0.82631224,5.55051183,0.00504671,0.83670244,2.87084462,4.06137740,1.23449785,0.00000000
-5.98199100,11.80751146,0.79274990,5.69398643,0.00463852,0.81095005,2.72494978,4.03518516,1.22276490,0.00000000
-5.97598799,11.84016801,0.75796201,5.82179563,0.00427478,0.78555006,2.58160501,4.00326574,1.20829927,0.00000000
-5.96998499,11.84798178,0.72239022,5.93115280,0.00395194,0.76085051,2.44264738,3.96541729,1.19122005,0.00000000
-5.96398199,11.82905559,0.68644711,6.01953795,0.00366639,0.73718816,2.30981008,3.92152669,1.17166455,0.00000000
-5.95797899,11.78189169,0.65050884,6.08476850,0.00341453,0.71488263,2.18469032,3.87158062,1.14978597,0.00000000
-5.95197599,11.70544908,0.61491005,6.12506078,0.00319286,0.69423088,2.06872217,3.81567269,1.12575111,0.00000000
-5.94597299,11.59918672,0.57994083,6.13907997,0.00299796,0.67550224,1.96315415,3.75400605,1.09973816,0.00000000
-5.93996998,11.46309023,0.54584571,6.12597670,0.00282660,0.65893374,1.86903143,3.68689125,1.07193447,0.00000000
-5.93396698,11.29768041,0.51282444,6.08540898,0.00267571,0.64472571,1.78718216,3.61473927,1.04253436,0.00000000
-5.92796398,11.10400310,0.48103406,6.01754884,0.00254243,0.63303763,1.71820757,3.53804979,1.01173690,0.00000000
-5.92196098,10.88360024,0.45059218,5.92307342,0.00242410,0.62398417,1.66247540,3.45739541,0.97974360,0.00000000
-5.91595798,10.63846336,0.42158085,5.80314106,0.00231828,0.61763145,1.62011614,3.37340232,0.94675615,0.00000000
-5.90995498,10.37097125,0.39405096,5.65935344,0.00222279,0.61399362,1.59102213,3.28672850,0.91297411,0.00000000
-5.90395198,10.08381464,0.36802659,5.49370523,0.00213565,0.61302990,1.57484911,3.19804045,0.87859263,0.00000000
-5.89794897,9.77991109,0.34350938,5.30852342,0.00205512,0.61464227,1.57102059,3.10798963,0.84380027,0.00000000
-5.89194597,9.46231394,0.32048247,5.10639867,0.00197974,0.61867402,1.57873511,3.01718987,0.80877704,0.00000000
-5.88594297,9.13411950,0.29891405,4.89011133,0.00190823,0.62490951,1.59697686,2.92619690,0.77369255,0.00000000
-5.87993997,8.79837664,0.27876041,4.66255504,0.00183960,0.63307526,1.62453006,2.83549109,0.73870454,0.00000000
-5.87393697,8.45800286,0.25996854,4.42666069,0.00177309,0.64284269,1.65999762,2.74546429,0.70395780,0.00000000
-5.86793397,8.11571050,0.24247821,4.18532352,0.00170818,0.65383280,1.70182432,2.65641152,0.66958341,0.00000000
