energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Y_p_up,Y_d_up
-6.00000000,4.33660676,0.02693016,0.04259222,0.03970172,2.98333252,1.59729054,1.04386760,0.99442535,0.30961142
-5.99399700,4.39371999,0.02856947,0.04274152,0.04097969,3.02325759,1.61710758,1.06399742,1.00058286,0.31511479
-5.98799400,4.44215917,0.03030384,0.04283239,0.04219662,3.05720168,1.63416438,1.08153578,1.00499371,0.32009700
-5.98199100,4.48139132,0.03211387,0.04286240,0.04333775,3.08481008,1.64833617,1.09625647,1.00765852,0.32450993
-5.97598799,4.51088532,0.03397694,0.04282856,0.04438780,3.10572994,1.65948660,1.10794821,1.00857075,0.32830370
-5.96998499,4.53012805,0.03586768,0.04272747,0.04533137,3.11962069,1.66747138,1.11642078,1.00771822,0.33142772
-5.96398199,4.53864341,0.03775863,0.04255557,0.04615336,3.12616627,1.67214334,1.12151116,1.00508575,0.33383198
-5.95797899,4.53601296,0.03962106,0.04230929,0.04683944,3.12508855,1.67335862,1.12308954,1.00065888,0.33546858
-5.95197599,4.52189758,0.04142595,0.04198534,0.04737650,3.11616146,1.67098370,1.12106466,0.99442833,0.33629333
-5.94597299,4.49605880,0.04314498,0.04158091,0.04775316,3.09922496,1.66490315,1.11538845,0.98639510,0.33626745
-5.93996998,4.45837893,0.04475165,0.04109389,0.04796015,3.07419837,1.65502753,1.10605965,0.97657575,0.33535926
-5.93396698,4.40887904,0.04622232,0.04052309,0.04799076,3.04109238,1.64130134,1.09312627,0.96500768,0.33354584
-5.92796398,4.34773378,0.04753720,0.03986838,0.04784114,3.00001910,1.62371043,1.07668673,0.95175394,0.33081451
-5.92196098,4.27528238,0.04868126,0.03913088,0.04751055,2.95119970,1.60228880,1.05688969,0.93690742,0.32716420
-5.91595798,4.19203516,0.04964492,0.03831300,0.04700153,2.89496918,1.57712414,1.03393253,0.92059394,0.32260647
-5.90995498,4.09867489,0.05042456,0.03741852,0.04631997,2.83177790,1.54836203,1.00805851,0.90297409,0.31716632
-5.90395198,3.99605297,0.05102277,0.03645266,0.04547503,2.76218958,1.51620835,0.97955268,0.88424354,0.31088256
-5.89794897,3.88517989,0.05144840,0.03542196,0.04447899,2.68687571,1.48092978,0.94873672,0.86463163,0.30380786
-5.89194597,3.76721028,0.05171620,0.03433428,0.04334699,2.60660617,1.44285204,0.91596275,0.84439825,0.29600828
-5.88594297,3.64342257,0.05184633,0.03319866,0.04209667,2.52223635,1.40235590,0.88160642,0.82382881,0.28756244
-5.87993997,3.51519373,0.05186357,0.03202515,0.04074772,2.43469082,1.35987093,0.84605928,0.80322766,0.27856020
-5.87393697,3.38396977,0.05179623,0.03082463,0.03932133,2.34494395,1.31586690,0.80972080,0.78290976,0.26910089
