energy_ev,total_up,In_p_up,In_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,0.44947662,0.00470754,0.00364067,0.23685477,0.15114000,0.06771427,0.00000000
-5.99399700,0.45379500,0.00447317,0.00368018,0.23577106,0.15418614,0.07458560,0.00000000
-5.98799400,0.46040383,0.00446663,0.00372086,0.23493322,0.15829949,0.08269742,0.00000000
-5.98199100,0.46945852,0.00468819,0.00376144,0.23436391,0.16356564,0.09216264,0.00000000
-5.97598799,0.48114949,0.00514281,0.00380073,0.23409347,0.17008540,0.10310968,0.00000000
-5.96998499,0.49570138,0.00583997,0.00383769,0.23416017,0.17797411,0.11568077,0.00000000
-5.96398199,0.51337052,0.00679346,0.00387148,0.23461020,0.18736020,0.13002933,0.00000000
-5.95797899,0.53444038,0.00802088,0.00390149,0.23549717,0.19838287,0.14631634,0.00000000
-5.95197599,0.55921493,0.00954309,0.00392738,0.23688132,0.21118879,0.16470591,0.00000000
-5.94597299,0.58800997,0.01138339,0.00394909,0.23882815,0.22592803,0.18535989,0.00000000
-5.93996998,0.62114241,0.01356669,0.00396684,0.24140674,0.24274891,0.20843166,0.00000000
-5.93396698,0.65891773,0.01611840,0.00398114,0.24468767,0.26179222,0.23405943,0.00000000
-5.92796398,0.70161596,0.01906327,0.00399279,0.24874058,0.28318475,0.26235892,0.00000000
-5.92196098,0.74947671,0.02242411,0.00400278,0.25363153,0.30703231,0.29341612,0.00000000
-5.91595798,0.80268365,0.02622046,0.00401233,0.25942025,0.33341270,0.32728000,0.00000000
-5.90995498,0.86134929,0.03046721,0.00402278,0.26615735,0.36236873,0.36395590,0.00000000
-5.90395198,0.92550077,0.03517322,0.00403557,0.27388178,0.39390179,0.40339967,0.00000000
-5.89794897,0.99506742,0.04034012,0.00405215,0.28261848,0.42796625,0.44551309,0.00000000
-5.89194597,1.06987088,0.04596111,0.00407394,0.29237658,0.46446504,0.49014089,0.00000000
-5.88594297,1.14961851,0.05202010,0.00410225,0.30314816,0.50324678,0.53706955,0.00000000
-5.87993997,1.23390076,0.05849100,0.00413824,0.31490760,0.54410477,0.58602821,0.00000000
-5.87393697,1.32219271,0.06533743,0.00418288,0.32761176,0.58677791,0.63669176,0.00000000
-5.86793397,1.41386026,0.07251269,0.00423691,0.34120086,0.63095385,0.68868611,0.00000000
-5.86193097,1.50817074,0.07996021,0.00430078,0.35559999,0.67627414,0.74159550,0.00000000
-5.85592796,1.60430784,0.08761437,0.00437469,0.37072127,0.72234148,0.79497171,0.00000000
-5.84992496,1.70139008,0.09540166,0.00445856,0.38646650,0.76872871,0.84834471,0.00000000
-5.84392196,1.79849231,0.10324233,0.00455203,0.40273001,0.81498917,0.90123434,0.00000000
