energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
5.86193097,0.51997779,0.11339924,0.00000000,0.76850316,0.20873039,0.02939900,0.09236178
5.86793397,0.48841334,0.10565243,0.00000000,0.73156643,0.19621983,0.02711521,0.08873058
5.87393697,0.46394464,0.09989481,0.00000000,0.70348454,0.18640346,0.02531869,0.08643598
5.87993997,0.44675190,0.09610431,0.00000000,0.68478734,0.17936709,0.02400437,0.08552503
5.88594297,0.43693936,0.09424179,0.00000000,0.67589414,0.17516521,0.02316270,0.08602857
5.89194597,0.43453301,0.09425183,0.00000000,0.67710291,0.17381992,0.02277986,0.08796011
5.89794897,0.43947734,0.09606294,0.00000000,0.68857884,0.17531952,0.02283800,0.09131458
5.90395198,0.45163141,0.09958756,0.00000000,0.71034279,0.17961698,0.02331538,0.09606713
5.90995498,0.47076443,0.10472172,0.00000000,0.74226009,0.18662832,0.02418640,0.10217189
5.91595798,0.49655152,0.11134465,0.00000000,0.78403034,0.19623109,0.02542164,0.10956095
5.92196098,0.52856995,0.11931836,0.00000000,0.83517899,0.20826319,0.02698783,0.11814356
5.92796398,0.56629662,0.12848741,0.00000000,0.89505163,0.22252212,0.02884788,0.12780574
5.93396698,0.60910732,0.13867903,0.00000000,0.96281166,0.23876498,0.03096099,0.13841033
5.93996998,0.65627827,0.14970374,0.00000000,1.03744233,0.25670945,0.03328278,0.14979773
5.94597299,0.70699061,0.16135651,0.00000000,1.11775381,0.27603584,0.03576557,0.16178733
5.95197599,0.76033818,0.17341864,0.00000000,1.20239584,0.29639039,0.03835883,0.17417960
5.95797899,0.81533879,0.18566044,0.00000000,1.28987631,0.31738995,0.04100975,0.18675912
5.96398199,0.87094911,0.19784454,0.00000000,1.37858589,0.33862800,0.04366395,0.19929833
5.96998499,0.92608315,0.20972995,0.00000000,1.46682847,0.35968201,0.04626638,0.21156196
5.97598799,0.97963378,0.22107679,0.00000000,1.55285677,0.38012198,0.04876234,0.22331216
5.98199100,1.03049696,0.23165133,0.00000000,1.63491237,0.39951988,0.05109855,0.23431411
5.98799400,1.07759776,0.24123146,0.00000000,1.71126885,0.41745979,0.05322441,0.24434182
5.99399700,1.11991736,0.24961209,0.00000000,1.78027655,0.43354838,0.05509308,0.25318416
6.00000000,1.15651989,0.25661053,0.00000000,1.84040741,0.44742523,0.05666275,0.26065062
