energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.34541400,0.00661463,0.42586329,0.56426349,0.35262168,0.02252126,0.86625770,1.53422700,0.52676477
-5.99399700,2.33341775,0.00663961,0.42091902,0.57147468,0.35100361,0.02122411,0.87090833,1.52187941,0.52189008
-5.98799400,2.32795953,0.00665486,0.41767345,0.58047044,0.34965832,0.01991158,0.87749019,1.51579623,0.51860616
-5.98199100,2.32907743,0.00665997,0.41615794,0.59117573,0.34862574,0.01860509,0.88594624,1.51583176,0.51694714
-5.97598799,2.33659252,0.00665421,0.41635362,0.60346648,0.34792723,0.01732471,0.89616015,1.52163854,0.51689045
-5.96998499,2.35013580,0.00663668,0.41819610,0.61717812,0.34756793,0.01608874,0.90796742,1.53269113,0.51836277
-5.96398199,2.36918389,0.00660627,0.42158213,0.63211591,0.34754020,0.01491344,0.92116898,1.54831690,0.52124828
-5.95797899,2.39310126,0.00656183,0.42637763,0.64806662,0.34782786,0.01381284,0.93554653,1.56773204,0.52539869
-5.95197599,2.42118644,0.00650222,0.43242672,0.66481058,0.34841086,0.01279868,0.95087879,1.59008114,0.53064437
-5.94597299,2.45271939,0.00642644,0.43956109,0.68213368,0.34927006,0.01188036,0.96695736,1.61447798,0.53680604
-5.93996998,2.48700713,0.00633370,0.44760933,0.69983840,0.35039179,0.01106508,0.98360146,1.64004560,0.54370616
-5.93396698,2.52342498,0.00622353,0.45640548,0.71775325,0.35177181,0.01035794,1.00067051,1.66595361,0.55117946
-5.92796398,2.56145081,0.00609584,0.46579651,0.73574011,0.35341840,0.00976218,1.01807362,1.69145068,0.55908197
-5.92196098,2.60069042,0.00595098,0.47564816,0.75369886,0.35535427,0.00927933,1.03577550,1.71589094,0.56729803
-5.91595798,2.64089245,0.00578977,0.48584897,0.77156923,0.35761725,0.00890950,1.05379824,1.73875279,0.57574495
-5.90995498,2.68195213,0.00561351,0.49631226,0.78932951,0.36025959,0.00865152,1.07221883,1.75964968,0.58437505
-5.90395198,2.72390370,0.00542395,0.50697598,0.80699242,0.36334588,0.00850322,1.09116248,1.77833231,0.59317496
-5.89794897,2.76690214,0.00522325,0.51780056,0.82459826,0.36694974,0.00846151,1.11079211,1.79468277,0.60216247
-5.89194597,2.81119542,0.00501394,0.52876500,0.84220584,0.37114951,0.00852256,1.13129461,1.80870113,0.61138097
-5.88594297,2.85708926,0.00479879,0.53986147,0.85988179,0.37602311,0.00868183,1.15286461,1.82048578,0.62089199
-5.87993997,2.90490668,0.00458076,0.55108884,0.87768893,0.38164245,0.00893415,1.17568683,1.83020890,0.63076641
-5.87393697,2.95494498,0.00436286,0.56244568,0.89567453,0.38806776,0.00927371,1.19991804,1.83808898,0.64107474
-5.86793397,3.00743309,0.00414807,0.57392320,0.91385914,0.39534216,0.00969403,1.22566980,1.84436210,0.65187736
-5.86193097,3.06249208,0.00393925,0.58549872,0.93222694,0.40348686,0.01018794,1.25299297,1.84925404,0.66321518
-5.85592796,3.12010141,0.00373900,0.59712997,0.95071815,0.41249729,0.01074747,1.28186512,1.85295498,0.67510139
-5.84992496,3.18007334,0.00354962,0.60875098,0.96922412,0.42234046,0.01136390,1.31218169,1.85559835,0.68751495
-5.84392196,3.24203720,0.00337307,0.62026949,0.98758553,0.43295370,0.01202765,1.34375142,1.85724523,0.70039606
-5.83791896,3.30543476,0.00321086,0.63156645,1.00559394,0.44424492,0.01272831,1.37629654,1.85787504,0.71364413
-5.83191596,3.36952720,0.00306408,0.64249753,1.02299670,0.45609445,0.01345469,1.40945790,1.85738314,0.72711825
-5.82591296,3.43341362,0.00293343,0.65289655,1.03950491,0.46835827,0.01419487,1.44280471,1.85558525,0.74064038
-5.81990995,3.49606007,0.00281916,0.66258086,1.05480431,0.48087268,0.01493636,1.47584863,1.85222821,0.75400085
-5.81390695,3.55633767,0.00272117,0.67135822,1.06856831,0.49345997,0.01566624,1.50806142,1.84700636,0.76696612
-5.80790395,3.61306781,0.00263908,0.67903488,1.08047256,0.50593491,0.01637140,1.53889525,1.83958222,0.77928825
-5.80190095,3.66507191,0.00257224,0.68542432,1.09021029,0.51811174,0.01703882,1.56780472,1.82961005,0.79071562
-5.79589795,3.71122298,0.00251985,0.69035623,1.09750746,0.52981118,0.01765580,1.59426922,1.81676079,0.80100423
-5.78989495,3.75049611,0.00248104,0.69368518,1.10213702,0.54086720,0.01821032,1.61781468,1.80074655,0.80992906
-5.78389195,3.78201516,0.00245493,0.69529842,1.10393135,0.55113306,0.01869134,1.63803332,1.78134322,0.81729473
-5.77788894,3.80509289,0.00244070,0.69512235,1.10279221,0.56048649,0.01908910,1.65460051,1.75840970,0.82294492
-5.77188594,3.81926252,0.00243769,0.69312738,1.09869768,0.56883346,0.01939541,1.66728770,1.73190249,0.82677007
-5.76588294,3.82429875,0.00244539,0.68933073,1.09170556,0.57611065,0.01960385,1.67597086,1.70188500,0.82871278
-5.75987994,3.82022729,0.00246351,0.68379704,1.08195316,0.58228622,0.01971004,1.68063387,1.66853077,0.82877078
-5.75387694,3.80732233,0.00249199,0.67663687,1.06965342,0.58735909,0.01971168,1.68136683,1.63212065,0.82699718
-5.74787394,3.78609220,0.00253100,0.66800287,1.05508745,0.59135659,0.01960868,1.67835928,1.59303420,0.82349805
-5.74187094,3.75725395,0.00258090,0.65808411,1.03859401,0.59433082,0.01940310,1.67188889,1.55173570,0.81842739
-5.73586793,3.72169854,0.00264218,0.64709872,1.02055645,0.59635381,0.01909907,1.66230620,1.50875591,0.81197992
-5.72986493,3.68044843,0.00271545,0.63528513,1.00138763,0.59751187,0.01870264,1.65001625,1.46467049,0.80438189
-5.72386193,3.63461009,0.00280132,0.62289264,0.98151381,0.59789947,0.01822155,1.63545832,1.42007639,0.79588063
-5.71785893,3.58532394,0.00290035,0.61017150,0.96135817,0.59761302,0.01766496,1.61908479,1.37556769,0.78673321
-5.71185593,3.53371461,0.00301293,0.59736323,0.94132481,0.59674494,0.01704312,1.60134032,1.33171200,0.77719495
-5.70585293,3.48084413,0.00313923,0.58469150,0.92178402,0.59537847,0.01636703,1.58264262,1.28902883,0.76750834
-5.69984992,3.42767038,0.00327906,0.57235409,0.90305959,0.59358342,0.01564810,1.56336580,1.24797098,0.75789295
-5.69384692,3.37501318,0.00343187,0.56051627,0.88541853,0.59141325,0.01489779,1.54382716,1.20890971,0.74853679
-5.68784392,3.32352931,0.00359662,0.54930585,0.86906392,0.58890368,0.01412728,1.52427822,1.17212448,0.73958959
-5.68184092,3.27369780,0.00377179,0.53881007,0.85413085,0.58607283,0.01334720,1.50490032,1.13779739,0.73115822
-5.67583792,3.22581568,0.00395532,0.52907440,0.84068583,0.58292294,0.01256734,1.48580494,1.10601255,0.72330448
-5.66983492,3.18000424,0.00414466,0.52010325,0.82872933,0.57944363,0.01179650,1.46703864,1.07676001,0.71604516
-5.66383192,3.13622480,0.00433677,0.51186237,0.81820143,0.57561641,0.01104232,1.44859225,1.04994386,0.70935441
-5.65782891,3.09430273,0.00452818,0.50428282,0.80898994,0.57142007,0.01031118,1.43041336,1.02539383,0.70316806
-5.65182591,3.05395798,0.00471511,0.49726609,0.80094070,0.56683682,0.00960823,1.41242163,1.00287951,0.69738960
-5.64582291,3.01483994,0.00489350,0.49069026,0.79386920,0.56185848,0.00893733,1.39452547,0.98212635,0.69189746
-5.63981991,2.97656431,0.00505922,0.48441661,0.78757308,0.55649249,0.00830120,1.37663918,0.96283239,0.68655306
-5.63381691,2.93874963,0.00520813,0.47829650,0.78184460,0.55076710,0.00770145,1.35869928,0.94468490,0.68120914
-5.62781391,2.90105127,0.00533626,0.47217811,0.77648253,0.54473554,0.00713877,1.34067895,0.92737599,0.67571799
-5.62181091,2.86319064,0.00543994,0.46591281,0.77130280,0.53847857,0.00661305,1.32259948,0.91061640,0.66993907
-5.61580790,2.82497822,0.00551593,0.45936083,0.76614733,0.53210535,0.00612351,1.30453800,0.89414711,0.66374568
-5.60980490,2.78632877,0.00556152,0.45239614,0.76089065,0.52575233,0.00566890,1.28663084,0.87774797,0.65703039
-5.60380190,2.74726837,0.00557469,0.44491032,0.75544409,0.51958010,0.00524762,1.26907221,0.86124351,0.64970895
-5.59779890,2.70793268,0.00555410,0.43681545,0.74975723,0.51376835,0.00485789,1.25210812,0.84450563,0.64172274
-5.59179590,2.66855706,0.00549923,0.42804595,0.74381681,0.50850903,0.00449778,1.23602587,0.82745335,0.63303954
-5.58579290,2.62945915,0.00541031,0.41855941,0.73764312,0.50399805,0.00416543,1.22113963,0.81005001,0.62365286
-5.57978989,2.59101522,0.00528841,0.40833651,0.73128432,0.50042597,0.00385903,1.20777287,0.79229819,0.61357992
-5.57378689,2.55363203,0.00513530,0.39738020,0.72480899,0.49796806,0.00357693,1.19623877,0.77423291,0.60285852
-5.56778389,2.51771585,0.00495345,0.38571417,0.71829747,0.49677436,0.00331768,1.18681964,0.75591377,0.59154304
-5.56178089,2.48364088,0.00474593,0.37338078,0.71183257,0.49696026,0.00308002,1.17974660,0.73741643,0.57969990
-5.55577789,2.45171895,0.00451626,0.36043871,0.70549037,0.49859808,0.00286297,1.17518094,0.71882415,0.56740284
-5.54977489,2.42217247,0.00426836,0.34696029,0.69933145,0.50171035,0.00266577,1.17319812,0.70021992,0.55472819
-5.54377189,2.39511235,0.00400635,0.33302875,0.69339334,0.50626495,0.00248793,1.17377550,0.68167951,0.54175061
-5.53776888,2.37052229,0.00373445,0.31873555,0.68768459,0.51217268,0.00232921,1.17678479,0.66326598,0.52853930
-5.53176588,2.34825036,0.00345688,0.30417769,0.68218082,0.51928736,0.00218966,1.18198958,0.64502575,0.51515512
-5.52576288,2.32800862,0.00317769,0.28945530,0.67682295,0.52740853,0.00206955,1.18904840,0.62698648,0.50164857
-5.51975988,2.30938062,0.00290068,0.27466943,0.67151783,0.53628678,0.00196947,1.19752321,0.60915668,0.48805874
-5.51375688,2.29183666,0.00262932,0.25992014,0.66614116,0.54563144,0.00189026,1.20689301,0.59152706,0.47441338
-5.50775388,2.27475577,0.00236667,0.24530480,0.66054254,0.55512027,0.00183304,1.21657201,0.57407334,0.46072973
-5.50175088,2.25745336,0.00211535,0.23091680,0.65455234,0.56441084,0.00179923,1.22593134,0.55676029,0.44701638
-5.49574787,2.23921291,0.00187748,0.21684448,0.64798999,0.57315294,0.00179052,1.23432342,0.53954663,0.43327565
-5.48974487,2.21932002,0.00165469,0.20317029,0.64067321,0.58100154,0.00180886,1.24110763,0.52239041,0.41950653
-5.48374187,2.19709699,0.00144816,0.18997029,0.63242763,0.58762964,0.00185646,1.24567600,0.50525447,0.40570786
-5.47773887,2.17193596,0.00125858,0.17731371,0.62309625,0.59274045,0.00193570,1.24747776,0.48811168,0.39188153
-5.47173587,2.14332902,0.00108623,0.16526277,0.61254822,0.59607830,0.00204913,1.24604139,0.47094940,0.37803550
-5.46573287,2.11089357,0.00093102,0.15387255,0.60068635,0.59743785,0.00219937,1.24099323,0.45377308,0.36418644
-5.45972986,2.07439177,0.00079255,0.14319093,0.58745320,0.59667121,0.00238900,1.23207176,0.43660863,0.35036181
-5.45372686,2.03374319,0.00067015,0.13325861,0.57283504,0.59369267,0.00262048,1.21913689,0.41950350,0.33660125
-5.44772386,1.98903007,0.00056293,0.12410906,0.55686395,0.58848091,0.00289599,1.20217400,0.40252635,0.32295717
-5.44172086,1.94049516,0.00046987,0.11576856,0.53961758,0.58107871,0.00321731,1.18129265,0.38576539,0.30949461
-5.43571786,1.88853244,0.00038984,0.10825613,0.52121687,0.57159019,0.00358564,1.15672015,0.36932548,0.29629024
-5.42971486,1.83367139,0.00032165,0.10158354,0.50182184,0.56017589,0.00400146,1.12879047,0.35332421,0.28343077
-5.42371186,1.77655588,0.00026412,0.09575533,0.48162568,0.54704592,0.00446436,1.09792922,0.33788730,0.27101069
-5.41770885,1.71791884,0.00021605,0.09076883,0.46084746,0.53245164,0.00497291,1.06463548,0.32314345,0.25912963
-5.41170585,1.65855423,0.00017633,0.08661433,0.43972402,0.51667621,0.00552452,1.02946158,0.30921920,0.24788947
-5.40570285,1.59928779,0.00014391,0.08327542,0.41850125,0.50002454,0.00611537,0.99299159,0.29623397,0.23739138
-5.39969985,1.54094803,0.00011779,0.08072947,0.39742540,0.48281299,0.00674031,0.95581983,0.28429571,0.22773302
-5.39369685,1.48433880,0.00009712,0.07894843,0.37673467,0.46535937,0.00739288,0.91853019,0.27349747,0.21900598
-5.38769385,1.43021485,0.00008110,0.07789987,0.35665155,0.44797337,0.00806536,0.88167704,0.26391501,0.21129373
-5.38169085,1.37926114,0.00006906,0.07754837,0.33737627,0.43094802,0.00874880,0.84576860,0.25560585,0.20467008
-5.37568784,1.33207676,0.00006041,0.07785725,0.31908138,0.41455215,0.00943322,0.81125322,0.24860955,0.19919828
-5.36968484,1.28916389,0.00005465,0.07879067,0.30190786,0.39902416,0.01010782,0.77850882,0.24294961,0.19493079
-5.36368184,1.25092190,0.00005138,0.08031598,0.28596274,0.38456718,0.01076116,0.74783589,0.23863661,0.19190968
-5.35767884,1.21764641,0.00005027,0.08240638,0.27131817,0.37134553,0.01138154,0.71945384,0.23567257,0.19016754
-5.35167584,1.18953302,0.00005104,0.08504380,0.25801189,0.35948268,0.01195729,0.69350056,0.23405641,0.18972897
-5.34567284,1.16668510,0.00005350,0.08822178,0.24604907,0.34906037,0.01247709,0.67003510,0.23379002,0.19061232
-5.33966983,1.14912467,0.00005750,0.09194841,0.23540516,0.34011900,0.01293038,0.64904274,0.23488475,0.19283163
-5.33366683,1.13680588,0.00006290,0.09624911,0.22602960,0.33265907,0.01330767,0.63044237,0.23736790,0.19639862
-5.32766383,1.12962977,0.00006963,0.10116902,0.21785024,0.32664349,0.01360083,0.61409533,0.24128885,0.20132455
-5.32166083,1.12745968,0.00007762,0.10677504,0.21077807,0.32200078,0.01380345,0.59981547,0.24672441,0.20762171
-5.31565783,1.13013631,0.00008681,0.11315716,0.20471210,0.31862882,0.01391099,0.58737978,0.25378306,0.21530458
-5.30965483,1.13749163,0.00009717,0.12042904,0.19954424,0.31639918,0.01392095,0.57653926,0.26260762,0.22439041
-5.30365183,1.14936100,0.00010864,0.12872771,0.19516384,0.31516182,0.01383300,0.56702954,0.27337634,0.23489916
-5.29764882,1.16559299,0.00012115,0.13821216,0.19146189,0.31475007,0.01364895,0.55858089,0.28630181,0.24685288
