energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,2.39913046,-2.39913046,0.00353930,-0.00353930,0.63412144,-0.63412145,1.35199321,-1.35199321,1.05295790,-1.05295790,0.38819973,-0.38819973,0.00000000,-0.00000000,0.48078565,-0.48078565,0.09596016,-0.09596016
-5.99399700,2.46401159,-2.46401159,0.00354541,-0.00354541,0.66305112,-0.66305112,1.36547923,-1.36547923,1.12220774,-1.12220775,0.38207684,-0.38207684,0.00000000,-0.00000000,0.47545639,-0.47545639,0.09392420,-0.09392420
-5.98799400,2.53104570,-2.53104570,0.00355353,-0.00355353,0.69236225,-0.69236225,1.37867545,-1.37867545,1.19329147,-1.19329147,0.37680483,-0.37680483,0.00000000,-0.00000000,0.47044585,-0.47044585,0.09191713,-0.09191713
-5.98199100,2.60015239,-2.60015240,0.00356431,-0.00356431,0.72185925,-0.72185926,1.39170371,-1.39170371,1.26569494,-1.26569494,0.37264510,-0.37264510,0.00000000,-0.00000000,0.46596268,-0.46596268,0.08998164,-0.08998164
-5.97598799,2.67109628,-2.67109628,0.00357841,-0.00357841,0.75130371,-0.75130371,1.40460119,-1.40460119,1.33882819,-1.33882819,0.36982275,-0.36982275,0.00000000,-0.00000000,0.46218206,-0.46218206,0.08815583,-0.08815583
-5.96998499,2.74348442,-2.74348442,0.00359659,-0.00359659,0.78041705,-0.78041705,1.41731560,-1.41731560,1.41203448,-1.41203449,0.36852017,-0.36852017,0.00000000,-0.00000000,0.45923963,-0.45923963,0.08647236,-0.08647236
-5.96398199,2.81677084,-2.81677084,0.00361963,-0.00361963,0.80888507,-0.80888507,1.42970485,-1.42970485,1.48460232,-1.48460233,0.36887227,-0.36887227,0.00000000,-0.00000000,0.45722719,-0.45722719,0.08495781,-0.08495780
-5.95797899,2.89026792,-2.89026793,0.00364844,-0.00364844,0.83636417,-0.83636417,1.44154094,-1.44154094,1.55578002,-1.55578002,0.37096384,-0.37096384,0.00000000,-0.00000000,0.45619013,-0.45619013,0.08363222,-0.08363222
-5.95197599,2.96316445,-2.96316445,0.00368399,-0.00368399,0.86248904,-0.86248904,1.45251793,-1.45251793,1.62479243,-1.62479243,0.37482884,-0.37482884,0.00000000,-0.00000000,0.45612690,-0.45612690,0.08250908,-0.08250908
-5.94597299,3.03454946,-3.03454947,0.00372737,-0.00372737,0.88688165,-0.88688165,1.46226358,-1.46226359,1.69085936,-1.69085936,0.38045174,-0.38045174,0.00000000,-0.00000000,0.45699031,-0.45699031,0.08159535,-0.08159535
-5.93996998,3.10344118,-3.10344118,0.00377978,-0.00377978,0.90916114,-0.90916114,1.47035407,-1.47035407,1.75321496,-1.75321496,0.38777087,-0.38777087,0.00000000,-0.00000000,0.45869084,-0.45869084,0.08089193,-0.08089193
-5.93396698,3.16881951,-3.16881951,0.00384254,-0.00384254,0.92895432,-0.92895432,1.47633111,-1.47633111,1.81112745,-1.81112745,0.39668330,-0.39668330,0.00000000,-0.00000000,0.46110157,-0.46110157,0.08039417,-0.08039417
-5.92796398,3.22966111,-3.22966111,0.00391712,-0.00391712,0.94590636,-0.94590636,1.47972070,-1.47972071,1.86391848,-1.86391848,0.40705122,-0.40705123,0.00000000,-0.00000000,0.46406462,-0.46406462,0.08009265,-0.08009265
