energy_ev,total_up,Ag_p_up,Ag_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,8.80886088,0.84008263,7.31552100,0.00450199,0.07624254,0.08023623,0.94638554
-5.99399700,9.14398820,0.85830881,7.60354285,0.00480771,0.07676884,0.08371439,0.98383516
-5.98799400,9.49431977,0.88082686,7.90186769,0.00516050,0.07780538,0.08734216,1.02391319
-5.98199100,9.85563356,0.90719388,8.20714740,0.00555542,0.07932282,0.09107126,1.06606269
-5.97598799,10.22340225,0.93689700,8.51580214,0.00598681,0.08128469,0.09485077,1.10968686
-5.96998499,10.59287788,0.96935920,8.82409059,0.00644836,0.08364754,0.09862829,1.15415767
-5.96398199,10.95918379,1.00394672,9.12818605,0.00693315,0.08636125,0.10235116,1.19882533
-5.95797899,11.31741139,1.03997784,9.42425615,0.00743368,0.08936945,0.10596771,1.24302810
-5.95197599,11.66271889,1.07673332,9.70854347,0.00794203,0.09261016,0.10942853,1.28610268
-5.94597299,11.99042939,1.11346819,9.97744474,0.00844990,0.09601658,0.11268771,1.32739479
-5.93996998,12.29612584,1.14942502,10.22758643,0.00894883,0.09951809,0.11570408,1.36626990
-5.93396698,12.57574059,1.18384852,10.45589457,0.00943034,0.10304137,0.11844228,1.40212398
-5.92796398,12.82563734,1.21600101,10.65965726,0.00988615,0.10651181,0.12087377,1.43439415
-5.92196098,13.04268390,1.24517878,10.83657835,0.01030836,0.10985496,0.12297771,1.46256896
-5.91595798,13.22431401,1.27072869,10.98482126,0.01068968,0.11299824,0.12474157,1.48619827
-5.90995498,13.36857701,1.29206459,11.10304206,0.01102366,0.11587264,0.12616156,1.50490237
-5.90395198,13.47417427,1.30868308,11.19041133,0.01130486,0.11841453,0.12724285,1.51838021
-5.89794897,13.54048141,1.32017787,11.24662446,0.01152909,0.12056740,0.12799941,1.52641639
-5.89194597,13.56755591,1.32625231,11.27190021,0.01169352,0.12228353,0.12845369,1.52888676
-5.88594297,13.55612947,1.32672933,11.26696784,0.01179682,0.12352547,0.12863592,1.52576227
-5.87993997,13.50758521,1.32155841,11.23304279,0.01183924,0.12426729,0.12858316,1.51711089
-5.87393697,13.42391986,1.31081906,11.17179174,0.01182268,0.12449551,0.12833816,1.50309739
-5.86793397,13.30769168,1.29472058,11.08528757,0.01175059,0.12420962,0.12794788,1.48398090
-5.86193097,13.16195497,1.27359796,10.97595532,0.01162799,0.12342224,0.12746199,1.46011011
-5.85592796,12.99018294,1.24790392,10.84651037,0.01146131,0.12215879,0.12693118,1.43191625
-5.84992496,12.79618065,1.21819737,10.69989032,0.01125828,0.12045677,0.12640547,1.39990390
-5.84392196,12.58399062,1.18512864,10.53918246,0.01102768,0.11836454,0.12593257,1.36463994
-5.83791896,12.35779370,1.14942206,10.36754872,0.01077917,0.11593983,0.12555640,1.32674093
-5.83191596,12.12180841,1.11185651,10.18815036,0.01052304,0.11324782,0.12531571,1.28685926
-5.82591296,11.88019178,1.07324469,10.00407459,0.01026996,0.11035909,0.12524307,1.24566866
-5.81990995,11.63694500,1.03441197,9.81826553,0.01003072,0.10734735,0.12536414,1.20384941
-5.81390695,11.39582680,0.99617538,9.63346141,0.00981598,0.10428712,0.12569724,1.16207378
-5.80790395,11.16027732,0.95932377,9.45214020,0.00963604,0.10125150,0.12625333,1.12099225
-5.80190095,10.93335463,0.92459944,9.27647509,0.00950062,0.09831002,0.12703637,1.08122070
-5.79589795,10.71768565,0.89268201,9.10830107,0.00941867,0.09552672,0.12804393,1.04332915
-5.78989495,10.51543228,0.86417474,8.94909330,0.00939815,0.09295852,0.12926820,1.00783212
-5.78389195,10.32827310,0.83959359,8.79995747,0.00944595,0.09065388,0.13069710,0.97518081
-5.77788894,10.15740021,0.81935914,8.66163182,0.00956768,0.08865179,0.13231568,0.94575722
-5.77188594,10.00353007,0.80379118,8.53449997,0.00976763,0.08698126,0.13410745,0.91987009
-5.76588294,9.86692680,0.79310607,8.41861349,0.01004863,0.08566093,0.13605583,0.89775261
-5.75987994,9.74743602,0.78741642,8.31372249,0.01041200,0.08469926,0.13814539,0.87956174
-5.75387694,9.64452682,0.78673293,8.21931266,0.01085753,0.08409487,0.14036297,0.86537892
-5.74787394,9.55733986,0.79096814,8.13464685,0.01138338,0.08383718,0.14269859,0.85521202
-5.74187094,9.48473914,0.79994179,8.05880952,0.01198612,0.08390730,0.14514598,0.84899830
