energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.42558033,0.05721277,0.07758211,0.30030557,0.00000000,0.41702032,1.45922220
-5.99399700,2.36223408,0.05484187,0.07845124,0.30524140,0.00000000,0.42200968,1.39841302
-5.98799400,2.29399687,0.05237193,0.07892700,0.30930377,0.00000000,0.42557927,1.33566878
-5.98199100,2.22147231,0.04982758,0.07900640,0.31244316,0.00000000,0.42768561,1.27153804
-5.97598799,2.14527960,0.04723267,0.07869266,0.31461381,0.00000000,0.42829848,1.20656496
-5.96998499,2.06603640,0.04460984,0.07799487,0.31577475,0.00000000,0.42740105,1.14127451
-5.96398199,1.98434496,0.04198020,0.07692761,0.31589093,0.00000000,0.42499008,1.07616046
-5.95797899,1.90078178,0.03936314,0.07551039,0.31493448,0.00000000,0.42107603,1.01167628
-5.95197599,1.81589043,0.03677619,0.07376706,0.31288610,0.00000000,0.41568322,0.94822882
-5.94597299,1.73017734,0.03423500,0.07172512,0.30973638,0.00000000,0.40884983,0.88617458
-5.93996998,1.64411012,0.03175332,0.06941503,0.30548712,0.00000000,0.40062785,0.82581832
-5.93396698,1.55811797,0.02934308,0.06686947,0.30015234,0.00000000,0.39108290,0.76741357
-5.92796398,1.47259358,0.02701447,0.06412268,0.29375916,0.00000000,0.38029379,0.71116476
-5.92196098,1.38789599,0.02477605,0.06120973,0.28634828,0.00000000,0.36835196,0.65723053
-5.91595798,1.30435405,0.02263484,0.05816589,0.27797410,0.00000000,0.35536062,0.60572782
-5.90995498,1.22226994,0.02059649,0.05502607,0.26870449,0.00000000,0.34143367,0.55673644
-5.90395198,1.14192239,0.01866530,0.05182428,0.25862005,0.00000000,0.32669436,0.51030388
-5.89794897,1.06356952,0.01684438,0.04859318,0.24781307,0.00000000,0.31127373,0.46644995
-5.89194597,0.98745097,0.01513571,0.04536368,0.23638608,0.00000000,0.29530878,0.42517130
-5.88594297,0.91378931,0.01354020,0.04216470,0.22445002,0.00000000,0.27894060,0.38644548
-5.87993997,0.84279080,0.01205779,0.03902288,0.21212229,0.00000000,0.26231218,0.35023461
-5.87393697,0.77464549,0.01068749,0.03596247,0.19952451,0.00000000,0.24556637,0.31648853
-5.86793397,0.70952682,0.00942742,0.03300522,0.18678025,0.00000000,0.22884367,0.28514755
-5.86193097,0.64759092,0.00827493,0.03017035,0.17401272,0.00000000,0.21228015,0.25614465
-5.85592796,0.58897567,0.00722663,0.02747464,0.16134255,0.00000000,0.19600551,0.22940738
-5.84992496,0.53379974,0.00627848,0.02493244,0.14888570,0.00000000,0.18014123,0.20485937
-5.84392196,0.48216176,0.00542585,0.02255583,0.13675161,0.00000000,0.16479906,0.18242157
-5.83791896,0.43413970,0.00466367,0.02035479,0.12504157,0.00000000,0.15007967,0.16201321
-5.83191596,0.38979054,0.00398645,0.01833733,0.11384741,0.00000000,0.13607167,0.14355269
-5.82591296,0.34915028,0.00338842,0.01650973,0.10325050,0.00000000,0.12285085,0.12695819
-5.81990995,0.31223424,0.00286366,0.01487668,0.09332105,0.00000000,0.11047985,0.11214828
-5.81390695,0.27903771,0.00240612,0.01344150,0.08411772,0.00000000,0.09900801,0.09904230
-5.80790395,0.24953677,0.00200979,0.01220625,0.07568752,0.00000000,0.08847154,0.08756075
-5.80190095,0.22368924,0.00166877,0.01117192,0.06806594,0.00000000,0.07889394,0.07762547
-5.79589795,0.20143573,0.00137730,0.01033850,0.06127727,0.00000000,0.07028664,0.06915982
-5.78989495,0.18270052,0.00112992,0.00970502,0.05533507,0.00000000,0.06264974,0.06208863
-5.78389195,0.16739234,0.00092144,0.00926960,0.05024279,0.00000000,0.05597290,0.05633808
-5.77788894,0.15540491,0.00074705,0.00902939,0.04599436,0.00000000,0.05023633,0.05183543
-5.77188594,0.14661722,0.00060232,0.00898053,0.04257490,0.00000000,0.04541173,0.04850860
-5.76588294,0.14089347,0.00048325,0.00911800,0.03996134,0.00000000,0.04146330,0.04628572
-5.75987994,0.13808285,0.00038627,0.00943552,0.03812307,0.00000000,0.03834871,0.04509446
-5.75387694,0.13801908,0.00030826,0.00992539,0.03702249,0.00000000,0.03601994,0.04486144
-5.74787394,0.14051999,0.00024656,0.01057833,0.03661562,0.00000000,0.03442426,0.04551157
-5.74187094,0.14538710,0.00019895,0.01138338,0.03685260,0.00000000,0.03350494,0.04696747
-5.73586793,0.15240567,0.00016370,0.01232776,0.03767829,0.00000000,0.03320220,0.04914899
-5.72986493,0.16134511,0.00013955,0.01339690,0.03903287,0.00000000,0.03345394,0.05197299
-5.72386193,0.17196023,0.00012572,0.01457444,0.04085258,0.00000000,0.03419668,0.05535334
-5.71785893,0.18399339,0.00012195,0.01584241,0.04307053,0.00000000,0.03536655,0.05920124
-5.71185593,0.19717774,0.00012853,0.01718146,0.04561777,0.00000000,0.03690035,0.06342601
-5.70585293,0.21124180,0.00014636,0.01857127,0.04842452,0.00000000,0.03873684,0.06793623
-5.69984992,0.22591534,0.00017698,0.01999106,0.05142167,0.00000000,0.04081820,0.07264142
-5.69384692,0.24093666,0.00022270,0.02142027,0.05454250,0.00000000,0.04309169,0.07745410
-5.68784392,0.25606118,0.00028665,0.02283926,0.05772465,0.00000000,0.04551153,0.08229242
-5.68184092,0.27107126,0.00037292,0.02423032,0.06091238,0.00000000,0.04804098,0.08708305
-5.67583792,0.28578702,0.00048667,0.02557853,0.06405893,0.00000000,0.05065464,0.09176454
-5.66983492,0.30007783,0.00063429,0.02687290,0.06712906,0.00000000,0.05334081,0.09629082
-5.66383192,0.31387418,0.00082349,0.02810742,0.07010168,0.00000000,0.05610401,0.10063487
-5.65782891,0.32717958,0.00106350,0.02928210,0.07297243,0.00000000,0.05896750,0.10479238
-5.65182591,0.34008180,0.00136517,0.03040408,0.07575617,0.00000000,0.06197564,0.10878523
-5.64582291,0.35276330,0.00174111,0.03148848,0.07848925,0.00000000,0.06519614,0.11266471
-5.63981991,0.36551010,0.00220572,0.03255926,0.08123156,0.00000000,0.06872203,0.11651421
-5.63381691,0.37871874,0.00277533,0.03364981,0.08406805,0.00000000,0.07267313,0.12045137
-5.62781391,0.39290086,0.00346809,0.03480336,0.08710987,0.00000000,0.07719711,0.12462943
-5.62181091,0.40868492,0.00430398,0.03607314,0.09049491,0.00000000,0.08246979,0.12923774
-5.61580790,0.42681488,0.00530457,0.03752224,0.09438764,0.00000000,0.08869477,0.13450122
-5.60980490,0.44814526,0.00649282,0.03922311,0.09897829,0.00000000,0.09610211,0.14067881
-5.60380190,0.47363269,0.00789272,0.04125682,0.10448128,0.00000000,0.10494613,0.14806078
-5.59779890,0.50432355,0.00952879,0.04371190,0.11113278,0.00000000,0.11550212,0.15696483
