energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,10.65207439,0.02227760,0.89092707,4.30444415,4.91937606,0.10851512,3.54014402,1.57941784,0.30298954
-5.99399700,10.51014533,0.02223061,0.88526111,4.28220570,4.81892071,0.10870933,3.51306542,1.57480959,0.29766397
-5.98799400,10.36163274,0.02214617,0.88023665,4.26347291,4.71624844,0.10875685,3.48091606,1.56662853,0.29209783
-5.98199100,10.20989795,0.02203350,0.87612420,4.24836654,4.61324721,0.10869375,3.44481212,1.55529726,0.28640783
-5.97598799,10.05817365,0.02190247,0.87315099,4.23684247,4.51171577,0.10855571,3.40589768,1.54127774,0.28070458
-5.96998499,9.90946291,0.02176317,0.87149394,4.22870123,4.41330993,0.10837650,3.36530480,1.52505293,0.27508956
-5.96398199,9.76644489,0.02162544,0.87127411,4.22360101,4.31949312,0.10818660,3.32411434,1.50710851,0.26965244
-5.95797899,9.63139119,0.02149846,0.87255301,4.22107372,4.23149306,0.10801194,3.28331874,1.48791508,0.26446880
-5.95197599,9.50609610,0.02139040,0.87533058,4.22054309,4.15026651,0.10787290,3.24378861,1.46791174,0.25959839
-5.94597299,9.39182376,0.02130804,0.87954518,4.22134426,4.07647344,0.10778359,3.20624434,1.44749171,0.25508403
-5.93996998,9.28927431,0.02125659,0.88507533,4.22274405,4.01046186,0.10775136,3.17123388,1.42699041,0.25095102
-5.93396698,9.19857069,0.02123951,0.89174337,4.22396121,3.95226383,0.10777665,3.13911765,1.40667637,0.24720724
-5.92796398,9.11926648,0.02125843,0.89932071,4.22418619,3.90160308,0.10785314,3.11006087,1.38674531,0.24384389
-5.92196098,9.05037477,0.02131321,0.90753472,4.22259990,3.85791385,0.10796818,3.08403391,1.36731741,0.24083678
-5.91595798,8.99041672,0.02140206,0.91607688,4.21839101,3.82037022,0.10810352,3.06082007,1.34843773,0.23814806
-5.90995498,8.93748813,0.02152174,0.92461214,4.21077181,3.78792500,0.10823619,3.04003078,1.33007960,0.23572857
-5.90395198,8.88934140,0.02166783,0.93278903,4.19899232,3.75935631,0.10833966,3.02112719,1.31215078,0.23352030
-5.89794897,8.84347962,0.02183505,0.94025048,4.18235288,3.73332034,0.10838510,3.00344734,1.29450194,0.23145928
-5.89194597,8.79725921,0.02201768,0.94664478,4.16021522,3.70840794,0.10834269,2.98623766,1.27693707,0.22947854
-5.88594297,8.74799727,0.02220983,0.95163658,4.13201233,3.68320294,0.10818300,2.96868755,1.25922531,0.22751103
-5.87993997,8.69307935,0.02240588,0.95491756,4.09725736,3.65633987,0.10787832,2.94996556,1.24111383,0.22549256
-5.87393697,8.63006377,0.02260079,0.95621630,4.05555170,3.62655873,0.10740391,2.92925573,1.22234110,0.22336452
-5.86793397,8.55677833,0.02279033,0.95530725,4.00659256,3.59275471,0.10673914,2.90579273,1.20265011,0.22107630
-5.86193097,8.47140590,0.02297137,0.95201838,3.95017994,3.55402106,0.10586839,2.87889435,1.18180119,0.21858739
-5.85592796,8.37255564,0.02314194,0.94623721,3.88622327,3.50968312,0.10478180,2.84799014,1.15958379,0.21586902
-5.84992496,8.25931721,0.02330135,0.93791511,3.81474714,3.45932264,0.10347579,2.81264514,1.13582703,0.21290537
-5.84392196,8.13129604,0.02345012,0.92706956,3.73589637,3.40279122,0.10195327,2.77257788,1.11040851,0.20969423
