energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,2.70595208,0.00361294,0.32712623,0.91022334,1.61268993,0.02572230,0.57740135
-5.99399700,2.62776862,0.00334915,0.31869622,0.88749176,1.56383929,0.02594975,0.56054498
-5.98799400,2.55087225,0.00309383,0.31032646,0.86639076,1.51503192,0.02616260,0.54437801
-5.98199100,2.47624396,0.00285143,0.30208545,0.84722720,1.46685619,0.02635979,0.52918533
-5.97598799,2.40481930,0.00262614,0.29403572,0.83029720,1.41986682,0.02654254,0.51524646
-5.96998499,2.33749729,0.00242196,0.28623560,0.81588973,1.37459041,0.02671455,0.50283581
-5.96398199,2.27515078,0.00224264,0.27874111,0.80428951,1.33153264,0.02688213,0.49222288
-5.95797899,2.21863632,0.00209164,0.27160780,0.79577843,1.29118615,0.02705416,0.48367220
-5.95197599,2.16880162,0.00197220,0.26489238,0.79063505,1.25403764,0.02724192,0.47744248
-5.94597299,2.12648898,0.00188730,0.25865377,0.78913182,1.22057331,0.02745874,0.47378486
-5.93996998,2.09253341,0.00183968,0.25295347,0.79152963,1.19128163,0.02771951,0.47293990
-5.93396698,2.06775454,0.00183183,0.24785520,0.79806981,1.16665276,0.02804008,0.47513340
-5.92796398,2.05294220,0.00186601,0.24342365,0.80896377,1.14717430,0.02843652,0.48057096
-5.92196098,2.04883593,0.00194422,0.23972245,0.82438068,1.13332333,0.02892431,0.48943157
-5.91595798,2.05609932,0.00206815,0.23681145,0.84443380,1.12555501,0.02951751,0.50186035
-5.90995498,2.07529060,0.00223914,0.23474339,0.86916638,1.12428839,0.03022788,0.51796104
-5.90395198,2.10683133,0.00245816,0.23356029,0.89853796,1.12989024,0.03106408,0.53778856
-5.89794897,2.15097514,0.00272568,0.23328974,0.93241211,1.14265793,0.03203097,0.56134223
-5.89194597,2.20777899,0.00304160,0.23394135,0.97054663,1.16280260,0.03312899,0.58856010
-5.88594297,2.27707898,0.00340518,0.23550360,1.01258709,1.19043370,0.03435374,0.61931507
-5.87993997,2.35847269,0.00381492,0.23794152,1.05806456,1.22554610,0.03569576,0.65341294
-5.87393697,2.45130998,0.00426851,0.24119512,1.10639808,1.26801066,0.03714048,0.69059306
-5.86793397,2.55469324,0.00476272,0.24517899,1.15690231,1.31756921,0.03866843,0.73053150
-5.86193097,2.66748787,0.00529339,0.24978305,1.20880028,1.37383418,0.04025567,0.77284688
-5.85592796,2.78834313,0.00585536,0.25487449,1.26124125,1.43629337,0.04187442,0.81710887
-5.84992496,2.91572259,0.00644256,0.26030098,1.31332292,1.50431953,0.04349385,0.86284883
-5.84392196,3.04794335,0.00704799,0.26589479,1.36411744,1.57718447,0.04508110,0.90957237
-5.83791896,3.18322201,0.00766386,0.27147801,1.41269997,1.65407697,0.04660235,0.95677318
-5.83191596,3.31972548,0.00828174,0.27686828,1.45817883,1.73412353,0.04802395,1.00394747
-5.82591296,3.45562417,0.00889271,0.28188505,1.49972563,1.81641097,0.04931360,1.05060835
-5.81990995,3.58914487,0.00948762,0.28635596,1.53660427,1.90000964,0.05044151,1.09629945
-5.81390695,3.71862098,0.01005737,0.29012301,1.56819730,1.98399609,0.05138138,1.14060698
-5.80790395,3.84253745,0.01059314,0.29304832,1.59402844,2.06747413,0.05211136,1.18316978
-5.80190095,3.95956859,0.01108673,0.29501916,1.61378028,2.14959324,0.05261477,1.22368682
-5.79589795,4.06860695,0.01153086,0.29595203,1.62730615,2.22956367,0.05288065,1.26192174
-5.78989495,4.16878230,0.01191944,0.29579562,1.63463585,2.30666767,0.05290406,1.29770441
-5.78389195,4.25947008,0.01224784,0.29453252,1.63597477,2.38026665,0.05268617,1.33092948
-5.77788894,4.34028955,0.01251314,0.29217960,1.63169650,2.44980428,0.05223413,1.36155205
-5.77188594,4.41109220,0.01271424,0.28878712,1.62232945,2.51480596,0.05156071,1.38958095
-5.76588294,4.47194164,0.01285202,0.28443658,1.60853782,2.57487503,0.05068380,1.41506999
-5.75987994,4.52308649,0.01292938,0.27923745,1.59109804,2.62968664,0.04962566,1.43810792
-5.75387694,4.56492829,0.01295115,0.27332290,1.57087145,2.67897992,0.04841213,1.45880759
