energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.77786845,0.00194882,0.15754394,1.09625251,0.00000000,0.58867355,0.29081852
-5.99399700,1.85692459,0.00204154,0.16725303,1.14242413,0.00000000,0.61300525,0.30512758
-5.98799400,1.92971001,0.00212642,0.17667959,1.18428026,0.00000000,0.63484549,0.31873294
-5.98199100,1.99493741,0.00220164,0.18569601,1.22107006,0.00000000,0.65380966,0.33138273
-5.97598799,2.05144060,0.00226560,0.19417661,1.25212800,0.00000000,0.66956632,0.34283768
-5.96998499,2.09820725,0.00231703,0.20200096,1.27689324,0.00000000,0.68184698,0.35287761
-5.96398199,2.13440805,0.00235491,0.20905702,1.29492627,0.00000000,0.69045421,0.36130757
-5.95797899,2.15942087,0.00237862,0.21524433,1.30592220,0.00000000,0.69526777,0.36796341
-5.95197599,2.17284906,0.00238788,0.22047683,1.30971998,0.00000000,0.69624850,0.37271657
-5.94597299,2.17453299,0.00238277,0.22468537,1.30630731,0.00000000,0.69343976,0.37547784
-5.93996998,2.16455424,0.00236375,0.22781975,1.29582082,0.00000000,0.68696629,0.37619999
-5.93396698,2.14323236,0.00233164,0.22985016,1.27854162,0.00000000,0.67703049,0.37487900
-5.92796398,2.11111405,0.00228758,0.23076804,1.25488619,0.00000000,0.66390630,0.37155404
-5.92196098,2.06895528,0.00223298,0.23058618,1.22539307,0.00000000,0.64793078,0.36630600
-5.91595798,2.01769692,0.00216952,0.22933819,1.19070587,0.00000000,0.62949372,0.35925461
-5.90995498,1.95843484,0.00209903,0.22707729,1.15155310,0.00000000,0.60902565,0.35055443
-5.90395198,1.89238564,0.00202347,0.22387443,1.10872573,0.00000000,0.58698464,0.34038967
-5.89794897,1.82084923,0.00194486,0.21981588,1.06305328,0.00000000,0.56384247,0.32896814
-5.89194597,1.74516980,0.00186517,0.21500034,1.01537936,0.00000000,0.54007051,0.31651455
-5.88594297,1.66669653,0.00178633,0.20953567,0.96653753,0.00000000,0.51612592,0.30326348
-5.87993997,1.58674553,0.00171008,0.20353547,0.91732829,0.00000000,0.49243861,0.28945215
-5.87393697,1.50656433,0.00163799,0.19711548,0.86849819,0.00000000,0.46939944,0.27531346
-5.86793397,1.42730014,0.00157138,0.19039009,0.82072150,0.00000000,0.44735002,0.26106943
-5.86193097,1.34997293,0.00151127,0.18346904,0.77458513,0.00000000,0.42657449,0.24692534
-5.85592796,1.27545412,0.00145840,0.17645442,0.73057727,0.00000000,0.40729348,0.23306472
-5.84992496,1.20445135,0.00141316,0.16943807,0.68907985,0.00000000,0.38966044,0.21964542
-5.84392196,1.13749977,0.00137566,0.16249956,0.65036510,0.00000000,0.37376050,0.20679684
-5.83791896,1.07495975,0.00134567,0.15570468,0.61459593,0.00000000,0.35961164,0.19461825
-5.83191596,1.01702080,0.00132269,0.14910459,0.58183014,0.00000000,0.34716825,0.18317846
-5.82591296,0.96371126,0.00130597,0.14273557,0.55202796,0.00000000,0.33632685,0.17251653
-5.81990995,0.91491305,0.00129454,0.13661938,0.52506251,0.00000000,0.32693351,0.16264355
-5.81390695,0.87038060,0.00128728,0.13076419,0.50073261,0.00000000,0.31879294,0.15354532
-5.80790395,0.82976307,0.00128295,0.12516602,0.47877731,0.00000000,0.31167850,0.14518577
-5.80190095,0.79262864,0.00128026,0.11981051,0.45889150,0.00000000,0.30534298,0.13751095
-5.79589795,0.75848997,0.00127789,0.11467510,0.44074193,0.00000000,0.29952955,0.13045326
-5.78989495,0.72682956,0.00127458,0.10973126,0.42398298,0.00000000,0.29398251,0.12393591
