energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.18669360,0.02299434,0.03048918,0.63900227,0.19309563,0.14607949,1.41271869,0.29814559,0.07883320
-5.99399700,2.14488600,0.02359102,0.02955301,0.63489612,0.18844537,0.14302088,1.38713319,0.29572609,0.07672587
-5.98799400,2.09983083,0.02413444,0.02868503,0.62935185,0.18364714,0.13958927,1.35913587,0.29301532,0.07461883
-5.98199100,2.05132522,0.02461214,0.02787048,0.62227842,0.17865663,0.13580380,1.32862813,0.28991820,0.07248837
-5.97598799,1.99924877,0.02501164,0.02709500,0.61360537,0.17344318,0.13168850,1.29556434,0.28634717,0.07031549
-5.96998499,1.94355691,0.02532082,0.02634480,0.60328326,0.16798832,0.12727136,1.25994737,0.28222368,0.06808562
-5.96398199,1.88427546,0.02552837,0.02560690,0.59128445,0.16228436,0.12258348,1.22182475,0.27747990,0.06578840
-5.95797899,1.82149615,0.02562432,0.02486934,0.57760421,0.15633312,0.11765831,1.18128554,0.27206049,0.06341740
-5.95197599,1.75537326,0.02560041,0.02412144,0.56226192,0.15014474,0.11253095,1.13845775,0.26592430,0.06096981
-5.94597299,1.68612079,0.02545051,0.02335404,0.54530212,0.14373656,0.10723758,1.09350634,0.25904598,0.05844624
-5.93996998,1.61401003,0.02517090,0.02255970,0.52679536,0.13713223,0.10181498,1.04663123,0.25141722,0.05585044
-5.93396698,1.53936684,0.02476057,0.02173290,0.50683848,0.13036077,0.09630006,0.99806545,0.24304762,0.05318902
-5.92796398,1.46256843,0.02422125,0.02087013,0.48555425,0.12345576,0.09072960,0.94807271,0.23396502,0.05047122
-5.92196098,1.38403897,0.02355751,0.01996997,0.46309021,0.11645454,0.08513981,0.89694456,0.22421523,0.04770858
-5.91595798,1.30424396,0.02277665,0.01903306,0.43961668,0.10939739,0.07956616,0.84499661,0.21386117,0.04491464
-5.90995498,1.22368315,0.02188846,0.01806198,0.41532384,0.10232675,0.07404300,0.79256399,0.20298130,0.04210456
-5.90395198,1.14288185,0.02090496,0.01706113,0.39041800,0.09528631,0.06860327,0.73999579,0.19166760,0.03929475
-5.89794897,1.06238095,0.01984005,0.01603648,0.36511718,0.08832016,0.06327827,0.68764876,0.18002290,0.03650246
-5.89194597,0.98272589,0.01870901,0.01499528,0.33964612,0.08147190,0.05809723,0.63588035,0.16815791,0.03374528
-5.88594297,0.90445482,0.01752807,0.01394574,0.31423098,0.07478371,0.05308708,0.58504129,0.15618799,0.03104077
-5.87993997,0.82808664,0.01631388,0.01289669,0.28909387,0.06829552,0.04827208,0.53546816,0.14422975,0.02840593
-5.87393697,0.75410934,0.01508308,0.01185723,0.26444754,0.06204411,0.04367356,0.48747604,0.13239772,0.02585682
-5.86793397,0.68296909,0.01385174,0.01083639,0.24049047,0.05606245,0.03930961,0.44135185,0.12080125,0.02340818
-5.86193097,0.61506073,0.01263503,0.00984282,0.21740244,0.05037902,0.03519493,0.39734840,0.10954164,0.02107303
-5.85592796,0.55071992,0.01144681,0.00888450,0.19534095,0.04501731,0.03134063,0.35567960,0.09870975,0.01886244
-5.84992496,0.49021741,0.01029935,0.00796852,0.17443837,0.03999553,0.02775421,0.31651700,0.08838413,0.01678533
-5.84392196,0.43375545,0.00920314,0.00710094,0.15480022,0.03532640,0.02443954,0.27998764,0.07862961,0.01484831
-5.83791896,0.38146663,0.00816673,0.00628661,0.13650424,0.03101720,0.02139698,0.24617352,0.06949657,0.01305568
-5.83191596,0.33341493,0.00719670,0.00552917,0.11960058,0.02706989,0.01862355,0.21511233,0.06102072,0.01140946
-5.82591296,0.28959891,0.00629768,0.00483106,0.10411274,0.02348150,0.01611322,0.18679971,0.05322339,0.00990946
-5.81990995,0.24995680,0.00547243,0.00419350,0.09003935,0.02024454,0.01385721,0.16119246,0.04611233,0.00855357
-5.81390695,0.21437309,0.00472197,0.00361667,0.07735660,0.01734767,0.01184440,0.13821293,0.03968280,0.00733788
-5.80790395,0.18268634,0.00404579,0.00309982,0.06602108,0.01477631,0.01006175,0.11775398,0.03391907,0.00625705
-5.80190095,0.15469780,0.00344204,0.00264143,0.05597306,0.01251342,0.00849473,0.09968454,0.02879608,0.00530460
-5.79589795,0.13018047,0.00290776,0.00223939,0.04713981,0.01054030,0.00712779,0.08385533,0.02428117,0.00447328
-5.78989495,0.10888816,0.00243911,0.00189125,0.03943903,0.00883739,0.00594479,0.07010467,0.02033591,0.00375538
-5.78389195,0.09056444,0.00203161,0.00159439,0.03278215,0.00738510,0.00492943,0.05826404,0.01691785,0.00314316
-5.77788894,0.07495107,0.00168035,0.00134631,0.02707740,0.00616460,0.00406565,0.04816343,0.01398220,0.00262914
-5.77188594,0.06179580,0.00138017,0.00114477,0.02223260,0.00515864,0.00333796,0.03963609,0.01148332,0.00220653
-5.76588294,0.05085944,0.00112588,0.00098813,0.01815765,0.00435230,0.00273177,0.03252294,0.00937607,0.00186956
-5.75987994,0.04192209,0.00091235,0.00087551,0.01476654,0.00373376,0.00223365,0.02667623,0.00761694,0.00161378
-5.75387694,0.03478861,0.00073466,0.00080707,0.01197910,0.00329506,0.00183155,0.02196281,0.00616498,0.00143651
-5.74787394,0.02929332,0.00058819,0.00078425,0.00972231,0.00303279,0.00151496,0.01826680,0.00498254,0.00133708
-5.74187094,0.02530405,0.00046869,0.00081002,0.00793129,0.00294890,0.00127509,0.01549178,0.00403583,0.00131725
-5.73586793,0.02272555,0.00037231,0.00088917,0.00655000,0.00305139,0.00110493,0.01356257,0.00329532,0.00138154
-5.72986493,0.02150241,0.00029563,0.00102853,0.00553164,0.00335509,0.00099938,0.01242666,0.00273597,0.00153758
-5.72386193,0.02162162,0.00023567,0.00123730,0.00483889,0.00388245,0.00095530,0.01205534,0.00233740,0.00179649
-5.71785893,0.02311459,0.00018991,0.00152728,0.00444391,0.00466426,0.00097153,0.01244455,0.00208393,0.00217321
-5.71185593,0.02605894,0.00015620,0.00191312,0.00432822,0.00574039,0.00104891,0.01361547,0.00196457,0.00268685
-5.70585293,0.03057975,0.00013284,0.00241261,0.00448248,0.00716049,0.00119032,0.01561496,0.00197295,0.00336096
-5.69984992,0.03685036,0.00011848,0.00304680,0.00490615,0.00898457,0.00140065,0.01851558,0.00210723,0.00422383
-5.69384692,0.04509244,0.00011208,0.00384019,0.00560703,0.01128341,0.00168673,0.02241546,0.00236997,0.00530861
-5.68784392,0.05557533,0.00011296,0.00482078,0.00660074,0.01413884,0.00205732,0.02743760,0.00276801,0.00665335
-5.68184092,0.06861423,0.00012066,0.00601999,0.00791010,0.01764370,0.00252295,0.03372885,0.00331226,0.00830097
-5.67583792,0.08456716,0.00013500,0.00747250,0.00956438,0.02190147,0.00309580,0.04145811,0.00401755,0.01029892
-5.66983492,0.10383032,0.00015598,0.00921591,0.01159836,0.02702555,0.00378948,0.05081396,0.00490237,0.01269871
-5.66383192,0.12683182,0.00018378,0.01129024,0.01405137,0.03313798,0.00461876,0.06200139,0.00598866,0.01555518
-5.65782891,0.15402335,0.00021873,0.01373719,0.01696596,0.04036777,0.00559925,0.07523767,0.00730144,0.01892548
-5.65182591,0.18586987,0.00026126,0.01659925,0.02038661,0.04884860,0.00674698,0.09074728,0.00886847,0.02286776
-5.64582291,0.22283725,0.00031186,0.01991855,0.02435806,0.05871600,0.00807790,0.10875579,0.01071979,0.02743955
-5.63981991,0.26537788,0.00037109,0.02373554,0.02892362,0.07010399,0.00960734,0.12948296,0.01288724,0.03269592
-5.63381691,0.31391462,0.00043948,0.02808746,0.03412325,0.08314121,0.01134941,0.15313493,0.01540385,0.03868729
-5.62781391,0.36882333,0.00051755,0.03300669,0.03999153,0.09794673,0.01331632,0.17989583,0.01830319,0.04545714
-5.62181091,0.43041453,0.00060574,0.03851899,0.04655567,0.11462549,0.01551767,0.20991903,0.02161869,0.05303948
-5.61580790,0.49891496,0.00070440,0.04464172,0.05383346,0.13326371,0.01795982,0.24331825,0.02538285,0.06145640
-5.60980490,0.57444963,0.00081374,0.05138208,0.06183138,0.15392435,0.02064515,0.28015908,0.02962647,0.07071555
-5.60380190,0.65702541,0.00093380,0.05873552,0.07054290,0.17664279,0.02357151,0.32045113,0.03437786,0.08080797
-5.59779890,0.74651695,0.00106445,0.06668432,0.07994708,0.20142315,0.02673165,0.36414140,0.03966204,0.09170608
-5.59179590,0.84265593,0.00120532,0.07519656,0.09000758,0.22823520,0.03011290,0.41110919,0.04550002,0.10336226
-5.58579290,0.94502441,0.00135586,0.08422540,0.10067218,0.25701230,0.03369690,0.46116298,0.05190808,0.11570797
-5.57978989,1.05305304,0.00151526,0.09370895,0.11187283,0.28765038,0.03745956,0.51403960,0.05889717,0.12865353
-5.57378689,1.16602466,0.00168253,0.10357060,0.12352632,0.32000816,0.04137128,0.56940601,0.06647239,0.14208873
-5.56778389,1.28308357,0.00185645,0.11371995,0.13553558,0.35390871,0.04539725,0.62686363,0.07463254,0.15588429
-5.56178089,1.40325045,0.00203564,0.12405439,0.14779165,0.38914223,0.04949816,0.68595543,0.08336979,0.16989411
-5.55577789,1.52544263,0.00221857,0.13446111,0.16017617,0.42547010,0.05363093,0.74617541,0.09266947,0.18395840
-5.54977489,1.64849915,0.00240364,0.14481982,0.17256440,0.46262996,0.05774976,0.80698031,0.10250985,0.19790756
-5.54377189,1.77120952,0.00258919,0.15500569,0.18482862,0.50034168,0.06180730,0.86780305,0.11286211,0.21156660
-5.53776888,1.89234516,0.00277356,0.16489277,0.19684179,0.53831382,0.06575584,0.92806733,0.12369026,0.22476009
-5.53176588,2.01069205,0.00295517,0.17435749,0.20848131,0.57625045,0.06954868,0.98720265,0.13495116,0.23731730
-5.52576288,2.12508304,0.00313255,0.18328218,0.21963261,0.61385771,0.07314143,1.04465926,0.14659451,0.24907740
-5.51975988,2.23442837,0.00330441,0.19155851,0.23019259,0.65085011,0.07649324,1.09992210,0.15856290,0.25989437
-5.51375688,2.33774291,0.00346965,0.19909056,0.24007256,0.68695595,0.07956790,1.15252319,0.17079183,0.26964148
-5.50775388,2.43416880,0.00362741,0.20579744,0.24920063,0.72192176,0.08233484,1.20205184,0.18320981,0.27821506
-5.50175088,2.52299251,0.00377708,0.21161535,0.25752341,0.75551560,0.08476981,1.24816229,0.19573846,0.28553741
-5.49574787,2.60365564,0.00391830,0.21649896,0.26500699,0.78752900,0.08685538,1.29057840,0.20829272,0.29155861
-5.48974487,2.67575919,0.00405096,0.22042201,0.27163710,0.81777761,0.08858117,1.32909547,0.22078121,0.29625734
