energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.11771339,0.26201731,0.73322974,0.00246892,0.02388402,0.24764916,0.06509117,0.00885327,0.28250743
-5.99399700,1.17459395,0.28311486,0.75875035,0.00251663,0.02560932,0.26838788,0.07043319,0.00947933,0.30489259
-5.98799400,1.23378197,0.30589274,0.78371422,0.00258524,0.02745990,0.29065403,0.07626833,0.01015027,0.32915014
-5.98199100,1.29516521,0.33031549,0.80811676,0.00267174,0.02942737,0.31434655,0.08258649,0.01086316,0.35520410
-5.97598799,1.35865131,0.35633590,0.83200834,0.00277353,0.03150350,0.33934270,0.08937148,0.01161502,0.38295972
-5.96998499,1.42415351,0.38388935,0.85548763,0.00288838,0.03367975,0.36549399,0.09659927,0.01240259,0.41229810
-5.96398199,1.49157483,0.41288818,0.87869248,0.00301427,0.03594685,0.39262278,0.10423650,0.01322211,0.44307135
-5.95797899,1.56079172,0.44321642,0.90178889,0.00314931,0.03829436,0.42051971,0.11223916,0.01406915,0.47509849
-5.95197599,1.63163771,0.47472526,0.92495827,0.00329172,0.04071028,0.44894224,0.12055163,0.01493845,0.50816235
-5.94597299,1.70388828,0.50722944,0.94838365,0.00343967,0.04318067,0.47761447,0.12910612,0.01582372,0.54200775
-5.93996998,1.77724749,0.54050492,0.97223546,0.00359128,0.04568945,0.50622850,0.13782256,0.01671759,0.57634122
-5.93396698,1.85133750,0.57428811,0.99665740,0.00374454,0.04821818,0.53444742,0.14660906,0.01761156,0.61083240
-5.92796398,1.92569158,0.60827671,1.02175318,0.00389730,0.05074603,0.56190984,0.15536287,0.01849597,0.64511719
-5.92196098,1.99975118,0.64213246,1.04757479,0.00404728,0.05324989,0.58823612,0.16397200,0.01936010,0.67880270
-5.91595798,2.07286755,0.67548559,1.07411266,0.00419204,0.05570453,0.61303611,0.17231727,0.02019231,0.71147392
-5.90995498,2.14430805,0.70794108,1.10128853,0.00432902,0.05808301,0.63591805,0.18027492,0.02098027,0.74270183
-5.90395198,2.21326694,0.73908648,1.12895111,0.00445562,0.06035711,0.65649849,0.18771958,0.02171117,0.77205285
-5.89794897,2.27888051,0.76850100,1.15687485,0.00456921,0.06249790,0.67441282,0.19452757,0.02237212,0.79909916
-5.89194597,2.34024584,0.79576559,1.18476204,0.00466722,0.06447644,0.68932590,0.20058031,0.02295044,0.82342950
-5.88594297,2.39644254,0.82047351,1.21224794,0.00474722,0.06626446,0.70094238,0.20576780,0.02343412,0.84466003
-5.87993997,2.44655652,0.84224117,1.23890891,0.00480700,0.06783508,0.70901630,0.20999192,0.02381213,0.86244481
-5.87393697,2.48970475,0.86071841,1.26427325,0.00484464,0.06916361,0.71335934,0.21316951,0.02407489,0.87648541
-5.86793397,2.52506006,0.87559823,1.28783408,0.00485857,0.07022813,0.71384757,0.21523496,0.02421457,0.88653920
-5.86193097,2.55187490,0.88662517,1.30906410,0.00484767,0.07101021,0.71042612,0.21614234,0.02422541,0.89242610
-5.85592796,2.56950314,0.89360232,1.32743131,0.00481126,0.07149532,0.70311168,0.21586684,0.02410399,0.89403337
-5.84992496,2.57741902,0.89639639,1.34241535,0.00474918,0.07167331,0.69199267,0.21440554,0.02384936,0.89131837
-5.84392196,2.57523270,0.89494102,1.35352374,0.00466180,0.07153862,0.67722699,0.21177748,0.02346315,0.88430917
-5.83791896,2.56270178,0.88923791,1.36030745,0.00454998,0.07109039,0.65903759,0.20802296,0.02294957,0.87310297
-5.83191596,2.53973863,0.87935599,1.36237526,0.00441510,0.07033249,0.63770588,0.20320220,0.02231529,0.85786267
-5.82591296,2.50641329,0.86542877,1.35940646,0.00425897,0.06927332,0.61356345,0.19739341,0.02156928,0.83881150
-5.81990995,2.46295211,0.84764984,1.35116143,0.00408381,0.06792557,0.58698234,0.19069028,0.02072255,0.81622624
-5.81390695,2.40973228,0.82626704,1.33748977,0.00389217,0.06630585,0.55836441,0.18319916,0.01978780,0.79042922
-5.80790395,2.34727271,0.80157535,1.31833587,0.00368685,0.06443419,0.52813015,0.17503592,0.01877908,0.76177947
-5.80190095,2.27622157,0.77390900,1.29374155,0.00347082,0.06233359,0.49670748,0.16632267,0.01771137,0.73066346
-5.79589795,2.19734113,0.74363298,1.26384595,0.00324714,0.06002939,0.46452092,0.15718454,0.01660015,0.69748571
-5.78989495,2.11149050,0.71113437,1.22888262,0.00301886,0.05754877,0.43198153,0.14774649,0.01546099,0.66265956
-5.78389195,2.01960666,0.67681372,1.18917392,0.00278897,0.05492012,0.39947796,0.13813047,0.01430912,0.62659847
