energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.72850514,0.28610950,0.00863076,0.40975600,1.34894026,1.78762812,0.04050791,1.21177402
-5.99399700,3.65078023,0.28176769,0.00913758,0.39472628,1.28021208,1.75875902,0.04022392,1.19585817
-5.98799400,3.56751787,0.27731125,0.00963594,0.37987471,1.21187942,1.72686549,0.03980680,1.17705904
-5.98199100,3.47944775,0.27278095,0.01011864,0.36526577,1.14451024,1.69218295,0.03925955,1.15566058
-5.97598799,3.38739848,0.26821550,0.01057851,0.35096573,1.07867591,1.65499422,0.03858740,1.13199679
-5.96998499,3.29229130,0.26365133,0.01100857,0.33704375,1.01494674,1.61562741,0.03779767,1.10644724
-5.96398199,3.19513185,0.25912245,0.01140229,0.32357276,0.95388715,1.57445289,0.03689963,1.07943186
-5.95797899,3.09700031,0.25466059,0.01175372,0.31063012,0.89605057,1.53187962,0.03590436,1.05140503
-5.95197599,2.99904006,0.25029551,0.01205775,0.29829794,0.84197399,1.48835094,0.03482444,1.02284923
-5.94597299,2.90244522,0.24605544,0.01231020,0.28666319,0.79217238,1.44433982,0.03367380,0.99426820
-5.93996998,2.80844695,0.24196770,0.01250804,0.27581740,0.74713292,1.40034387,0.03246737,0.96617986
-5.93396698,2.71829859,0.23805932,0.01264941,0.26585605,0.70730892,1.35687979,0.03122086,0.93910898
-5.92796398,2.63325962,0.23435766,0.01273378,0.25687761,0.67311361,1.31447753,0.02995044,0.91357944
-5.92196098,2.55457811,0.23089085,0.01276187,0.24898215,0.64491362,1.27367380,0.02867246,0.89010633
-5.91595798,2.48347165,0.22768811,0.01273575,0.24226956,0.62302214,1.23500494,0.02740321,0.86918763
-5.90995498,2.42110664,0.22477972,0.01265869,0.23683739,0.60769191,1.19899913,0.02615859,0.85129554
-5.90395198,2.36857572,0.22219669,0.01253508,0.23277830,0.59910791,1.16616762,0.02495391,0.83686746
-5.89794897,2.32687359,0.21997004,0.01237032,0.23017712,0.59738000,1.13699511,0.02380358,0.82629659
-5.89194597,2.29687137,0.21812981,0.01217065,0.22910766,0.60253567,1.11192933,0.02272088,0.81992231
-5.88594297,2.27928999,0.21670359,0.01194291,0.22962926,0.61451306,1.09136972,0.02171775,0.81802043
-5.87993997,2.27467323,0.21571499,0.01169437,0.23178330,0.63315475,1.07565574,0.02080455,0.82079368
-5.87393697,2.28336133,0.21518173,0.01143248,0.23558960,0.65820248,1.06505482,0.01998984,0.82836251
-5.86793397,2.30546629,0.21511384,0.01116465,0.24104309,0.68929342,1.05975062,0.01928026,0.84075687
-5.86193097,2.34085001,0.21551186,0.01089802,0.24811077,0.72595832,1.05983197,0.01868029,0.85790915
-5.85592796,2.38910672,0.21636526,0.01063927,0.25672915,0.76762197,1.06528317,0.01819221,0.87964895
-5.84992496,2.44955101,0.21765121,0.01039442,0.26680240,0.81360651,1.07597613,0.01781595,0.90569997
-5.84392196,2.52121280,0.21933380,0.01016866,0.27820131,0.86313766,1.09166515,0.01754910,0.93567954
-5.83791896,2.60284041,0.22136386,0.00996626,0.29076328,0.91535439,1.11198478,0.01738691,0.96910122
-5.83191596,2.69291257,0.22367935,0.00979045,0.30429340,0.96932187,1.13645129,0.01732239,1.00538063
-5.82591296,2.78966010,0.22620645,0.00964341,0.31856674,1.02404779,1.16446817,0.01734641,1.04384471
-5.81990995,2.89109724,0.22886133,0.00952627,0.33333186,1.07850175,1.19533580,0.01744794,1.08374451
-5.81390695,2.99506248,0.23155250,0.00943914,0.34831547,1.13163732,1.22826534,0.01761434,1.12427118
-5.80790395,3.09926807,0.23418372,0.00938122,0.36322834,1.18241618,1.26239664,0.01783162,1.16457495
-5.80190095,3.20135708,0.23665735,0.00935092,0.37777206,1.22983364,1.29681991,0.01808492,1.20378665
-5.79589795,3.29896605,0.23887797,0.00934601,0.39164664,1.27294466,1.33060027,0.01835888,1.24104101
-5.78989495,3.38979159,0.24075617,0.00936386,0.40455868,1.31088941,1.36280470,0.01863811,1.27550100
-5.78389195,3.47165810,0.24221224,0.00940157,0.41622969,1.34291742,1.39253025,0.01890770,1.30638248
-5.77788894,3.54258442,0.24317976,0.00945624,0.42640448,1.36840927,1.41893246,0.01915367,1.33297801
-5.77188594,3.60084654,0.24360869,0.00952517,0.43485901,1.38689507,1.44125304,0.01936341,1.35467917
-5.76588294,3.64503386,0.24346803,0.00960608,0.44140760,1.39806860,1.45884540,0.01952616,1.37099620
