energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,4.67470317,0.17712425,0.00000000,0.01785706,0.82230117,0.03275912,2.14294028,2.76134366,1.27778451
-5.99399700,4.66468695,0.17671120,0.00000000,0.01803786,0.82084847,0.03380003,2.14201765,2.74145533,1.27159017
-5.98799400,4.66005337,0.17640688,0.00000000,0.01832182,0.82066041,0.03499401,2.14320073,2.72238591,1.26783095
-5.98199100,4.66028857,0.17622896,0.00000000,0.01870130,0.82144355,0.03633202,2.14643613,2.70387483,1.26622379
-5.97598799,4.66472150,0.17618759,0.00000000,0.01916604,0.82289189,0.03780241,2.15158385,2.68561053,1.26644141
-5.96998499,4.67254358,0.17628494,0.00000000,0.01970350,0.82469563,0.03939099,2.15842104,2.66724793,1.26812155
-5.96398199,4.68283524,0.17651528,0.00000000,0.02029906,0.82654988,0.04108113,2.16664980,2.64842835,1.27087754
-5.95797899,4.69459853,0.17686546,0.00000000,0.02093645,0.82816341,0.04285396,2.17590918,2.62880079,1.27431001
-5.95197599,4.70679425,0.17731592,0.00000000,0.02159819,0.82926677,0.04468875,2.18579039,2.60804371,1.27801934
-5.94597299,4.71838233,0.17784197,0.00000000,0.02226607,0.82961990,0.04656321,2.19585491,2.58588622,1.28161828
-5.93996998,4.72836345,0.17841555,0.00000000,0.02292168,0.82901861,0.04845404,2.20565433,2.56212746,1.28474443
-5.93396698,4.73582006,0.17900702,0.00000000,0.02354696,0.82729995,0.05033742,2.21475109,2.53665340,1.28707185
-5.92796398,4.73995469,0.17958725,0.00000000,0.02412476,0.82434621,0.05218960,2.22273900,2.50944978,1.28832147
-5.92196098,4.74012376,0.18012955,0.00000000,0.02463940,0.82008736,0.05398748,2.22926245,2.48061079,1.28826978
-5.91595798,4.73586503,0.18061156,0.00000000,0.02507711,0.81450189,0.05570919,2.23403328,2.45034251,1.28675527
-5.90995498,4.72691721,0.18101684,0.00000000,0.02542655,0.80761604,0.05733470,2.23684442,2.41896115,1.28368256
-5.90395198,4.71323051,0.18133615,0.00000000,0.02567911,0.79950139,0.05884622,2.23757939,2.38688557,1.27902366
-5.89794897,4.69496737,0.18156823,0.00000000,0.02582922,0.79027092,0.06022874,2.23621720,2.35462459,1.27281652
-5.89194597,4.67249308,0.18172015,0.00000000,0.02587450,0.78007377,0.06147026,2.23283222,2.32275915,1.26516081
-5.88594297,4.64635639,0.18180706,0.00000000,0.02581577,0.76908866,0.06256202,2.22758888,2.29192019,1.25621097
-5.87993997,4.61726078,0.18185143,0.00000000,0.02565702,0.75751651,0.06349862,2.22073140,2.26276295,1.24616695
-5.87393697,4.58602754,0.18188175,0.00000000,0.02540515,0.74557224,0.06427793,2.21256900,2.23593865,1.23526287
-5.86793397,4.55355211,0.18193086,0.00000000,0.02506968,0.73347617,0.06490091,2.20345709,2.21206489,1.22375425
-5.86193097,4.52075571,0.18203379,0.00000000,0.02466230,0.72144532,0.06537133,2.19377567,2.19169576,1.21190416
-5.85592796,4.48853443,0.18222546,0.00000000,0.02419640,0.70968487,0.06569537,2.18390557,2.17529317,1.19996913
-5.84992496,4.45770814,0.18253821,0.00000000,0.02368645,0.69838007,0.06588112,2.17420419,2.16320047,1.18818520
-5.84392196,4.42897176,0.18299936,0.00000000,0.02314744,0.68768898,0.06593801,2.16498165,2.15561979,1.17675505
-5.83791896,4.40285136,0.18362892,0.00000000,0.02259424,0.67773619,0.06587630,2.15647888,2.15259397,1.16583654
-5.83191596,4.37966733,0.18443763,0.00000000,0.02204101,0.66860783,0.06570643,2.14884871,2.15399434,1.15553344
-5.82591296,4.35950670,0.18542539,0.00000000,0.02150067,0.66034805,0.06543852,2.14214123,2.15951472,1.14588865
-5.81990995,4.34220620,0.18658027,0.00000000,0.02098441,0.65295718,0.06508189,2.13629410,2.16867258,1.13688040
-5.81390695,4.32734738,0.18787808,0.00000000,0.02050133,0.64639162,0.06464466,2.13112869,2.18081720,1.12842164
-5.80790395,4.31426427,0.18928261,0.00000000,0.02005818,0.64056545,0.06413346,2.12635235,2.19514506,1.12036263
-5.80190095,4.30206367,0.19074651,0.00000000,0.01965918,0.63535391,0.06355330,2.12156684,2.21072192,1.11249687
-5.79589795,4.28965756,0.19221285,0.00000000,0.01930605,0.63059851,0.06290756,2.11628285,2.22651099,1.10456993
-5.78989495,4.27580639,0.19361718,0.00000000,0.01899807,0.62611368,0.06219811,2.10993985,2.24140623,1.09629111
-5.78389195,4.25917157,0.19489009,0.00000000,0.01873233,0.62169468,0.06142558,2.10193066,2.25426948,1.08734718
