energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.60457806,0.41413223,0.09044424,0.00194900,0.06856758,0.08445220,0.04240545,0.00109991,0.26103477
-5.99399700,0.63563193,0.43318697,0.09573182,0.00202714,0.07215454,0.08714648,0.04416019,0.00115904,0.27351692
-5.98799400,0.66413668,0.45017262,0.10067779,0.00211412,0.07542969,0.08938351,0.04572487,0.00121987,0.28485767
-5.98199100,0.68954795,0.46477329,0.10519353,0.00220539,0.07833515,0.09110849,0.04706348,0.00128030,0.29482949
-5.97598799,0.71137182,0.47671267,0.10919592,0.00229689,0.08081823,0.09227945,0.04814504,0.00133840,0.30322980
-5.96998499,0.72917894,0.48576256,0.11260986,0.00238501,0.08283314,0.09286833,0.04894434,0.00139239,0.30988641
-5.96398199,0.74261744,0.49175008,0.11537069,0.00246665,0.08434249,0.09286174,0.04944251,0.00144067,0.31466243
-5.95797899,0.75142401,0.49456339,0.11742638,0.00253927,0.08531857,0.09226131,0.04962746,0.00148187,0.31746028
-5.95197599,0.75543264,0.49415552,0.11873941,0.00260086,0.08574443,0.09108362,0.04949412,0.00151487,0.31822464
-5.94597299,0.75458077,0.49054627,0.11928834,0.00265003,0.08561452,0.08935980,0.04904453,0.00153877,0.31694431
-5.93996998,0.74891236,0.48382205,0.11906877,0.00268599,0.08493511,0.08713472,0.04828765,0.00155297,0.31365268
-5.93396698,0.73857799,0.47413371,0.11809400,0.00270861,0.08372426,0.08446588,0.04723908,0.00155714,0.30842705
-5.92796398,0.72383170,0.46169232,0.11639499,0.00271841,0.08201148,0.08142204,0.04592054,0.00155125,0.30138663
-5.92196098,0.70502494,0.44676332,0.11401992,0.00271659,0.07983700,0.07808159,0.04435924,0.00153555,0.29268932
-5.91595798,0.68259771,0.42965912,0.11103315,0.00270497,0.07725076,0.07453089,0.04258703,0.00151055,0.28252755
-5.90995498,0.65706735,0.41073046,0.10751379,0.00268602,0.07431111,0.07086238,0.04063958,0.00147703,0.27112312
-5.90395198,0.62901539,0.39035703,0.10355385,0.00266277,0.07108328,0.06717285,0.03855539,0.00143602,0.25872150
-5.89794897,0.59907294,0.36893752,0.09925599,0.00263881,0.06763771,0.06356162,0.03637484,0.00138873,0.24558555
-5.89194597,0.56790523,0.34687959,0.09473111,0.00261818,0.06404828,0.06012886,0.03413920,0.00133656,0.23198914
-5.88594297,0.53619579,0.32459009,0.09009577,0.00260528,0.06039046,0.05697404,0.03188973,0.00128100,0.21821072
-5.87993997,0.50463074,0.30246579,0.08546945,0.00260481,0.05673953,0.05419448,0.02966684,0.00122366,0.20452702
