energy_ev,total_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.33231263,0.00000021,0.01083447,0.08776152,0.00014739,0.18461889,0.03270689,0.02214668
-5.99399700,0.33016064,0.00000031,0.01074212,0.08744357,0.00014815,0.18374470,0.03300090,0.02205455
-5.98799400,0.32756644,0.00000044,0.01063994,0.08718266,0.00015082,0.18259106,0.03324097,0.02193033
-5.98199100,0.32451556,0.00000064,0.01052763,0.08698624,0.00015561,0.18114554,0.03342336,0.02177233
-5.97598799,0.32099972,0.00000091,0.01040514,0.08686901,0.00016279,0.17939931,0.03354633,0.02157939
-5.96998499,0.31702206,0.00000130,0.01027282,0.08685476,0.00017272,0.17735005,0.03361086,0.02135119
-5.96398199,0.31260221,0.00000183,0.01013162,0.08697800,0.00018583,0.17500480,0.03362121,0.02108865
-5.95797899,0.30778101,0.00000257,0.00998323,0.08728532,0.00020264,0.17238264,0.03358553,0.02079418
-5.95197599,0.30262441,0.00000358,0.00983016,0.08783631,0.00022375,0.16951687,0.03351624,0.02047200
-5.94597299,0.29722630,0.00000495,0.00967589,0.08870399,0.00024984,0.16645659,0.03343030,0.02012828
-5.93996998,0.29171001,0.00000681,0.00952484,0.08997450,0.00028167,0.16326760,0.03334928,0.01977123
-5.93396698,0.28622824,0.00000930,0.00938239,0.09174624,0.00032006,0.16003238,0.03329922,0.01941113
-5.92796398,0.28096141,0.00001262,0.00925476,0.09412806,0.00036589,0.15684920,0.03331026,0.01906014
-5.92196098,0.27611428,0.00001701,0.00914893,0.09723680,0.00042005,0.15383032,0.03341613,0.01873207
-5.91595798,0.27191101,0.00002278,0.00907238,0.10119400,0.00048346,0.15109936,0.03365330,0.01844205
-5.90995498,0.26858883,0.00003028,0.00903288,0.10612189,0.00055697,0.14878782,0.03406009,0.01820607
-5.90395198,0.26639047,0.00003999,0.00903819,0.11213878,0.00064142,0.14703111,0.03467554,0.01804043
-5.89794897,0.26555582,0.00005246,0.00909571,0.11935402,0.00073752,0.14596394,0.03553818,0.01796117
-5.89194597,0.26631297,0.00006834,0.00921218,0.12786260,0.00084583,0.14571565,0.03668483,0.01798347
-5.88594297,0.26886935,0.00008843,0.00939329,0.13773969,0.00096678,0.14640538,0.03814929,0.01812100
-5.87993997,0.27340302,0.00011364,0.00964335,0.14903541,0.00110052,0.14813748,0.03996114,0.01838531
-5.87393697,0.28005492,0.00014504,0.00996501,0.16176992,0.00124700,0.15099738,0.04214467,0.01878535
-5.86793397,0.28892214,0.00018386,0.01035895,0.17592924,0.00140585,0.15504803,0.04471794,0.01932695
-5.86193097,0.30005285,0.00023149,0.01082371,0.19146205,0.00157640,0.16032722,0.04769213,0.02001250
-5.85592796,0.31344296,0.00028946,0.01135554,0.20827760,0.00175769,0.16684584,0.05107105,0.02084073
-5.84992496,0.32903496,0.00035949,0.01194837,0.22624505,0.00194841,0.17458725,0.05485106,0.02180662
