energy_ev,total_up,Ag_p_up,Ag_d_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.78879846,0.05866108,0.70144340,0.02155836,0.01910937,0.00045960,0.00241832,0.09111324,0.00000000
-5.99399700,0.72445501,0.05304577,0.64526206,0.01934559,0.01725750,0.00040865,0.00206849,0.08362146,0.00000000
-5.98799400,0.66302601,0.04783303,0.59146195,0.01732634,0.01553994,0.00036698,0.00176249,0.07644262,0.00000000
-5.98199100,0.60492554,0.04303029,0.54043985,0.01549124,0.01396147,0.00033491,0.00149745,0.06962035,0.00000000
-5.97598799,0.55053543,0.03864345,0.49256320,0.01383208,0.01252611,0.00031276,0.00127044,0.06319485,0.00000000
-5.96998499,0.50020387,0.03467687,0.44816881,0.01234161,0.01123702,0.00030092,0.00107853,0.05720235,0.00000000
-5.96398199,0.45424474,0.03113349,0.40756216,0.01101353,0.01009659,0.00029981,0.00091887,0.05167464,0.00000000
-5.95797899,0.41293742,0.02801500,0.37101704,0.00984231,0.00910643,0.00030994,0.00078876,0.04663883,0.00000000
-5.95197599,0.37652699,0.02532190,0.33877566,0.00882314,0.00826743,0.00033193,0.00068566,0.04211726,0.00000000
-5.94597299,0.34522466,0.02305373,0.31104884,0.00795185,0.00757978,0.00036646,0.00060723,0.03812743,0.00000000
-5.93996998,0.31920821,0.02120914,0.28801628,0.00722479,0.00704306,0.00041432,0.00055137,0.03468213,0.00000000
-5.93396698,0.29862219,0.01978597,0.26982669,0.00663876,0.00665626,0.00047639,0.00051621,0.03178953,0.00000000
-5.92796398,0.28357777,0.01878123,0.25659745,0.00619089,0.00641775,0.00055360,0.00050010,0.02945335,0.00000000
-5.92196098,0.27415189,0.01819099,0.24841386,0.00587855,0.00632531,0.00064690,0.00050162,0.02767298,0.00000000
-5.91595798,0.27038571,0.01801025,0.24532764,0.00569918,0.00637604,0.00075724,0.00051953,0.02644364,0.00000000
-5.90995498,0.27228215,0.01823264,0.24735469,0.00565022,0.00656631,0.00088551,0.00055277,0.02575641,0.00000000
-5.90395198,0.27980263,0.01885011,0.25447204,0.00572890,0.00689161,0.00103249,0.00060037,0.02559828,0.00000000
-5.89794897,0.29286289,0.01985247,0.26661412,0.00593211,0.00734646,0.00119878,0.00066149,0.02595207,0.00000000
-5.89194597,0.31132826,0.02122696,0.28366841,0.00625621,0.00792426,0.00138476,0.00073530,0.02679633,0.00000000
-5.88594297,0.33500855,0.02295774,0.30547075,0.00669686,0.00861711,0.00159050,0.00082100,0.02810524,0.00000000
-5.87993997,0.36365286,0.02502545,0.33180064,0.00724883,0.00941575,0.00181573,0.00091774,0.02984844,0.00000000
-5.87393697,0.39694487,0.02740669,0.36237695,0.00790585,0.01030943,0.00205976,0.00102464,0.03199088,0.00000000
-5.86793397,0.43449905,0.03007374,0.39685434,0.00866046,0.01128582,0.00232142,0.00114072,0.03449276,0.00000000
-5.86193097,0.47585821,0.03299424,0.43482105,0.00950387,0.01233108,0.00259907,0.00126489,0.03730953,0.00000000
-5.85592796,0.52049308,0.03613113,0.47579845,0.01042593,0.01342985,0.00289052,0.00139600,0.04039204,0.00000000
-5.84992496,0.56780429,0.03944272,0.51924275,0.01141506,0.01456543,0.00319307,0.00153277,0.04368682,0.00000000
-5.84392196,0.61712709,0.04288300,0.56454929,0.01245832,0.01572001,0.00350350,0.00167390,0.04713657,0.00000000
-5.83791896,0.66773931,0.04640218,0.61105966,0.01354152,0.01687494,0.00381812,0.00181806,0.05068084,0.00000000
-5.83191596,0.71887246,0.04994741,0.65807183,0.01464940,0.01801112,0.00413279,0.00196393,0.05425697,0.00000000
-5.82591296,0.76972616,0.05346383,0.70485321,0.01576591,0.01910947,0.00444304,0.00211033,0.05780117,0.00000000
-5.81990995,0.81948553,0.05689578,0.75065654,0.01687457,0.02015141,0.00474416,0.00225624,0.06124984,0.00000000
-5.81390695,0.86734136,0.06018820,0.79473821,0.01795888,0.02111946,0.00503127,0.00240095,0.06454109,0.00000000
-5.80790395,0.91251224,0.06328817,0.83637853,0.01900283,0.02199777,0.00529950,0.00254413,0.06761626,0.00000000
-5.80190095,0.95426821,0.06614662,0.87490334,0.01999143,0.02277273,0.00554408,0.00268596,0.07042165,0.00000000
-5.79589795,0.99195485,0.06871997,0.90970596,0.02091133,0.02343352,0.00576051,0.00282723,0.07291014,0.00000000
-5.78989495,1.02501689,0.07097181,0.94026894,0.02175139,0.02397265,0.00594467,0.00296949,0.07504281,0.00000000
-5.78389195,1.05302044,0.07287445,0.96618431,0.02250332,0.02438637,0.00609299,0.00311514,0.07679043,0.00000000
-5.77788894,1.07567265,0.07441031,0.98717170,0.02316220,0.02467507,0.00620251,0.00326752,0.07813469,0.00000000
-5.77188594,1.09283792,0.07557307,1.00309312,0.02372706,0.02484352,0.00627103,0.00343103,0.07906923,0.00000000
-5.76588294,1.10454969,0.07636847,1.01396388,0.02420129,0.02490099,0.00629713,0.00361116,0.07960032,0.00000000
-5.75987994,1.11101716,0.07681484,1.01995874,0.02459295,0.02486129,0.00628028,0.00381456,0.07974715,0.00000000
-5.75387694,1.11262627,0.07694317,1.02141281,0.02491505,0.02474260,0.00622080,0.00404901,0.07954178,0.00000000
-5.74787394,1.10993465,0.07679676,1.01881697,0.02518556,0.02456719,0.00611990,0.00432339,0.07902862,0.00000000
-5.74187094,1.10366030,0.07643050,1.01280754,0.02542737,0.02436107,0.00597960,0.00464761,0.07826353,0.00000000
-5.73586793,1.09466431,0.07590967,1.00415049,0.02566801,0.02415339,0.00580268,0.00503244,0.07731251,0.00000000
-5.72986493,1.08392783,0.07530836,0.99372034,0.02593924,0.02397579,0.00559262,0.00548938,0.07625006,0.00000000
-5.72386193,1.07252394,0.07470754,0.98247455,0.02627645,0.02386171,0.00535342,0.00603034,0.07515710,0.00000000
-5.71785893,1.06158528,0.07419285,0.97142395,0.02671793,0.02384548,0.00508954,0.00666744,0.07411882,0.00000000
-5.71185593,1.05226847,0.07385207,0.96160034,0.02730392,0.02396146,0.00480573,0.00741256,0.07322216,0.00000000
-5.70585293,1.04571647,0.07377256,0.95402229,0.02807563,0.02424313,0.00450692,0.00827706,0.07255329,0.00000000
-5.69984992,1.04302021,0.07403852,0.94966032,0.02907406,0.02472211,0.00419806,0.00927126,0.07219502,0.00000000
-5.69384692,1.04518089,0.07472836,0.94940282,0.03033886,0.02542728,0.00388401,0.01040408,0.07222428,0.00000000
-5.68784392,1.05307438,0.07591218,0.95402393,0.03190707,0.02638390,0.00356942,0.01168256,0.07270979,0.00000000
-5.68184092,1.06741909,0.07764947,0.96415480,0.03381190,0.02761284,0.00325863,0.01311142,0.07370994,0.00000000
-5.67583792,1.08874877,0.07998716,0.98025921,0.03608164,0.02912993,0.00295563,0.01469270,0.07527102,0.00000000
-5.66983492,1.11739127,0.08295811,1.00261491,0.03873864,0.03094541,0.00266393,0.01642542,0.07742586,0.00000000
-5.66383192,1.15345459,0.08658010,1.03130146,0.04179845,0.03306362,0.00238663,0.01830534,0.08019299,0.00000000
-5.65782891,1.19682079,0.09085542,1.06619527,0.04526922,0.03548288,0.00212632,0.02032479,0.08357627,0.00000000
