energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,3.31089915,0.00774018,1.19080673,0.85252455,0.00000000,1.25599426,1.01269244
-5.99399700,3.17804706,0.00714098,1.14991446,0.81071112,0.00000000,1.20291676,0.97510382
-5.98799400,3.05264766,0.00656269,1.11190400,0.77023141,0.00000000,1.15229085,0.93935794
-5.98199100,2.93548297,0.00601192,1.07701828,0.73134949,0.00000000,1.10458662,0.90559656
-5.97598799,2.82729329,0.00549436,1.04550376,0.69429656,0.00000000,1.06026418,0.87396086
-5.96998499,2.72877919,0.00501469,1.01761156,0.65927087,0.00000000,1.01977004,0.84459430
-5.96398199,2.64059992,0.00457659,0.99359617,0.62643816,0.00000000,0.98353216,0.81764410
-5.95797899,2.56336798,0.00418271,0.97371205,0.59593229,0.00000000,0.95195341,0.79326127
-5.95197599,2.49764016,0.00383471,0.95820804,0.56785617,0.00000000,0.92540377,0.77159916
-5.94597299,2.44390525,0.00353328,0.94732001,0.54228272,0.00000000,0.90421138,0.75281067
-5.93996998,2.40256920,0.00327825,0.94126185,0.51925595,0.00000000,0.88865295,0.73704429
-5.93396698,2.37393840,0.00306860,0.94021556,0.49879214,0.00000000,0.87894371,0.72443918
-5.92796398,2.35820224,0.00290261,0.94432065,0.48088102,0.00000000,0.87522776,0.71511947
-5.92196098,2.35541581,0.00277791,0.95366359,0.46548716,0.00000000,0.87756892,0.70918827
-5.91595798,2.36548416,0.00269161,0.96826783,0.45255149,0.00000000,0.88594313,0.70672149
-5.90995498,2.38814908,0.00264039,0.98808492,0.44199307,0.00000000,0.90023256,0.70776197
-5.90395198,2.42297953,0.00262061,1.01298735,0.43371115,0.00000000,0.92022218,0.71231417
-5.89794897,2.46936671,0.00262840,1.04276359,0.42758760,0.00000000,0.94559912,0.72033970
-5.89194597,2.52652456,0.00265982,1.07711565,0.42348963,0.00000000,0.97595520,0.73175404
-5.88594297,2.59349604,0.00271092,1.11565955,0.42127295,0.00000000,1.01079275,0.74642456
-5.87993997,2.66916568,0.00277786,1.15792891,0.42078516,0.00000000,1.04953384,0.76417008
-5.87393697,2.75227806,0.00285704,1.20338154,0.42186937,0.00000000,1.09153266,0.78476207
-5.86793397,2.84146199,0.00294518,1.25140908,0.42436800,0.00000000,1.13609088,0.80792736
-5.86193097,2.93525953,0.00303941,1.30134936,0.42812645,0.00000000,1.18247539,0.83335250
-5.85592796,3.03215894,0.00313739,1.35250097,0.43299662,0.00000000,1.22993783,0.86068949
-5.84992496,3.13063010,0.00323734,1.40413969,0.43884012,0.00000000,1.27773516,0.88956259
-5.84392196,3.22916113,0.00333816,1.45553596,0.44553086,0.00000000,1.32515035,0.91957619
-5.83791896,3.32629441,0.00343941,1.50597270,0.45295701,0.00000000,1.37151240,0.95032306
-5.83191596,3.42066060,0.00354137,1.55476271,0.46102219,0.00000000,1.41621468,0.98139294
-5.82591296,3.51100894,0.00364500,1.60126500,0.46964571,0.00000000,1.45873074,1.01238087
-5.81990995,3.59623258,0.00375198,1.64489912,0.47876191,0.00000000,1.49862700,1.04289507
-5.81390695,3.67538780,0.00386457,1.68515707,0.48831863,0.00000000,1.53557142,1.07256389
-5.80790395,3.74770631,0.00398559,1.72161223,0.49827482,0.00000000,1.56933806,1.10104177
-5.80190095,3.81260031,0.00411825,1.75392502,0.50859735,0.00000000,1.59980710,1.12801387
-5.79589795,3.86966022,0.00426606,1.78184512,0.51925743,0.00000000,1.62696044,1.15319934
-5.78989495,3.91864561,0.00443267,1.80521042,0.53022653,0.00000000,1.65087314,1.17635325
-5.78389195,3.95947015,0.00462166,1.82394287,0.54147224,0.00000000,1.67170115,1.19726721
-5.77788894,3.99218166,0.00483639,1.83804165,0.55295429,0.00000000,1.68966607,1.21576896
-5.77188594,4.01693878,0.00507976,1.84757428,0.56462095,0.00000000,1.70503770,1.23172094
-5.76588294,4.03398569,0.00535411,1.85266637,0.57640595,0.00000000,1.71811531,1.24501844
-5.75987994,4.04362668,0.00566092,1.85349053,0.58822639,0.00000000,1.72920873,1.25558729
-5.75387694,4.04620196,0.00600078,1.85025533,0.59998144,0.00000000,1.73862003,1.26338159
-5.74787394,4.04206616,0.00637317,1.84319483,0.61155237,0.00000000,1.74662689,1.26838162
-5.74187094,4.03157071,0.00677637,1.83255928,0.62280353,0.00000000,1.75346831,1.27059217
-5.73586793,4.01505070,0.00720746,1.81860725,0.63358474,0.00000000,1.75933341,1.27004137
-5.72986493,3.99281696,0.00766224,1.80159966,0.64373460,0.00000000,1.76435358,1.26678001
-5.72386193,3.96515306,0.00813533,1.78179555,0.65308500,0.00000000,1.76859848,1.26088145
-5.71785893,3.93231715,0.00862019,1.75944963,0.66146636,0.00000000,1.77207566,1.25244177
-5.71185593,3.89454793,0.00910934,1.73481131,0.66871365,0.00000000,1.77473386,1.24158023
-5.70585293,3.85207381,0.00959447,1.70812497,0.67467274,0.00000000,1.77646943,1.22843954
-5.69984992,3.80512421,0.01006671,1.67963101,0.67920694,0.00000000,1.77713564,1.21318596
-5.69384692,3.75394190,0.01051689,1.64956720,0.68220344,0.00000000,1.77655408,1.19600890
-5.68784392,3.69879524,0.01093582,1.61817010,0.68357935,0.00000000,1.77452757,1.17711971
-5.68184092,3.63998918,0.01131458,1.58567608,0.68328705,0.00000000,1.77085394,1.15674980
-5.67583792,3.57787425,0.01164485,1.55232168,0.68131861,0.00000000,1.76533992,1.13514780
-5.66983492,3.51285292,0.01191919,1.51834328,0.67770904,0.00000000,1.75781451,1.11257591
-5.66383192,3.44538267,0.01213130,1.48397595,0.67253823,0.00000000,1.74814130,1.08930545
-5.65782891,3.37597579,0.01227626,1.44945160,0.66593123,0.00000000,1.73622914,1.06561190
-5.65182591,3.30519587,0.01235074,1.41499654,0.65805709,0.00000000,1.72204078,1.04176946
-5.64582291,3.23365113,0.01235310,1.38082874,0.64912579,0.00000000,1.70559918,1.01804561
-5.63981991,3.16198492,0.01228346,1.34715498,0.63938368,0.00000000,1.68699114,0.99469563
-5.63381691,3.09086397,0.01214373,1.31416811,0.62910708,0.00000000,1.66636827,0.97195765
-5.62781391,3.02096467,0.01193754,1.28204471,0.61859460,0.00000000,1.64394508,0.95004810
-5.62181091,2.95295806,0.01167009,1.25094317,0.60815792,0.00000000,1.61999434,0.92915795
-5.61580790,2.88749386,0.01134802,1.22100243,0.59811172,0.00000000,1.59483983,0.90944968
-5.60980490,2.82518411,0.01097909,1.19234116,0.58876276,0.00000000,1.56884655,0.89105504
-5.60380190,2.76658669,0.01057201,1.16505751,0.58039859,0.00000000,1.54240897,0.87407365
-5.59779890,2.71218933,0.01013604,1.13922914,0.57327643,0.00000000,1.51593742,0.85857221
-5.59179590,2.66239421,0.00968073,1.11491348,0.56761240,0.00000000,1.48984326,0.84458433
-5.58579290,2.61750387,0.00921558,1.09214799,0.56357181,0.00000000,1.46452342,0.83211082
-5.57978989,2.57770865,0.00874974,1.07095028,0.56126082,0.00000000,1.44034477,0.82112041
-5.57378689,2.54307619,0.00829170,1.05131802,0.56071993,0.00000000,1.41762920,0.81155070
-5.56778389,2.51354365,0.00784907,1.03322858,0.56191965,0.00000000,1.39663987,0.80330942
-5.56178089,2.48891301,0.00742838,1.01663852,0.56475865,0.00000000,1.37756959,0.79627595
-5.55577789,2.46885011,0.00703486,1.00148293,0.56906467,0.00000000,1.36053174,0.79030319
-5.54977489,2.45288794,0.00667243,0.98767500,0.57459810,0.00000000,1.34555448,0.78521982
-5.54377189,2.44043451,0.00634360,0.97510583,0.58105842,0.00000000,1.33257853,0.78083308
-5.53776888,2.43078565,0.00604948,0.96364503,0.58809314,0.00000000,1.32145906,0.77693221
-5.53176588,2.42314270,0.00578986,0.95314207,0.59530913,0.00000000,1.31197153,0.77329253
