energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,3.14127610,0.01799166,0.55479814,0.37045005,0.13621771,2.05298309,1.23400343,0.05697509,1.18226500
-5.99399700,3.17051454,0.01764522,0.55309292,0.38852236,0.14296632,2.04808948,1.22725981,0.05591078,1.20740416
-5.98799400,3.21582258,0.01750302,0.55243491,0.40942039,0.15090365,2.04474558,1.22505445,0.05513385,1.24068846
-5.98199100,3.27676377,0.01755281,0.55284719,0.43298734,0.15996977,2.04282574,1.22741457,0.05466233,1.28181165
-5.97598799,3.35268813,0.01778099,0.55435941,0.45901051,0.17008499,2.04220944,1.23434578,0.05450669,1.33032874
-5.96998499,3.44273850,0.01817296,0.55700682,0.48722143,0.18114988,2.04278997,1.24583215,0.05466999,1.38566005
-5.96398199,3.54585930,0.01871346,0.56082875,0.51729730,0.19304571,2.04448105,1.26183507,0.05514814,1.44709782
-5.95797899,3.66080854,0.01938678,0.56586651,0.54886377,0.20563535,2.04722130,1.28229130,0.05593046,1.51381550
-5.95197599,3.78617374,0.02017704,0.57216093,0.58149939,0.21876474,2.05097658,1.30711065,0.05700039,1.58488011
-5.94597299,3.92039275,0.02106837,0.57974978,0.61474181,0.23226510,2.05574067,1.33617347,0.05833640,1.65926802
-5.93996998,4.06178003,0.02204505,0.58866528,0.64809578,0.24595574,2.06153453,1.36932866,0.05991305,1.73588420
-5.93396698,4.20855881,0.02309176,0.59893174,0.68104297,0.25964768,2.06840462,1.40639247,0.06170219,1.81358492
-5.92796398,4.35889909,0.02419372,0.61056374,0.71305353,0.27314787,2.07642086,1.44714836,0.06367419,1.89120383
-5.92196098,4.51096099,0.02533688,0.62356475,0.74359908,0.28626407,2.08567465,1.49134826,0.06579930,1.96758080
-5.91595798,4.66294240,0.02650813,0.63792636,0.77216688,0.29881014,2.09627723,1.53871528,0.06804888,2.04159282
-5.90995498,4.81312945,0.02769556,0.65362803,0.79827458,0.31061162,2.10835870,1.58894761,0.07039677,2.11218614
-5.90395198,4.95994765,0.02888860,0.67063739,0.82148524,0.32151139,2.12206769,1.64172371,0.07282032,2.17840819
-5.89794897,5.10201146,0.03007834,0.68891097,0.84142168,0.33137508,2.13757158,1.69670819,0.07530149,2.23943812
-5.89194597,5.23816954,0.03125764,0.70839517,0.85777983,0.34009606,2.15505712,1.75355803,0.07782758,2.29461443
-5.88594297,5.36754310,0.03242136,0.72902733,0.87034013,0.34759970,2.17473082,1.81192873,0.08039178,2.34345818
-5.87993997,5.48955483,0.03356643,0.75073685,0.87897663,0.35384655,2.19681892,1.87147986,0.08299340,2.38569048
-5.87393697,5.60394621,0.03469197,0.77344600,0.88366311,0.35883448,2.22156622,1.93187960,0.08563774,2.42124306
-5.86793397,5.71078163,0.03579923,0.79707059,0.88447581,0.36259929,2.24923356,1.99280793,0.08833572,2.45026096
-5.86193097,5.81043832,0.03689148,0.82152018,0.88159264,0.36521399,2.28009328,2.05395829,0.09110304,2.47309699
-5.85592796,5.90358209,0.03797390,0.84669807,0.87528864,0.36678648,2.31442277,2.11503772,0.09395907,2.49029766
-5.84992496,5.99112938,0.03905325,0.87250091,0.86592796,0.36745592,2.35249581,2.17576547,0.09692549,2.50258105
-5.84392196,6.07419733,0.04013758,0.89881818,0.85395247,0.36738765,2.39457209,2.23587044,0.10002462,2.51080739
-5.83791896,6.15404414,0.04123586,0.92553162,0.83986757,0.36676716,2.44088507,2.29508788,0.10327764,2.51594360
-5.83191596,6.23200261,0.04235751,0.95251476,0.82422576,0.36579313,2.49162896,2.35315570,0.10670270,2.51902321
-5.82591296,6.30941028,0.04351201,0.97963277,0.80760863,0.36466995,2.54694533,2.40981103,0.11031307,2.52110371
-5.81990995,6.38753979,0.04470845,1.00674280,0.79060813,0.36360014,2.60691028,2.46478755,0.11411537,2.52322318
-5.81390695,6.46753311,0.04595511,1.03369482,0.77380780,0.36277688,2.67152304,2.51781409,0.11810806,2.52635824
-5.80790395,6.55034304,0.04725915,1.06033325,0.75776483,0.36237703,2.74069668,2.56861471,0.12228019,2.53138538
-5.80190095,6.63668495,0.04862630,1.08649915,0.74299353,0.36255506,2.81425184,2.61691074,0.12661056,2.53904742
-5.79589795,6.72700110,0.05006067,1.11203317,0.72995107,0.36343795,2.89191389,2.66242469,0.13106730,2.54992651
