energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.03422557,0.02553990,0.20396330,0.70236191,0.27221661,1.19284179,0.00000000,1.00878084,0.25197004
-5.99399700,2.14219743,0.02644564,0.21434099,0.73889148,0.29013841,1.25646296,0.00000000,1.07600320,0.26399177
-5.98799400,2.24685182,0.02723074,0.22424605,0.77406172,0.30774942,1.31843653,0.00000000,1.14301037,0.27536621
-5.98199100,2.34732414,0.02787991,0.23358061,0.80758254,0.32486386,1.37830785,0.00000000,1.20930769,0.28597890
-5.97598799,2.44282463,0.02838141,0.24225964,0.83919137,0.34129808,1.43565723,0.00000000,1.27440183,0.29573379
-5.96998499,2.53264375,0.02872730,0.25021194,0.86865513,0.35687385,1.49010125,0.00000000,1.33780553,0.30455395
-5.96398199,2.61615464,0.02891349,0.25738054,0.89577105,0.37142154,1.54129273,0.00000000,1.39904182,0.31238158
-5.95797899,2.69281295,0.02893974,0.26372263,0.92036647,0.38478315,1.58891944,0.00000000,1.45764745,0.31917734
-5.95197599,2.76215416,0.02880953,0.26920893,0.94229771,0.39681520,1.63270190,0.00000000,1.51317590,0.32491910
-5.94597299,2.82378916,0.02852979,0.27382263,0.96144819,0.40739124,1.67239065,0.00000000,1.56519967,0.32960005
-5.93996998,2.87739859,0.02811054,0.27755787,0.97772613,0.41640405,1.70776335,0.00000000,1.61331243,0.33322657
-5.93396698,2.92272676,0.02756451,0.28041800,0.99106206,0.42376751,1.73862220,0.00000000,1.65713086,0.33581575
-5.92796398,2.95957589,0.02690662,0.28241372,1.00140642,0.42941800,1.76479216,0.00000000,1.69629683,0.33739297
-5.92196098,2.98780152,0.02615349,0.28356107,1.00872759,0.43331550,1.78612021,0.00000000,1.73047974,0.33798946
-5.91595798,3.00730959,0.02532293,0.28387966,1.01301048,0.43544419,1.80247614,0.00000000,1.75937967,0.33764031
-5.90995498,3.01805574,0.02443343,0.28339104,1.01425603,0.43581275,1.81375490,0.00000000,1.78273115,0.33638272
-5.90395198,3.02004712,0.02350369,0.28211744,1.01248151,0.43445421,1.81988062,0.00000000,1.80030797,0.33425493
-5.89794897,3.01334668,0.02255225,0.28008096,1.00772178,0.43142557,1.82081216,0.00000000,1.81192876,0.33129557
-5.89194597,2.99807973,0.02159711,0.27730312,1.00003138,0.42680696,1.81654991,0.00000000,1.81746343,0.32754364
-5.88594297,2.97444217,0.02065546,0.27380498,0.98948724,0.42070055,1.80714338,0.00000000,1.81684007,0.32303903
-5.87993997,2.94270973,0.01974348,0.26960763,0.97619183,0.41322915,1.79269906,0.00000000,1.81005213,0.31782342
-5.87393697,2.90324723,0.01887619,0.26473307,0.96027637,0.40453440,1.77338785,0.00000000,1.79716524,0.31194149
-5.86793397,2.85651682,0.01806737,0.25920539,0.94190366,0.39477473,1.74945130,0.00000000,1.77832328,0.30544236
-5.86193097,2.80308397,0.01732949,0.25305209,0.92127042,0.38412296,1.72120605,0.00000000,1.75375311,0.29838085
-5.85592796,2.74362037,0.01667373,0.24630542,0.89860843,0.37276353,1.68904570,0.00000000,1.72376730,0.29081866
-5.84992496,2.67890251,0.01610995,0.23900367,0.87418441,0.36088940,1.65343955,0.00000000,1.68876447,0.28282516
-5.84392196,2.60980554,0.01564668,0.23119219,0.84829836,0.34869871,1.61492797,0.00000000,1.64922672,0.27447769
-5.83791896,2.53729166,0.01529115,0.22292406,0.82128005,0.33639101,1.57411394,0.00000000,1.60571392,0.26586124
-5.83191596,2.46239323,0.01504920,0.21426038,0.79348383,0.32416341,1.53165098,0.00000000,1.55885468,0.25706753
-5.82591296,2.38619070,0.01492528,0.20527001,0.76528177,0.31220649,1.48822775,0.00000000,1.50933416,0.24819343
-5.81990995,2.30978606,0.01492232,0.19602885,0.73705518,0.30070013,1.44454963,0.00000000,1.45787890,0.23933880
-5.81390695,2.23427288,0.01504168,0.18661865,0.70918513,0.28980947,1.40131820,0.00000000,1.40523918,0.23060386
-5.80790395,2.16070415,0.01528299,0.17712528,0.68204201,0.27968100,1.35920945,0.00000000,1.35216957,0.22208615
-5.80190095,2.09005949,0.01564406,0.16763672,0.65597487,0.27043901,1.31885173,0.00000000,1.29940852,0.21387739
-5.79589795,2.02321335,0.01612075,0.15824083,0.63130096,0.26218255,1.28080452,0.00000000,1.24765771,0.20606026
-5.78989495,1.96090595,0.01670688,0.14902283,0.60829594,0.25498297,1.24553931,0.00000000,1.19756230,0.19870549
-5.78389195,1.90371852,0.01739422,0.14006299,0.58718536,0.24888229,1.21342328,0.00000000,1.14969295,0.19186927
-5.77788894,1.85205426,0.01817239,0.13143426,0.56813773,0.24389237,1.18470715,0.00000000,1.10453044,0.18559126
-5.77188594,1.80612619,0.01902898,0.12320028,0.55125974,0.23999512,1.15951745,0.00000000,1.06245366,0.17989329
-5.76588294,1.76595281,0.01994967,0.11541367,0.53659373,0.23714361,1.13785415,0.00000000,1.02373161,0.17477893
-5.75987994,1.73136176,0.02091832,0.10811484,0.52411767,0.23526427,1.11959356,0.00000000,0.98851977,0.17023380
-5.75387694,1.70200170,0.02191733,0.10133122,0.51374762,0.23425993,1.10449665,0.00000000,0.95686096,0.16622685
-5.74787394,1.67736189,0.02292789,0.09507704,0.50534276,0.23401385,1.09222240,0.00000000,0.92869074,0.16271242
-5.74187094,1.65679867,0.02393038,0.08935368,0.49871253,0.23439435,1.08234559,0.00000000,0.90384698,0.15963303
-5.73586793,1.63956758,0.02490480,0.08415043,0.49362581,0.23526008,1.07437835,0.00000000,0.88208311,0.15692276
-5.72986493,1.62485985,0.02583123,0.07944575,0.48982170,0.23646561,1.06779442,0.00000000,0.86308458,0.15451109
-5.72386193,1.61184150,0.02669029,0.07520888,0.48702134,0.23786720,1.06205497,0.00000000,0.84648744,0.15232702
-5.71785893,1.59969326,0.02746369,0.07140168,0.48494050,0.23932847,1.05663503,0.00000000,0.83189848,0.15030322
-5.71185593,1.58764971,0.02813466,0.06798075,0.48330219,0.24072578,1.05104922,0.00000000,0.81891583,0.14838013
-5.70585293,1.57503586,0.02868838,0.06489950,0.48184895,0.24195309,1.04487563,0.00000000,0.80714919,0.14650970
-5.69984992,1.56129960,0.02911244,0.06211031,0.48035437,0.24292615,1.03777711,0.00000000,0.79623884,0.14465875
