energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,1.08832895,0.01521710,0.04954627,0.50205026,0.00000000,0.31192969,0.26505907,0.01076243,0.65443329
-5.99399700,1.00323629,0.01474324,0.04359959,0.46691489,0.00000000,0.28608001,0.24179776,0.00946921,0.60770869
-5.98799400,0.92089736,0.01419029,0.03831821,0.43199596,0.00000000,0.26158876,0.21973660,0.00830290,0.56154305
-5.98199100,0.84164785,0.01356724,0.03365849,0.39760654,0.00000000,0.23845142,0.19890733,0.00725633,0.51624466
-5.97598799,0.76582189,0.01288442,0.02957901,0.36405302,0.00000000,0.21667766,0.17934020,0.00632166,0.47212051
-5.96998499,0.69374050,0.01215310,0.02604120,0.33162711,0.00000000,0.19628772,0.16106239,0.00549064,0.42946633
-5.96398199,0.62570058,0.01138514,0.02300984,0.30059869,0.00000000,0.17730863,0.14409642,0.00475493,0.38855739
-5.95797899,0.56196521,0.01059258,0.02045338,0.27120984,0.00000000,0.15977052,0.12845865,0.00410625,0.34964062
-5.95197599,0.50275535,0.00978729,0.01834392,0.24367015,0.00000000,0.14370314,0.11415808,0.00353658,0.31292814
-5.94597299,0.44824363,0.00898068,0.01665722,0.21815337,0.00000000,0.12913278,0.10119535,0.00303828,0.27859259
-5.93996998,0.39854997,0.00818335,0.01537238,0.19479551,0.00000000,0.11607968,0.08956214,0.00260414,0.24676418
-5.93396698,0.35373936,0.00740490,0.01447149,0.17369418,0.00000000,0.10455584,0.07924084,0.00222750,0.21752946
-5.92796398,0.31382152,0.00665375,0.01393916,0.15490912,0.00000000,0.09456347,0.07020460,0.00190219,0.19093175
-5.92196098,0.27875220,0.00593698,0.01376187,0.13846370,0.00000000,0.08609374,0.06241756,0.00162259,0.16697299
-5.91595798,0.24843600,0.00526031,0.01392737,0.12434719,0.00000000,0.07912611,0.05583542,0.00138360,0.14561678
-5.90995498,0.22273017,0.00462806,0.01442391,0.11251753,0.00000000,0.07362784,0.05040606,0.00118060,0.12679234
-5.90395198,0.20144917,0.00404318,0.01523950,0.10290453,0.00000000,0.06955392,0.04607035,0.00100945,0.11039910
-5.89794897,0.18436972,0.00350737,0.01636115,0.09541307,0.00000000,0.06684707,0.04276293,0.00086641,0.09631162
-5.89194597,0.17123595,0.00302113,0.01777409,0.08992643,0.00000000,0.06543798,0.04041303,0.00074815,0.08438470
-5.88594297,0.16176447,0.00258395,0.01946110,0.08630934,0.00000000,0.06524565,0.03894526,0.00065168,0.07445828
-5.87993997,0.15564931,0.00219444,0.02140187,0.08441096,0.00000000,0.06617785,0.03828034,0.00057435,0.06636216
-5.87393697,0.15256648,0.00185050,0.02357244,0.08406751,0.00000000,0.06813161,0.03833577,0.00051379,0.05992028
-5.86793397,0.15217833,0.00154944,0.02594488,0.08510479,0.00000000,0.07099399,0.03902652,0.00046791,0.05495447
-5.86193097,0.15413762,0.00128820,0.02848705,0.08734045,0.00000000,0.07464290,0.04026563,0.00043490,0.05128784
-5.85592796,0.15809142,0.00106346,0.03116259,0.09058618,0.00000000,0.07894817,0.04196491,0.00041318,0.04874756
-5.84992496,0.16368502,0.00087175,0.03393114,0.09464987,0.00000000,0.08377295,0.04403566,0.00040143,0.04716721
-5.84392196,0.17056588,0.00070959,0.03674876,0.09933779,0.00000000,0.08897527,0.04638954,0.00039859,0.04638877
-5.83791896,0.17838777,0.00057358,0.03956861,0.10445687,0.00000000,0.09441006,0.04893944,0.00040387,0.04626422
-5.83191596,0.18681513,0.00046046,0.04234183,0.10981720,0.00000000,0.09993136,0.05160063,0.00041676,0.04665694
-5.82591296,0.19552772,0.00036716,0.04501859,0.11523456,0.00000000,0.10539492,0.05429193,0.00043706,0.04744284
-5.81990995,0.20422557,0.00029089,0.04754938,0.12053324,0.00000000,0.11066101,0.05693707,0.00046491,0.04851141
-5.81390695,0.21263401,0.00022907,0.04988634,0.12554885,0.00000000,0.11559733,0.05946612,0.00050085,0.04976663
-5.80790395,0.22050885,0.00017945,0.05198468,0.13013124,0.00000000,0.12008211,0.06181694,0.00054578,0.05112778
-5.80190095,0.22764136,0.00014001,0.05380409,0.13414728,0.00000000,0.12400711,0.06393667,0.00060111,0.05253017
-5.79589795,0.23386297,0.00010903,0.05531013,0.13748351,0.00000000,0.12728037,0.06578311,0.00066870,0.05392578
-5.78989495,0.23904935,0.00008502,0.05647543,0.14004844,0.00000000,0.12982880,0.06732592,0.00075096,0.05528368
-5.78389195,0.24312369,0.00006674,0.05728072,0.14177443,0.00000000,0.13160021,0.06854770,0.00085085,0.05659035
-5.77788894,0.24605900,0.00005316,0.05771566,0.14261896,0.00000000,0.13256488,0.06944464,0.00097190,0.05784968
-5.77188594,0.24787907,0.00004342,0.05777928,0.14256535,0.00000000,0.13271637,0.07002694,0.00111822,0.05908269
-5.76588294,0.24865811,0.00003685,0.05748021,0.14162268,0.00000000,0.13207176,0.07031871,0.00129450,0.06032692
-5.75987994,0.24851874,0.00003292,0.05683651,0.13982495,0.00000000,0.13067101,0.07035754,0.00150594,0.06163532
-5.75387694,0.24762859,0.00003121,0.05587516,0.13722953,0.00000000,0.12857565,0.07019351,0.00175821,0.06307482
-5.74787394,0.24619512,0.00003142,0.05463123,0.13391486,0.00000000,0.12586671,0.06988785,0.00205736,0.06472428
-5.74187094,0.24445917,0.00003332,0.05314682,0.12997752,0.00000000,0.12264204,0.06951106,0.00240968,0.06667210
-5.73586793,0.24268699,0.00003677,0.05146966,0.12552871,0.00000000,0.11901308,0.06914076,0.00282153,0.06901330
-5.72986493,0.24116135,0.00004166,0.04965160,0.12069040,0.00000000,0.11510115,0.06885911,0.00329915,0.07184613
-5.72386193,0.24017164,0.00004793,0.04774690,0.11559116,0.00000000,0.11103364,0.06875007,0.00384845,0.07526847
-5.71785893,0.24000362,0.00005558,0.04581057,0.11036188,0.00000000,0.10693993,0.06889646,0.00447473,0.07937383
-5.71185593,0.24092890,0.00006459,0.04389661,0.10513162,0.00000000,0.10294750,0.06937700,0.00518238,0.08424723
-5.70585293,0.24319473,0.00007498,0.04205644,0.10002364,0.00000000,0.09917831,0.07026343,0.00597462,0.08996110
-5.69984992,0.24701443,0.00008679,0.04033745,0.09515178,0.00000000,0.09574551,0.07161785,0.00685319,0.09657129
-5.69384692,0.25255882,0.00010003,0.03878174,0.09061746,0.00000000,0.09275083,0.07349026,0.00781805,0.10411334
-5.68784392,0.25994917,0.00011476,0.03742521,0.08650716,0.00000000,0.09028265,0.07591670,0.00886712,0.11259931
-5.68184092,0.26925185,0.00013100,0.03629688,0.08289068,0.00000000,0.08841493,0.07891782,0.00999610,0.12201521
-5.67583792,0.28047515,0.00014883,0.03541865,0.07982013,0.00000000,0.08720707,0.08249810,0.01119824,0.13231926
-5.66983492,0.29356845,0.00016828,0.03480536,0.07732969,0.00000000,0.08670474,0.08664585,0.01246431,0.14344111
-5.66383192,0.30842399,0.00018946,0.03446525,0.07543615,0.00000000,0.08694184,0.09133393,0.01378258,0.15528225
-5.65782891,0.32488119,0.00021246,0.03440081,0.07414015,0.00000000,0.08794341,0.09652129,0.01513891,0.16771748
-5.65182591,0.34273380,0.00023744,0.03461000,0.07342817,0.00000000,0.08972966,0.10215541,0.01651698,0.18059772
-5.64582291,0.36173942,0.00026461,0.03508775,0.07327504,0.00000000,0.09232084,0.10817538,0.01789857,0.19375397
-5.63981991,0.38163155,0.00029425,0.03582781,0.07364700,0.00000000,0.09574308,0.11451582,0.01926402,0.20700245
-5.63381691,0.40213346,0.00032674,0.03682483,0.07450508,0.00000000,0.10003491,0.12111137,0.02059269,0.22015077
-5.62781391,0.42297382,0.00036255,0.03807662,0.07580883,0.00000000,0.10525428,0.12790166,0.02186362,0.23300490
-5.62181091,0.44390317,0.00040231,0.03958648,0.07752002,0.00000000,0.11148599,0.13483653,0.02305613,0.24537665
-5.61580790,0.46471086,0.00044678,0.04136565,0.07960637,0.00000000,0.11884915,0.14188144,0.02415058,0.25709152
-5.60980490,0.48524164,0.00049689,0.04343564,0.08204514,0.00000000,0.12750438,0.14902261,0.02512901,0.26799641
-5.60380190,0.50541113,0.00055376,0.04583041,0.08482621,0.00000000,0.13766053,0.15627185,0.02597585,0.27796683
-5.59779890,0.52521943,0.00061867,0.04859829,0.08795490,0.00000000,0.14958042,0.16367070,0.02667856,0.28691347
-5.59179590,0.54476216,0.00069314,0.05180360,0.09145398,0.00000000,0.16358535,0.17129366,0.02722814,0.29478742
-5.58579290,0.56423815,0.00077883,0.05552770,0.09536513,0.00000000,0.18005791,0.17925027,0.02761960,0.30158412
-5.57978989,0.58395329,0.00087760,0.05986957,0.09974949,0.00000000,0.19944274,0.18768587,0.02785218,0.30734542
-5.57378689,0.60432001,0.00099147,0.06494572,0.10468745,0.00000000,0.22224487,0.19678078,0.02792955,0.31215989
-5.56778389,0.62585210,0.00112257,0.07088927,0.11027748,0.00000000,0.24902539,0.20674790,0.02785976,0.31616108
-5.56178089,0.64915479,0.00127308,0.07784838,0.11663416,0.00000000,0.28039406,0.21782858,0.02765503,0.31952374
-5.55577789,0.67491008,0.00144524,0.08598375,0.12388540,0.00000000,0.31699890,0.23028688,0.02733137,0.32245827
-5.54977489,0.70385777,0.00164122,0.09546528,0.13216884,0.00000000,0.35951242,0.24440219,0.02690814,0.32520338
-5.54377189,0.73677253,0.00186308,0.10646793,0.14162777,0.00000000,0.40861484,0.26046054,0.02640732,0.32801742
-5.53776888,0.77443784,0.00211268,0.11916683,0.15240650,0.00000000,0.46497434,0.27874467,0.02585282,0.33116867
-5.53176588,0.81761759,0.00239159,0.13373170,0.16464549,0.00000000,0.52922477,0.29952340,0.02526967,0.33492500
-5.52576288,0.86702648,0.00270099,0.15032072,0.17847636,0.00000000,0.60194129,0.32304045,0.02468312,0.33954343
-5.51975988,0.92330021,0.00304161,0.16907407,0.19401713,0.00000000,0.68361473,0.34950328,0.02411784,0.34526003
-5.51375688,0.98696684,0.00341364,0.19010735,0.21136760,0.00000000,0.77462547,0.37907237,0.02359704,0.35228064
-5.50775388,1.05842040,0.00381663,0.21350508,0.23060552,0.00000000,0.87521780,0.41185147,0.02314177,0.36077282
-5.50175088,1.13789799,0.00424945,0.23931456,0.25178320,0.00000000,0.98547593,0.44787910,0.02277018,0.37085945
-5.49574787,1.22546145,0.00471026,0.26754039,0.27492522,0.00000000,1.10530265,0.48712197,0.02249704,0.38261429
-5.48974487,1.32098452,0.00519644,0.29813997,0.30002690,0.00000000,1.23440198,0.52947050,0.02233326,0.39605965
-5.48374187,1.42414631,0.00570464,0.33102014,0.32705393,0.00000000,1.37226678,0.57473687,0.02228567,0.41116628
-5.47773887,1.53443141,0.00623079,0.36603534,0.35594294,0.00000000,1.51817244,0.62265573,0.02235685,0.42785559
-5.47173587,1.65113716,0.00677012,0.40298734,0.38660314,0.00000000,1.67117736,0.67288773,0.02254520,0.44600393
-5.46573287,1.77338771,0.00731729,0.44162687,0.41891875,0.00000000,1.83013100,0.72502575,0.02284510,0.46544885
-5.45972986,1.90015481,0.00786649,0.48165700,0.45275223,0.00000000,1.99368960,0.77860387,0.02324721,0.48599690
-5.45372686,2.03028439,0.00841153,0.52273848,0.48794808,0.00000000,2.16033974,0.83310863,0.02373889,0.50743277
-5.44772386,2.16252823,0.00894608,0.56449677,0.52433692,0.00000000,2.32842927,0.88799227,0.02430471,0.52952915
-5.44172086,2.29557942,0.00946377,0.60653065,0.56173978,0.00000000,2.49620482,0.94268753,0.02492703,0.55205689
-5.43571786,2.42811014,0.00995842,0.64842215,0.59997214,0.00000000,2.66185484,0.99662327,0.02558667,0.57479512
-5.42971486,2.55881039,0.01042424,0.68974735,0.63884776,0.00000000,2.82355655,1.04924049,0.02626351,0.59754055
-5.42371186,2.68642582,0.01085599,0.73008774,0.67818187,0.00000000,2.97952520,1.10000789,0.02693718,0.62011580
-5.41770885,2.80979320,0.01124923,0.76904156,0.71779372,0.00000000,3.12806352,1.14843641,0.02758766,0.64237620
-5.41170585,2.92787189,0.01160042,0.80623469,0.75750829,0.00000000,3.26760931,1.19409210,0.02819590,0.66421470
-5.40570285,3.03976984,0.01190711,0.84133054,0.79715716,0.00000000,3.39677900,1.23660674,0.02874433,0.68556484
-5.39969985,3.14476303,0.01216807,0.87403849,0.83657852,0.00000000,3.51440519,1.27568574,0.02921727,0.70640139
-5.39369685,3.24230739,0.01238330,0.90412053,0.87561634,0.00000000,3.61956635,1.31111299,0.02960135,0.72673882
-5.38769385,3.33204263,0.01255414,0.93139559,0.91411896,0.00000000,3.71160715,1.34275245,0.02988570,0.74662751
-5.38169085,3.41378801,0.01268322,0.95574162,0.95193709,0.00000000,3.79014842,1.37054640,0.03006216,0.76614802
-5.37568784,3.48753001,0.01277439,0.97709500,0.98892161,0.00000000,3.85508615,1.39451051,0.03012531,0.78540350
-5.36968484,3.55340293,0.01283264,0.99544763,1.02492120,0.00000000,3.90657960,1.41472608,0.03007247,0.80451080
-5.36368184,3.61166321,0.01286390,1.01084171,1.05978025,0.00000000,3.94502910,1.43132973,0.02990354,0.82359051
-5.35767884,3.66265906,0.01287489,1.02336252,1.09333717,0.00000000,3.97104466,1.44450120,0.02962083,0.84275652
-5.35167584,3.70679708,0.01287287,1.03312975,1.12542334,0.00000000,3.98540716,1.45445002,0.02922881,0.86210567
-5.34567284,3.74450769,0.01286535,1.04028780,1.15586287,0.00000000,3.98902427,1.46140156,0.02873381,0.88170788
-5.33966983,3.77621150,0.01285988,1.04499577,1.18447340,0.00000000,3.98288337,1.46558342,0.02814367,0.90159736
-5.33366683,3.80228838,0.01286371,1.04741758,1.21106791,0.00000000,3.96800438,1.46721291,0.02746739,0.92176544
-5.32766383,3.82305138,0.01288357,1.04771298,1.23545766,0.00000000,3.94539475,1.46648607,0.02671485,0.94215538
-5.32166083,3.83872672,0.01292540,1.04603000,1.25745619,0.00000000,3.91600952,1.46356923,0.02589639,0.96265951
-5.31565783,3.84944143,0.01299414,1.04249921,1.27688432,0.00000000,3.88071823,1.45859312,0.02502257,0.98311901
-5.30965483,3.85521925,0.01309360,1.03723014,1.29357589,0.00000000,3.84028063,1.45165019,0.02410393,1.00332639
-5.30365183,3.85598517,0.01322627,1.03031018,1.30738417,0.00000000,3.79533235,1.44279505,0.02315070,1.02303079
-5.29764882,3.85157839,0.01339338,1.02180577,1.31818860,0.00000000,3.74638087,1.43204798,0.02217272,1.04194579
-5.29164582,3.84177305,0.01359484,1.01176589,1.32590156,0.00000000,3.69381178,1.41940130,0.02117926,1.05975967
-5.28564282,3.82630533,0.01382936,1.00022747,1.33047489,0.00000000,3.63790438,1.40482810,0.02017898,1.07614757
-5.27963982,3.80490553,0.01409463,0.98722226,1.33190575,0.00000000,3.57885519,1.38829270,0.01917993,1.09078521
-5.27363682,3.77733285,0.01438751,0.97278460,1.33024167,0.00000000,3.51680737,1.36976231,0.01818951,1.10336333
-5.26763382,3.74341096,0.01470432,0.95695944,1.32558418,0.00000000,3.45188365,1.34921887,0.01721455,1.11360254
-5.26163082,3.70306190,0.01504117,0.93981001,1.31809103,0.00000000,3.38422028,1.32667043,0.01626136,1.12126759
-5.25562781,3.65633615,0.01539426,0.92142436,1.30797662,0.00000000,3.31399920,1.30216139,0.01533580,1.12618053
-5.24962481,3.60343695,0.01576027,0.90192032,1.29551047,0.00000000,3.24147614,1.27578067,0.01444333,1.12823208
-5.24362181,3.54473705,0.01613669,0.88144834,1.28101364,0.00000000,3.16700233,1.24766751,0.01358911,1.12739071
-5.23761881,3.48078688,0.01652208,0.86019196,1.26485314,0.00000000,3.09103820,1.21801442,0.01277800,1.12370878
-5.23161581,3.41231316,0.01691638,0.83836569,1.24743433,0.00000000,3.01415789,1.18706698,0.01201460,1.11732566
-5.22561281,3.34020810,0.01732105,0.81621036,1.22919153,0.00000000,2.93704412,1.15512068,0.01130326,1.10846738
-5.21960980,3.26550946,0.01773917,0.79398616,1.21057708,0.00000000,2.86047360,1.12251480,0.01064805,1.09744301
-5.21360680,3.18937244,0.01817541,0.77196380,1.19204919,0.00000000,2.78529378,1.08962384,0.01005267,1.08463775
-5.20760380,3.11303503,0.01863597,0.75041421,1.17405909,0.00000000,2.71239247,1.05684692,0.00952045,1.07050306
-5.20160080,3.03777849,0.01912827,0.72959750,1.15703785,0.00000000,2.64266213,1.02459586,0.00905417,1.05554429
-5.19559780,2.96488517,0.01966069,0.70975185,1.14138355,0.00000000,2.57696105,0.99328264,0.00865604,1.04030629
-5.18959480,2.89559588,0.02024208,0.69108294,1.12744913,0.00000000,2.51607397,0.96330687,0.00832754,1.02535765
-5.18359180,2.83106900,0.02088128,0.67375476,1.11553174,0.00000000,2.46067450,0.93504413,0.00806935,1.01127422
-5.17758879,2.77234343,0.02158651,0.65788217,1.10586380,0.00000000,2.41129156,0.90883567,0.00788122,0.99862257
-5.17158579,2.72030706,0.02236478,0.64352590,1.09860633,0.00000000,2.36828204,0.88497995,0.00776194,0.98794408
-5.16558279,2.67567223,0.02322125,0.63069004,1.09384490,0.00000000,2.33181099,0.86372652,0.00770926,0.97974012
-5.15957979,2.63895909,0.02415866,0.61932244,1.09158828,0.00000000,2.30184079,0.84527219,0.00771988,0.97445904
-5.15357679,2.61048717,0.02517677,0.60931778,1.09176992,0.00000000,2.27812947,0.82975974,0.00778951,0.97248508
-5.14757379,2.59037527,0.02627195,0.60052320,1.09425215,0.00000000,2.26023845,0.81727880,0.00791285,0.97412966
-5.14157079,2.57854892,0.02743686,0.59274618,1.09883297,0.00000000,2.24754897,0.80786865,0.00808376,0.97962512
-5.13556778,2.57475451,0.02866028,0.58576404,1.10525489,0.00000000,2.23928628,0.80152263,0.00829536,0.98912084
-5.12956478,2.57857887,0.02992715,0.57933473,1.11321550,0.00000000,2.23455003,0.79819343,0.00854018,1.00268172
-5.12356178,2.58947266,0.03121871,0.57320804,1.12237925,0.00000000,2.23234935,0.79779893,0.00881043,1.02028882
-5.11755878,2.60677594,0.03251292,0.56713684,1.13238959,0.00000000,2.23164046,0.80022791,0.00909814,1.04184175
