energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,8.43641445,0.01782832,1.48217922,1.29203965,0.26609568,4.37438901,1.71005197,0.17121611,3.22947469
-5.99399700,8.45509253,0.01838067,1.46978835,1.28209514,0.26687353,4.33872474,1.71155672,0.17940642,3.24959607
-5.98799400,8.46900174,0.01895785,1.45682977,1.26794262,0.26755336,4.29571583,1.71363015,0.18792052,3.26692358
-5.98199100,8.47894720,0.01955759,1.44335378,1.24997350,0.26819574,4.24576833,1.71628176,0.19670645,3.28194336
-5.97598799,8.48554957,0.02017646,1.42940267,1.22862443,0.26885176,4.18934196,1.71948778,0.20569458,3.29504500
-5.96998499,8.48919599,0.02080983,1.41500381,1.20436592,0.26956027,4.12693249,1.72318283,0.21479726,3.30649965
-5.96398199,8.49000679,0.02145181,1.40016447,1.17769099,0.27034581,4.05905627,1.72725444,0.22390948,3.31644553
-5.95797899,8.48781988,0.02209525,1.38486857,1.14910417,0.27121733,3.98623765,1.73154071,0.23291033,3.32488147
-5.95197599,8.48219395,0.02273191,1.36907582,1.11911095,0.27216772,3.90899953,1.73583155,0.24166541,3.33166882
-5.94597299,8.47242960,0.02335259,1.35272310,1.08820803,0.27317424,3.82785714,1.73987337,0.25003011,3.33654130
-5.93996998,8.45760726,0.02394738,1.33572802,1.05687430,0.27419967,3.74331487,1.74337698,0.25785353,3.33912223
-5.93396698,8.43663890,0.02450597,1.31799430,1.02556280,0.27519425,3.65586552,1.74602824,0.26498310,3.33894771
-5.92796398,8.40833029,0.02501793,1.29941860,0.99469347,0.27609818,3.56599144,1.74750067,0.27126951,3.33549454
-5.92196098,8.37144958,0.02547309,1.27989812,0.96464699,0.27684453,3.47416684,1.74746930,0.27657179,3.32821093
-5.91595798,8.32479798,0.02586186,1.25933856,0.93575952,0.27736248,3.38086049,1.74562472,0.28076237,3.31654831
-5.90995498,8.26727804,0.02617557,1.23766176,0.90831846,0.27758057,3.28653796,1.74168656,0.28373171,3.29999229
-5.90395198,8.19795565,0.02640678,1.21481247,0.88255923,0.27742988,3.19166307,1.73541543,0.28539239,3.27809116
-5.89794897,8.11611209,0.02654947,1.19076380,0.85866309,0.27684700,3.09669773,1.72662269,0.28568250,3.25048040
-5.89194597,8.02128350,0.02659931,1.16552097,0.83675606,0.27577653,3.00210014,1.71517740,0.28456793,3.21690200
-5.88594297,7.91328585,0.02655368,1.13912317,0.81690895,0.27417316,2.90832102,1.70101016,0.28204381,3.17721783
-5.87993997,7.79222470,0.02641182,1.11164332,0.79913846,0.27200319,2.81579811,1.68411363,0.27813461,3.13141660
-5.87393697,7.65848985,0.02617471,1.08318596,0.78340948,0.26924544,2.72494902,1.66454003,0.27289337,3.07961442
-5.86793397,7.51273602,0.02584504,1.05388320,0.76963835,0.26589165,2.63616292,1.64239564,0.26639965,3.02204933
