energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,4.01893329,0.08922321,0.00587340,0.03018456,2.76252540,1.81499495,1.65177845
-5.99399700,4.23695604,0.09471755,0.00610866,0.03105929,2.92321950,1.92292192,1.74333596
-5.98799400,4.45860155,0.10073266,0.00633493,0.03197709,3.08706494,2.03164314,1.83762589
-5.98199100,4.68103914,0.10724971,0.00655021,0.03293088,3.25177280,2.13979273,1.93322477
-5.97598799,4.90147079,0.11424341,0.00675277,0.03391369,3.41506569,2.24602620,2.02871228
-5.96998499,5.11717094,0.12168051,0.00694111,0.03491852,3.57471948,2.34904799,2.12269503
-5.96398199,5.32552622,0.12951851,0.00711392,0.03593818,3.72860545,2.44763910,2.21383078
-5.95797899,5.52407430,0.13770447,0.00727005,0.03696509,3.87473197,2.54068399,2.30085245
-5.95197599,5.71054135,0.14617403,0.00740851,0.03799102,4.01128447,2.62719597,2.38259143
-5.94597299,5.88287753,0.15485094,0.00752837,0.03900694,4.13666244,2.70634026,2.45799947
-5.93996998,6.03928959,0.16364688,0.00762881,0.04000280,4.24951238,2.77745387,2.52616853
-5.93396698,6.17826997,0.17246199,0.00770905,0.04096741,4.34875552,2.84006162,2.58634805
-5.92796398,6.29862154,0.18118583,0.00776835,0.04188845,4.43360921,2.89388756,2.63795884
-5.92196098,6.39947709,0.18969904,0.00780603,0.04275243,4.50360116,2.93886124,2.68060323
-5.91595798,6.48031297,0.19787553,0.00782148,0.04354489,4.55857583,2.97511848,2.71407088
-5.90995498,6.54095594,0.20558525,0.00781417,0.04425063,4.59869258,3.00299621,2.73834005
-5.90395198,6.58158271,0.21269742,0.00778371,0.04485401,4.62441518,3.02302150,2.75357398
-5.89794897,6.60271164,0.21908404,0.00772984,0.04533939,4.63649298,3.03589457,2.76011247
-5.89194597,6.60518618,0.22462366,0.00765252,0.04569160,4.63593387,3.04246630,2.75845862
-5.88594297,6.59015004,0.22920520,0.00755198,0.04589643,4.62396973,3.04371054,2.74926107
-5.87993997,6.55901418,0.23273159,0.00742868,0.04594120,4.60201516,3.04069188,2.73329206
-5.87393697,6.51341599,0.23512312,0.00728344,0.04581524,4.57162069,3.03452972,2.71142208
-5.86793397,6.45517152,0.23632036,0.00711738,0.04551036,4.53442161,3.02635961,2.68459148
-5.86193097,6.38622181,0.23628648,0.00693199,0.04502129,4.49208417,3.01729306,2.65378022
-5.85592796,6.30857472,0.23500876,0.00672909,0.04434600,4.44625053,3.00837703,2.61997648
-5.84992496,6.22424408,0.23249936,0.00651080,0.04348587,4.39848459,3.00055456,2.58414515
-5.84392196,6.13518803,0.22879529,0.00627955,0.04244585,4.35022023,2.99462797,2.54719745
-5.83791896,6.04324902,0.22395737,0.00603801,0.04123435,4.30271401,2.99122611,2.50996250
-5.83191596,5.95009744,0.21806856,0.00578902,0.03986315,4.25700417,2.99077709,2.47316208
-5.82591296,5.85718160,0.21123142,0.00553555,0.03834710,4.21387736,2.99348781,2.43738950
-5.81990995,5.76568595,0.20356502,0.00528062,0.03670370,4.17384482,2.99933143,2.40309341
-5.81390695,5.67649980,0.19520137,0.00502721,0.03495268,4.13712901,3.00804361,2.37056729
-5.80790395,5.59019787,0.18628153,0.00477821,0.03311544,4.10366143,3.01912819,2.33994504
-5.80190095,5.50703407,0.17695154,0.00453635,0.03121446,4.07309222,3.03187237,2.31120305
-5.79589795,5.42694882,0.16735846,0.00430412,0.02927270,4.04481103,3.04537127,2.28416859
