energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,4.53243026,1.69640031,4.11303449,0.00159398,0.02825760,0.15364422,0.27777545,0.19312891,0.00000000
-5.99399700,4.56136663,1.72098473,4.12571845,0.00171595,0.02870365,0.15784966,0.28091081,0.19453506,0.00000000
-5.98799400,4.60542864,1.75187696,4.14928343,0.00184798,0.02937584,0.16303676,0.28604347,0.19726453,0.00000000
-5.98199100,4.66343563,1.78854657,4.18274329,0.00198935,0.03025765,0.16912898,0.29309806,0.20129977,0.00000000
-5.97598799,4.73384880,1.83029521,4.22480439,0.00213900,0.03132930,0.17603766,0.30198718,0.20660078,0.00000000
-5.96998499,4.81480242,1.87626970,4.27389182,0.00229552,0.03256796,0.18366375,0.31261504,0.21310522,0.00000000
-5.96398199,4.90414698,1.92548034,4.32818604,0.00245718,0.03394815,0.19189979,0.32488148,0.22072909,0.00000000
-5.95797899,4.99950332,1.97682390,4.38566915,0.00262193,0.03544214,0.20063212,0.33868643,0.22936834,0.00000000
-5.95197599,5.09832612,2.02911074,4.44417924,0.00278744,0.03702052,0.20974328,0.35393451,0.23890108,0.00000000
-5.94597299,5.19797468,2.08109524,4.50147103,0.00295115,0.03865280,0.21911453,0.37053972,0.24919056,0.00000000
-5.93996998,5.29578845,2.13150853,4.55528070,0.00311031,0.04030809,0.22862839,0.38842987,0.26008868,0.00000000
-5.93396698,5.38916454,2.17909246,4.60339221,0.00326206,0.04195582,0.23817118,0.40755066,0.27143996,0.00000000
-5.92796398,5.47563396,2.22263356,4.64370281,0.00340353,0.04356647,0.24763539,0.42786901,0.28308584,0.00000000
-5.92196098,5.55293360,2.26099580,4.67428490,0.00353189,0.04511225,0.25692190,0.44937549,0.29486902,0.00000000
-5.91595798,5.61907093,2.29315095,4.69344194,0.00364446,0.04656777,0.26594178,0.47208549,0.30663779,0.00000000
-5.90995498,5.67237865,2.31820542,4.69975609,0.00373878,0.04791059,0.27461779,0.49603900,0.31825006,0.00000000
-5.90395198,5.71155697,2.33542254,4.69212565,0.00381273,0.04912172,0.28288536,0.52129884,0.32957695,0.00000000
