energy_ev,total_up,As_p_up,As_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,8.26363929,1.44926755,0.00000000,7.29703304,4.02494980,0.05924093,2.08879537
-5.99399700,8.53327523,1.53523054,0.00000000,7.55253690,4.17922052,0.06325842,2.11270018
-5.98799400,8.81005790,1.62209270,0.00000000,7.80409659,4.33921441,0.06738050,2.13779152
-5.98199100,9.08943561,1.70850600,0.00000000,8.04671342,4.50263586,0.07155531,2.16340594
-5.97598799,9.36640128,1.79303864,0.00000000,8.27516904,4.66692448,0.07572655,2.18877819
-5.96998499,9.63567131,1.87422049,0.00000000,8.48421422,4.82934276,0.07983507,2.21307444
-5.96398199,9.89188175,1.95059191,0.00000000,8.66876802,4.98707353,0.08382067,2.23542926
-5.95797899,10.12979250,2.02075393,0.00000000,8.82411774,5.13732290,0.08762391,2.25498446
-5.95197599,10.34448959,2.08341749,0.00000000,8.94611009,5.27742360,0.09118792,2.27092752
-5.94597299,10.53157557,2.13744937,0.00000000,9.03132415,5.40493384,0.09446017,2.28252779
-5.93996998,10.68733873,2.18191287,0.00000000,9.07721738,5.51772687,0.09739401,2.28916852
-5.93396698,10.80889279,2.21610108,0.00000000,9.08223747,5.61406706,0.09995001,2.29037313
-5.92796398,10.89428049,2.23956138,0.00000000,9.04589435,5.69266874,0.10209699,2.28582435
-5.92196098,10.94253640,2.25210994,0.00000000,8.96878885,5.75273538,0.10381270,2.27537559
-5.91595798,10.95370646,2.25383565,0.00000000,8.85259666,5.79397746,0.10508413,2.25905403
-5.90995498,10.92882426,2.24509334,0.00000000,8.70000873,5.81660866,0.10590748,2.23705551
-5.90395198,10.86984630,2.22648686,0.00000000,8.51463134,5.82132114,0.10628777,2.20973202
-5.89794897,10.77955053,2.19884286,0.00000000,8.30085105,5.80924181,0.10623812,2.17757252
-5.89194597,10.66140457,2.16317671,0.00000000,8.06367146,5.78187249,0.10577879,2.14117850
-5.88594297,10.51941105,2.12065239,0.00000000,7.80852997,5.74101734,0.10493601,2.10123597
-5.87993997,10.35793861,2.07253820,0.00000000,7.54110333,5.68870191,0.10374073,2.05848529
-5.87393697,10.18154753,2.02016059,0.00000000,7.26711106,5.62708803,0.10222728,2.01369081
-5.86793397,9.99481857,1.96485814,0.00000000,6.99212541,5.55838899,0.10043204,1.96761172
-5.86193097,9.80219316,1.90793771,0.00000000,6.72139600,5.48478898,0.09839231,1.92097571
-5.85592796,9.60783175,1.85063463,0.00000000,6.45969581,5.40837065,0.09614520,1.87445645
-5.84992496,9.41549610,1.79407850,0.00000000,6.21119402,5.33105355,0.09372680,1.82865584
-5.84392196,9.22845915,1.73926556,0.00000000,5.97935951,5.25454575,0.09117157,1.78409158
-5.83791896,9.04944498,1.68703865,0.00000000,5.76689714,5.18031002,0.08851185,1.74119013
-5.83191596,8.88059904,1.63807494,0.00000000,5.57571715,5.10954507,0.08577777,1.70028497
-5.82591296,8.72348792,1.59288149,0.00000000,5.40693685,5.04318152,0.08299717,1.66161973
-5.81990995,8.57912593,1.55179818,0.00000000,5.26091201,4.98189162,0.08019579,1.62535555
-5.81390695,8.44802509,1.51500734,0.00000000,5.13729452,4.92611118,0.07739758,1.59158175
-5.80790395,8.33026403,1.48254919,0.00000000,5.03511210,4.87607142,0.07462500,1.56032903
-5.80190095,8.22557089,1.45434174,0.00000000,4.95286499,4.83183854,0.07189943,1.53158405
-5.79589795,8.13341501,1.43020414,0.00000000,4.88863476,4.79335829,0.06924147,1.50530465
-5.78989495,8.05310236,1.40988196,0.00000000,4.84019981,4.76050287,0.06667126,1.48143460
