energy_ev,total_up,Ge_p_up,Ge_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.12060973,0.01501288,0.00000000,0.04665427,0.01605988,0.06581876,0.00000000
-5.99399700,0.14051970,0.01793133,0.00000000,0.05456000,0.01871146,0.07628514,0.00000000
-5.98799400,0.16271130,0.02126991,0.00000000,0.06339894,0.02166289,0.08787557,0.00000000
-5.98199100,0.18725648,0.02505593,0.00000000,0.07320082,0.02492131,0.10061408,0.00000000
-5.97598799,0.21419812,0.02931196,0.00000000,0.08398140,0.02848921,0.11451031,0.00000000
-5.96998499,0.24354608,0.03405432,0.00000000,0.09574012,0.03236376,0.12955834,0.00000000
-5.96398199,0.27527410,0.03929171,0.00000000,0.10845812,0.03653624,0.14573598,0.00000000
-5.95797899,0.30931765,0.04502380,0.00000000,0.12209659,0.04099168,0.16300470,0.00000000
-5.95197599,0.34557304,0.05124008,0.00000000,0.13659568,0.04570863,0.18131012,0.00000000
-5.94597299,0.38389770,0.05791885,0.00000000,0.15187396,0.05065910,0.20058316,0.00000000
-5.93996998,0.42411188,0.06502653,0.00000000,0.16782865,0.05580882,0.22074177,0.00000000
-5.93396698,0.46600159,0.07251737,0.00000000,0.18433653,0.06111766,0.24169318,0.00000000
-5.92796398,0.50932281,0.08033350,0.00000000,0.20125567,0.06654026,0.26333646,0.00000000
-5.92196098,0.55380664,0.08840547,0.00000000,0.21842784,0.07202693,0.28556543,0.00000000
-5.91595798,0.59916529,0.09665321,0.00000000,0.23568170,0.07752472,0.30827149,0.00000000
-5.90995498,0.64509842,0.10498746,0.00000000,0.25283647,0.08297859,0.33134632,0.00000000
-5.90395198,0.69129957,0.11331164,0.00000000,0.26970617,0.08833273,0.35468420,0.00000000
-5.89794897,0.73746226,0.12152404,0.00000000,0.28610401,0.09353193,0.37818372,0.00000000
-5.89194597,0.78328538,0.12952025,0.00000000,0.30184699,0.09852286,0.40174875,0.00000000
-5.88594297,0.82847752,0.13719591,0.00000000,0.31676032,0.10325532,0.42528849,0.00000000
-5.87993997,0.87276000,0.14444933,0.00000000,0.33068160,0.10768336,0.44871662,0.00000000
-5.87393697,0.91586843,0.15118426,0.00000000,0.34346437,0.11176618,0.47194944,0.00000000
-5.86793397,0.95755270,0.15731232,0.00000000,0.35498123,0.11546883,0.49490331,0.00000000
-5.86193097,0.99757562,0.16275529,0.00000000,0.36512596,0.11876260,0.51749129,0.00000000
-5.85592796,1.03571027,0.16744693,0.00000000,0.37381498,0.12162526,0.53961945,0.00000000
-5.84992496,1.07173657,0.17133441,0.00000000,0.38098785,0.12404093,0.56118312,0.00000000
-5.84392196,1.10543746,0.17437922,0.00000000,0.38660703,0.12599982,0.58206341,0.00000000
-5.83791896,1.13659525,0.17655761,0.00000000,0.39065679,0.12749775,0.60212441,0.00000000
-5.83191596,1.16498866,0.17786050,0.00000000,0.39314169,0.12853555,0.62121148,0.00000000
-5.82591296,1.19039130,0.17829293,0.00000000,0.39408445,0.12911839,0.63915099,0.00000000
-5.81990995,1.21257191,0.17787315,0.00000000,0.39352372,0.12925514,0.65575170,0.00000000
-5.81390695,1.23129687,0.17663135,0.00000000,0.39151174,0.12895779,0.67080811,0.00000000
