energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.96036195,-1.18814874,0.00214048,-0.01375523,0.03507820,-0.06982552,0.27245575,-0.43705355,0.19585905,-0.10825921,0.62993455,-0.75223719,0.10440627,-0.17257864,0.55198153,-0.70287671,0.00000000,-0.00000000
-5.99399700,0.98628698,-1.21660306,0.00218046,-0.01229620,0.03576068,-0.06955579,0.27970557,-0.45118195,0.20445970,-0.10959986,0.64898128,-0.78254309,0.10576840,-0.17377041,0.56693184,-0.72405230,0.00000000,-0.00000000
-5.98799400,1.01642835,-1.24243231,0.00226677,-0.01095790,0.03651810,-0.06927820,0.28894873,-0.46370181,0.21351176,-0.11103575,0.67193198,-0.81049551,0.10792572,-0.17474123,0.58461730,-0.74341353,0.00000000,-0.00000000
-5.98199100,1.05048231,-1.26510482,0.00240180,-0.00974239,0.03732204,-0.06896584,0.30009455,-0.47439155,0.22298973,-0.11253263,0.69850793,-0.83565227,0.11085581,-0.17542551,0.60488622,-0.76062749,0.00000000,-0.00000000
-5.97598799,1.08816627,-1.28415854,0.00258747,-0.00864891,0.03814466,-0.06859344,0.31304679,-0.48306654,0.23287898,-0.11405793,0.72840727,-0.85763157,0.11453713,-0.17576188,0.62759511,-0.77540629,0.00000000,-0.00000000
-5.96998499,1.12922917,-1.29921697,0.00282523,-0.00767423,0.03895955,-0.06813843,0.32770601,-0.48958452,0.24317671,-0.11558237,0.76131426,-0.87612048,0.11895007,-0.17569589,0.65261393,-0.78751624,0.00000000,-0.00000000
-5.96398199,1.17345729,-1.31000223,0.00311589,-0.00681307,0.03974263,-0.06758181,0.34397094,-0.49384984,0.25389180,-0.11708139,0.79690678,-0.89088192,0.12407757,-0.17518238,0.67982858,-0.79678525,0.00000000,-0.00000000
-5.95797899,1.22067516,-1.31634481,0.00345962,-0.00605854,0.04047277,-0.06690898,0.36173857,-0.49581611,0.26504342,-0.11853651,0.83486158,-0.90175978,0.12990496,-0.17418733,0.70914074,-0.80310825,0.00000000,-0.00000000
-5.95197599,1.27074139,-1.31818947,0.00385580,-0.00540261,0.04113234,-0.06611036,0.38090316,-0.49548729,0.27665852,-0.11993628,0.87485714,-0.90868198,0.13641941,-0.17268935,0.74046482,-0.80645034,0.00000000,-0.00000000
-5.94597299,1.32353976,-1.31559719,0.00430297,-0.00483647,0.04170749,-0.06518175,0.40135413,-0.49291726,0.28876825,-0.12127705,0.91657416,-0.91166153,0.14360871,-0.17068045,0.77372235,-0.80684770,0.00000000,-0.00000000
-5.93996998,1.37896624,-1.30874301,0.00479876,-0.00435098,0.04218831,-0.06412454,0.42297321,-0.48820771,0.30140346,-0.12256331,0.95969361,-0.91079548,0.15145956,-0.16816632,0.80883413,-0.80440605,0.00000000,-0.00000000
-5.93396698,1.43691265,-1.29791013,0.00533983,-0.00393694,0.04256875,-0.06294564,0.44563085,-0.48150480,0.31458955,-0.12380772,1.00389289,-0.90626184,0.15995559,-0.16516608,0.84571067,-0.79929704,0.00000000,-0.00000000
-5.92796398,1.49724820,-1.28348044,0.00592180,-0.00358542,0.04284634,-0.06165726,0.46918251,-0.47299445,0.32834095,-0.12503068,1.04884045,-0.89831472,0.16907502,-0.16171150,0.88424161,-0.79175253,0.00000000,-0.00000000
-5.92196098,1.55980023,-1.26592201,0.00653930,-0.00328802,0.04302186,-0.06027645,0.49346488,-0.46289674,0.34265559,-0.12625966,1.09418950,-0.88727777,0.17878836,-0.15784576,0.92428493,-0.78205719,0.00000000,-0.00000000
-5.91595798,1.62433547,-1.24577410,0.00718598,-0.00303703,0.04309870,-0.05882444,0.51829267,-0.45145948,0.35750976,-0.12752807,1.13957156,-0.87353617,0.18905604,-0.15362188,0.96565672,-0.77053967,0.00000000,-0.00000000
-5.90995498,1.69054339,-1.22363034,0.00785457,-0.00282560,0.04308233,-0.05732595,0.54345616,-0.43895139,0.37285369,-0.12887397,1.18459060,-0.85752742,0.19982645,-0.14910093,1.00812238,-0.75756272,0.00000000,-0.00000000
-5.90395198,1.75802292,-1.20012067,0.00853700,-0.00264780,0.04297955,-0.05580826,0.56871986,-0.42565494,0.38860820,-0.13033838,1.22881857,-0.83973120,0.21103425,-0.14434996,1.05138998,-0.74351261,0.00000000,-0.00000000
-5.89794897,1.82627379,-1.17589274,0.00922458,-0.00249875,0.04279787,-0.05430030,0.59382274,-0.41185926,0.40466278,-0.13196361,1.27179289,-0.82065842,0.22259928,-0.13943992,1.09510655,-0.72878831,0.00000000,-0.00000000
-5.89194597,1.89469329,-1.15159353,0.00990814,-0.00237457,0.04254480,-0.05283167,0.61847987,-0.39785334,0.42087530,-0.13379133,1.31301674,-0.80083980,0.23442612,-0.13444361,1.13885765,-0.71379061,0.00000000,-0.00000000
-5.88594297,1.96257926,-1.12785155,0.01057830,-0.00227245,0.04222731,-0.05143165,0.64238597,-0.38391951,0.43707337,-0.13586074,1.35196225,-0.78081422,0.24640435,-0.12943359,1.18217070,-0.69891175,0.00000000,-0.00000000
-5.87993997,2.02913936,-1.10526040,0.01122574,-0.00219052,0.04185136,-0.05012822,0.66522051,-0.37032764,0.45305766,-0.13820679,1.38807707,-0.76111689,0.25840959,-0.12448037,1.22452197,-0.68452573,0.00000000,-0.00000000
-5.87393697,2.09350655,-1.08436414,0.01184142,-0.00212790,0.04142152,-0.04894714,0.68665446,-0.35732993,0.46860676,-0.14085852,1.42079413,-0.74226782,0.27030527,-0.11965068,1.26534719,-0.67097960,0.00000000,-0.00000000
-5.86793397,2.15476005,-1.06564476,0.01241691,-0.00208453,0.04094083,-0.04791115,0.70635836,-0.34515655,0.48348365,-0.14383770,1.44954443,-0.72476058,0.28194511,-0.11500612,1.30405543,-0.65858602,0.00000000,-0.00000000
-5.86193097,2.21195106,-1.04951228,0.01294466,-0.00206115,0.04041066,-0.04703917,0.72401129,-0.33401214,0.49744341,-0.14715781,1.47377231,-0.70905176,0.29317617,-0.11060191,1.34004539,-0.64761721,0.00000000,-0.00000000
-5.85592796,2.26413177,-1.03629756,0.01341820,-0.00205914,0.03983088,-0.04634575,0.73931050,-0.32407308,0.51024172,-0.15082336,1.49295250,-0.69555126,0.30384243,-0.10648609,1.37272365,-0.63830057,0.00000000,-0.00000000
-5.84992496,2.31038616,-1.02624816,0.01383244,-0.00208046,0.03920002,-0.04584053,0.75198108,-0.31548583,0.52164376,-0.15482970,1.50660813,-0.68461373,0.31378858,-0.10269893,1.40152368,-0.63081588,0.00000000,-0.00000000
-5.84392196,2.34986115,-1.01952706,0.01418375,-0.00212744,0.03851559,-0.04552792,0.76178518,-0.30836593,0.53143313,-0.15916324,1.51432870,-0.67653144,0.32286409,-0.09927269,1.42592473,-0.62529430,0.00000000,-0.00000000
-5.83791896,2.38179615,-1.01621450,0.01447014,-0.00220274,0.03777451,-0.04540697,0.76853035,-0.30279803,0.53942007,-0.16380223,1.51578699,-0.67152865,0.33092711,-0.09623161,1.44546962,-0.62181902,0.00000000,-0.00000000
-5.83191596,2.40554962,-1.01631251,0.01469127,-0.00230913,0.03697350,-0.04547138,0.77207646,-0.29883657,0.54544878,-0.16871789,1.51075396,-0.66975789,0.33784825,-0.09359223,1.45978038,-0.62042757,0.00000000,-0.00000000
-5.82591296,2.42062114,-1.01975204,0.01484844,-0.00244937,0.03610956,-0.04570965,0.77234090,-0.29650724,0.54940328,-0.17387601,1.49911065,-0.67129818,0.34351393,-0.09136393,1.46857107,-0.62111556,0.00000000,-0.00000000
-5.81990995,2.42666792,-1.02640226,0.01494446,-0.00262605,0.03518037,-0.04610545,0.76930165,-0.29580904,0.55121150,-0.17923887,1.48085648,-0.67615531,0.34782931,-0.08954966,1.47165696,-0.62384171,0.00000000,-0.00000000
-5.81390695,2.42351483,-1.03608156,0.01498353,-0.00284146,0.03418469,-0.04663818,0.76299819,-0.29671690,0.55084743,-0.18476733,1.45611332,-0.68426426,0.35072048,-0.08814686,1.46895973,-0.62853387,0.00000000,-0.00000000
-5.80790395,2.41115774,-1.04856980,0.01497099,-0.00309739,0.03312265,-0.04728358,0.75353008,-0.29918470,0.54833129,-0.19042313,1.42512499,-0.69549368,0.35213609,-0.08714849,1.46050847,-0.63509574,0.00000000,-0.00000000
-5.80190095,2.38975998,-1.06362113,0.01491303,-0.00339502,0.03199597,-0.04801457,0.74105331,-0.30314859,0.54372755,-0.19617112,1.38825233,-0.70965221,0.35204823,-0.08654414,1.44643656,-0.64341397,0.00000000,-0.00000000
-5.79589795,2.35964251,-1.08097680,0.01481640,-0.00373477,0.03080807,-0.04880211,0.72577470,-0.30853044,0.53714117,-0.20198132,1.34596387,-0.72649658,0.35045256,-0.08632110,1.42697456,-0.65336524,0.00000000,-0.00000000
-5.78989495,2.32126842,-1.10037739,0.01468806,-0.00411620,0.02956408,-0.04961616,0.70794459,-0.31524141,0.52871218,-0.20783083,1.29882267,-0.74574099,0.34736783,-0.08646546,1.40243988,-0.66482300,0.00000000,-0.00000000
-5.78389195,2.27522285,-1.12157384,0.01453484,-0.00453787,0.02827076,-0.05042668,0.68784821,-0.32318533,0.51860899,-0.21370520,1.24747003,-0.76706753,0.34283477,-0.08696312,1.37322360,-0.67766354,0.00000000,-0.00000000
-5.77788894,2.22218965,-1.14433676,0.01436315,-0.00499729,0.02693631,-0.05120455,0.66579624,-0.33226191,0.50702084,-0.21959949,1.19260680,-0.79013710,0.33691448,-0.08780059,1.33977545,-0.69177114,0.00000000,-0.00000000
-5.77188594,2.16292611,-1.16846371,0.01417863,-0.00549090,0.02557015,-0.05192254,0.64211503,-0.34236958,0.49414985,-0.22551862,1.13497331,-0.81460040,0.32968638,-0.08896572,1.30258777,-0.70704192,0.00000000,-0.00000000
-5.76588294,2.09823716,-1.19378398,0.01398599,-0.00601403,0.02418262,-0.05255607,0.61713692,-0.35340793,0.48020306,-0.23147729,1.07532884,-0.84010859,0.32124585,-0.09044814,1.26217919,-0.72338644,0.00000000,-0.00000000
-5.75987994,2.02895052,-1.22016097,0.01378878,-0.00656094,0.02278463,-0.05308397,0.59119122,-0.36527963,0.46538503,-0.23749920,1.01443170,-0.86632299,0.31170175,-0.09223958,1.21907910,-0.74073082,0.00000000,-0.00000000
-5.75387694,1.95589371,-1.24749187,0.01358929,-0.00712492,0.02138734,-0.05348894,0.56459607,-0.37789178,0.44989119,-0.24361574,0.95302051,-0.89292357,0.30117371,-0.09433382,1.17381331,-0.75901640,0.00000000,-0.00000000
-5.74787394,1.87987419,-1.27570508,0.01338850,-0.00769838,0.02000184,-0.05375799,0.53765173,-0.39115677,0.43390243,-0.24986420,0.89179781,-0.91961584,0.28978954,-0.09672659,1.12689187,-0.77819812,0.00000000,-0.00000000
-5.74187094,1.80166317,-1.30475536,0.01318616,-0.00827307,0.01863881,-0.05388258,0.51063519,-0.40499246,0.41758105,-0.25628554,0.83141625,-0.94613588,0.27768267,-0.09941510,1.07879908,-0.79824164,0.00000000,-0.00000000
-5.73586793,1.72198345,-1.33461729,0.01298087,-0.00884019,0.01730832,-0.05385862,0.48379662,-0.41932189,0.40106813,-0.26292190,0.77246788,-0.97225337,0.26498965,-0.10239752,1.02998623,-0.81911958,0.00000000,-0.00000000
