energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,5.68539754,0.01807476,0.69926865,1.36230567,0.23565637,1.94479711,1.33890421,0.14344627,2.27915934
-5.99399700,5.78077113,0.01924444,0.70532804,1.35500793,0.24097910,1.92940712,1.36924176,0.15162987,2.32083211
-5.98799400,5.88704503,0.02040995,0.71298155,1.35463444,0.24675585,1.91961890,1.40179282,0.15966470,2.36685723
-5.98199100,6.00066733,0.02155121,0.72178768,1.36049847,0.25283336,1.91457362,1.43570539,0.16740511,2.41579785
-5.97598799,6.11785941,0.02264820,0.73128163,1.37180044,0.25905023,1.91329695,1.47008943,0.17470631,2.46611157
-5.96998499,6.23475405,0.02368142,0.74099234,1.38766035,0.26524281,1.91474248,1.50405001,0.18142857,2.51620541
-5.96398199,6.34753760,0.02463247,0.75045960,1.40715183,0.27125109,1.91783684,1.53672123,0.18744137,2.56449308
-5.95797899,6.45258978,0.02548449,0.75925057,1.42933621,0.27692456,1.92152429,1.56729916,0.19262747,2.60945185
-5.95197599,6.54661469,0.02622266,0.76697474,1.45329538,0.28212761,1.92480890,1.59507225,0.19688649,2.64967682
-5.94597299,6.62675702,0.02683461,0.77329687,1.47816209,0.28674438,1.92679225,1.61944790,0.20013805,2.68392986
-5.93996998,6.69069824,0.02731071,0.77794718,1.50314656,0.29068262,1.92670515,1.63997365,0.20232422,2.71118116
-5.93396698,6.73672827,0.02764434,0.78072837,1.52755828,0.29387661,1.92393205,1.65635208,0.20341112,2.73064166
-5.92796398,6.76378975,0.02783202,0.78151917,1.55082239,0.29628891,1.91802709,1.66844869,0.20338973,2.74178483
-5.92196098,6.77149333,0.02787343,0.78027441,1.57248998,0.29791081,1.90872172,1.67629243,0.20227577,2.74435721
-5.91595798,6.76010389,0.02777133,0.77702162,1.59224216,0.29876166,1.89592354,1.68006889,0.20010869,2.73837736
-5.90995498,6.73049925,0.02753138,0.77185453,1.60988800,0.29888705,1.87970732,1.68010668,0.19694981,2.72412370
-5.90395198,6.68410451,0.02716182,0.76492386,1.62535675,0.29835592,1.86029887,1.67685785,0.19287973,2.70211230
-5.89794897,6.62280604,0.02667317,0.75642611,1.63868503,0.29725694,1.83805330,1.67087342,0.18799516,2.67306588
-5.89194597,6.54885071,0.02607779,0.74659100,1.64999985,0.29569428,1.81342929,1.66277561,0.18240527,2.63787627
-5.88594297,6.46473604,0.02538941,0.73566835,1.65949880,0.29378298,1.78696109,1.65322824,0.17622775,2.59756220
-5.87993997,6.37309784,0.02462267,0.72391525,1.66742855,0.29164435,1.75923029,1.64290701,0.16958482,2.55322504
-5.87393697,6.27660128,0.02379267,0.71158410,1.67406295,0.28940147,1.73083909,1.63247136,0.16259930,2.50600478
-5.86793397,6.17784146,0.02291456,0.69891249,1.67968224,0.28717517,1.70238684,1.62253936,0.15539096,2.45703852
-5.86193097,6.07925820,0.02200313,0.68611510,1.68455453,0.28508055,1.67445112,1.61366704,0.14807327,2.40742346
-5.85592796,5.98306937,0.02107252,0.67337829,1.68892046,0.28322437,1.64757462,1.60633309,0.14075067,2.35818617
-5.84992496,5.89122509,0.02013597,0.66085742,1.69298216,0.28170318,1.62225827,1.60092964,0.13351644,2.31025918
