energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,3.06385401,-2.94531115,0.73459310,-0.61488761,1.16464724,-1.04985983,0.63814465,-0.85559229,0.60315571,-0.50914924,0.00237800,-0.00132227,0.42764082,-0.54551607,0.72363495,-0.73269387,0.00000000,-0.00000000
-5.99399700,3.02726708,-2.99415069,0.73086820,-0.61821716,1.16564675,-1.07816755,0.60857523,-0.86860364,0.59445766,-0.51985400,0.00242679,-0.00133599,0.41687035,-0.55681596,0.70918774,-0.73576994,0.00000000,-0.00000000
-5.98799400,2.98829073,-3.04045147,0.72600662,-0.62094353,1.16508347,-1.10538588,0.58059882,-0.88064592,0.58590647,-0.53041154,0.00247174,-0.00136590,0.40685935,-0.56804602,0.69369263,-0.73762714,0.00000000,-0.00000000
-5.98199100,2.94738629,-3.08373702,0.72006335,-0.62304447,1.16319194,-1.13136002,0.55429680,-0.89139643,0.57755821,-0.54066173,0.00251193,-0.00141125,0.39759188,-0.57898621,0.67735278,-0.73829236,0.00000000,-0.00000000
-5.97598799,2.90501388,-3.12351350,0.71309492,-0.62450529,1.16023203,-1.15593785,0.52969803,-0.90054637,0.56944935,-0.55043425,0.00254662,-0.00147111,0.38902468,-0.58940896,0.66038089,-0.73779065,0.00000000,-0.00000000
-5.96998499,2.86162461,-3.15927782,0.70515803,-0.62531930,1.15648152,-1.17897347,0.50678435,-0.90780628,0.56159657,-0.55955097,0.00257524,-0.00154440,0.38109066,-0.59908269,0.64299495,-0.73614430,0.00000000,-0.00000000
-5.96398199,2.81765382,-3.19052906,0.69630920,-0.62548775,1.15222828,-1.20033104,0.48549751,-0.91291198,0.55399722,-0.56782950,0.00259739,-0.00162987,0.37370302,-0.60777653,0.62541426,-0.73337267,0.00000000,-0.00000000
-5.95797899,2.77351552,-3.21678270,0.68660537,-0.62501961,1.14776231,-1.21988869,0.46574713,-0.91563065,0.54663057,-0.57508784,0.00261280,-0.00172616,0.36675988,-0.61526593,0.60785592,-0.72949267,0.00000000,-0.00000000
-5.95197599,2.72959864,-3.23758674,0.67610535,-0.62393100,1.14336820,-1.23754235,0.44741932,-0.91576677,0.53945983,-0.58114982,0.00262138,-0.00183178,0.36014924,-0.62133896,0.59053184,-0.72451991,0.00000000,-0.00000000
-5.94597299,2.68626513,-3.25253903,0.66487214,-0.62224446,1.13931814,-1.25320926,0.43038575,-0.91316762,0.53243484,-0.58585114,0.00262318,-0.00194514,0.35375407,-0.62580299,0.57364653,-0.71847049,0.00000000,-0.00000000
