energy_ev,total_up,Cu_p_up,Cu_d_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up
-6.00000000,0.58617795,0.20491405,0.14082135,0.00141836,0.00000000,0.03343014,0.39426254
-5.99399700,0.56706108,0.19823947,0.13629654,0.00136318,0.00000000,0.03235602,0.38157532
-5.98799400,0.54485536,0.19048638,0.13101654,0.00130440,0.00000000,0.03110165,0.36677816
-5.98199100,0.51994855,0.18178954,0.12507634,0.00124194,0.00000000,0.02968994,0.35013628
-5.97598799,0.49277568,0.17230036,0.11858193,0.00117601,0.00000000,0.02814632,0.33194587
-5.96998499,0.46380346,0.16218149,0.11164668,0.00110709,0.00000000,0.02649792,0.31252378
-5.96398199,0.43351459,0.15160128,0.10438760,0.00103585,0.00000000,0.02477270,0.29219719
-5.95797899,0.40239267,0.14072854,0.09692179,0.00096306,0.00000000,0.02299857,0.27129358
-5.95197599,0.37090823,0.12972760,0.08936314,0.00088956,0.00000000,0.02120265,0.25013146
-5.94597299,0.33950627,0.11875395,0.08181933,0.00081623,0.00000000,0.01941057,0.22901202
-5.93996998,0.30859580,0.10795059,0.07438934,0.00074391,0.00000000,0.01764584,0.20821217
-5.93396698,0.27854146,0.09744506,0.06716149,0.00067339,0.00000000,0.01592942,0.18797892
-5.92796398,0.24965756,0.08734737,0.06021194,0.00060537,0.00000000,0.01427940,0.16852535
-5.92196098,0.22220434,0.07774865,0.05360384,0.00054047,0.00000000,0.01271072,0.15002808
-5.91595798,0.19638644,0.06872060,0.04738693,0.00047917,0.00000000,0.01123518,0.13262628
-5.90995498,0.17235352,0.06031574,0.04159772,0.00042187,0.00000000,0.00986138,0.11642199
-5.90395198,0.15020253,0.05256815,0.03625999,0.00036883,0.00000000,0.00859494,0.10148170
-5.89794897,0.12998152,0.04549481,0.03138570,0.00032020,0.00000000,0.00743865,0.08783885
-5.89194597,0.11169462,0.03909732,0.02697622,0.00027604,0.00000000,0.00639279,0.07549719
-5.88594297,0.09530775,0.03336394,0.02302368,0.00023629,0.00000000,0.00545546,0.06443463
-5.87993997,0.08075486,0.02827170,0.01951244,0.00020084,0.00000000,0.00462292,0.05460739
-5.87393697,0.06794427,0.02378866,0.01642069,0.00016952,0.00000000,0.00388996,0.04595431
-5.86793397,0.05676489,0.01987607,0.01372186,0.00014207,0.00000000,0.00325024,0.03840104
-5.86193097,0.04709219,0.01649046,0.01138611,0.00011822,0.00000000,0.00269666,0.03186404
-5.85592796,0.03879352,0.01358551,0.00938163,0.00009769,0.00000000,0.00222167,0.02625422
-5.84992496,0.03173293,0.01111372,0.00767575,0.00008015,0.00000000,0.00181749,0.02148014
-5.84392196,0.02577513,0.00902781,0.00623595,0.00006529,0.00000000,0.00147640,0.01745074
-5.83791896,0.02078886,0.00728189,0.00503062,0.00005282,0.00000000,0.00119090,0.01407760
-5.83191596,0.01664941,0.00583235,0.00402975,0.00004242,0.00000000,0.00095386,0.01127667
-5.82591296,0.01324051,0.00463854,0.00320532,0.00003383,0.00000000,0.00075863,0.00896953
-5.81990995,0.01045557,0.00366315,0.00253164,0.00002679,0.00000000,0.00059911,0.00708426
-5.81390695,0.00819837,0.00287253,0.00198548,0.00002107,0.00000000,0.00046982,0.00555591
-5.80790395,0.00638329,0.00223671,0.00154621,0.00001645,0.00000000,0.00036583,0.00432665
-5.80190095,0.00493515,0.00172939,0.00119566,0.00001275,0.00000000,0.00028286,0.00334569
-5.79589795,0.00378877,0.00132775,0.00091809,0.00000982,0.00000000,0.00021717,0.00256896
-5.78989495,0.00288834,0.00101225,0.00070003,0.00000751,0.00000000,0.00016556,0.00195874
-5.78389195,0.00218659,0.00076633,0.00053004,0.00000571,0.00000000,0.00012533,0.00148306
-5.77788894,0.00164398,0.00057614,0.00039858,0.00000432,0.00000000,0.00009422,0.00111515
-5.77188594,0.00122776,0.00043022,0.00029771,0.00000325,0.00000000,0.00007034,0.00083284
-5.76588294,0.00091115,0.00031917,0.00022097,0.00000245,0.00000000,0.00005216,0.00061800
-5.75987994,0.00067246,0.00023538,0.00016309,0.00000186,0.00000000,0.00003842,0.00045591
-5.75387694,0.00049435,0.00017276,0.00011988,0.00000144,0.00000000,0.00002814,0.00033481
-5.74787394,0.00036317,0.00012650,0.00008804,0.00000116,0.00000000,0.00002052,0.00024541
-5.74187094,0.00026831,0.00009284,0.00006499,0.00000100,0.00000000,0.00001493,0.00018047
-5.73586793,0.00020176,0.00006891,0.00004879,0.00000097,0.00000000,0.00001089,0.00013448
-5.72986493,0.00015766,0.00005260,0.00003800,0.00000105,0.00000000,0.00000805,0.00010337
-5.72386193,0.00013199,0.00004237,0.00003165,0.00000127,0.00000000,0.00000614,0.00008427
-5.71785893,0.00012235,0.00003725,0.00002914,0.00000165,0.00000000,0.00000496,0.00007535
-5.71185593,0.00012783,0.00003671,0.00003022,0.00000224,0.00000000,0.00000439,0.00007574
-5.70585293,0.00014891,0.00004065,0.00003501,0.00000310,0.00000000,0.00000438,0.00008540
-5.69984992,0.00018755,0.00004939,0.00004393,0.00000432,0.00000000,0.00000490,0.00010520
-5.69384692,0.00024725,0.00006369,0.00005781,0.00000602,0.00000000,0.00000599,0.00013690
-5.68784392,0.00033331,0.00008476,0.00007787,0.00000837,0.00000000,0.00000776,0.00018326
-5.68184092,0.00045308,0.00011435,0.00010583,0.00001156,0.00000000,0.00001033,0.00024823
-5.67583792,0.00061637,0.00015483,0.00014402,0.00001587,0.00000000,0.00001393,0.00033712
-5.66983492,0.00083596,0.00020930,0.00019543,0.00002164,0.00000000,0.00001884,0.00045687
-5.66383192,0.00112817,0.00028175,0.00026391,0.00002931,0.00000000,0.00002543,0.00061642
-5.65782891,0.00151358,0.00037718,0.00035435,0.00003943,0.00000000,0.00003418,0.00082700
-5.65182591,0.00201784,0.00050183,0.00047282,0.00005268,0.00000000,0.00004569,0.00110271
-5.64582291,0.00267259,0.00066340,0.00062685,0.00006989,0.00000000,0.00006071,0.00146089
-5.63981991,0.00351642,0.00087126,0.00082566,0.00009209,0.00000000,0.00008017,0.00192281
-5.63381691,0.00459601,0.00113671,0.00108042,0.00012048,0.00000000,0.00010520,0.00251417
-5.62781391,0.00596725,0.00147326,0.00140457,0.00015654,0.00000000,0.00013717,0.00326583
-5.62181091,0.00769635,0.00189693,0.00181410,0.00020197,0.00000000,0.00017773,0.00421445
-5.61580790,0.00986105,0.00242645,0.00232784,0.00025878,0.00000000,0.00022884,0.00540314
-5.60980490,0.01255166,0.00308359,0.00296782,0.00032926,0.00000000,0.00029280,0.00688212
-5.60380190,0.01587198,0.00389338,0.00375948,0.00041604,0.00000000,0.00037231,0.00870929
-5.59779890,0.01994009,0.00488425,0.00473193,0.00052205,0.00000000,0.00047049,0.01095074
-5.59179590,0.02488875,0.00608823,0.00591817,0.00065053,0.00000000,0.00059091,0.01368108
-5.58579290,0.03086555,0.00754094,0.00735512,0.00080502,0.00000000,0.00073764,0.01698359
-5.57978989,0.03803254,0.00928161,0.00908372,0.00098931,0.00000000,0.00091524,0.02095021
-5.57378689,0.04656536,0.01135288,0.01114876,0.00120738,0.00000000,0.00112879,0.02568111
-5.56778389,0.05665176,0.01380059,0.01359865,0.00146335,0.00000000,0.00138387,0.03128412
-5.56178089,0.06848941,0.01667328,0.01648500,0.00176135,0.00000000,0.00168658,0.03787362
-5.55577789,0.08228302,0.02002169,0.01986208,0.00210543,0.00000000,0.00204346,0.04556913
-5.54977489,0.09824072,0.02389798,0.02378597,0.00249940,0.00000000,0.00246143,0.05449345
-5.54377189,0.11656959,0.02835489,0.02831363,0.00294667,0.00000000,0.00294776,0.06477036
-5.53776888,0.13747053,0.03344463,0.03350171,0.00345013,0.00000000,0.00350991,0.07652185
-5.53176588,0.16113246,0.03921771,0.03940514,0.00401191,0.00000000,0.00415545,0.08986500
-5.52576288,0.18772587,0.04572157,0.04607559,0.00463320,0.00000000,0.00489185,0.10490840
-5.51975988,0.21739601,0.05299914,0.05355972,0.00531414,0.00000000,0.00572631,0.12174827
-5.51375688,0.25025574,0.06108725,0.06189732,0.00605356,0.00000000,0.00666559,0.14046441
-5.50775388,0.28637838,0.07001505,0.07111935,0.00684892,0.00000000,0.00771571,0.16111586
-5.50175088,0.32579063,0.07980233,0.08124593,0.00769616,0.00000000,0.00888174,0.18373668
-5.49574787,0.36846605,0.09045793,0.09228438,0.00858965,0.00000000,0.01016750,0.20833167
-5.48974487,0.41431908,0.10197820,0.10422728,0.00952220,0.00000000,0.01157530,0.23487248
-5.48374187,0.46320013,0.11434552,0.11705079,0.01048506,0.00000000,0.01310565,0.26329401
-5.47773887,0.51489187,0.12752708,0.13071309,0.01146809,0.00000000,0.01475700,0.29349146
-5.47173587,0.56910701,0.14147387,0.14515318,0.01245990,0.00000000,0.01652545,0.32531796
-5.46573287,0.62548781,0.15611990,0.16029011,0.01344815,0.00000000,0.01840457,0.35858321
-5.45972986,0.68360751,0.17138181,0.17602258,0.01441983,0.00000000,0.02038518,0.39305302
-5.45372686,0.74297381,0.18715894,0.19222915,0.01536163,0.00000000,0.02245526,0.42844999
-5.44772386,0.80303451,0.20333369,0.20876895,0.01626044,0.00000000,0.02459983,0.46445544
-5.44172086,0.86318535,0.21977257,0.22548308,0.01710371,0.00000000,0.02680103,0.50071260
-5.43571786,0.92277992,0.23632764,0.24219664,0.01788004,0.00000000,0.02903819,0.53683103
-5.42971486,0.98114164,0.25283855,0.25872129,0.01857961,0.00000000,0.03128801,0.57239248
-5.42371186,1.03757758,0.26913518,0.27485862,0.01919471,0.00000000,0.03352491,0.60695779
-5.41770885,1.09139374,0.28504080,0.29040392,0.01972014,0.00000000,0.03572138,0.64007505
-5.41170585,1.14191158,0.30037574,0.30515054,0.02015368,0.00000000,0.03784850,0.67128866
-5.40570285,1.18848532,0.31496150,0.31889460,0.02049637,0.00000000,0.03987651,0.70014909
-5.39969985,1.23051947,0.32862534,0.33144003,0.02075281,0.00000000,0.04177549,0.72622319
-5.39369685,1.26748619,0.34120494,0.34260363,0.02093134,0.00000000,0.04351608,0.74910469
-5.38769385,1.29894177,0.35255337,0.35222028,0.02104406,0.00000000,0.04507026,0.76842454
-5.38169085,1.32454173,0.36254386,0.36014769,0.02110685,0.00000000,0.04641213,0.78386084
-5.37568784,1.34405396,0.37107443,0.36627104,0.02113919,0.00000000,0.04751868,0.79514793
-5.36968484,1.35736932,0.37807204,0.37050682,0.02116392,0.00000000,0.04837057,0.80208432
-5.36368184,1.36450926,0.38349617,0.37280610,0.02120689,0.00000000,0.04895279,0.80453922
-5.35767884,1.36563000,0.38734156,0.37315687,0.02129651,0.00000000,0.04925527,0.80245722
-5.35167584,1.36102301,0.38963995,0.37158543,0.02146321,0.00000000,0.04927337,0.79586119
-5.34567284,1.35111158,0.39046079,0.36815665,0.02173885,0.00000000,0.04900825,0.78485290
-5.33966983,1.33644356,0.38991065,0.36297325,0.02215604,0.00000000,0.04846710,0.76961158
-5.33366683,1.31768018,0.38813143,0.35617383,0.02274748,0.00000000,0.04766318,0.75039030
-5.32766383,1.29558142,0.38529729,0.34793000,0.02354521,0.00000000,0.04661578,0.72751026
-5.32166083,1.27098836,0.38161043,0.33844240,0.02457993,0.00000000,0.04534997,0.70135322
-5.31565783,1.24480292,0.37729577,0.32793604,0.02588026,0.00000000,0.04389626,0.67235235
-5.30965483,1.21796581,0.37259481,0.31665488,0.02747217,0.00000000,0.04229010,0.64098173
-5.30365183,1.19143346,0.36775880,0.30485598,0.02937827,0.00000000,0.04057134,0.60774498
-5.29764882,1.16615465,0.36304158,0.29280337,0.03161742,0.00000000,0.03878354,0.57316342
-5.29164582,1.14304778,0.35869229,0.28076186,0.03420421,0.00000000,0.03697327,0.53776408
-5.28564282,1.12297936,0.35494831,0.26899109,0.03714870,0.00000000,0.03518941,0.50206809
-5.27963982,1.10674474,0.35202866,0.25773976,0.04045618,0.00000000,0.03348233,0.46657977
-5.27363682,1.09505131,0.35012821,0.24724055,0.04412707,0.00000000,0.03190320,0.43177679
-5.26763382,1.08850489,0.34941277,0.23770556,0.04815697,0.00000000,0.03050326,0.39810156
-5.26163082,1.08759933,0.35001534,0.22932250,0.05253675,0.00000000,0.02933306,0.36595421
-5.25562781,1.09270967,0.35203359,0.22225175,0.05725273,0.00000000,0.02844184,0.33568719
-5.24962481,1.10408852,0.35552852,0.21662411,0.06228698,0.00000000,0.02787682,0.30760152
