energy_ev,total_up,As_p_up,As_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.50356789,0.34909127,0.00000000,1.39560202,1.25527633,0.01631431,0.78079326
-5.99399700,2.38342964,0.30495786,0.00000000,1.30998201,1.19003607,0.01532067,0.76080308
-5.98799400,2.26826201,0.26625915,0.00000000,1.22659394,1.12921232,0.01449015,0.73914026
-5.98199100,2.15867871,0.23270137,0.00000000,1.14598779,1.07281357,0.01383694,0.71631748
-5.97598799,2.05540444,0.20398034,0.00000000,1.06869575,1.02092074,0.01337407,0.69290125
-5.96998499,1.95925617,0.17978728,0.00000000,0.99522677,0.97368218,0.01311335,0.66949733
-5.96398199,1.87111983,0.15981392,0.00000000,0.92606119,0.93130514,0.01306529,0.64673498
-5.95797899,1.79192321,0.14375681,0.00000000,0.86164548,0.89404434,0.01323894,0.62525090
-5.95197599,1.72260617,0.13132092,0.00000000,0.80238747,0.86218786,0.01364181,0.60567301
-5.94597299,1.66408935,0.12222240,0.00000000,0.74865215,0.83604125,0.01427966,0.58860488
-5.93996998,1.61724266,0.11619068,0.00000000,0.70075848,0.81591041,0.01515638,0.57461111
-5.93396698,1.58285501,0.11296989,0.00000000,0.65897735,0.80208425,0.01627382,0.56420425
-5.92796398,1.56160663,0.11231986,0.00000000,0.62353082,0.79481783,0.01763169,0.55783355
-5.92196098,1.55404524,0.11401672,0.00000000,0.59459299,0.79431690,0.01922741,0.55587605
-5.91595798,1.56056718,0.11785339,0.00000000,0.57229230,0.80072465,0.02105613,0.55863011
-5.90995498,1.58140459,0.12363998,0.00000000,0.55671546,0.81411125,0.02311066,0.56631171
-5.90395198,1.61661903,0.13120439,0.00000000,0.54791265,0.83446680,0.02538162,0.57905348
-5.89794897,1.66610215,0.14039302,0.00000000,0.54590396,0.86169809,0.02785756,0.59690660
-5.89194597,1.72958321,0.15107182,0.00000000,0.55068659,0.89562914,0.03052520,0.61984520
-5.88594297,1.80664304,0.16312759,0.00000000,0.56224232,0.93600582,0.03336975,0.64777330
-5.87993997,1.89673393,0.17646948,0.00000000,0.58054493,0.98250396,0.03637524,0.68053368
-5.87393697,1.99920409,0.19103062,0.00000000,0.60556679,1.03474072,0.03952498,0.71791840
-5.86793397,2.11332550,0.20676965,0.00000000,0.63728420,1.09228853,0.04280201,0.75968036
-5.86193097,2.23832348,0.22367203,0.00000000,0.67568075,1.15469079,0.04618953,0.80554537
-5.85592796,2.37340630,0.24175075,0.00000000,0.72074837,1.22147844,0.04967132,0.85522402
-5.84992496,2.51779294,0.26104631,0.00000000,0.77248556,1.29218654,0.05323218,0.90842281
-5.84392196,2.67073736,0.28162566,0.00000000,0.83089245,1.36636968,0.05685816,0.96485390
-5.83791896,2.83154768,0.30357988,0.00000000,0.89596277,1.44361548,0.06053682,1.02424297
-5.83191596,2.99959896,0.32702037,0.00000000,0.96767266,1.52355535,0.06425726,1.08633468
-5.82591296,3.17433852,0.35207350,0.00000000,1.04596669,1.60587156,0.06801011,1.15089561
-5.81990995,3.35528343,0.37887373,0.00000000,1.13074166,1.69030051,0.07178733,1.21771425
-5.81390695,3.54200996,0.40755514,0.00000000,1.22182882,1.77663159,0.07558188,1.28659835
-5.80790395,3.73413553,0.43824170,0.00000000,1.31897549,1.86470178,0.07938731,1.35736953
-5.80190095,3.93129404,0.47103652,0.00000000,1.42182717,1.95438613,0.08319722,1.42985578
-5.79589795,4.13310592,0.50601046,0.00000000,1.52991127,2.04558465,0.08700468,1.50388205
-5.78989495,4.33914478,0.54319074,0.00000000,1.64262358,2.13820623,0.09080163,1.57925981
-5.78389195,4.54890267,0.58254985,0.00000000,1.75921877,2.23215051,0.09457827,1.65577617
-5.77788894,4.76175613,0.62399572,0.00000000,1.87880586,2.32728876,0.09832259,1.73318323
-5.77188594,4.97693541,0.66736353,0.00000000,2.00034943,2.42344477,0.10201990,1.81118861
-5.76588294,5.19349894,0.71240976,0.00000000,2.12267735,2.52037713,0.10565253,1.88944772
-5.75987994,5.41031518,0.75880923,0.00000000,2.24449506,2.61776375,0.10919977,1.96755834
-5.75387694,5.62605329,0.80615527,0.00000000,2.36440656,2.71518988,0.11263788,2.04505819
-5.74787394,5.83918402,0.85396361,0.00000000,2.48094146,2.81214045,0.11594037,2.12142558
-5.74187094,6.04799144,0.90167982,0.00000000,2.59258757,2.90799738,0.11907842,2.19608356
-5.73586793,6.25059555,0.94869056,0.00000000,2.69782760,3.00204244,0.12202154,2.26840727
-5.72986493,6.44498571,0.99433821,0.00000000,2.79517889,3.09346580,0.12473828,2.33773454
-5.72386193,6.62906347,1.03793854,0.00000000,2.88323438,3.18138031,0.12719720,2.40337923
-5.71785893,6.80069387,1.07880083,0.00000000,2.96070314,3.26484106,0.12936775,2.46464696
-5.71185593,6.95776296,1.11624969,0.00000000,3.02644885,3.34286978,0.13122131,2.52085249
-5.70585293,7.09823960,1.14964778,0.00000000,3.07952428,3.41448319,0.13273217,2.57133817
-5.69984992,7.22023908,1.17841845,0.00000000,3.11920058,3.47872427,0.13387846,2.61549278
-5.69384692,7.32208598,1.20206734,0.00000000,3.14498976,3.53469532,0.13464292,2.65276997
-5.68784392,7.40237385,1.22020211,0.00000000,3.15665967,3.58159142,0.13501365,2.68270568
-5.68184092,7.46001921,1.23254923,0.00000000,3.15424069,3.61873301,0.13498459,2.70493385
-5.67583792,7.49430770,1.23896731,0.00000000,3.13802396,3.64559608,0.13455584,2.71919992
-5.66983492,7.50493044,1.23945608,0.00000000,3.10855138,3.66183873,0.13373382,2.72537150
-5.66383192,7.49200894,1.23416080,0.00000000,3.06659780,3.66732290,0.13253119,2.72344604
-5.65782891,7.45610759,1.22337172,0.00000000,3.01314646,3.66212999,0.13096660,2.71355499
-5.65182591,7.39823282,1.20751851,0.00000000,2.94935865,3.64656974,0.12906428,2.69596442
-5.64582291,7.31981881,1.18715997,0.00000000,2.87653919,3.62118159,0.12685344,2.67107205
-5.63981991,7.22270003,1.16296917,0.00000000,2.79609904,3.58672820,0.12436757,2.63940060
-5.63381691,7.10907125,1.13571476,0.00000000,2.70951669,3.54418120,0.12164370,2.60158779
-5.62781391,6.98143626,1.10623888,0.00000000,2.61829991,3.49469921,0.11872150,2.55837311
-5.62181091,6.84254688,1.07543270,0.00000000,2.52394910,3.43959904,0.11564245,2.51058183
-5.61580790,6.69533408,1.04421035,0.00000000,2.42792361,3.38032069,0.11244898,2.45910650
-5.60980490,6.54283349,1.01348205,0.00000000,2.33161193,3.31838734,0.10918362,2.40488677
-5.60380190,6.38810765,0.98412764,0.00000000,2.23630653,3.25536185,0.10588828,2.34888768
-5.59779890,6.23416729,0.95697107,0.00000000,2.14318375,3.19280110,0.10260352,2.29207745
-5.59179590,6.08389445,0.93275693,0.00000000,2.05328889,3.13220981,0.09936794,2.23540511
-5.58579290,5.93996941,0.91212957,0.00000000,1.96752642,3.07499568,0.09621769,2.17977867
-5.57978989,5.80480402,0.89561558,0.00000000,1.88665494,3.02242717,0.09318603,2.12604457
-5.57378689,5.68048310,0.88360994,0.00000000,1.81128641,2.97559561,0.09030300,2.07496880
-5.56778389,5.56871579,0.87636631,0.00000000,1.74188889,2.93538302,0.08759512,2.02722033
-5.56178089,5.47079803,0.87399168,0.00000000,1.67879223,2.90243650,0.08508523,1.98335721
-5.55577789,5.38758725,0.87644530,0.00000000,1.62219574,2.87715037,0.08279235,1.94381577
-5.54977489,5.31948963,0.88354189,0.00000000,1.57217737,2.85965642,0.08073157,1.90890311
-5.54377189,5.26646027,0.89495894,0.00000000,1.52870355,2.84982261,0.07891401,1.87879312
-5.53776888,5.22801597,0.91024775,0.00000000,1.49163942,2.84726027,0.07734679,1.85352601
-5.53176588,5.20326007,0.92884780,0.00000000,1.46075888,2.85133942,0.07603307,1.83301146
-5.52576288,5.19091853,0.95010389,0.00000000,1.43575441,2.86121168,0.07497207,1.81703511
-5.51975988,5.18938613,0.97328560,0.00000000,1.41624644,2.87583997,0.07415920,1.80526845
-5.51375688,5.19678127,0.99760837,0.00000000,1.40179258,2.89403406,0.07358618,1.79728152
-5.50775388,5.21100810,1.02225568,0.00000000,1.39189655,2.91449065,0.07324124,1.79255844
-5.50175088,5.22982396,1.04640147,0.00000000,1.38601731,2.93583696,0.07310944,1.79051511
-5.49574787,5.25091045,1.06923254,0.00000000,1.38357842,2.95667611,0.07317298,1.79051869
-5.48974487,5.27194603,1.08996988,0.00000000,1.38397796,2.97563318,0.07341165,1.79190847
-5.48374187,5.29067826,1.10788880,0.00000000,1.38659906,2.99140026,0.07380333,1.79401732
-5.47773887,5.30499347,1.12233696,0.00000000,1.39082120,3.00277924,0.07432461,1.79619330
-5.47173587,5.31298171,1.13275015,0.00000000,1.39603204,3.00872077,0.07495137,1.79782065
-5.46573287,5.31299513,1.13866519,0.00000000,1.40163973,3.00835833,0.07565951,1.79833953
-5.45972986,5.30369765,1.13972983,0.00000000,1.40708528,3.00103596,0.07642561,1.79726380
-5.45372686,5.28410414,1.13570935,0.00000000,1.41185464,2.98632898,0.07722758,1.79419613
-5.44772386,5.25360778,1.12648967,0.00000000,1.41548991,2.96405655,0.07804528,1.78883993
-5.44172086,5.21199404,1.11207712,0.00000000,1.41759913,2.93428589,0.07886099,1.78100739
