energy_ev,total_up,Au_p_up,Au_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,4.08429185,0.40568606,3.91767148,0.02766953,0.06742494,0.13487241,0.01322912
-5.99399700,4.15597183,0.43825248,3.97045651,0.03035654,0.07421181,0.14515850,0.01316916
-5.98799400,4.23607686,0.47241774,4.03075555,0.03314315,0.08143588,0.15574199,0.01314151
-5.98199100,4.32453785,0.50789741,4.09867286,0.03600765,0.08905179,0.16650018,0.01315162
-5.97598799,4.42110920,0.54436047,4.17416086,0.03892588,0.09700336,0.17729929,0.01320457
-5.96998499,4.52534277,0.58143192,4.25699230,0.04187156,0.10522343,0.18799669,0.01330483
-5.96398199,4.63656579,0.61869687,4.34673558,0.04481667,0.11363401,0.19844349,0.01345594
-5.95797899,4.75386420,0.65570616,4.44273470,0.04773183,0.12214689,0.20848750,0.01366028
-5.95197599,4.87607290,0.69198354,4.54409528,0.05058675,0.13066458,0.21797647,0.01391882
-5.94597299,5.00177391,0.72703414,4.64967794,0.05335067,0.13908172,0.22676150,0.01423088
-5.93996998,5.12930353,0.76035425,4.75809997,0.05599281,0.14728675,0.23470048,0.01459401
-5.93396698,5.25676897,0.79144191,4.86774615,0.05848284,0.15516410,0.24166152,0.01500391
-5.92796398,5.38207470,0.81980832,4.97678891,0.06079131,0.16259656,0.24752621,0.01545437
-5.92196098,5.50295838,0.84498940,5.08321804,0.06289015,0.16946795,0.25219254,0.01593732
-5.91595798,5.61703572,0.86655737,5.18487944,0.06475303,0.17566599,0.25557753,0.01644300
-5.90995498,5.72185344,0.88413178,5.27952222,0.06635583,0.18108511,0.25761928,0.01696016
-5.90395198,5.81494870,0.89738965,5.36485293,0.06767704,0.18562941,0.25827851,0.01747629
-5.89794897,5.89391361,0.90607445,5.43859543,0.06869812,0.18921529,0.25753946,0.01797802
-5.89194597,5.95646243,0.91000332,5.49855448,0.06940390,0.19177393,0.25541018,0.01845148
-5.88594297,6.00049943,0.90907250,5.54268104,0.06978287,0.19325342,0.25192214,0.01888275
-5.87993997,6.02418484,0.90326062,5.56913669,0.06982749,0.19362037,0.24712920,0.01925829
-5.87393697,6.02599631,0.89262975,5.57635491,0.06953442,0.19286107,0.24110608,0.01956538
-5.86793397,6.00478347,0.87732410,5.56309674,0.06890472,0.19098206,0.23394614,0.01979259
-5.86193097,5.95981317,0.85756651,5.52849818,0.06794393,0.18801007,0.22575892,0.01993014
-5.85592796,5.89080334,0.83365275,5.47210753,0.06666212,0.18399137,0.21666718,0.01997025
-5.84992496,5.79794367,0.80594390,5.39391048,0.06507381,0.17899056,0.20680374,0.01990742
-5.84392196,5.68190199,0.77485704,5.29434177,0.06319778,0.17308880,0.19630827,0.01973859
-5.83791896,5.54381553,0.74085467,5.17428243,0.06105685,0.16638159,0.18532392,0.01946328
-5.83191596,5.38526701,0.70443310,5.03504232,0.05867742,0.15897614,0.17399413,0.01908355
-5.82591296,5.20824624,0.66611037,4.87832835,0.05608904,0.15098855,0.16245960,0.01860396
-5.81990995,5.01509822,0.62641397,4.70619927,0.05332383,0.14254075,0.15085544,0.01803137
-5.81390695,4.80845983,0.58586892,4.52100873,0.05041580,0.13375742,0.13930879,0.01737468
-5.80790395,4.59118714,0.54498637,4.32533867,0.04740015,0.12476300,0.12793667,0.01664453
-5.80190095,4.36627638,0.50425333,4.12192562,0.04431256,0.11567888,0.11684434,0.01585291
-5.79589795,4.13678146,0.46412354,3.91358284,0.04118839,0.10662081,0.10612405,0.01501276
-5.78989495,3.90573127,0.42500989,3.70312145,0.03806197,0.09769669,0.09585426,0.01413755
-5.78389195,3.67605000,0.38727849,3.49327357,0.03496590,0.08900474,0.08609923,0.01324085
-5.77788894,3.45048349,0.35124437,3.28662054,0.03193045,0.08063214,0.07690907,0.01233594
-5.77188594,3.23153435,0.31716903,3.08552898,0.02898298,0.07265406,0.06832009,0.01143543
-5.76588294,3.02140805,0.28525956,2.89209693,0.02614757,0.06513316,0.06035549,0.01055093
-5.75987994,2.82197189,0.25566942,2.70811210,0.02344465,0.05811951,0.05302635,0.00969284
-5.75387694,2.63472784,0.22850056,2.53502313,0.02089088,0.05165092,0.04633275,0.00887009
-5.74787394,2.46079987,0.20380681,2.37392489,0.01849898,0.04575356,0.04026512,0.00809003
-5.74187094,2.30093550,0.18159828,2.22555750,0.01627791,0.04044283,0.03480563,0.00735838
-5.73586793,2.15552104,0.16184647,2.09031860,0.01423291,0.03572457,0.02992967,0.00667925
-5.72986493,2.02460895,0.14448998,1.96828769,0.01236583,0.03159624,0.02560731,0.00605513
-5.72386193,1.90795587,0.12944048,1.85926086,0.01067545,0.02804839,0.02180472,0.00548710
-5.71785893,1.80506897,0.11658882,1.76279403,0.00915783,0.02506596,0.01848554,0.00497488
-5.71185593,1.71525852,0.10581097,1.67825234,0.00780678,0.02262979,0.01561211,0.00451708
-5.70585293,1.63769410,0.09697378,1.60486344,0.00661433,0.02071789,0.01314665,0.00411140
-5.69984992,1.57146203,0.08994026,1.54177221,0.00557113,0.01930675,0.01105222,0.00375479
-5.69384692,1.51562182,0.08457445,1.48809458,0.00466696,0.01837258,0.00929363,0.00344371
-5.68784392,1.46925923,0.08074566,1.44296851,0.00389109,0.01789227,0.00783818,0.00317431
-5.68184092,1.43153445,0.07833210,1.40560005,0.00323277,0.01784449,0.00665625,0.00294261
-5.67583792,1.40172340,0.07722392,1.37530300,0.00268149,0.01821041,0.00572182,0.00274469
-5.66983492,1.37925132,0.07732554,1.35153098,0.00222733,0.01897453,0.00501282,0.00257679
-5.66383192,1.36371750,0.07855742,1.33390099,0.00186127,0.02012519,0.00451141,0.00243546
-5.65782891,1.35491077,0.08085715,1.32220794,0.00157534,0.02165515,0.00420422,0.00231763
-5.65182591,1.35281558,0.08418001,1.31643001,0.00136287,0.02356187,0.00408241,0.00222065
-5.64582291,1.35760863,0.08849894,1.31672488,0.00121861,0.02584775,0.00414174,0.00214235
-5.63981991,1.36964662,0.09380395,1.32341737,0.00113882,0.02852026,0.00438260,0.00208104
-5.63381691,1.38944567,0.10010107,1.33697906,0.00112141,0.03159178,0.00480989,0.00203548
-5.62781391,1.41765324,0.10741076,1.35800073,0.00116592,0.03507935,0.00543294,0.00200487
-5.62181091,1.45501355,0.11576586,1.38715885,0.00127361,0.03900425,0.00626536,0.00198880
-5.61580790,1.50232781,0.12520908,1.42517715,0.00144740,0.04339125,0.00732473,0.00198718
-5.60980490,1.56041034,0.13579012,1.47278472,0.00169187,0.04826775,0.00863237,0.00200021
-5.60380190,1.63004221,0.14756229,1.53067201,0.00201319,0.05366260,0.01021289,0.00202827
-5.59779890,1.71192375,0.16057898,1.59944632,0.00241901,0.05960474,0.01209372,0.00207188
-5.59179590,1.80662753,0.17488965,1.67958825,0.00291835,0.06612163,0.01430450,0.00213162
-5.58579290,1.91455345,0.19053586,1.77141066,0.00352135,0.07323746,0.01687633,0.00220806
-5.57978989,2.03588740,0.20754702,1.87502170,0.00423910,0.08097125,0.01984094,0.00230167
-5.57378689,2.17056510,0.22593633,1.99029335,0.00508332,0.08933487,0.02322964,0.00241278
-5.56778389,2.31824258,0.24569675,2.11683671,0.00606599,0.09833104,0.02707221,0.00254152
-5.56178089,2.47827439,0.26679744,2.25398525,0.00719898,0.10795138,0.03139557,0.00268776
-5.55577789,2.64970093,0.28918045,2.40078680,0.00849354,0.11817469,0.03622245,0.00285105
-5.54977489,2.83124533,0.31275820,2.55600507,0.00995980,0.12896538,0.04156985,0.00303062
-5.54377189,3.02132061,0.33741155,2.71813074,0.01160620,0.14027233,0.04744753,0.00322533
-5.53776888,3.21804727,0.36298879,2.88540232,0.01343889,0.15202813,0.05385647,0.00343366
-5.53176588,3.41928084,0.38930553,3.05583604,0.01546114,0.16414883,0.06078741,0.00365372
-5.52576288,3.62264903,0.41614565,3.22726425,0.01767274,0.17653421,0.06821948,0.00388323
-5.51975988,3.82559725,0.44326325,3.39738087,0.02006943,0.18906871,0.07611908,0.00411957
-5.51375688,4.02544133,0.47038566,3.56379268,0.02264243,0.20162291,0.08443897,0.00435981
-5.50775388,4.21942559,0.49721750,3.72407446,0.02537805,0.21405560,0.09311776,0.00460075
-5.50175088,4.40478454,0.52344561,3.87582629,0.02825739,0.22621637,0.10207981,0.00483896
-5.49574787,4.57880603,0.54874481,4.01673082,0.03125625,0.23794877,0.11123558,0.00507088
-5.48974487,4.73889390,0.57278436,4.14460867,0.03434519,0.24909374,0.12048254,0.00529287
-5.48374187,4.88262782,0.59523486,4.25746981,0.03748975,0.25949335,0.12970654,0.00550131
-5.47773887,5.00781858,0.61577552,4.35355952,0.04065095,0.26899473,0.13878386,0.00569267
-5.47173587,5.11255698,0.63410144,4.43139703,0.04378594,0.27745394,0.14758359,0.00586359
-5.46573287,5.19525477,0.64993077,4.48980608,0.04684884,0.28473972,0.15597063,0.00601098
-5.45972986,5.25467658,0.66301155,4.52793627,0.04979181,0.29073697,0.16380898,0.00613210
-5.45372686,5.28996200,0.67312790,4.54527499,0.05256623,0.29534978,0.17096531,0.00622461
-5.44772386,5.30063745,0.68010545,4.54164981,0.05512397,0.29850402,0.17731268,0.00628663
-5.44172086,5.28661771,0.68381590,4.51722171,0.05741884,0.30014919,0.18273426,0.00631684
-5.43571786,5.24819769,0.68418029,4.47246977,0.05940785,0.30025966,0.18712693,0.00631444
-5.42971486,5.18603482,0.68117123,4.40816835,0.06105265,0.29883520,0.19040450,0.00627921
-5.42371186,5.10112340,0.67481375,4.32535797,0.06232070,0.29590074,0.19250058,0.00621153
-5.41770885,4.99476181,0.66518478,4.22531116,0.06318634,0.29150539,0.19337079,0.00611231
-5.41170585,4.86851415,0.65241142,4.10949475,0.06363169,0.28572091,0.19299435,0.00598301
-5.40570285,4.72416771,0.63666790,3.97953010,0.06364725,0.27863946,0.19137489,0.00582559
-5.39969985,4.56368793,0.61817137,3.83715262,0.06323225,0.27037101,0.18854048,0.00564243
