energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,1.84596344,0.32081809,1.12847007,0.00344962,0.06985357,0.14746845,0.40978217,0.00509430,0.18806434
-5.99399700,1.83766793,0.31546881,1.12102410,0.00309044,0.06632351,0.14329321,0.41711922,0.00463384,0.18333695
-5.98799400,1.83989293,0.31193493,1.11986345,0.00277987,0.06329035,0.14001724,0.42659312,0.00423917,0.18005047
-5.98199100,1.85323463,0.31044902,1.12544940,0.00251731,0.06079052,0.13771311,0.43819845,0.00390964,0.17827935
-5.97598799,1.87818921,0.31123042,1.13818044,0.00230164,0.05885317,0.13643599,0.45191454,0.00364404,0.17808157
-5.96998499,1.91514507,0.31448132,1.15838182,0.00213134,0.05749984,0.13622394,0.46770992,0.00344075,0.17949803
-5.96398199,1.96437313,0.32038243,1.18629393,0.00200451,0.05674426,0.13709856,0.48554613,0.00329781,0.18255204
-5.95797899,2.02601535,0.32908830,1.22206001,0.00191891,0.05659214,0.13906567,0.50538078,0.00321296,0.18724870
-5.95197599,2.10007177,0.34072237,1.26571341,0.00187201,0.05704104,0.14211602,0.52716943,0.00318370,0.19357433
-5.94597299,2.18638641,0.35537190,1.31716535,0.00186103,0.05808028,0.14622601,0.55086608,0.00320733,0.20149582
-5.93996998,2.28463275,0.37308288,1.37619363,0.00188296,0.05969091,0.15135816,0.57642220,0.00328095,0.21096005
-5.93396698,2.39429981,0.39385522,1.44243316,0.00193460,0.06184580,0.15746166,0.60378413,0.00340149,0.22189342
-5.92796398,2.51467961,0.41763830,1.51536912,0.00201253,0.06450980,0.16447263,0.63288905,0.00356569,0.23420141
-5.92196098,2.64485738,0.44432729,1.59433351,0.00211321,0.06763999,0.17231439,0.66365961,0.00377010,0.24776850
-5.91595798,2.78370551,0.47376025,1.67850574,0.00223293,0.07118614,0.18089771,0.69599751,0.00401105,0.26245823
-5.90995498,2.92988246,0.50571651,1.76691791,0.00236787,0.07509119,0.19012109,0.72977650,0.00428466,0.27811376
-5.90395198,3.08183761,0.53991623,1.85846508,0.00251413,0.07929203,0.19987121,0.76483528,0.00458681,0.29455880
-5.89794897,3.23782295,0.57602162,1.95192086,0.00266776,0.08372030,0.21002361,0.80097074,0.00491313,0.31159911
-5.89194597,3.39591212,0.61363971,2.04595818,0.00282481,0.08830341,0.22044369,0.83793226,0.00525904,0.32902447
-5.88594297,3.55402723,0.65232688,2.13917503,0.00298135,0.09296568,0.23098812,0.87541754,0.00561973,0.34661140
-5.87993997,3.70997325,0.69159509,2.23012465,0.00313357,0.09762962,0.24150673,0.91307059,0.00599022,0.36412628
-5.87393697,3.86147978,0.73091982,2.31734929,0.00327784,0.10221727,0.25184481,0.95048217,0.00636540,0.38132923
-5.86793397,4.00624907,0.76974964,2.39941676,0.00341072,0.10665164,0.26184596,0.98719325,0.00674005,0.39797839
-5.86193097,4.14200950,0.80751704,2.47495838,0.00352909,0.11085817,0.27135532,1.02270149,0.00710897,0.41383471
-5.85592796,4.26657256,0.84365057,2.54270711,0.00363017,0.11476623,0.28022325,1.05647078,0.00746704,0.42866705
-5.84992496,4.37789179,0.87758768,2.60153456,0.00371162,0.11831049,0.28830914,1.08794384,0.00780931,0.44225748
-5.84392196,4.47412153,0.90878809,2.65048520,0.00377154,0.12143234,0.29548549,1.11655727,0.00813112,0.45440671
-5.83791896,4.55367312,0.93674730,2.68880666,0.00380857,0.12408112,0.30164186,1.14175882,0.00842817,0.46493927
-5.83191596,4.61526649,0.96100964,2.71597471,0.00382185,0.12621519,0.30668865,1.16302593,0.00869666,0.47370848
-5.82591296,4.65797481,0.98118065,2.73171175,0.00381110,0.12780294,0.31056051,1.17988496,0.00893338,0.48060090
-5.81990995,4.68126017,0.99693816,2.73599810,0.00377660,0.12882345,0.31321917,1.19193003,0.00913579,0.48554014
-5.81390695,4.68499857,1.00804175,2.72907536,0.00371916,0.12926704,0.31465554,1.19884071,0.00930209,0.48848973
-5.80790395,4.66949280,1.01434021,2.71144157,0.00364008,0.12913549,0.31489096,1.20039762,0.00943132,0.48945509
-5.80190095,4.63547230,1.01577668,2.68383823,0.00354115,0.12844210,0.31397750,1.19649505,0.00952336,0.48848430
-5.79589795,4.58407965,1.01239113,2.64722944,0.00342457,0.12721136,0.31199713,1.18714998,0.00957894,0.48566774
-5.78989495,4.51684365,1.00432018,2.60277401,0.00329286,0.12547845,0.30905990,1.17250694,0.00959970,0.48113638
-5.78389195,4.43563995,0.99179404,2.55179132,0.00314881,0.12328844,0.30530106,1.15283830,0.00958809,0.47505889
-5.77788894,4.34264028,0.97513074,2.49572237,0.00299542,0.12069523,0.30087714,1.12853998,0.00954733,0.46763751
-5.77188594,4.24025209,0.95472766,2.43608718,0.00283576,0.11776031,0.29596125,1.10012262,0.00948136,0.45910284
-5.76588294,4.13105080,0.93105073,2.37444043,0.00267295,0.11455123,0.29073762,1.06819844,0.00939474,0.44970772
-5.75987994,4.01770703,0.90462161,2.31232660,0.00251005,0.11114002,0.28539572,1.03346453,0.00929249,0.43972028
-5.75387694,3.90291158,0.87600324,2.25123663,0.00235000,0.10760137,0.28012405,0.99668296,0.00918002,0.42941659
-5.74787394,3.78930083,0.84578429,2.19256720,0.00219555,0.10401085,0.27510396,0.95865880,0.00906294,0.41907297
-5.74187094,3.67938533,0.81456309,2.13758448,0.00204922,0.10044303,0.27050368,0.92021669,0.00894699,0.40895839
-5.73586793,3.57548393,0.78293157,2.08739310,0.00191326,0.09696967,0.26647286,0.88217708,0.00883784,0.39932715
-5.72986493,3.47966590,0.75145967,2.04291164,0.00178958,0.09365802,0.26313778,0.84533288,0.00874099,0.39041212
-5.72386193,3.39370257,0.72068102,2.00485502,0.00167978,0.09056921,0.26059750,0.81042754,0.00866165,0.38241882
-5.71785893,3.31903009,0.69108002,1.97372428,0.00158511,0.08775689,0.25892107,0.77813507,0.00860466,0.37552057
-5.71185593,3.25672401,0.66308105,1.94980364,0.00150647,0.08526610,0.25814587,0.74904283,0.00857436,0.36985468
-5.70585293,3.20748594,0.63703983,1.93316469,0.00144440,0.08313237,0.25827722,0.72363743,0.00857459,0.36552007
-5.69984992,3.17164229,0.61323740,1.92367702,0.00139915,0.08138113,0.25928910,0.70229412,0.00860859,0.36257615
-5.69384692,3.14915417,0.59187663,1.92102459,0.00137063,0.08002744,0.26112616,0.68526978,0.00867903,0.36104297
-5.68784392,3.13963751,0.57308131,1.92472677,0.00135846,0.07907596,0.26370657,0.67269957,0.00878796,0.36090267
-5.68184092,3.14239196,0.55689778,1.93416302,0.00136202,0.07852131,0.26692594,0.66459708,0.00893685,0.36210201
-5.67583792,3.15643688,0.54329876,1.94859998,0.00138046,0.07834853,0.27066171,0.66085786,0.00912660,0.36455574
