energy_ev,total_up,B_p_up,B_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,1.30327332,0.05014891,0.00000000,0.65829829,0.25290116,0.05956801,0.48323073
-5.99399700,1.33100073,0.05512087,0.00000000,0.69114704,0.25329783,0.05869206,0.49062594
-5.98799400,1.36211720,0.06053003,0.00000000,0.72709177,0.25398958,0.05774364,0.49891435
-5.98199100,1.39734902,0.06637682,0.00000000,0.76623463,0.25517171,0.05677472,0.50838746
-5.97598799,1.43730656,0.07265134,0.00000000,0.80858617,0.25702501,0.05583567,0.51929955
-5.96998499,1.48244782,0.07933224,0.00000000,0.85405278,0.25970759,0.05497322,0.53185398
-5.96398199,1.53304648,0.08638597,0.00000000,0.90242716,0.26334744,0.05422861,0.54619098
-5.95797899,1.58916620,0.09376639,0.00000000,0.95338278,0.26803603,0.05363600,0.56237769
-5.95197599,1.65064261,0.10141480,0.00000000,1.00647267,0.27382315,0.05322105,0.58040106
-5.94597299,1.71707423,0.10926049,0.00000000,1.06113314,0.28071347,0.05299997,0.60016376
-5.93996998,1.78782293,0.11722177,0.00000000,1.11669242,0.28866481,0.05297894,0.62148368
-5.93396698,1.86202456,0.12520743,0.00000000,1.17238431,0.29758837,0.05315388,0.64409698
-5.92796398,1.93860927,0.13311877,0.00000000,1.22736640,0.30735087,0.05351074,0.66766469
-5.92196098,2.01633126,0.14085193,0.00000000,1.28074242,0.31777857,0.05402613,0.69178255
-5.91595798,2.09380657,0.14830065,0.00000000,1.33158791,0.32866303,0.05466840,0.71599395
-5.90995498,2.16955773,0.15535919,0.00000000,1.37897830,0.33976829,0.05539898,0.73980511
-5.90395198,2.24206317,0.16192543,0.00000000,1.42201816,0.35083930,0.05617404,0.76270217
-5.89794897,2.30980951,0.16790395,0.00000000,1.45987065,0.36161114,0.05694632,0.78416924
-5.89194597,2.37134433,0.17320902,0.00000000,1.49178573,0.37181862,0.05766712,0.80370672
-5.88594297,2.42532710,0.17776728,0.00000000,1.51712605,0.38120592,0.05828825,0.82084908
-5.87993997,2.47057620,0.18152010,0.00000000,1.53538924,0.38953571,0.05876395,0.83518120
-5.87393697,2.50610971,0.18442539,0.00000000,1.54622587,0.39659752,0.05905267,0.84635279
-5.86793397,2.53117841,0.18645897,0.00000000,1.54945197,0.40221485,0.05911866,0.85409007
-5.86193097,2.54528956,0.18761517,0.00000000,1.54505584,0.40625081,0.05893318,0.85820427
-5.85592796,2.54822042,0.18790686,0.00000000,1.53319865,0.40861209,0.05847553,0.85859678
-5.84992496,2.54002126,0.18736479,0.00000000,1.51420895,0.40925101,0.05773358,0.85526063
-5.84392196,2.52100781,0.18603630,0.00000000,1.48857131,0.40816581,0.05670403,0.84827838
-5.83791896,2.49174383,0.18398351,0.00000000,1.45690956,0.40539903,0.05539222,0.83781675
-5.83191596,2.45301481,0.18128094,0.00000000,1.41996550,0.40103421,0.05381165,0.82411815
-5.82591296,2.40579426,0.17801281,0.00000000,1.37857389,0.39519124,0.05198320,0.80748976
-5.81990995,2.35120435,0.17427012,0.00000000,1.33363495,0.38802040,0.04993402,0.78829074
-5.81390695,2.29047290,0.17014754,0.00000000,1.28608542,0.37969560,0.04769631,0.76691812
-5.80790395,2.22488864,0.16574039,0.00000000,1.23686942,0.37040712,0.04530593,0.74379220
-5.80190095,2.15575690,0.16114166,0.00000000,1.18691024,0.36035418,0.04280094,0.71934208
-5.79589795,2.08435751,0.15643942,0.00000000,1.13708415,0.34973770,0.04022019,0.69399188
-5.78989495,2.01190672,0.15171450,0.00000000,1.08819716,0.33875356,0.03760197,0.66814832
-5.78389195,1.93952426,0.14703860,0.00000000,1.04096540,0.32758655,0.03498275,0.64219005
-5.77788894,1.86820686,0.14247295,0.00000000,0.99599979,0.31640536,0.03239619,0.61645898
-5.77188594,1.79880865,0.13806741,0.00000000,0.95379530,0.30535862,0.02987223,0.59125392
-5.76588294,1.73202880,0.13386014,0.00000000,0.91472488,0.29457211,0.02743655,0.56682656
-5.75987994,1.66840629,0.12987773,0.00000000,0.87903808,0.28414713,0.02511011,0.54337964
-5.75387694,1.60832134,0.12613578,0.00000000,0.84686400,0.27416006,0.02290907,0.52106729
-5.74787394,1.55200276,0.12263986,0.00000000,0.81821820,0.26466291,0.02084480,0.49999714
-5.74187094,1.49954041,0.11938677,0.00000000,0.79301304,0.25568482,0.01892413,0.48023402
-5.73586793,1.45090156,0.11636602,0.00000000,0.77107064,0.24723423,0.01714976,0.46180470
-5.72986493,1.40594994,0.11356145,0.00000000,0.75213796,0.23930168,0.01552073,0.44470348
-5.72386193,1.36446651,0.11095284,0.00000000,0.73590303,0.23186290,0.01403304,0.42889812
-5.71785893,1.32617057,0.10851755,0.00000000,0.72201173,0.22488217,0.01268025,0.41433577
-5.71185593,1.29074028,0.10623195,0.00000000,0.71008432,0.21831556,0.01145412,0.40094865
-5.70585293,1.25783172,0.10407272,0.00000000,0.69973113,0.21211416,0.01034520,0.38865913
-5.69984992,1.22709569,0.10201789,0.00000000,0.69056679,0.20622690,0.00934340,0.37738412
-5.69384692,1.19819172,0.10004762,0.00000000,0.68222267,0.20060310,0.00843845,0.36703854
-5.68784392,1.17079905,0.09814467,0.00000000,0.67435701,0.19519450,0.00762035,0.35753790
-5.68184092,1.14462435,0.09629463,0.00000000,0.66666268,0.18995682,0.00687963,0.34879992
-5.67583792,1.11940628,0.09448588,0.00000000,0.65887255,0.18485086,0.00620765,0.34074537
-5.66983492,1.09491725,0.09270928,0.00000000,0.65076230,0.17984309,0.00559671,0.33329817
-5.66383192,1.07096257,0.09095772,0.00000000,0.64215109,0.17490583,0.00504017,0.32638487
-5.65782891,1.04737772,0.08922557,0.00000000,0.63290019,0.17001708,0.00453243,0.31993389
