energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.54924067,0.00847930,0.02136458,0.32962850,0.13554028,0.35764606,0.00000000
-5.99399700,0.57446346,0.00816814,0.02282338,0.35825201,0.13952935,0.37418999,0.00000000
-5.98799400,0.60353790,0.00790654,0.02448765,0.38894383,0.14462181,0.39320290,0.00000000
-5.98199100,0.63622503,0.00769329,0.02635316,0.42145648,0.15078084,0.41452507,0.00000000
-5.97598799,0.67219022,0.00752573,0.02841195,0.45548788,0.15794195,0.43793488,0.00000000
-5.96998499,0.71101462,0.00739997,0.03065262,0.49068807,0.16601540,0.46315637,0.00000000
-5.96398199,0.75220983,0.00731128,0.03306069,0.52666807,0.17488933,0.48986897,0.00000000
-5.95797899,0.79523536,0.00725440,0.03561912,0.56301067,0.18443376,0.51771889,0.00000000
-5.95197599,0.83951817,0.00722390,0.03830896,0.59928281,0.19450531,0.54633196,0.00000000
-5.94597299,0.88447360,0.00721458,0.04110995,0.63504903,0.20495226,0.57532722,0.00000000
-5.93996998,0.92952675,0.00722182,0.04400136,0.66988539,0.21562004,0.60433087,0.00000000
-5.93396698,0.97413353,0.00724191,0.04696268,0.70339348,0.22635680,0.63298989,0.00000000
-5.92796398,1.01780042,0.00727242,0.04997437,0.73521362,0.23701889,0.66098481,0.00000000
-5.92196098,1.06010214,0.00731241,0.05301857,0.76503685,0.24747603,0.68804105,0.00000000
-5.91595798,1.10069638,0.00736267,0.05607967,0.79261509,0.25761594,0.71393832,0.00000000
-5.90995498,1.13933504,0.00742593,0.05914483,0.81776887,0.26734837,0.73851773,0.00000000
-5.90395198,1.17587135,0.00750690,0.06220430,0.84039240,0.27660813,0.76168617,0.00000000
-5.89794897,1.21026264,0.00761234,0.06525164,0.86045561,0.28535721,0.78341780,0.00000000
-5.89194597,1.24256854,0.00775101,0.06828371,0.87800304,0.29358578,0.80375270,0.00000000
-5.88594297,1.27294474,0.00793357,0.07130055,0.89314963,0.30131199,0.82279244,0.00000000
-5.87993997,1.30163246,0.00817238,0.07430504,0.90607363,0.30858069,0.84069313,0.00000000
-5.87393697,1.32894429,0.00848128,0.07730243,0.91700685,0.31546092,0.85765590,0.00000000
-5.86793397,1.35524678,0.00887523,0.08029971,0.92622281,0.32204243,0.87391553,0.00000000
-5.86193097,1.38094069,0.00936993,0.08330492,0.93402318,0.32843130,0.88972753,0.00000000
-5.85592796,1.40643970,0.00998139,0.08632630,0.94072338,0.33474470,0.90535432,0.00000000
-5.84992496,1.43214843,0.01072540,0.08937146,0.94663768,0.34110527,0.92105109,0.00000000
-5.84392196,1.45844080,0.01161696,0.09244654,0.95206469,0.34763499,0.93705195,0.00000000
-5.83791896,1.48563952,0.01266974,0.09555534,0.95727381,0.35444911,0.95355694,0.00000000
-5.83191596,1.51399750,0.01389541,0.09869859,0.96249312,0.36165010,0.97072045,0.00000000
-5.82591296,1.54368211,0.01530308,0.10187322,0.96789935,0.36932206,0.98864143,0.00000000
-5.81990995,1.57476266,0.01689861,0.10507185,0.97361023,0.37752571,1.00735601,0.00000000
-5.81390695,1.60720183,0.01868412,0.10828235,0.97967944,0.38629421,1.02683254,0.00000000
-5.80790395,1.64085119,0.02065741,0.11148761,0.98609453,0.39562995,1.04696948,0.00000000
-5.80190095,1.67545120,0.02281154,0.11466549,0.99277767,0.40550254,1.06759612,0.00000000
-5.79589795,1.71063568,0.02513449,0.11778889,0.99958919,0.41584808,1.08847624,0.00000000
-5.78989495,1.74594058,0.02760899,0.12082614,1.00633382,0.42656973,1.10931447,0.00000000
-5.78389195,1.78081697,0.03021246,0.12374149,1.01276938,0.43753972,1.12976534,0.00000000
-5.77788894,1.81464789,0.03291711,0.12649583,1.01861737,0.44860271,1.14944461,0.00000000
-5.77188594,1.84676843,0.03569033,0.12904755,1.02357539,0.45958041,1.16794263,0.00000000
-5.76588294,1.87648862,0.03849516,0.13135366,1.02733063,0.47027746,1.18483925,0.00000000
-5.75987994,1.90311824,0.04129102,0.13337091,1.02957406,0.48048822,1.19971979,0.00000000
-5.75387694,1.92599297,0.04403460,0.13505715,1.03001483,0.49000443,1.21219159,0.00000000
-5.74787394,1.94450069,0.04668096,0.13637267,1.02839430,0.49862326,1.22190043,0.00000000
-5.74187094,1.95810730,0.04918469,0.13728160,1.02449918,0.50615569,1.22854637,0.00000000
-5.73586793,1.96638075,0.05150124,0.13775332,1.01817333,0.51243466,1.23189827,0.00000000
-5.72986493,1.96901262,0.05358821,0.13776376,1.00932769,0.51732280,1.23180644,0.00000000
-5.72386193,1.96583606,0.05540677,0.13729656,0.99794808,0.52071926,1.22821278,0.00000000
-5.71785893,1.95683941,0.05692287,0.13634411,0.98410042,0.52256549,1.22115810,0.00000000
-5.71185593,1.94217467,0.05810846,0.13490830,0.96793322,0.52284947,1.21078599,0.00000000
-5.70585293,1.92216042,0.05894244,0.13300106,0.94967718,0.52160832,1.19734312,0.00000000
-5.69984992,1.89727873,0.05941151,0.13064452,0.92964200,0.51892911,1.18117573,0.00000000
-5.69384692,1.86816607,0.05951064,0.12787090,0.90821035,0.51494762,1.16272245,0.00000000
-5.68784392,1.83559843,0.05924339,0.12472206,0.88582934,0.50984534,1.14250352,0.00000000
-5.68184092,1.80047110,0.05862185,0.12124871,0.86299985,0.50384458,1.12110679,0.00000000
-5.67583792,1.76377384,0.05766634,0.11750933,0.84026408,0.49720200,1.09917111,0.00000000
