energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,0.74733476,0.00247803,0.03795779,0.00072735,0.00000000,0.24193515,0.56051822,0.16019365,0.00000000
-5.99399700,0.78973440,0.00265054,0.04004040,0.00070369,0.00000000,0.25657575,0.59392274,0.16746697,0.00000000
-5.98799400,0.83114127,0.00281776,0.04210117,0.00069328,0.00000000,0.27094552,0.62586634,0.17522817,0.00000000
-5.98199100,0.87082038,0.00297786,0.04410077,0.00069531,0.00000000,0.28484089,0.65576058,0.18335189,0.00000000
-5.97598799,0.90810120,0.00312918,0.04600387,0.00070917,0.00000000,0.29807991,0.68305822,0.19173308,0.00000000
-5.96998499,0.94240079,0.00327040,0.04778021,0.00073440,0.00000000,0.31050957,0.70727121,0.20029134,0.00000000
-5.96398199,0.97324405,0.00340053,0.04940555,0.00077076,0.00000000,0.32201208,0.72798707,0.20897436,0.00000000
-5.95797899,1.00028019,0.00351898,0.05086240,0.00081820,0.00000000,0.33250979,0.74488282,0.21775983,0.00000000
-5.95197599,1.02329429,0.00362560,0.05214048,0.00087683,0.00000000,0.34196842,0.75773588,0.22665605,0.00000000
-5.94597299,1.04221339,0.00372071,0.05323693,0.00094692,0.00000000,0.35039826,0.76643108,0.23570080,0.00000000
-5.93996998,1.05710640,0.00380502,0.05415615,0.00102884,0.00000000,0.35785339,0.77096369,0.24495865,0.00000000
-5.93396698,1.06817785,0.00387971,0.05490940,0.00112303,0.00000000,0.36442858,0.77143796,0.25451650,0.00000000
-5.92796398,1.07575533,0.00394627,0.05551399,0.00122992,0.00000000,0.37025416,0.76806121,0.26447773,0.00000000
-5.92196098,1.08027125,0.00400649,0.05599227,0.00134991,0.00000000,0.37548889,0.76113386,0.27495483,0.00000000
-5.91595798,1.08223958,0.00406233,0.05637028,0.00148328,0.00000000,0.38031123,0.75103558,0.28606117,0.00000000
-5.90995498,1.08222876,0.00411584,0.05667633,0.00163013,0.00000000,0.38490934,0.73820845,0.29790195,0.00000000
-5.90395198,1.08083195,0.00416905,0.05693931,0.00179031,0.00000000,0.38947039,0.72313777,0.31056498,0.00000000
-5.89794897,1.07863622,0.00422383,0.05718709,0.00196338,0.00000000,0.39416965,0.70633156,0.32411174,0.00000000
-5.89194597,1.07619231,0.00428179,0.05744490,0.00214856,0.00000000,0.39916005,0.68829971,0.33856918,0.00000000
-5.88594297,1.07398647,0.00434419,0.05773380,0.00234469,0.00000000,0.40456279,0.66953390,0.35392281,0.00000000
-5.87993997,1.07241601,0.00441184,0.05806949,0.00255023,0.00000000,0.41045953,0.65048908,0.37011163,0.00000000
-5.87393697,1.07176990,0.00448506,0.05846122,0.00276321,0.00000000,0.41688676,0.63156767,0.38702514,0.00000000
-5.86793397,1.07221542,0.00456362,0.05891121,0.00298132,0.00000000,0.42383258,0.61310690,0.40450299,0.00000000
-5.86193097,1.07379183,0.00464676,0.05941434,0.00320190,0.00000000,0.43123643,0.59537006,0.42233725,0.00000000
-5.85592796,1.07641122,0.00473322,0.05995826,0.00342202,0.00000000,0.43899158,0.57854187,0.44027752,0.00000000
-5.84992496,1.07986674,0.00482128,0.06052394,0.00363857,0.00000000,0.44695062,0.56272808,0.45803868,0.00000000
-5.84392196,1.08384766,0.00490883,0.06108654,0.00384834,0.00000000,0.45493361,0.54795918,0.47531120,0.00000000
