energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,1.03982863,0.44873497,0.22051849,0.04724670,0.13769179,0.04270965,0.29194189
-5.99399700,1.07421056,0.45838445,0.22880389,0.04991235,0.14143950,0.04528739,0.30111512
-5.98799400,1.10948347,0.46781960,0.23737766,0.05250612,0.14544793,0.04779780,0.31034279
-5.98199100,1.14501315,0.47674712,0.24610323,0.05499716,0.14964908,0.05020918,0.31943319
-5.97598799,1.18019244,0.48488827,0.25485034,0.05735688,0.15397475,0.05249291,0.32820511
-5.96998499,1.21445517,0.49198783,0.26349743,0.05955971,0.15835827,0.05462404,0.33649229
-5.96398199,1.24728771,0.49782203,0.27193348,0.06158361,0.16273603,0.05658172,0.34414723
-5.95797899,1.27823748,0.50220517,0.28005933,0.06341053,0.16704862,0.05834947,0.35104410
-5.95197599,1.30691828,0.50499453,0.28778816,0.06502661,0.17124153,0.05991532,0.35708068
-5.94597299,1.33301205,0.50609338,0.29504553,0.06642215,0.17526558,0.06127176,0.36217917
-5.93996998,1.35626764,0.50545211,0.30176866,0.06759147,0.17907687,0.06241556,0.36628602
-5.93396698,1.37649675,0.50306736,0.30790537,0.06853258,0.18263655,0.06334745,0.36937076
-5.92796398,1.39356786,0.49897955,0.31341266,0.06924669,0.18591039,0.06407174,0.37142412
-5.92196098,1.40739896,0.49326891,0.31825529,0.06973773,0.18886820,0.06459581,0.37245547
-5.91595798,1.41795002,0.48605047,0.32240431,0.07001173,0.19148343,0.06492968,0.37249005
-5.90995498,1.42521606,0.47746830,0.32583602,0.07007633,0.19373283,0.06508556,0.37156609
-5.90395198,1.42922161,0.46768960,0.32853132,0.06994028,0.19559645,0.06507744,0.36973215
-5.89794897,1.43001738,0.45689878,0.33047568,0.06961305,0.19705790,0.06492084,0.36704479
-5.89194597,1.42767936,0.44529214,0.33165971,0.06910460,0.19810509,0.06463264,0.36356690
-5.88594297,1.42231073,0.43307318,0.33208043,0.06842530,0.19873122,0.06423101,0.35936666
-5.87993997,1.41404627,0.42044894,0.33174313,0.06758596,0.19893627,0.06373552,0.35451714
-5.87393697,1.40305898,0.40762729,0.33066365,0.06659799,0.19872856,0.06316727,0.34909662
