energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.52300994,0.00984297,0.05926668,0.65552350,0.35548821,0.00311765,0.92983533,0.46810930,0.10611218
-5.99399700,1.65769713,0.01120683,0.06419875,0.71690902,0.38314873,0.00324746,1.01450647,0.51350123,0.11621922
-5.98799400,1.80094409,0.01272906,0.06966484,0.78142802,0.41265835,0.00341742,1.10395993,0.56084264,0.12694018
-5.98199100,1.95092020,0.01440956,0.07559514,0.84829013,0.44354704,0.00362412,1.19708235,0.60956707,0.13816042
-5.97598799,2.10559488,0.01624542,0.08191034,0.91662153,0.47530474,0.00386365,1.29263837,0.65904429,0.14975135
-5.96998499,2.26277397,0.01823056,0.08852262,0.98548131,0.50739220,0.00413163,1.38929327,0.70859201,0.16157253
-5.96398199,2.42014328,0.02035543,0.09533695,1.05388106,0.53925333,0.00442329,1.48564007,0.75748998,0.17347429
-5.95797899,2.57531821,0.02260676,0.10225262,1.12080734,0.57032884,0.00473350,1.58023038,0.80499636,0.18530063
-5.95197599,2.72589862,0.02496747,0.10916515,1.18524651,0.60007074,0.00505687,1.67160861,0.85036584,0.19689267
-5.94597299,2.86952737,0.02741658,0.11596841,1.24621115,0.62795734,0.00538781,1.75834818,0.89286887,0.20809216
-5.93996998,3.00395085,0.02992931,0.12255699,1.30276724,0.65350831,0.00572062,1.83908899,0.93181151,0.21874533
-5.93396698,3.12707953,0.03247736,0.12882876,1.35406126,0.67629919,0.00604962,1.91257461,0.96655509,0.22870665
-5.92796398,3.23704638,0.03502923,0.13468756,1.39934601,0.69597488,0.00636917,1.97768794,0.99653488,0.23784260
-5.92196098,3.33226110,0.03755081,0.14004587,1.43800437,0.71226151,0.00667386,2.03348410,1.02127726,0.24603523
-5.91595798,3.41145785,0.04000600,0.14482742,1.46956988,0.72497619,0.00695858,2.07921902,1.04041432,0.25318531
-5.90995498,3.47373468,0.04235755,0.14896973,1.49374330,0.73403418,0.00721864,2.11437276,1.05369568,0.25921517
-5.90395198,3.51858299,0.04456797,0.15242616,1.51040441,0.73945322,0.00744987,2.13866645,1.06099670,0.26407087
-5.89794897,3.54590544,0.04660048,0.15516783,1.51961843,0.74135451,0.00764874,2.15207204,1.06232288,0.26772375
-5.89194597,3.55602155,0.04842009,0.15718489,1.52163673,0.73996050,0.00781240,2.15481448,1.05781015,0.27017137
