energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.41082186,0.01497304,0.02485465,0.54820833,0.57535866,0.01483949,0.88890867,0.28948203,0.10135660
-5.99399700,1.44384132,0.01507084,0.02561524,0.57708448,0.57522665,0.01437799,0.91511114,0.29843498,0.10520378
-5.98799400,1.48066892,0.01531509,0.02635413,0.60746811,0.57657164,0.01393413,0.94375670,0.30919216,0.10916189
-5.98199100,1.52102002,0.01570108,0.02706643,0.63901351,0.57952401,0.01351396,0.97457361,0.32159196,0.11318172
-5.97598799,1.56445533,0.01622077,0.02774607,0.67131334,0.58415532,0.01312220,1.00719153,0.33541935,0.11720661
-5.96998499,1.61038641,0.01686304,0.02838580,0.70390573,0.59047482,0.01276211,1.04114725,0.35041070,0.12117353
-5.96398199,1.65808684,0.01761405,0.02897723,0.73628371,0.59842812,0.01243543,1.07589382,0.36626026,0.12501439
-5.95797899,1.70670870,0.01845759,0.02951103,0.76790649,0.60789798,0.01214243,1.11081310,0.38262799,0.12865761
-5.95197599,1.75530415,0.01937556,0.02997712,0.79821263,0.61870731,0.01188196,1.14523141,0.39914865,0.13202995
-5.94597299,1.80285138,0.02034839,0.03036501,0.82663459,0.63062413,0.01165162,1.17843778,0.41544181,0.13505850
-5.93996998,1.84828422,0.02135558,0.03066410,0.85261427,0.64336853,0.01144785,1.20970436,0.43112265,0.13767280
-5.93396698,1.89052443,0.02237612,0.03086413,0.87561920,0.65662117,0.01126622,1.23830832,0.44581308,0.13980703
-5.92796398,1.92851558,0.02338904,0.03095560,0.89515865,0.67003313,0.01110161,1.26355441,0.45915288,0.14140220
-5.92196098,1.96125726,0.02437389,0.03093019,0.91079920,0.68323670,0.01094848,1.28479752,0.47081044,0.14240821
-5.91595798,1.98783838,0.02531113,0.03078120,0.92217927,0.69585684,0.01080112,1.30146431,0.48049289,0.14278580
-5.90995498,2.00746844,0.02618262,0.03050394,0.92902186,0.70752274,0.01065389,1.31307321,0.48795504,0.14250826
-5.90395198,2.01950548,0.02697194,0.03009605,0.93114524,0.71787926,0.01050144,1.31925192,0.49300701,0.14156279
-5.89794897,2.02347985,0.02766477,0.02955776,0.92847092,0.72659786,0.01033892,1.31975194,0.49552014,0.13995155
-5.89194597,2.01911285,0.02824910,0.02889212,0.92102883,0.73338667,0.01016213,1.31445947,0.49543112,0.13769230
-5.88594297,2.00632979,0.02871552,0.02810501,0.90895928,0.73799942,0.00996770,1.30340241,0.49274408,0.13481860
-5.87993997,1.98526694,0.02905733,0.02720517,0.89251176,0.74024307,0.00975309,1.28675314,0.48753068,0.13137954
-5.87393697,1.95627241,0.02927066,0.02620408,0.87204058,0.73998395,0.00951675,1.26482723,0.47992825,0.12743913
-5.86793397,1.91990092,0.02935451,0.02511577,0.84799755,0.73715219,0.00925803,1.23807801,0.47013600,0.12307516
-5.86193097,1.87690297,0.02931074,0.02395648,0.82092193,0.73174453,0.00897723,1.20708734,0.45840952,0.11837778
-5.85592796,1.82820863,0.02914398,0.02274436,0.79142811,0.72382537,0.00867550,1.17255300,0.44505387,0.11344771
-5.84992496,1.77490686,0.02886153,0.02149900,0.76019135,0.71352608,0.00835481,1.13527311,0.43041539,0.10839417
-5.84392196,1.71822086,0.02847316,0.02024100,0.72793215,0.70104259,0.00801778,1.09612805,0.41487260,0.10333269
-5.83791896,1.65948026,0.02799088,0.01899147,0.69539966,0.68663139,0.00766760,1.05606055,0.39882649,0.09838267
-5.83191596,1.60009093,0.02742868,0.01777158,0.66335463,0.67060390,0.00730792,1.01605435,0.38269044,0.09366496
-5.82591296,1.54150304,0.02680219,0.01660206,0.63255236,0.65331941,0.00694268,0.97711202,0.36688002,0.08929936
-5.81990995,1.48517816,0.02612830,0.01550278,0.60372591,0.63517673,0.00657602,0.94023235,0.35180297,0.08540213
-5.81390695,1.43255598,0.02542477,0.01449235,0.57757013,0.61660456,0.00621213,0.90638788,0.33784947,0.08208367
-5.80790395,1.38502121,0.02470977,0.01358773,0.55472646,0.59805104,0.00585513,0.87650268,0.32538298,0.07944619
-5.80190095,1.34387128,0.02400143,0.01280401,0.53576909,0.57997237,0.00550899,0.85143113,0.31473168,0.07758158
-5.79589795,1.31028544,0.02331733,0.01215406,0.52119233,0.56282111,0.00517740,0.83193765,0.30618074,0.07656941
-5.78989495,1.28529573,0.02267401,0.01164843,0.51139968,0.54703422,0.00486373,0.81867814,0.29996543,0.07647515
-5.78389195,1.26976057,0.02208650,0.01129519,0.50669445,0.53302132,0.00457092,0.81218311,0.29626528,0.07734856
-5.77788894,1.26434156,0.02156785,0.01109982,0.50727241,0.52115348,0.00430147,0.81284325,0.29519934,0.07922237
-5.77188594,1.26948424,0.02112870,0.01106525,0.51321639,0.51175303,0.00405736,0.82089770,0.29682266,0.08211118
-5.76588294,1.28540361,0.02077695,0.01119183,0.52449319,0.50508473,0.00384007,0.83642552,0.30112415,0.08601078
-5.75987994,1.31207516,0.02051741,0.01147743,0.54095299,0.50134870,0.00365056,0.85934091,0.30802589,0.09089778
-5.75387694,1.34923205,0.02035164,0.01191754,0.56233142,0.50067552,0.00348926,0.88939258,0.31738411,0.09672966
-5.74787394,1.39636934,0.02027787,0.01250548,0.58825452,0.50312384,0.00335615,0.92616767,0.32899176,0.10344536
-5.74187094,1.45275546,0.02029096,0.01323255,0.61824670,0.50868061,0.00325076,0.96910062,0.34258298,0.11096630
-5.73586793,1.51745144,0.02038259,0.01408834,0.65174179,0.51726423,0.00317223,1.01748712,0.35783931,0.11919807
-5.72986493,1.58933775,0.02054147,0.01506099,0.68809706,0.52873051,0.00311942,1.07050303,0.37439765,0.12803253
-5.72386193,1.66714848,0.02075376,0.01613755,0.72661021,0.54288137,0.00309095,1.12722825,0.39185991,0.13735062
-5.71785893,1.74951205,0.02100348,0.01730438,0.76653875,0.55947610,0.00308535,1.18667477,0.40980411,0.14702553
-5.71185593,1.83499744,0.02127311,0.01854747,0.80712150,0.57824466,0.00310108,1.24781844,0.42779664,0.15692639
-5.70585293,1.92216428,0.02154421,0.01985297,0.84760146,0.59890256,0.00313675,1.30963314,0.44540536,0.16692226
-5.69984992,2.00961517,0.02179811,0.02120752,0.88724934,0.62116678,0.00319110,1.37112642,0.46221303,0.17688630
-5.69384692,2.09604788,0.02201655,0.02259872,0.92538671,0.64477185,0.00326322,1.43137490,0.47783064,0.18669997
-5.68784392,2.18030529,0.02218241,0.02401547,0.96140799,0.66948543,0.00335254,1.48955806,0.49191009,0.19625705
-5.68184092,2.26142066,0.02228029,0.02544832,0.99480018,0.69512258,0.00345899,1.54498879,0.50415565,0.20546736
-5.67583792,2.33865591,0.02229712,0.02688972,1.02515937,0.72155799,0.00358300,1.59713914,0.51433366,0.21425983
-5.66983492,2.41153090,0.02222260,0.02833421,1.05220318,0.74873537,0.00372557,1.64565984,0.52228013,0.22258496
-5.66383192,2.47984189,0.02204954,0.02977845,1.07577849,0.77667355,0.00388824,1.69039260,0.52790570,0.23041632
-5.65782891,2.54366804,0.02177413,0.03122121,1.09586388,0.80546878,0.00407311,1.73137408,0.53119777,0.23775106
